gmbh.	3600	in	soa	v0n0.nic.gmbh. hostmaster.donuts.email. 1759367345 7200 900 1209600 3600
000hevrq5m606lhfh7mphdm3k5d58u96.gmbh.	3600	in	nsec3	1 1 0 73 008H77GGE18CKTFRP8MEI29TVV4MMFP1 NS DS RRSIG
000hevrq5m606lhfh7mphdm3k5d58u96.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. UZQXXH2kSt/16M9JuMKQ4mY05EWV0zs+EggFxNo7DrLdSJeiFpLX/1QRwvwk73Zj8QpDOK5p4FQbkFSqxcYknijoMNJfqjI6UHW+0mo8LaGTC/4f3jFBWr2K2sFBlpDjHorZTcC/E2R3vbHe93v+fVaA5PiSd45vu3QKbGBrI1I=
008h77gge18cktfrp8mei29tvv4mmfp1.gmbh.	3600	in	nsec3	1 1 0 73 0524GV9JG0NGIHCTKRRINPE4A4SQFNV3 NS DS RRSIG
008h77gge18cktfrp8mei29tvv4mmfp1.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. zFNr0ZKQ6K+Zi0czouBVF4vDRfb3MlJqPVCcwIX13JQ1Q16G20X1eSxn3MR7RhUGnWqoufeqZVG6ZRZgnkVfPd3jd+AsvvAXxvX5UWV2qqVevNNVz4u/0GKlnX7VKjKUqw+Xe+/r7p8nMtZmHZWal78lvE/Upd/toSdpeXXdIqs=
0517test01.gmbh.	3600	in	ns	ns1.qq.com.
0517test01.gmbh.	3600	in	ns	ns2.qq.com.
0524gv9jg0ngihctkrrinpe4a4sqfnv3.gmbh.	3600	in	nsec3	1 1 0 73 08JH1ARSPSLTFF6DC3NM49QVUA372RPP NS DS RRSIG
0524gv9jg0ngihctkrrinpe4a4sqfnv3.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. zbuxFRpYlZe93IhIPoi532qJdNzayh2WSQ6aeKU8qVqMprgyn2S7/7cglHLrAGvOBUR932Gv/0OzODN3wFRSY5z9UcmPKhhFycDa43YdtZnCgL20gs2328kRXbtHDRSNvMWT7uihotdmSkfofgwrinv+s7HqKTI/6VVTRx4CcxM=
0700ksiegowy.gmbh.	3600	in	ns	ns1025.ui-dns.org.
0700ksiegowy.gmbh.	3600	in	ns	ns1060.ui-dns.de.
0700ksiegowy.gmbh.	3600	in	ns	ns1106.ui-dns.biz.
0700ksiegowy.gmbh.	3600	in	ns	ns1111.ui-dns.com.
0815.gmbh.	3600	in	ns	ns1.bdm.microsoftonline.com.
0815.gmbh.	3600	in	ns	ns2.bdm.microsoftonline.com.
0815.gmbh.	3600	in	ns	ns3.bdm.microsoftonline.com.
0815.gmbh.	3600	in	ns	ns4.bdm.microsoftonline.com.
0816printproduktion.gmbh.	3600	in	ns	alexa.ns.cloudflare.com.
0816printproduktion.gmbh.	3600	in	ns	anderson.ns.cloudflare.com.
089capital.gmbh.	3600	in	ns	ns.checkdomain.de.
089capital.gmbh.	3600	in	ns	ns2.checkdomain.de.
089sani.gmbh.	3600	in	ns	docks05.rzone.de.
089sani.gmbh.	3600	in	ns	shades16.rzone.de.
08jh1arspsltff6dc3nm49qvua372rpp.gmbh.	3600	in	nsec3	1 1 0 73 08SQS5VRL66M555LM6JFUA1P98NCLT5K NS DS RRSIG
08jh1arspsltff6dc3nm49qvua372rpp.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. cI7R1MtzPLVXUzuCg1ZzdEMFU00Wbdi8Kh8oKPjbSpEaVZZJXpsvjLyTyGggQpXtUEwsoZD0L0BXw7qTfXZa12XEOK7utjo2VAqXXfdld6etIAeAxfo5ze0IsoUnz/9NC5cj6u46chdyFZQYeHPPDFrRMZy0Mw29KSDkD3lTV3Q=
08sqs5vrl66m555lm6jfua1p98nclt5k.gmbh.	3600	in	nsec3	1 1 0 73 092EGIGSTACD5LEU2I62UT2IT3NEKJ8P NS DS RRSIG
08sqs5vrl66m555lm6jfua1p98nclt5k.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. GtF5bHVbt97WpIvTQuw1WotTWYf8rHfBySwM+cpyvZeUYS86UxIQPLFMQmcRWU3fmarrs8AIXvMKIoZMRgkJWFWq9EiTYAlNAzvshu3aZvDpzoOR3mlfJCfns4+xqwqzxJ+YaX5Mw3fvkrXcoDqm1UU2FwRs0AzhrMx5wkb/noI=
092egigstacd5leu2i62ut2it3nekj8p.gmbh.	3600	in	nsec3	1 1 0 73 09LRT32UAH3A6CQ2GC3D6PIPG9B9MG38 NS DS RRSIG
092egigstacd5leu2i62ut2it3nekj8p.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. p24byHCzPRD2Ml1fb1QfE4dG7dRowZlz/yF+yF+DG/7mRnWTJ6pi6BDFRae3SzUsjlbLs0f7k+ZV70tP4QSCKo7cTqh8SZWy3nvwRGWu02OI6kRvd9Lyy26azOokMvBjpXCxVMgw//CSMcaa2RacTSN9DJn3WtFkJW/9VNeCYBw=
09lrt32uah3a6cq2gc3d6pipg9b9mg38.gmbh.	3600	in	nsec3	1 1 0 73 09S5ESQLT0HGOCGEMG63SNGPUK4JIBU7 NS DS RRSIG
09lrt32uah3a6cq2gc3d6pipg9b9mg38.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. rPO6QVGVc2hfqaNXF+hoCoubBbH7+VCpSLuX8AQT2cdCWaIDibNuAby79Muf4BMeAkkCbasZ6/kabuTsuTRGTvZM9HbAeVCpfXclu7oCr6iBXNalA+ret9TND+55u4imrT/niarbhI9GjUvdP4T436qhXJEoG2TzVzn6yW0BHD8=
09s5esqlt0hgocgemg63sngpuk4jibu7.gmbh.	3600	in	nsec3	1 1 0 73 0AKOQLEU8OVIV5N183HPCQ7B7EG4TR15 NS DS RRSIG
09s5esqlt0hgocgemg63sngpuk4jibu7.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. CYzTOtkCagWLJWC7rFI+aK9vicMME9CPg0/FefzYl+LQjQvk5hD7XpQMsVdITfzpgONv7A+tXfYf5K/tf5GP7hsYXUmo6Z5qDS26IgxloUFENqdwJHtzyE+ysm/mlbywYJ3Ua4l60ErryrKfmQSG1b0oLvHijzHtu+TQrFbIECk=
0akoqleu8oviv5n183hpcq7b7eg4tr15.gmbh.	3600	in	nsec3	1 1 0 73 0BAFLFGRMV1A4M4VS59GAE6FO86DIN47 NS DS RRSIG
0akoqleu8oviv5n183hpcq7b7eg4tr15.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. M1aJIB16slmsAbZBXIqXA7WAioCmXRMoR++6vkwJebqnAcHqxKmCVxQmGrriQuJZfZrBiz7alS70REcIAF909WZummv6zz8X4Db5ZkByha1vmt4V8Bjl/SPoMMMDG16NCZShPQl80buiPGHkmUGYy4a4pakyLr1aeJBEKULqy8g=
0baflfgrmv1a4m4vs59gae6fo86din47.gmbh.	3600	in	nsec3	1 1 0 73 0DRSFT9S525DFMEEC493NE1FV4OVEF3U NS DS RRSIG
0baflfgrmv1a4m4vs59gae6fo86din47.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. 19hTKp2AgZazjnPNL4EHeDLOZtpOJmUgvBRGWAU2RBVjKop+eK4JjxDw+bjzIVzq2xcfMD5lQOiTQeyHMHfDUTbWnJvXDhrmu8rkuAtgbbyZWhOk1lD+8mGM2xMgPoKLLq22rbszaa/gtGcKktol+HWnNRAuW0hSFh9w/4sGjxY=
0drsft9s525dfmeec493ne1fv4ovef3u.gmbh.	3600	in	nsec3	1 1 0 73 0G6TMC11KOE8QGJ6J0J4LAL460MBG6VE NS DS RRSIG
0drsft9s525dfmeec493ne1fv4ovef3u.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. DXRTUPf3ctx/AT0fASNNXk0HuUHmSdCmIPTjOzhkSHR77qF6LffYLk8fbXT7c0fAVTc0T1HlBNZo3C9nQth5EUgeH3T3mtiiz6gagMw0brf605hYVBEZYZsz5tyR2fPyCyeD0PETgi8/pZZkf/+xkmbgvfNqesGsqAFfRTyiXdM=
0g6tmc11koe8qgj6j0j4lal460mbg6ve.gmbh.	3600	in	nsec3	1 1 0 73 0G8N78DIABAQ2K3RL3CVQ7KLQGQRONUV NS DS RRSIG
0g6tmc11koe8qgj6j0j4lal460mbg6ve.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. OsAqr5fGa7hrg+PrPv7mGEQvcXmfpjgWHxi58HxfEk3iik1fB6BnYmrhg7K6CedyHKLRr4tivm2ervN42itIslWs+JUJX6PQVZj8DQSe19XnT5+XVMf+/NPy4d/edN7q++N18NDnk09vVmb5XW4Dc52c881PVpnto981K2S1G2w=
0g8n78diabaq2k3rl3cvq7klqgqronuv.gmbh.	3600	in	nsec3	1 1 0 73 0HOQD96CQ7V291U4VN81IBG69NLK3AIL NS DS RRSIG
0g8n78diabaq2k3rl3cvq7klqgqronuv.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. a/XEzTHjTBEL0YfESoDBEAbzBJ917a6mlIGBj37vqi+PsweJPkDxD1MYidDMd23Kv/IHNpVvG7lIJdl2H8/Vrmf3gSAs3OTFIXp4jyeP/rH8VvvSeDcDdJmtWFIHHRAN4rmtOScf9TTlchE8j5HwJ5oVkOILk3azn12aTSiLLzE=
0hoqd96cq7v291u4vn81ibg69nlk3ail.gmbh.	3600	in	nsec3	1 1 0 73 0KE7D0N6OMVPITOJ141GIFOPP0TIUKD5 NS DS RRSIG
