graphics.	3600	in	soa	v0n0.nic.graphics. hostmaster.donuts.email. 1756256397 7200 900 1209600 3600
0000.graphics.	3600	in	ns	ns1.pixtel.net.
0000.graphics.	3600	in	ns	ns3.pixtel.net.
001.graphics.	3600	in	ns	dns1.registrar-servers.com.
001.graphics.	3600	in	ns	dns2.registrar-servers.com.
006f943dovl1gv1d8thm6n1k6dppoug2.graphics.	3600	in	nsec3	1 1 0 73 030HLCV1R73QC058S19Q56FT8O97D869 NS DS RRSIG
006f943dovl1gv1d8thm6n1k6dppoug2.graphics.	3600	in	rrsig	NSEC3 8 2 3600 20250916154053 20250826144053 36624 graphics. XNT3q9Mss280ZRueYwJmXcTR1LbMdUmJdJSpsSNmUQeL5Wza7DZ5ETTr996SeGpQXC/sZz6uWgijqIfHjrr2eG/k9X39ImfiE7W3FApDxo6va6T4dirxe8ZHinzzjX6y/abEeUN+W7DM0ohlmIFktI2+MSD1VK3jpSb5flEzJQU=
013.graphics.	3600	in	ns	ns.zone.eu.
013.graphics.	3600	in	ns	ns2.zone.ee.
013.graphics.	3600	in	ns	ns3.zonedata.net.
030hlcv1r73qc058s19q56ft8o97d869.graphics.	3600	in	nsec3	1 1 0 73 03LUJ4VTEHK69VED8QVMRTQSMQIEHTL0 NS DS RRSIG
030hlcv1r73qc058s19q56ft8o97d869.graphics.	3600	in	rrsig	NSEC3 8 2 3600 20250916154053 20250826144053 36624 graphics. MQZ+U8Ibz+A+WGZYiey9srwKPXdl/u31RSkcMfUSCONRW0edZcyPZkNSkq/OSIcvV5T0Qxli0zV//ptr0btIALN4se7/elarrbA3+ny5kBxbnDz9LaZzMi9Gpd94dMfjiqvkV09MKVTVplXr5dAflpji6kxqLy353znQNHBQgIA=
03luj4vtehk69ved8qvmrtqsmqiehtl0.graphics.	3600	in	nsec3	1 1 0 73 059QCV5QC5HB459T78PRF5MJVTMAV8B4 NS DS RRSIG
03luj4vtehk69ved8qvmrtqsmqiehtl0.graphics.	3600	in	rrsig	NSEC3 8 2 3600 20250916154053 20250826144053 36624 graphics. GPc4ljo1AFMKnXm5Xn3ki2uAMCjpoAapUXF0jO5gIFfaIGoACiNDqeLwE4Hm8NZLO8MXjAU+ot3A6ZfjN1iTrrbkQvZMT1ZotdRahrRtwKj5pBpTySB8pwwBivpb+tkgcggNu8m6q7+EnBIQysc8huTS9ABccS+LQg8NE6stXF8=
059qcv5qc5hb459t78prf5mjvtmav8b4.graphics.	3600	in	nsec3	1 1 0 73 0BLFC9J4UIPA7IPV03T0JIPE49NBCQK0 NS DS RRSIG
059qcv5qc5hb459t78prf5mjvtmav8b4.graphics.	3600	in	rrsig	NSEC3 8 2 3600 20250916154053 20250826144053 36624 graphics. y8aoO4es3sWIigPZRfi6tqsZbp3s1PGQl8LUMUqOuePtazXRy63T4hVeJCEo1fHZvShvJtg9xMjwo3b20vXCBxEyWPCJm2ruCYqyoFNmLr+uhEKGdklWriLxppTCaVDlPiFs6glM6x7Ra2MnRjwOue88eQtIgJRqSX/RaDv9lQU=
0blfc9j4uipa7ipv03t0jipe49nbcqk0.graphics.	3600	in	nsec3	1 1 0 73 0BP3098RB5I61Q1LFLRNFMDD85GH6G5H NS DS RRSIG
