gripe.	3600	in	soa	v0n0.nic.gripe. hostmaster.donuts.email. 1769302957 7200 900 1209600 3600
01i6dtek9ecpbe4o6oblkf625mrfu7u3.gripe.	3600	in	nsec3	1 1 0 73 03LFTG9S4CK2A72MUJTQAGURA31J7UOR NS DS RRSIG
01i6dtek9ecpbe4o6oblkf625mrfu7u3.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. qc+rvTaGx70GYlmGtf/Amo5ad2CnS5+jepNCWMwIiNZgc+GL3yOjoJgvOaoI1THKlTqmayLID0ICtO+ab+3sNCTf+A7ycIkM/Lpv62OAJ/ZlJphh8BSpwnPXpmwBEoOdsAxmg64bXXIxKcocHoGMai8PPYIZaxgA55Fzn9yR0UU=
03lftg9s4ck2a72mujtqagura31j7uor.gripe.	3600	in	nsec3	1 1 0 73 24U28V3PS5H7JHKVRGVOCCKFD47NSF44 NS DS RRSIG
03lftg9s4ck2a72mujtqagura31j7uor.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. quOxMKCcsPrVopb0abhxZqR9XNOODSwj39da4ruSd1cxsyeGyCYbqCv9d10VYGq9+Vnn3xDrLMasU5YL3kk/pF2T1Y1sj2xOenr0mp74QfEMI6g1Bz3VFeC40i3GAXwVzF8TDSc0f0WyYOAp0Kr4anJ8oPXG0bfliDuV7ZgRH9M=
045894.gripe.	3600	in	ns	ns1.dyna-ns.net.
045894.gripe.	3600	in	ns	ns2.dyna-ns.net.
063124.gripe.	3600	in	ns	ns1.dyna-ns.net.
063124.gripe.	3600	in	ns	ns2.dyna-ns.net.
0800flowers.gripe.	3600	in	ns	dns1.cscdns.net.
0800flowers.gripe.	3600	in	ns	dns2.cscdns.net.
092409.gripe.	3600	in	ns	ns1.dyna-ns.net.
092409.gripe.	3600	in	ns	ns2.dyna-ns.net.
0x.gripe.	3600	in	ns	dns1.registrar-servers.com.
0x.gripe.	3600	in	ns	dns2.registrar-servers.com.
1-800-baskets.gripe.	3600	in	ns	dns1.cscdns.net.
1-800-baskets.gripe.	3600	in	ns	dns2.cscdns.net.
1234.gripe.	3600	in	ns	ns-cloud-d1.googledomains.com.
1234.gripe.	3600	in	ns	ns-cloud-d2.googledomains.com.
1234.gripe.	3600	in	ns	ns-cloud-d3.googledomains.com.
1234.gripe.	3600	in	ns	ns-cloud-d4.googledomains.com.
123b.gripe.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.gripe.	3600	in	ns	sandy.ns.cloudflare.com.
1800baskets.gripe.	3600	in	ns	dns1.cscdns.net.
1800baskets.gripe.	3600	in	ns	dns2.cscdns.net.
188bet.gripe.	3600	in	ns	chance.ns.cloudflare.com.
188bet.gripe.	3600	in	ns	delilah.ns.cloudflare.com.
1918.gripe.	3600	in	ns	ns1.vercel-dns.com.
1918.gripe.	3600	in	ns	ns2.vercel-dns.com.
1cabura.gripe.	3600	in	ns	dns101.registrar-servers.com.
1cabura.gripe.	3600	in	ns	dns102.registrar-servers.com.
1w.gripe.	3600	in	ns	ns1.pananames.com.
1w.gripe.	3600	in	ns	ns2.pananames.com.
1w.gripe.	3600	in	ns	ns3.pananames.com.
1w.gripe.	3600	in	ns	ns4.pananames.com.
2024doa.gripe.	3600	in	ns	dns101.registrar-servers.com.
2024doa.gripe.	3600	in	ns	dns102.registrar-servers.com.
2026.gripe.	3600	in	ns	ns23.domaincontrol.com.
2026.gripe.	3600	in	ns	ns24.domaincontrol.com.
212.gripe.	3600	in	ns	ns.myhosting.com.
212.gripe.	3600	in	ns	ns1.myhosting.com.
212.gripe.	3600	in	ns	ns2.myhosting.com.
247.gripe.	3600	in	ns	curitiba.ns.porkbun.com.
247.gripe.	3600	in	ns	fortaleza.ns.porkbun.com.
247.gripe.	3600	in	ns	maceio.ns.porkbun.com.
247.gripe.	3600	in	ns	salvador.ns.porkbun.com.
