guide.	3600	in	soa	v0n0.nic.guide. hostmaster.donuts.email. 1769302916 7200 900 1209600 3600
0031.guide.	3600	in	ns	curitiba.ns.porkbun.com.
0031.guide.	3600	in	ns	fortaleza.ns.porkbun.com.
0031.guide.	3600	in	ns	maceio.ns.porkbun.com.
0031.guide.	3600	in	ns	salvador.ns.porkbun.com.
0036jn2a56lr5p7ui803m82qj1j6mh8i.guide.	3600	in	nsec3	1 1 0 73 00HE5PR5PTD0B9DBADBKBLRN4MCC4GF1 NS DS RRSIG
0036jn2a56lr5p7ui803m82qj1j6mh8i.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. WwgG4d2U85eKPT+GV1y/XbMCtzffigxkXzyShWtqvfVbVXAZSuejaGNBoLL54GDxnF0IwYv2K5wzrRLYOBj4W6JPMZ4/eb1XgBf2Cn6xSEFvLlqaRMpmRDWQhySwvWVCrHxTSM06SwBGZNvBHTgRkRyD1gUF/he/tbaa4PBEe7M=
0066.guide.	3600	in	ns	curitiba.ns.porkbun.com.
0066.guide.	3600	in	ns	fortaleza.ns.porkbun.com.
0066.guide.	3600	in	ns	maceio.ns.porkbun.com.
0066.guide.	3600	in	ns	salvador.ns.porkbun.com.
00966.guide.	3600	in	ns	ns1.dns-parking.com.
00966.guide.	3600	in	ns	ns2.dns-parking.com.
009casino.guide.	3600	in	ns	ns1.dns-redirect.com.
009casino.guide.	3600	in	ns	ns2.dns-redirect.com.
00he5pr5ptd0b9dbadbkblrn4mcc4gf1.guide.	3600	in	nsec3	1 1 0 73 01U7LQ4QQ0UMRGF92M9S6AIVDBMROL2Q NS DS RRSIG
00he5pr5ptd0b9dbadbkblrn4mcc4gf1.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. LF8G7OkXCwnXtOP39sPYeE2HE2SAaywC6m+Mx1kBIbgWvWJpfW2IoNit8OKNh6qiEvSuwp6wRTpTpHDflMmxN8OlX/y3DYr6slawi3YbjMlrChOvaD6/zMDK2JhUKGasJ4qxTSZ4ZwbIdGVsomxFRyJzczQaLESTSdUx/M9uFtg=
00video.guide.	3600	in	ns	ns1.afternic.com.
00video.guide.	3600	in	ns	ns2.afternic.com.
01u7lq4qq0umrgf92m9s6aivdbmrol2q.guide.	3600	in	nsec3	1 1 0 73 02SLJQI7NDBT4LG4638MGNRLB0CNVNOT NS DS RRSIG
01u7lq4qq0umrgf92m9s6aivdbmrol2q.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. OUdApNdcAojD9jFaeoDuOjUDqozdylfZu9HF624FzaAhLG/SW60vel/zKhETmCyn81y/8GeslB/j8GlE+eZnK4AvxgCCDFiufC4Fas2jMv+Pg14C8t1ra0TibHOhTAAk1OMhZllmMKrMB4riW/Rp7p1VF7gLZP7SlPdlq5B1VUc=
02sljqi7ndbt4lg4638mgnrlb0cnvnot.guide.	3600	in	nsec3	1 1 0 73 037EDR6FH99CUGGF8OEOFV5JAFQVA5UK NS DS RRSIG
02sljqi7ndbt4lg4638mgnrlb0cnvnot.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. vfDlhM4V2rOu/2txuywOMHiU8A4dKUq+Rvh5wqhra95Eovr3BdM3ynRjD2HzK/4gYiMEX5eziqqNSXJ7Qw/I1XWZUT4x2mZ4/pnoBB9dSUkMcI/78su58Nq2RCqMjWESjok1pDehtBZ2DEGV7RMB+/QHSz5OU4vOVJ2zKRlhnL0=
037edr6fh99cuggf8oeofv5jafqva5uk.guide.	3600	in	nsec3	1 1 0 73 04F0TUGUD5GKAU37152SH3SLQ5FQR71P NS DS RRSIG
037edr6fh99cuggf8oeofv5jafqva5uk.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. er4jtx0oGOne4wFrBOzRyDQ4zRs3SjSsCwxgEaIeaGSYKECq4OPTUZ1Luo+CJiPyaapVyQGBnW84r7gXjVDWbDw7laGD9+05Yws9yjyE0FI/Q+hzlHZsNb9Aq9azGIbYknHJ72r0eoEAwn8Ah/uONnEqD0eV5Kq00a88n21TG6k=
04f0tugud5gkau37152sh3slq5fqr71p.guide.	3600	in	nsec3	1 1 0 73 04H559NVDAJHI8JVR60BBQVEDLDS2LU8 NS DS RRSIG
04f0tugud5gkau37152sh3slq5fqr71p.guide.	3600	in	rrsig	NSEC3 8 2 3600 20260207154717 20260117144717 53046 guide. f1Mo9+jYvifN4Tzkz8ywR670mtrFL2SDWu29x54ek2eEe696habPfUHUzoE9KDt9sxiB/xZDEuB5pXcmL6MujvyQieMIUH5wGiqvoi2y3u1E2qjFhUulBdsGhPaFYYrkq9g5K8JHn7HRgI1JyuZyr9ZSN580yLyeZvvsPWfbzBE=
04h559nvdajhi8jvr60bbqvedlds2lu8.guide.	3600	in	nsec3	1 1 0 73 057KO6D4ULJO03D2DNBN33HHG16LH55M NS DS RRSIG
