haus.	3600	in	soa	v0n0.nic.haus. hostmaster.donuts.email. 1757034183 7200 900 1209600 3600
000.haus.	3600	in	ns	ns1.digitalocean.com.
000.haus.	3600	in	ns	ns2.digitalocean.com.
000.haus.	3600	in	ns	ns3.digitalocean.com.
001.haus.	3600	in	ns	dns1.registrar-servers.com.
001.haus.	3600	in	ns	dns2.registrar-servers.com.
03e8it8c0ms2dmhsjuv28vf7tlfbuuvs.haus.	3600	in	nsec3	1 1 0 73 06A026UN3AF436PQVUIQK3Q3S7LG4UG5 NS DS RRSIG
03e8it8c0ms2dmhsjuv28vf7tlfbuuvs.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. A6g0olyrSwRKlGstI5ThlSplkS3QkgZm47sW8Lwpjy2B3Wq3U28PNYvWwtzUpvxqna5ZpOh2KVL/Ra9PX8UklK/cwuuDK6sVsvGjdmGzs01z68tfIk0Yo4pFrhTd1MwpLGzVp/Bi1yqQv3K7O5paD8IaYaqCb83xzyC7ZUpT9tE=
055km.haus.	3600	in	ns	ns1.dyna-ns.net.
055km.haus.	3600	in	ns	ns2.dyna-ns.net.
06a026un3af436pqvuiqk3q3s7lg4ug5.haus.	3600	in	nsec3	1 1 0 73 07FDBICOFFCN70BS2KUANMG15O25FGMD NS DS RRSIG
06a026un3af436pqvuiqk3q3s7lg4ug5.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. JFdF4WS92hIu+FRdd5Q5be0022BBDSbMgwre9xqF2xsCwjmhxVLGN9Vj0y5R5akyeEEKg9wmnfHbIDV+AnqjcCa0eem0WhuzmRnOG0BXvr8owS9ewSD1CTBQWIsTSbQDQsTdHaztqEPE7XZRGUSU57BrJci1MfhcBZ9aXcy8btw=
07fdbicoffcn70bs2kuanmg15o25fgmd.haus.	3600	in	nsec3	1 1 0 73 080349HOSNLNR8CFC8NR3KDQ31BN7G9G NS DS RRSIG
07fdbicoffcn70bs2kuanmg15o25fgmd.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. cOWaQ9eMLrF/jWPWMFbTeW05UfTdh3cso8h2wm+ml1r7IPFa3plsYfgurPeaRcsisoDRmB1tnK7Q7VusUqqvBDhBm2I4Yyjak7Nj4RHBkh2C5V5BZ0btNcAv1h9deQcFLvfvd7Gxo0suzXn9ehVzrX5LfosnTKIJAPCRd47vPqw=
080349hosnlnr8cfc8nr3kdq31bn7g9g.haus.	3600	in	nsec3	1 1 0 73 08JB65J60MUKEPQJQJVQJUVSQIMATILV NS DS RRSIG
080349hosnlnr8cfc8nr3kdq31bn7g9g.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. Umtao1e+wn6Y5AN0gY5K1UADDxYxq0/Dn1cOjpf5GI+Hzn1IFCH+j0ZhWTkm0FWZrxC5GkBo9l707nCpNE45KowWjkTK0qOr9hJQerrrbwQknC4iCs60RdE3lIQyqIxfVvPe6T58nqd1ovIKkeQy8ETobsUIY1/dUkfUKO+QgaA=
08jb65j60mukepqjqjvqjuvsqimatilv.haus.	3600	in	nsec3	1 1 0 73 08MPOGFI48N466S0QIU0FTBTSE43U01P NS DS RRSIG
08jb65j60mukepqjqjvqjuvsqimatilv.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. R5PEAyJPWDhb+LhKy/oytwYkOIGp8cksXtHuHfG8y0dO4PLip8e+3hstAlk8KLKmzc4t6rTIkSkdHDaRjFpgas1PcwHyvtApz6d7iJR2zre3kp5ddkAxFHcRVD4N9/+x9jCbRpxCczV3cKIxdPeB8dCk/p3uZ2F/vVpGcTWsW5I=
08mpogfi48n466s0qiu0ftbtse43u01p.haus.	3600	in	nsec3	1 1 0 73 09BJL589O1JU98DP4CIJR6JEGB9KRPMS NS DS RRSIG
