hospital.	3600	in	soa	v0n0.nic.hospital. hostmaster.donuts.email. 1757638896 7200 900 1209600 3600
02kh61i6te2v8pqpc2ejgtfcd0if1h4o.hospital.	3600	in	nsec3	1 1 0 73 0GP6P4CCDATT66JHEUNETD0A5FO7JRDQ NS DS RRSIG
02kh61i6te2v8pqpc2ejgtfcd0if1h4o.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. W4Uyfj5AqRxaPFagnsw2dcPKdNIjfYv5v17sY0Uaz35M2cPvJ73tzR856yustvGGoHSzfTsGxH9Kde3gSpB5ZA1hct/58qglLtfo6JdgfH6v39xns9hSvZ/exFZ5KucOLil6EjwYn0G3NFv/TrWvpK9dg3e8ijXlUH/h/R6k488=
0gp6p4ccdatt66jheunetd0a5fo7jrdq.hospital.	3600	in	nsec3	1 1 0 73 0JI84QR4UEBKL324CGG50EANTU406QMP NS DS RRSIG
0gp6p4ccdatt66jheunetd0a5fo7jrdq.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. haKilic935cuhmpVQBFx4it+0n43qfVxnzlnUwIFwoSt40+RBnA3lEUmXKzsJ57YlAL8SQd0DGuPBjKVoK/PDD98tuC/UuLj+QT/Jllk5LAfRvxy27GSeDDC54+VLVPM9JP/CI7Wlu5aAE+IUvRrtl7g/OrBg8FP7QrWSRQgH/s=
0ji84qr4uebkl324cgg50eantu406qmp.hospital.	3600	in	nsec3	1 1 0 73 0L4K3A8D2JFI6S5FHG4NLT1GIH314J68 NS DS RRSIG
0ji84qr4uebkl324cgg50eantu406qmp.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. hTn7xDpVRlXU3Z9J7jX8+rdlqphBZZf6CDibaq995TvdnXWc99cRVYsECHEd5j4/HOFef2T0uVahVRf/qtRZWVLx+qu/uFX8qq1eDpmOXz/li5IaeSiGRD0TbxS3RgR42Ea+xcIt1jVoLeU8NIFWvaGVA56qLPzdMA5/aXXdHUg=
0l4k3a8d2jfi6s5fhg4nlt1gih314j68.hospital.	3600	in	nsec3	1 1 0 73 0MM5GLO7UIJ6OSVCN35JAT0AE7TM7VJR NS DS RRSIG
0l4k3a8d2jfi6s5fhg4nlt1gih314j68.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. Zp7zOvfTY6HNe07N1QO4qRMcau7Nj3HMTqH7JsiB4pDI84S1lDd/fQxLZuhyYKaDa+xT7qtbwpLYK5ZeWhWhS3zTPyPOTyuQXs2B2fvBJ5+Q+0daiaQyYC/8FyvDDXpUFJDHwHmC7nHw9oqGKb1Y6nOc1Ur4Bb5DYw3rCi4K7+8=
0mm5glo7uij6osvcn35jat0ae7tm7vjr.hospital.	3600	in	nsec3	1 1 0 73 0P27M1OSOCT1022MTAJMK9K1P4MALEHS NS DS RRSIG
0mm5glo7uij6osvcn35jat0ae7tm7vjr.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. FqqB4ao7f6FnsY+uAYnkvAT5lhRZHwUV6v3oDaZDvk1MiPNfaI0OCp7Wm1NvVozJb9qsPIoIZToUUnvYWgdn+C2Kg6Cm4V6iGModXcMsIl3r/aGO3pK8gGHg1jgDVWPoOEUH3SZ09rfgH/vQU04kjAu2KS5puDVYHVqZcIAtJWg=
0p27m1osoct1022mtajmk9k1p4malehs.hospital.	3600	in	nsec3	1 1 0 73 0S2MRVPJ4JU9HL4GU2NVV7CLFMTDP9T8 NS DS RRSIG
0p27m1osoct1022mtajmk9k1p4malehs.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. KwuN1V6dYKeyptxZkgcCZ7NM9rVU/0ng6MITzSnk44sZI1OzSzoewgRRJoZ9BVmSf1ib6ffRFZ4GLhK1I4JmyxgcPUYUsvawUE5SC0b3MYwQEzaAxeRST5IvWnFsSdbtDemKEq+zgrvdqZTa/AX6is9tOWPfhXTH/J+ImFn8N8w=
0s2mrvpj4ju9hl4gu2nvv7clfmtdp9t8.hospital.	3600	in	nsec3	1 1 0 73 1JQIJ8HQL0MBKS0PAT000VQVAPH35EVM NS DS RRSIG
