immo.	3600	in	soa	v0n0.nic.immo. hostmaster.donuts.email. 1757034215 7200 900 1209600 3600
00212.immo.	3600	in	ds	57385 13 2 DE13E75BBBE61B89DBD02FE95403AA0C9F00613AAB6882B15566ACB5F36864B2
00212.immo.	3600	in	ns	ns11.infomaniak.ch.
00212.immo.	3600	in	ns	ns12.infomaniak.ch.
00212.immo.	3600	in	rrsig	DS 8 2 3600 20250922160752 20250901150752 17763 immo. 7C9bxhWwjmkk39uuF3ZhK4qMSNqDnnExEwCCEhmERaCAjEMpS/+JbBYA2bnLaMH6sS2I5X2d1pZL+pSNQZ/T584dppPCS2s2zEQ2VpqX/4+EHmuy0izdBN4kQk6IoLGys1O+9nt3Yg7ZUc0sJe2CHY8ATEonKwTTrcloszYH3i4=
00800.immo.	3600	in	ns	ns.udag.de.
00800.immo.	3600	in	ns	ns.udag.net.
00800.immo.	3600	in	ns	ns.udag.org.
00f1bort46kefpm7o681ef2dm98g7ssj.immo.	3600	in	nsec3	1 1 0 73 00I7HVEIG78RE6P627DTKOIMUUUA71EK NS DS RRSIG
00f1bort46kefpm7o681ef2dm98g7ssj.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. MBqCSDqePJJGuLU4YImbLqsqVndmqJE+3narHCHjnptHfok7yb3H/WrA0cgXwfgJp5XJgywUVesIH/qu3C3AHNX/6+5DAClqF0Ffe+7hpVxqDQhnd7l3lJZrv09Oc+AQ+dN4SdJ3CvDxpcoC7+A3vIyHBplQHzKo3XZHhtb6OqU=
00i7hveig78re6p627dtkoimuuua71ek.immo.	3600	in	nsec3	1 1 0 73 00RRT9NHJTPAABFNOMNL8PFNJHVMKFSU NS DS RRSIG
00i7hveig78re6p627dtkoimuuua71ek.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. s4YApBSvVKv59nPe4k7Xv2dyPkrNbXnhSaJKv2M2uUWr7RChg8XMif1Jj7yf2CyZLfUluw3H3OVsSlV8BYveE6ZWmXveYvi77bmSZutVig+pBKqpVirmD0BPGqWAdaBK4BsTVLgmHTpGrFzA8ctJUVss/oxTK16e7kZ5+a1DVW8=
00rrt9nhjtpaabfnomnl8pfnjhvmkfsu.immo.	3600	in	nsec3	1 1 0 73 01G2JHC9412V6MUAMVK2H55JKKTB8N6G NS DS RRSIG
00rrt9nhjtpaabfnomnl8pfnjhvmkfsu.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. lUvZwp+EniFZPPDct9xszRxPxhZfAWb326rSHu0cVbl9e887JOmqh3DESbeYKpX1sa7q1W9356gTlck/TgcKp6xiMkShSvLE8PCBznorYRI+KYW5J/aC3ofc3+O2gxLaCk10u/vQN1rkL2UhFYGV4IECPJgifxMJ+iVws2xk1zw=
01.immo.	3600	in	ns	joel.ns.cloudflare.com.
01.immo.	3600	in	ns	noor.ns.cloudflare.com.
01g2jhc9412v6muamvk2h55jkktb8n6g.immo.	3600	in	nsec3	1 1 0 73 01TBCTU1C68DB6ACQNBRU2KFHI4BLISM NS DS RRSIG
01g2jhc9412v6muamvk2h55jkktb8n6g.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. aiXk9wIEUBWYKzZPXpStGVvR9kMcIjcuoE6VcaAHos/Z3rh2W1u3jQtOr5xQrZZyO/4JA4jG4n/FsuAOCaQic9P1FmNrqWDS5TlXkI32t1UtflNB2OdABGg8u61qHjoQeD2KaJVHLJrus84uPWyVjAY26vmBipbe5PEDm1sZdWk=
01tbctu1c68db6acqnbru2kfhi4blism.immo.	3600	in	nsec3	1 1 0 73 027P4E2P0DGHE66GAEN7OJS0MC5U47B0 NS DS RRSIG
01tbctu1c68db6acqnbru2kfhi4blism.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 0dO3bWdkv/QtkTatWcbXjxa16QeGM1PpBntutTH0mdvN9aca7BGAEUbyspviSrzY/w5KPyILZh/b/lOJaLNWCjcKoTHE/R+sQzkmFW36zGtvhQ1QN/sdWOtysv32k8Pa+RGCBrWG/M5qdCftyYDwhG7Cb+q+bAnjp/XTgFcdddQ=
027p4e2p0dghe66gaen7ojs0mc5u47b0.immo.	3600	in	nsec3	1 1 0 73 02QE3OF6R23OLF6R9LKLKTA7SH4H0QI3 NS DS RRSIG
027p4e2p0dghe66gaen7ojs0mc5u47b0.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. SHvLNlC9zdzl94lbridrbxz0g1/5DvT/Ttxhd/I6ZGZtFXDu2z+Oe74O8D/cSO+HMYmojb6ImhoRFbQKaJEKiYb3D2AYOrbMpCi6nwhTfGRAm70f86HMWJYznNJnUAedV0VVBZfBrZvmxMzCHFwWmFUR4pHvyTUpfCa73BeEMfg=
02qe3of6r23olf6r9lklkta7sh4h0qi3.immo.	3600	in	nsec3	1 1 0 73 031KS7N51A3N91RLAL9CC0LLAUUE4BID NS DS RRSIG
02qe3of6r23olf6r9lklkta7sh4h0qi3.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. mwKXoNw57NZh0qRABql9KpG5CvH/nV2oZ2I31qmNJHVeVjhY+4Mzizm2VKxZMDqgaNLhOexrlaSlg0OFQANhAHc4CFwWCpZ7wRiFTv488LSK+9RgGlHSFmyEtxTKEOKe5aGA463X4AjLsWf+Nahf2z8rQ57B77xk3FXraEL29Bg=
030.immo.	3600	in	ns	ns1042.ui-dns.biz.
030.immo.	3600	in	ns	ns1102.ui-dns.org.
030.immo.	3600	in	ns	ns1118.ui-dns.de.
030.immo.	3600	in	ns	ns1126.ui-dns.com.
031ks7n51a3n91rlal9cc0llauue4bid.immo.	3600	in	nsec3	1 1 0 73 032MF60DVLQ5EE10633OAU432ROVAV9V NS DS RRSIG
031ks7n51a3n91rlal9cc0llauue4bid.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. NDyYjOEBwpcYnV734pktEcmA/deEcyqSDOknb4n6ACfj6V+M+i2+sf3UNccxCdePD0sVa13+wdvgE5k4xEoCFbp2v3ZaRm/tYj6QUrel96q2+3bUXgYw88VjrFAdnuaLX20NqNRT5wjaeVvcHAPflS/P1Z0/Hai2bxoV6dm1UbQ=
0320.immo.	3600	in	ns	dns102.ovh.net.
0320.immo.	3600	in	ns	ns102.ovh.net.
032mf60dvlq5ee10633oau432rovav9v.immo.	3600	in	nsec3	1 1 0 73 034QM4S7IK7PM6367UCI5SM61R51FVDO NS DS RRSIG
032mf60dvlq5ee10633oau432rovav9v.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. KQnED4j1alYy2VeJ1bVhRd1zhx8o9a6Tsrm6hVJCUUW67Cp8scs909Iwdz77K0W84+ecy05u4Z5vmjxvUvnDQ5xo2KKwkeLkjiMawH3Ofusxljh73QFFwKe2kRXwR9Rz7zIU5WbwnLEKtofnxEihv/ZwMow69ymnPVQxTzUgCfk=
034qm4s7ik7pm6367uci5sm61r51fvdo.immo.	3600	in	nsec3	1 1 0 73 03I0EGQ4ELNOP787DHQ9K0EVB88JFVI5 NS DS RRSIG
034qm4s7ik7pm6367uci5sm61r51fvdo.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. JykjWAKfBo/o5ipr2mliWhLlU3plW0Tl/WaN+C3DU2f3ktaYU3+ItjAH6J17841CJM+v3sLL6utn2Nz+zQEYPO+pBh+ipfYqm27raLhsE5OFwPnuVyAfYeExaMbgpgtkYZ7ols816zUa0rt8UsgArZ78M9ME/ANytNKUe/r3krc=
03i0egq4elnop787dhq9k0evb88jfvi5.immo.	3600	in	nsec3	1 1 0 73 043D9GKQK6J99QD0KHOMRU0VT8FFR6K0 NS DS RRSIG
03i0egq4elnop787dhq9k0evb88jfvi5.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 0Pi7h4N5hS1fR61wTog1e/laFPImdu1NABTPY2Usn0v7BiQvYcc8E9LNRVspocuoVw+REpDYu17EqYevswBCQknGrZGwKTCqp9HOXvYfihJ6aV8xRcvPHO/Pktjiip9QuLCr6kP3Uo2ZuWJ/8L6hu5QZKLQx3vZ/NguEjkj2nqM=
040.immo.	3600	in	ns	ns1042.ui-dns.biz.
040.immo.	3600	in	ns	ns1102.ui-dns.org.
040.immo.	3600	in	ns	ns1118.ui-dns.de.
040.immo.	3600	in	ns	ns1126.ui-dns.com.
043d9gkqk6j99qd0khomru0vt8ffr6k0.immo.	3600	in	nsec3	1 1 0 73 04DAP7DDO6HGFSEB433TCN85GF7LJJKN NS DS RRSIG
043d9gkqk6j99qd0khomru0vt8ffr6k0.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. kn4hlwFLMFPhEbz7dxT2+PkSz+rbDw1sk8/ZW+opI4wvbgpdJl/+AwtmdqTG6KatiGvr7dRRZTMo+5BU/0wTIwFLpFV5W/yRADr1UGipdpzqz0Z2WhVWgfjS68n9n0IL+irhl0Yx9oOB1giCG9x/ik2CaIlZrxd1i4AmsAUa194=
04dap7ddo6hgfseb433tcn85gf7ljjkn.immo.	3600	in	nsec3	1 1 0 73 04LJNPNDLACLJ0PJT8RG30VMI2K5ADG7 NS DS RRSIG
04dap7ddo6hgfseb433tcn85gf7ljjkn.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. qBP2ci/dGXqIwR43+NdZWcVnLNwDkRKjNkGIG1/gcUKhfd7BA3v1vQPqZe5tyzZrFSagSJBCd9Zf1CIIKrJhPMmJcJV52NeP6ZkKZRPb2apw+Q3LPe6rd8HMpfBT4eWh/q9o4m83El6GJBh8TdWg17WTEJByL2r+mAyikoB0R6k=
04ljnpndlaclj0pjt8rg30vmi2k5adg7.immo.	3600	in	nsec3	1 1 0 73 05BOVD0MBKLBPSONGPGS7CUEI81FS6FL NS DS RRSIG
