industries.	3600	in	soa	v0n0.nic.industries. hostmaster.donuts.email. 1757034183 7200 900 1209600 3600
018n2ov73nmsf25nq96pko3noqdi1n4i.industries.	3600	in	nsec3	1 1 0 73 01UKCB262BLDEST9189FAU00EK15OSJ1 NS DS RRSIG
018n2ov73nmsf25nq96pko3noqdi1n4i.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. GudYsJkyg6F9JZ89LxSbBJvuYqGp0nUJIksGNQprjwpYfQqS2rFOtpHUYEsrXnQ9AxD55P1OhfEWez2BXaWIM05QXjs2/YyxaYAXNBxNLiuNJjY3ZsaDVtsCjiHQKKZeUd2xyFbU1vnSir0yUXBD5QHKVtg7hal5f/QVCaCSfKU=
01ukcb262bldest9189fau00ek15osj1.industries.	3600	in	nsec3	1 1 0 73 04A76QQB18K2LK3HFO2E942URFUEBG5V NS DS RRSIG
01ukcb262bldest9189fau00ek15osj1.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. Fww7d3E1SVKYnDTN6EdpZVyn2UvxhM/MddnNo7WCarWDj5NyRJRgA95l6lYbVEZYKQKUxg8j0Xc4+zpAgG8zTz5sBXlFd29YTy+6k5x5autuRr62s1ZOYu/a6mShUJXSe+ZLzty6rFgpVu8bxx63bP6TCJ4PT2PAqzC6hY/8PAQ=
04a76qqb18k2lk3hfo2e942urfuebg5v.industries.	3600	in	nsec3	1 1 0 73 0746JI5S9SP8IMRM4A4UKL0TG3BDQQEV NS DS RRSIG
04a76qqb18k2lk3hfo2e942urfuebg5v.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. gWZzZXD9yq48KOARDg65tftZhg7p7TxidTzC/uiYN9VGwvqSjCQu4AuYJ3+WgoMpOe0FsCNAid2LqDW6RF0AC4uT/EfXEsdb8rrA05htZDHrE+d2rMwqH41SPnhqBaBkAqyMwjRna7vwM4deO2jtNgGNLh7hrQpEmtzw5kHKArE=
071.industries.	3600	in	ds	55300 13 2 B21675989B60589FDCDDECEAEAD8C15B62C1AA040FF537970A27AAF9EE26032E
071.industries.	3600	in	ns	ns0.transip.net.
071.industries.	3600	in	ns	ns1.transip.nl.
071.industries.	3600	in	ns	ns2.transip.eu.
071.industries.	3600	in	rrsig	DS 8 2 3600 20250922153344 20250901143344 51426 industries. mZaYrNe6JZBjrzNxHCLOmLlA61gGXcH4hhNOo7sXyAMcSAuVQyvILj9ioioYXjnUWElQxBivcI4Tb18DiyUpbOB0ug3svcCGwfCBO/dqNxGlZ7CPg0bXjt22t0NYklM3Wrr9M/GURV2BbP2hsMQqzr7e+lHmgxG5VWFpd2B0RUg=
0746ji5s9sp8imrm4a4ukl0tg3bdqqev.industries.	3600	in	nsec3	1 1 0 73 07A830EHTONB34CD1K7U0644E4T9CQQC NS DS RRSIG
0746ji5s9sp8imrm4a4ukl0tg3bdqqev.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. p/o86REDsV7yqyKGn+BvPnplb+uN8a3/4LlHDWW02iZssEyukKSDmKGO1pf5m1XJr/lOm6BiccfAgUKYwkC6y66drfWFTtx1xl/Jm+v74NUlBNPQNEc4rbJroym6ezVg+fARMyOir+SNfxgKntvs8dc7ZbHpMvQRqF4C+nctiHQ=
07a830ehtonb34cd1k7u0644e4t9cqqc.industries.	3600	in	nsec3	1 1 0 73 08283FGST74M7C35M5GVRTKBMVHLJULA NS DS RRSIG
