ing.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2025091110 21600 3600 259200 900
001ljts9i7ls6u36qid4pr6hop6u2k5t.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 003NIK3SMP6DCV3DCA4TGFS0K6NP5S0K NS
001ljts9i7ls6u36qid4pr6hop6u2k5t.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. YEq+NOrPNJkJ2sLfcd7SJ0KPcSnr4ZejnKgiSOmrN/nolE0ccNnB9MfO/SYy6EKOnyczco77yylJPL7IW4FU4gjBzHa2VXfNcgvmTL8YHF2ODlSr0Q4ziNVFBo6zDUTCycm7+r1I5+Bk1OZBWRBFQZnXRK70mmexcCbCRjvRo9w=
003nik3smp6dcv3dca4tgfs0k6np5s0k.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 003PA1NVNE9LFJT57GV8TA7JOOORS9HQ NS
003nik3smp6dcv3dca4tgfs0k6np5s0k.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. UXQxM+72yiwbHrPOyMOoXp0B07ghlsM74CZRWloJh/Yp7zONqPkNw/xY+ckxVQy5njJ4QrU5pi6FicQyPUz6Ezf4J8JgSPRqXuAHAC1U5APd+wiCN0ZCMuYhyAuyOUabea7Jyy1CsWMEdcvbCInRtWdAaXuh46hHS74Vljo5//c=
003pa1nvne9lfjt57gv8ta7jooors9hq.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 005L9O72UM6NKTF0PHPUACEKCTK0KV1E NS
003pa1nvne9lfjt57gv8ta7jooors9hq.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. OMLPQBka49saBBKVZ+wOmiGcxZdekJ0VRQ42hE6W/NqZ/cT0g6/zyxRoH0/KWsm3miPOvc4Eio9KlS1qUqqIX8slYiaLbKGzdCDpecM7Eh4YDy5EqT334NtY3USfSy/TCzNrqZWFPwHipH3m5abGt+4kPJcluL6XY2srOZ0C1wY=
005l9o72um6nktf0phpuacekctk0kv1e.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 00A0THJBKGDC6SGD194SKVA6ADJ2I930 NS DS RRSIG
005l9o72um6nktf0phpuacekctk0kv1e.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. Syo1HBaCktVYo3uUpYQmA3kQpOXOTAj2HkV3zqk/JxUCVj1jRID42JAYex1DhOB5L0/AdrjuI+VcnEInFdBKervFNwjF1+XZ8zd8Q6IeUhqOZ+N+Ew6Kgd9RPphvJdneVIvaGMnd6fXW8TH00np9eDMGRvr+4Ap7O4oYIferQkc=
007win.ing.	10800	in	ns	keira.ns.cloudflare.com.
007win.ing.	10800	in	ns	louis.ns.cloudflare.com.
