insure.	3600	in	soa	v0n0.nic.insure. hostmaster.donuts.email. 1757034210 7200 900 1209600 3600
04okdg79bft4i704d2i4kt5hfhg514gn.insure.	3600	in	nsec3	1 1 0 73 055MHHELG3HSR875VK0KU4K8FBL5C0TQ NS DS RRSIG
04okdg79bft4i704d2i4kt5hfhg514gn.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. F9Ts3wVLyl2iDVH+qBT0Qtso1yYz+Qb4G4CQzIR9W4MUnSXtt/RwsfuXkSEgHqRcXZG3BuVqFQc32/Y3XVGbriXcf/r/xXYkCp4dAaHn4i7CcHCjIBQTgHOMjVoVWUm9HdUCYYSsbp2u5Rr1gxHq183w25eOQ3YAaEoRwaC5LNA=
055mhhelg3hsr875vk0ku4k8fbl5c0tq.insure.	3600	in	nsec3	1 1 0 73 068VK45PS94NEF2F2OR0S2HANQFKB47Q NS DS RRSIG
055mhhelg3hsr875vk0ku4k8fbl5c0tq.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. IKpA9OIWvv69OOgaKk6afdy6Ce6Dxrq5iAoZKSLCYyui7wTqTd8yXjEGZn0mI07QHfB5Ya0nCEPi8WbsNFUbCQuvlP28Ezhws8usWceP51l/BgbBV+wCVFjDlluNhgbeWNFJL7hKx4ct80GXuGJWdTL4kpRpPFf2hFbRF2Nx97I=
068vk45ps94nef2f2or0s2hanqfkb47q.insure.	3600	in	nsec3	1 1 0 73 06C30OJEDICC3TTO1FDUAMK2EAS31P0M NS DS RRSIG
068vk45ps94nef2f2or0s2hanqfkb47q.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. J7Z11bpDlrCf8AIglED83nZl66JclQ2xcYGFGDcf3gAWSZDu+wtSbfI3+G0tE8BgHusAnWxVF92Axvxl11sBdb1WhJ3pGkKsnpDYnFJxLhUuM6+Xb7vVffZC4etA7EHkQQv+/6mt6SOeRGAtmO0gIw7nvH1ClZyy+ZDm5aCoQN0=
06c30ojedicc3tto1fduamk2eas31p0m.insure.	3600	in	nsec3	1 1 0 73 07LHC0VU6D5L7A8GECKS76LV5DHHURSF NS DS RRSIG
06c30ojedicc3tto1fduamk2eas31p0m.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. E7Wyx/LR3Ok3vObVOQgMeDKYFCE73YZfA0CdmApxKAZsmlk2T/TwUVlOZ2q3HnTm73TjmCE+X+dD7blaGM91bU+rnxdD1moAHepduK/IChri+DsqZH3koEX0jTAyjEy6R2lOEJRcUJ4ILchLEBJuBJNqQBM8hgfbjOBgmOvqTXU=
07lhc0vu6d5l7a8gecks76lv5dhhursf.insure.	3600	in	nsec3	1 1 0 73 0H6BBU9K65GODIQAAQF2PEPJ9URTDC65 NS DS RRSIG
07lhc0vu6d5l7a8gecks76lv5dhhursf.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. UbU5dfA5jkUa0atibwdP3jyD+sLbJ4q12eOb9TgUQIJ3tGSqiIOI9gJuQeBHWnBPHXLU/yAJiAdhmZK/AsNG32VNZbyLwi3vUCMDHJmnZJrqUBwYfEJK6PFQdmC2TPGwko0M3AeFdfxm3gn2iTJcnJW4parrjpksCfkblL2h2bk=
0h6bbu9k65godiqaaqf2pepj9urtdc65.insure.	3600	in	nsec3	1 1 0 73 12FS482GPNQTO45TBAIEJM3578S7630M NS DS RRSIG
0h6bbu9k65godiqaaqf2pepj9urtdc65.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. CwmiKQtGEpQM4btdS7GZiiJ2s6sgC/ZEh70R4cG8bRX7lK5q99TRpf2Gu780RvWr4iK3RdMnL2FO1GL2WLZfOfS00PZhmv32ivG8gI2a/mn2LHYQCVlhi4pPcuNV8b6mOUSwaN+Yc88FXe66IRqxtcjQIs5TcIS0db0z2Em4TRM=
1.insure.	3600	in	ns	ns25.domaincontrol.com.
1.insure.	3600	in	ns	ns26.domaincontrol.com.
10.insure.	3600	in	ns	ns125.jetserver.net.
10.insure.	3600	in	ns	ns126.jetserver.net.
100.insure.	3600	in	ns	ns55.domaincontrol.com.
100.insure.	3600	in	ns	ns56.domaincontrol.com.
1001health.insure.	3600	in	ns	ns1glr.name.com.
1001health.insure.	3600	in	ns	ns2ckr.name.com.
1001health.insure.	3600	in	ns	ns3gnv.name.com.
1001health.insure.	3600	in	ns	ns4htz.name.com.
11bet.insure.	3600	in	ns	ns1.dns-redirect.com.
11bet.insure.	3600	in	ns	ns2.dns-redirect.com.
123.insure.	3600	in	ns	dns1.cscdns.net.
123.insure.	3600	in	ns	dns2.cscdns.net.
123b.insure.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.insure.	3600	in	ns	sandy.ns.cloudflare.com.
123movies.insure.	3600	in	ns	ns1.afternic.com.
123movies.insure.	3600	in	ns	ns2.afternic.com.
12fs482gpnqto45tbaiejm3578s7630m.insure.	3600	in	nsec3	1 1 0 73 151316CGHGV0T2C0UBV43L9B1TDFSJ1L NS DS RRSIG
12fs482gpnqto45tbaiejm3578s7630m.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. etaI8GKe17/TwKwdJoy+XEaEwehO/OKY++g6g2ktkvxmxYuv/FfObJw7We8wymV2Orrl85ETaBJJgKUm6UCVoHjxXhZlTsmDJj2cVuQv8b/TYFsZxIGALwBVo9YbkiTr6XJ25Jq26FG3jmDLVdWoCu1wZlerHsryBQ6kcru0aZA=
151316cghgv0t2c0ubv43l9b1tdfsj1l.insure.	3600	in	nsec3	1 1 0 73 1RRS6P972M514I2K5D7NOKC07R19VE3M NS DS RRSIG
151316cghgv0t2c0ubv43l9b1tdfsj1l.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. VHfEknfVsQDd++pxLK/W/vLonm07IlRLUrVwvZQQC0QP7iXQPmxWJO5n4e2L7afrhSGwq1NsjZhmhCHoZs79GyXkO7DMGqtMbHJRLc120iQ7PIwODg9Kcc0SnvWEvWiMpCAG2QfmA5ov7iNgY7K7svA/sj3K2aTDNyB+OJRKS6I=
1776.insure.	3600	in	ns	ns33.domaincontrol.com.
1776.insure.	3600	in	ns	ns34.domaincontrol.com.
1859mutual.insure.	3600	in	ns	ns19.worldnic.com.
1859mutual.insure.	3600	in	ns	ns20.worldnic.com.
1864.insure.	3600	in	ns	ns71.domaincontrol.com.
1864.insure.	3600	in	ns	ns72.domaincontrol.com.
1905.insure.	3600	in	ns	ns03.domaincontrol.com.
1905.insure.	3600	in	ns	ns04.domaincontrol.com.
1933.insure.	3600	in	ns	ns09.domaincontrol.com.
1933.insure.	3600	in	ns	ns10.domaincontrol.com.
1b.insure.	3600	in	ns	frigg.domainsystem.info.
1b.insure.	3600	in	ns	odin.domainsystem.info.
1b.insure.	3600	in	ns	thor.domainsystem.info.
1cover.insure.	3600	in	ns	ns55.domaincontrol.com.
1cover.insure.	3600	in	ns	ns56.domaincontrol.com.
1nvision.insure.	3600	in	ns	fiona.ns.cloudflare.com.
1nvision.insure.	3600	in	ns	garrett.ns.cloudflare.com.
1plus.insure.	3600	in	ns	ns67.domaincontrol.com.
1plus.insure.	3600	in	ns	ns68.domaincontrol.com.
1rrs6p972m514i2k5d7nokc07r19ve3m.insure.	3600	in	nsec3	1 1 0 73 1V2IHLI5O2ENUMG1C4LUK4ES7U9CCRN4 NS DS RRSIG
1rrs6p972m514i2k5d7nokc07r19ve3m.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. Emm5jTazm2t9cpy+ANTu8VXBm0/h1h83/ifmTa7CFJqqdikYJCgC/A8JqRZw5qeDI4pEnv3PJmXxFB3I7gEwx5x4Dwwt+kN5rBJMmE4Dy5yGnsZhO6QttwqSDug99cXSlfZWvsVe9s3M9rGAzyQR6MuNCu+RTHsV1+f8miBVft4=
1st.insure.	3600	in	ns	dns41.cloudns.net.
1st.insure.	3600	in	ns	dns42.cloudns.net.
1st.insure.	3600	in	ns	dns43.cloudns.net.
1st.insure.	3600	in	ns	dns44.cloudns.net.
1stcentral.insure.	3600	in	ns	dns41.cloudns.net.
1stcentral.insure.	3600	in	ns	dns42.cloudns.net.
1stcentral.insure.	3600	in	ns	dns43.cloudns.net.
1stcentral.insure.	3600	in	ns	dns44.cloudns.net.
1stcentralinsurance.insure.	3600	in	ns	dns41.cloudns.net.
1stcentralinsurance.insure.	3600	in	ns	dns42.cloudns.net.
1stcentralinsurance.insure.	3600	in	ns	dns43.cloudns.net.
1stcentralinsurance.insure.	3600	in	ns	dns44.cloudns.net.
1stop.insure.	3600	in	ns	pdns11.domaincontrol.com.
1stop.insure.	3600	in	ns	pdns12.domaincontrol.com.
1v2ihli5o2enumg1c4luk4es7u9ccrn4.insure.	3600	in	nsec3	1 1 0 73 21P84VU3B38U1VMD56F4ETGKBF3HUFDL NS DS RRSIG
1v2ihli5o2enumg1c4luk4es7u9ccrn4.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. QGMFgFifkfWsYbn1n/cjardxtXLztKW5S0Z7p2GZVRqmqVnamMxldTyzDE8EXlyr+HChna1sqM739E9od/Gf65ABL4KCeqKX/ycFgDRWnoOsHePumGN0rRMJgS2NF+5hkgEHeDXLI8MD6oD/8Bu8TsHE54ZZCdLKrkprQKb2pGw=
1xpunch.insure.	3600	in	ns	carmelo.ns.cloudflare.com.
1xpunch.insure.	3600	in	ns	mallory.ns.cloudflare.com.
203.insure.	3600	in	ns	ns33.domaincontrol.com.
203.insure.	3600	in	ns	ns34.domaincontrol.com.
206.insure.	3600	in	ns	ns13.domaincontrol.com.
206.insure.	3600	in	ns	ns14.domaincontrol.com.
212.insure.	3600	in	ns	ns33.domaincontrol.com.
212.insure.	3600	in	ns	ns34.domaincontrol.com.
21p84vu3b38u1vmd56f4etgkbf3hufdl.insure.	3600	in	nsec3	1 1 0 73 24PC74HU336PMB5S88UU0KTJJAJTH8VC NS DS RRSIG
21p84vu3b38u1vmd56f4etgkbf3hufdl.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. XNkRA/qYkU00hSoZ0QuKXxqyLZ1gmrgOOlBjWvcgGYp86bBn/p6v0mtFh6n2Jj/gvdGf0M3Tbf72NwfXU/Zou5H8UVmgSPndumMUvbNWhv+utGrfxQddyCEO9k2u4jJv6164BwKWBgaVZweQWRB7TcjjVCLvZluMP3Zdjzk1C2c=
24pc74hu336pmb5s88uu0ktjjajth8vc.insure.	3600	in	nsec3	1 1 0 73 250DR1S6LQSD878M0I5BPH1K0P49QOF8 NS DS RRSIG
24pc74hu336pmb5s88uu0ktjjajth8vc.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. d5GeWShHOMQ9T6S2n/6WSNwBdHQFBPb2680t5G8BAXL0KV1RHEicrLj6+OvVl1gWCEfUfNUGC4VciAS+eM3iOJZ9d9Ne62Vo89388bexIEQrjjV5pdlTu2e5wl6ioQHS+6uGAJde2R4+KNeL4CU3Y3wjPXPKH4hpu1uNEbVxD5c=
24up.insure.	3600	in	ns	ns1.register.it.
24up.insure.	3600	in	ns	ns2.register.it.
250dr1s6lqsd878m0i5bph1k0p49qof8.insure.	3600	in	nsec3	1 1 0 73 2F3PUEHM58HVCIHO08IJ037DMKGG3QVD NS DS RRSIG
250dr1s6lqsd878m0i5bph1k0p49qof8.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. A77Yg/5Vlv34hIYjGXj+ET5gjKIovHcIJbwnFcxVhG063noYydImZ5+5GyuyC+Dl7y2gQR4QhcKHKMKRcM+3zhmwLfxX1PVJWQA7JFPiZhO7vi6lYPhSEu1NJ42yS410UaWAF35ZWSYFRjgY221nTjSRdeFrDJpmcKUFT7ut/QI=
2a.insure.	3600	in	ns	ns65.domaincontrol.com.
2a.insure.	3600	in	ns	ns66.domaincontrol.com.
2bind.insure.	3600	in	ns	dns1.registrar-servers.com.
2bind.insure.	3600	in	ns	dns2.registrar-servers.com.
2cornerstone.insure.	3600	in	ns	ns13.domaincontrol.com.
2cornerstone.insure.	3600	in	ns	ns14.domaincontrol.com.
2f3puehm58hvciho08ij037dmkgg3qvd.insure.	3600	in	nsec3	1 1 0 73 2OORI8COF1RMA251SNS3BE5ON76V2H5V NS DS RRSIG
