international.	3600	in	soa	v0n0.nic.international. hostmaster.donuts.email. 1767659814 7200 900 1209600 3600
000.international.	3600	in	ns	ns-27-b.gandi.net.
000.international.	3600	in	ns	ns-91-a.gandi.net.
000.international.	3600	in	ns	ns-94-c.gandi.net.
001.international.	3600	in	ns	ns1.hoster.kz.
001.international.	3600	in	ns	ns2.hoster.kz.
001.international.	3600	in	ns	ns3.hoster.kz.
009.international.	3600	in	ns	celine.ns.cloudflare.com.
009.international.	3600	in	ns	miles.ns.cloudflare.com.
00dlnjgbchtfrlui04gc3sm8uuvoskcc.international.	3600	in	nsec3	1 1 0 73 00JKBBL91BPP5ONKNBQNI8UA2C44E7TK NS DS RRSIG
00dlnjgbchtfrlui04gc3sm8uuvoskcc.international.	3600	in	rrsig	NSEC3 8 2 3600 20260122154539 20260101144539 27708 international. SwQn5R14CeApicGfOXFeSCkGH0GxtHvfb1sqODt7IUQwu6+AioMqvqeQHBzPOTQvmSKYab1m0tCBl3JqBztLj0guYDQpwH07Ul89Mq4Pg5nyd/Kz1PSRVZ8W9sZJzGIG9+KiE430CzAZFbSFwacuMnXGJa/94TYFKO+lLNuS3Jo=
00jkbbl91bpp5onknbqni8ua2c44e7tk.international.	3600	in	nsec3	1 1 0 73 019INGS0G8NMPVPDCVHHH9A8VQHEFG27 NS DS RRSIG
00jkbbl91bpp5onknbqni8ua2c44e7tk.international.	3600	in	rrsig	NSEC3 8 2 3600 20260122154539 20260101144539 27708 international. Kp/SRh0/xEfh099UIDj+e8o3RFKkHSBjdFhlbDii5oo5rhdgdrhJxGJSNmbthDXizXOS6SV5vDrVN3IiXTWoUIzScsdD6I14cfbvY7I5zKZnpr7vYwgNHFS6f4ZLUSnMg1a1HMDZJpuzWjAzHR7vd9Jrvz7GfcoWy2DndatE+Xo=
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	ds	2371 13 2 B99D6D7E108272DD654BFF39DE51C2412F3507008EE44E54BB03A78FCFA4068B
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	ns	ns-cloud-b1.googledomains.com.
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	ns	ns-cloud-b2.googledomains.com.
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	ns	ns-cloud-b3.googledomains.com.
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	ns	ns-cloud-b4.googledomains.com.
012345678901234567890123456789012345678901234567890123456789012.international.	3600	in	rrsig	DS 8 2 3600 20260122154539 20260101144539 27708 international. rlG020l+iG7xHKmAvyGFz5r4Jph6kiqVRnOyFN1EfhlnOhFGxhJVd5EQHj8+Urigk4u8heoIUhjCA/DGEemK7M3cMXuLb0+9NZ0VMUaD+qR56fzoSC64nuNz+O606caPKAXr0iyYLFgLlEA3pzST/jlH+/dQMor9iW5l+Ft6s6c=
019ings0g8nmpvpdcvhhh9a8vqhefg27.international.	3600	in	nsec3	1 1 0 73 01OJ2KRQE67IGD8O6G6549C0T521R7LT NS DS RRSIG
