investments.	3600	in	soa	v0n0.nic.investments. hostmaster.donuts.email. 1757034199 7200 900 1209600 3600
0.investments.	3600	in	ns	ns1.dyna-ns.net.
0.investments.	3600	in	ns	ns2.dyna-ns.net.
007.investments.	3600	in	ns	dns1.registrar-servers.com.
007.investments.	3600	in	ns	dns2.registrar-servers.com.
00sairs0j8qpe0a47lqv5vs0eajn2a4j.investments.	3600	in	nsec3	1 1 0 73 010P9FL49Q3HT31I5TI248OQIN089STR NS DS RRSIG
00sairs0j8qpe0a47lqv5vs0eajn2a4j.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. qgGAeCDRiUOITgyaXWuvpxTAqpwo1hQ7913DoEpvfI4ITfuHnGrXCEi7oCzPtbMXzFUupmNKLIm+ZIXk7DbRUEj7rFbFsIHI8e0GLrzoJUPP2wvxL+b/lnOZG1kmvdMs8E+4w+Dx2D9w4s2A3eiiJD6BddqwaY5DSfDoFBCN6kA=
01.investments.	3600	in	ns	ns3.nic.ru.
01.investments.	3600	in	ns	ns4.nic.ru.
01.investments.	3600	in	ns	ns8.nic.ru.
010p9fl49q3ht31i5ti248oqin089str.investments.	3600	in	nsec3	1 1 0 73 01BD9A6GQB3HBJPEVEALHNP9BVSM99VC NS DS RRSIG
010p9fl49q3ht31i5ti248oqin089str.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. c25TXWebMkELjVjAzReEpxboEunOAxYxML+9XoG7lW2kmwAS2bx8DiHJLQ6OHg7PspLS+YlDu//GInBrzJuJbYOfYD48F8JccWE8cPEAbcYlXkna4Xzew33vl3s2vD40kHzRGG97UpDbnpJk0MQIoiLXVs6ZZ9h9+XRrlXiagZw=
01bd9a6gqb3hbjpevealhnp9bvsm99vc.investments.	3600	in	nsec3	1 1 0 73 03J3342QTRK7C5Q6GE5QGUVQNBQOAEMJ NS DS RRSIG
01bd9a6gqb3hbjpevealhnp9bvsm99vc.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. q1sXBGnkiMxzCfblFzSZxerMhmeeau4PL8Rx6O8hyr9VD5ETAkTyzs4M+UHOsWeMuFn/NCx7dQhBVa5MN9aaM/y34ROK4HhIqs6awz3l1sfsEcy5KCbSpF8InB+lxh0BYUpVHc1PJcTPh6N7wyS3Ca/NIwbEXC/2ZZRhHV7Wj4A=
021.investments.	3600	in	ns	ns35.domaincontrol.com.
021.investments.	3600	in	ns	ns36.domaincontrol.com.
03j3342qtrk7c5q6ge5qguvqnbqoaemj.investments.	3600	in	nsec3	1 1 0 73 059PJ26U7EOFJFOM8HUB00PNG39V9510 NS DS RRSIG
03j3342qtrk7c5q6ge5qguvqnbqoaemj.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. oeAAIg8GrUBTPC/2oaaUTA+vlj8fZcJE0xYquJ5y0az4EYJWRNFFxHQ81mbnRYGwTfAN8O4fIuZsVz7gXSRYD9hFhYv4XstMqSZQ8g4jz8E0Hb6WcrP3De8zkCX5RUJ/HA909DiJHzvgSg4+NXo77LJLzTZzYJkU/TjJ4+Oq3W4=
059pj26u7eofjfom8hub00png39v9510.investments.	3600	in	nsec3	1 1 0 73 061C6HN9VB31SQSC4BIBOL8INIG3F2GJ NS DS RRSIG
