jetzt.	3600	in	soa	v0n0.nic.jetzt. hostmaster.donuts.email. 1769302993 7200 900 1209600 3600
0.jetzt.	3600	in	ns	nameserver01.eu.
0.jetzt.	3600	in	ns	nameserver02.eu.
0.jetzt.	3600	in	ns	nameserver03.eu.
0.jetzt.	3600	in	ns	nameserver04.eu.
0.jetzt.	3600	in	ns	nameserver05.eu.
0.jetzt.	3600	in	ns	nameserver06.eu.
000.jetzt.	3600	in	ns	ns.udag.de.
000.jetzt.	3600	in	ns	ns.udag.net.
000.jetzt.	3600	in	ns	ns.udag.org.
001.jetzt.	3600	in	ns	ns.udag.de.
001.jetzt.	3600	in	ns	ns.udag.net.
001.jetzt.	3600	in	ns	ns.udag.org.
03dvgs2t738p4oieo0i2c5cutncld1l0.jetzt.	3600	in	nsec3	1 1 0 73 046LUKBK80DV5GJRB8B8B7GDQGPDTVU8 NS DS RRSIG
03dvgs2t738p4oieo0i2c5cutncld1l0.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. KsF1CXBMxUEg9L1+osKvvgIYl6fCxqbcjO27JRDbyJKE0AgiKNbZHT0rNiC4daJCiwt6LWMEowwHeJPQ4i7Jy3AwjxrLZEGSP+KXKbDNnwKkxCr0gSTiGMus7VFra6OP2am9qTc+Tkhp1lGri9IE9yLYR1XPmWu+1dZx5wEw3QU=
046lukbk80dv5gjrb8b8b7gdqgpdtvu8.jetzt.	3600	in	nsec3	1 1 0 73 097VO36VGG61TDISPA258K9LCDTUA85V NS DS RRSIG
046lukbk80dv5gjrb8b8b7gdqgpdtvu8.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. Zmp7zcuOAz5r9/DS7Aq191jDoA4AZvNpzyRUjC1sOVJ8N8qRjHziGt9X1OsLb5krzoWRzGOG4oQNlvcB8gyFoXZAjp7RGRKzDsfB67Q1uEnxOXKZNZ56w/qoH004H1SEOikhXbTFkuBnJlzYN7SFGIuteOb4OTACAaAWpCHtSxs=
0605test01.jetzt.	3600	in	ns	ns1.qq.com.
0605test01.jetzt.	3600	in	ns	ns11.qq.com.
0800flowers.jetzt.	3600	in	ns	dns1.cscdns.net.
0800flowers.jetzt.	3600	in	ns	dns2.cscdns.net.
0815.jetzt.	3600	in	ns	ns01.agenturserver.co.
0815.jetzt.	3600	in	ns	ns01.agenturserver.de.
0815.jetzt.	3600	in	ns	ns01.agenturserver.it.
097vo36vgg61tdispa258k9lcdtua85v.jetzt.	3600	in	nsec3	1 1 0 73 0A0L6DH6OJ3BIJUJF3OT02A7HOOEPDNF NS DS RRSIG
