land.	3600	in	soa	v0n0.nic.land. hostmaster.donuts.email. 1769302916 7200 900 1209600 3600
001.land.	3600	in	ns	dns1.registrar-servers.com.
001.land.	3600	in	ns	dns2.registrar-servers.com.
002q37o5v000kf16ddahrhg0iruudneg.land.	3600	in	nsec3	1 1 0 73 014646NR8G6R1UTTI45PSII6LVH2ULNC NS DS RRSIG
002q37o5v000kf16ddahrhg0iruudneg.land.	3600	in	rrsig	NSEC3 8 2 3600 20260207154551 20260117144551 22869 land. Ty4qMd0HBe1vUmZK23GGV8lanzh+MicO89KS4MBX0/O4Nfk1x+FcDgXQ9dL1Ydtr0oNbh0Hb/sGqUQJ93mm7Aho6LFMZIUYWNt5+2+v2EOUh+m/QUzjShQjT3ABncLK19izfczfMG+JjiFVT7/zgdFeEyTfztCoTodclf7ZVyHQ=
009.land.	3600	in	ns	ns1.dns-redirect.com.
009.land.	3600	in	ns	ns2.dns-redirect.com.
0100.land.	3600	in	ns	ns401.hostidadns.com.
0100.land.	3600	in	ns	ns402.hostidadns.com.
014646nr8g6r1utti45psii6lvh2ulnc.land.	3600	in	nsec3	1 1 0 73 01BB7RM7OB5N7SRQP7TAU6T19EQJQ6JD NS DS RRSIG
014646nr8g6r1utti45psii6lvh2ulnc.land.	3600	in	rrsig	NSEC3 8 2 3600 20260207154551 20260117144551 22869 land. kqBlLP8GejP6bdRpcZJ25Q0OeP5eYxRbajzCrFt8QucdnipZ8IeCVBcC1qU64dU25NewX1zCf2+lR+kkrRrezUsIKcAEm8iXJ78JC69TfGb6FH0F272zhDJ5sqvp3JSLCmq8jTj4qpw4lgX6u9wPhOSQDOfoK22YlAVlXir+I4U=
01bb7rm7ob5n7srqp7tau6t19eqjq6jd.land.	3600	in	nsec3	1 1 0 73 01NF8HJN5VNA98HK621TG67KUM9ESA9F NS DS RRSIG
01bb7rm7ob5n7srqp7tau6t19eqjq6jd.land.	3600	in	rrsig	NSEC3 8 2 3600 20260207154551 20260117144551 22869 land. a/kuS7DvmI4froBPwbVzKg0qX3AWi7Zhzszkz+SDuMTObz4Vo0im9juUen73gHVO5RmEETS7tFaSNGLLuWrPGI34TMSqywCoijNgRw1xfyUCD/WfgXrgiGCx6fc/EBnu5ZgArBRT1j9je7dDPsMW58V4SyOT9J/733NOhiNobm0=
01nf8hjn5vna98hk621tg67kum9esa9f.land.	3600	in	nsec3	1 1 0 73 020ET412JRKBKV23BEDNTGPK7D171ILR NS DS RRSIG
01nf8hjn5vna98hk621tg67kum9esa9f.land.	3600	in	rrsig	NSEC3 8 2 3600 20260207154551 20260117144551 22869 land. jS8XOgP6+oIgKHNF4RW9H/eMd/sFhWXzn9ay5T+hE1nZh4M0Q1y2504enqiyctoAHHAl0ivcRnjgqO/jJHmVIk6J12b+HZ0xaukS19iHJTV+BcBJmrOZ87kLMy7/L4DNuLCraXrbK2JD61nzlByUn0q3g5menVQREdM0DC/4UbI=
020et412jrkbkv23bedntgpk7d171ilr.land.	3600	in	nsec3	1 1 0 73 025DAVLAIKQ35I1427BMNJRS0NR2I645 NS DS RRSIG
020et412jrkbkv23bedntgpk7d171ilr.land.	3600	in	rrsig	NSEC3 8 2 3600 20260207154551 20260117144551 22869 land. V+oJDlYOZNGEIyCiRG3gD/tfWLJEnCWwSHrHO4i+i7NhnzuMfW9a7HZBEe6lLi0HTKO2pS5kQeznn+CcwiCGsT19HLuoKbYFvsjHlBLzb/QNO5fNKxD+DAPZnWqtC31skgeeqnb36oEcw2WsBK8Z0akCBI+yd9UUuRZ8HX7vVww=
025davlaikq35i1427bmnjrs0nr2i645.land.	3600	in	nsec3	1 1 0 73 027HRCJFHJ230H4NOEV4GDBA08B4J1O5 NS DS RRSIG
