law.	900	in	soa	a.nic.law. admin.tldns.godaddy. 1756253744 1800 300 604800 1800
010.law.	3600	in	ns	dns23.hichina.com.
010.law.	3600	in	ns	dns24.hichina.com.
04ag1dck4ufn3lgdhurf4fjvb1537g5m.law.	900	in	nsec3	1 1 0 - 05ECS1IM95CHI61O7LG87PJHS2AQE1AV NS DS RRSIG
04ag1dck4ufn3lgdhurf4fjvb1537g5m.law.	900	in	rrsig	NSEC3 8 2 900 20250906055640 20250823050134 18798 law. N5stDdxwbcVVT27GrxleAD6txJQL+rT4+jQEXxozBCSGK71wFYXUY7yVjw9i0mF1XoPhtjEoaaXJ8RC1wiutiAAu2tBpTpJDSRn+9/zyfz5mCGnCJYVnZvGMCJ4xZg+CXZ22cKWkOGm2FX7z0km8lE7o8nqCyNSFcAFQKVML0oxWZi4STgMg4KPOdfRmGmwwp9UNSkdKe6urk44omAt3QA==
0510.law.	172800	in	ns	dns15.hichina.com.
0510.law.	172800	in	ns	dns16.hichina.com.
05ecs1im95chi61o7lg87pjhs2aqe1av.law.	900	in	nsec3	1 1 0 - 0APLVINUBJO77F27G3RDTE4MSLTDHG2D NS DS RRSIG
05ecs1im95chi61o7lg87pjhs2aqe1av.law.	900	in	rrsig	NSEC3 8 2 900 20250908052053 20250825050200 18798 law. paFtjQ47bHJLDggi9bcyPAhap2PYcAJjr56nYAncCfs83EeB6MQF46dQu6idGbOfLmBAl0+qxpzuaTOLYih1TfVJLScXSDXExGkR/4DbTQ5AnmW7vcfIqfk2LH1oYIN5FfjoelEy5ZLaPBHPocI2oCBL6RFAIDmmTZtCNNURGkY2wraKcK5qFo8SfdrfXMF7Pxp2vI9rRGZUMjejbfMbyA==
0911.law.	3600	in	ns	ns57.domaincontrol.com.
0911.law.	3600	in	ns	ns58.domaincontrol.com.
0aplvinubjo77f27g3rdte4msltdhg2d.law.	900	in	nsec3	1 1 0 - 0CNMGBH8LQAK4M51272JLAG3PO2J942N NS DS RRSIG
