lease.	3600	in	soa	v0n0.nic.lease. hostmaster.donuts.email. 1769302958 7200 900 1209600 3600
01536.lease.	3600	in	ns	n1.xundns.com.
01536.lease.	3600	in	ns	n2.xundns.com.
09eckmbrp8e1ju4p7gd0p5eqd9tkcnm0.lease.	3600	in	nsec3	1 1 0 73 09F67GKNQDTGLTPHVENNJ9Q3CO91VVAB NS DS RRSIG
09eckmbrp8e1ju4p7gd0p5eqd9tkcnm0.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. POstP+tSIqXjzpI2lV45OD675n9oLcZiMyoqsBaktRxSvyXjFzlKoCMffo/PIJ7V9hAV6Md/XcM2hZZFEqzdJ1qnUyeXNU2MYqQuI4U7LTMVzk9kdgL+HylRDAr/3K3yMnZ1TUQ+KWtcIAmDvq7JqUkBVtoGm1mnOMvLA/1GaHQ=
09f67gknqdtgltphvennj9q3co91vvab.lease.	3600	in	nsec3	1 1 0 73 0GMEGS5QRFGIOHNGGTJCR669SHLA7GVH NS DS RRSIG
09f67gknqdtgltphvennj9q3co91vvab.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. dLQ1TRg5/Fpnpk5/lHsyoC8KXTMEXsfoxtmc6VfE/hB2HG4CKGA2P9p4MV2r+oeNczjq5iSDt0/cDku60TmWV5d8u35hgMUsFQZEqA8Ml2FekPQcoj8PTpPqJzavu2Az90W1XFrrZPaqcJBrFv5x08eU/My7I6KqbEaaCGBvckQ=
0down.lease.	3600	in	ns	ns77.domaincontrol.com.
0down.lease.	3600	in	ns	ns78.domaincontrol.com.
0gmegs5qrfgiohnggtjcr669shla7gvh.lease.	3600	in	nsec3	1 1 0 73 0O0TM7AB4D08HGFHG8O58K9DVI3QUFFR NS DS RRSIG
0gmegs5qrfgiohnggtjcr669shla7gvh.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260207155218 20260117145218 11913 lease. d4+IfUNF407Juu88cXI7vQFGEiA6Tq2AUqDoyAS2BAX/7KDm52USp6zqyMWJWkj9sZKsh0BwzL/j2IayJ3yM1u4WU9+d0k6FD0nKLH+xSnfLr9WDU8Dt0vN1ZLE2bYaBEFw8fvo0oCazFIuA/BRmrGYmXI3F+j13j3F47WO1Ihk=
0o0tm7ab4d08hgfhg8o58k9dvi3quffr.lease.	3600	in	nsec3	1 1 0 73 0USCI7N28N98D9FME012JASP3I1U7ET7 NS DS RRSIG
0o0tm7ab4d08hgfhg8o58k9dvi3quffr.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260213072535 20260123062535 11913 lease. YLkveor1dSrNKSoE+0pmEaqYpW5+XTXytaUa8oF6wJUZlhAAn43L1YPT/Y6cDZ6Z7NtSJRAeKllzoSmJdaZih2mcqKBhlCGOz5MH1TWynpr8LAINOL7KwziK3hy9/nqIVUuaYsCsFoKDjQNzBdDn136ROtinP864/PQXJB5kyto=
0usci7n28n98d9fme012jasp3i1u7et7.lease.	3600	in	nsec3	1 1 0 73 1506JVUK546PPTS60H6RPEI500G28HT7 NS DS RRSIG
0usci7n28n98d9fme012jasp3i1u7et7.lease.	3600	in	rrsig	NSEC3 8 2 3600 20260208043657 20260118033657 11913 lease. M4hCxi1Uu6Hw1JGElCbe5L2XTmz1FwyKpy4zbzT49gZFFyKPTAjoSfbmTj5Z6Hkuyj00snE+XqztaWn/V3NCADO/6p/MacM5ClB9uoqyCW/arxUQhjNs2i4iwU+3XpyLCJPY59++dHu7owwXiPyMDfGhRMlK0NTIeNQ3nGVJGMs=
0x.lease.	3600	in	ds	36166 13 2 5CCF36C25B37956AD929D397D778C902673170377D215FA9489E43A38BF4A156
0x.lease.	3600	in	ns	launch1.spaceship.net.
0x.lease.	3600	in	ns	launch2.spaceship.net.
