legal.	3600	in	soa	v0n0.nic.legal. hostmaster.donuts.email. 1769302973 7200 900 1209600 3600
007.legal.	3600	in	ns	ns1.webglobe.sk.
007.legal.	3600	in	ns	ns2.webglobe.sk.
007.legal.	3600	in	ns	ns3.webglobe.com.
00866.legal.	3600	in	ns	ns1.dyna-ns.net.
00866.legal.	3600	in	ns	ns2.dyna-ns.net.
00ltg5l5icr2sb6kojg0ft1q3kp9tdpu.legal.	3600	in	nsec3	1 1 0 73 00QGR9FOVD8EF3FMJ7ISKIPFH2V1LP2E NS DS RRSIG
00ltg5l5icr2sb6kojg0ft1q3kp9tdpu.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. ngZZA2k3m6LGAirt7bmLcIr04piA0Go4wyjVS25kInhvcHzjsyzC+DpFZpT/Widb5RCfZt5cEku7UPAJ/6IIFd/VwoljGfLlR4hUTAY7CeOwsH5iu0HEvBB3HuzONZOEIKG867Lb5jj75Xyl2RSQVCw6QLN726j9x1cMuXVWaDw=
00qgr9fovd8ef3fmj7iskipfh2v1lp2e.legal.	3600	in	nsec3	1 1 0 73 01URS8TDFS2HBIJ6IVKVTIC7GVP1CAF3 NS DS RRSIG
00qgr9fovd8ef3fmj7iskipfh2v1lp2e.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. B8/VQC58X//wPCVqyU15ziNQJeF4qmreE9VWLJ0h/sDgYvt251q8qKQZy7lbdnNI+ygDjZqsZ66iHECYukRqqbxuEGJ55e0RL241SALo1F/rllfc+XeL+3CzX7YhgkAR0q6wMbXaVOExH4Giq9+L3+RdOrqD6i9m2X7t57SSWHI=
01.legal.	3600	in	ns	ns21.domaincontrol.com.
01.legal.	3600	in	ns	ns22.domaincontrol.com.
010.legal.	3600	in	ds	38139 13 1 27653DB0CE8D006DBE4EC1A84AACA4D66B09291D
010.legal.	3600	in	ns	ns0.transip.net.
010.legal.	3600	in	ns	ns1.transip.nl.
010.legal.	3600	in	ns	ns2.transip.eu.
010.legal.	3600	in	rrsig	DS 8 2 3600 20260207155418 20260117145418 64266 legal. iUqUpzioOHXMqqDnG8Y6wlYifNBnPtZsQw9+/m7xtSwUEZXCvhqCbP3mc0iCg3XlviD8T2Aig663aMadKISRmQNThZBriVuRzKcld6k9aoXhGAgaUXq8hl22RyHGYbah/BUKx7aaeYBY1J4IeHm2j4YnEUQlwZSJy64J7ltA0LA=
01832.legal.	3600	in	ns	ns1.dyna-ns.net.
01832.legal.	3600	in	ns	ns2.dyna-ns.net.
01urs8tdfs2hbij6ivkvtic7gvp1caf3.legal.	3600	in	nsec3	1 1 0 73 02DJF9FVE64L79EC1CRO117QDDQA7M0Q NS DS RRSIG
01urs8tdfs2hbij6ivkvtic7gvp1caf3.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. F6DfwuxoDk46qgIp0lGLMpicz3O3N+RX7j7ak+/LxKJzK2BUHF/aI8HWhtYDsW7TVLwKoj3CV0R4jkgY6UeMBnUogdDwej+w38bOmmL6J0M7eRQrUnqYSk0nMhAGUA9mMcL2PhAQTEmanbI44oIiM/BrJaLHJMkprAujEDBgvlk=
02.legal.	3600	in	ns	ns1.dns-redirect.com.
02.legal.	3600	in	ns	ns2.dns-redirect.com.
020labor.legal.	3600	in	ds	52015 13 1 B93EFA5E932C2531AE9D383FFC59CCA4AB8552C3
020labor.legal.	3600	in	ns	ns0.transip.net.
020labor.legal.	3600	in	ns	ns1.transip.nl.
020labor.legal.	3600	in	ns	ns2.transip.eu.
020labor.legal.	3600	in	rrsig	DS 8 2 3600 20260207155418 20260117145418 64266 legal. oDcv8jKsEYW4jU1zX6c8j4v3A91cwiNrs58yzjbKmK6/Woyv5tL/fLFU869Dq2SGnhHQsAt9CFfmirIk8/2GN88K8bEfvgFvNJyo4grWWpOuW/HOSRLQvOOA1Qe9AETmVg0A67r91tkF86pmKjere02qqubi4c7XOFX4+jV7Edw=
021.legal.	3600	in	ds	15610 8 2 D36028CD231174CD9A50F7C1148E51CBA0A84F9AE856303501E79F4F9775E8F5
021.legal.	3600	in	ns	ns-cloud-a1.googledomains.com.
021.legal.	3600	in	ns	ns-cloud-a2.googledomains.com.
021.legal.	3600	in	ns	ns-cloud-a3.googledomains.com.
021.legal.	3600	in	ns	ns-cloud-a4.googledomains.com.
021.legal.	3600	in	rrsig	DS 8 2 3600 20260207155418 20260117145418 64266 legal. bdhiD08cnwhemoh3CWxVmvYCF8k94lQwJjhHHIwfcmBeZiIN5h0Sx8kinIkfFJhKyAtEVHlRzAXY2Nk38mRhDe36R90xsy+7I1lXF+8zqEZEcatOUn9htq8bgs0HVqDO2FHOi4BkUXqijbsqMpx/Zoc/lWjm+0EK00iD0+bycNg=
02308.legal.	3600	in	ns	ns1.dyna-ns.net.
02308.legal.	3600	in	ns	ns2.dyna-ns.net.
025140.legal.	3600	in	ns	ns1.dyna-ns.net.
025140.legal.	3600	in	ns	ns2.dyna-ns.net.
02954.legal.	3600	in	ns	ns1.dyna-ns.net.
02954.legal.	3600	in	ns	ns2.dyna-ns.net.
02djf9fve64l79ec1cro117qddqa7m0q.legal.	3600	in	nsec3	1 1 0 73 02GI0VMVKV87SMNUGOA8NC9TQREAJVKR NS DS RRSIG
02djf9fve64l79ec1cro117qddqa7m0q.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. O3fakURhIaBWseSJv5LVf+YppQl56C+ldr4c843xzyU9ANZ/Q/IbKawM6cnh36UQEraRn4IKNReE077agDp8Bi/hDXMlLFCK4UFjq7zAZoVDYqFzTrgszcH+DR4FRDedfM4W6HbC5mMX8ayOJ974sGUUy+sbe3pGa/UIuB+iXw8=
02gi0vmvkv87smnugoa8nc9tqreajvkr.legal.	3600	in	nsec3	1 1 0 73 02L09DJ368FJK813867F6RA5T1IASUMJ NS DS RRSIG
02gi0vmvkv87smnugoa8nc9tqreajvkr.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. Ruq64R6W0hxemfDcma97QJxoTGnrK7GDizM9GvDRN4ZjCSlFgoH6izc9esSz43uz2O/nBnd3hhGnCHiZbKWjnVXqXUdZ4+HEMbqtR4GBsiJIt3H8BVjBvAKSlftuoHNMlUbt+bpzpbUAe1/9pH4x8/XxqjETdHyMXg6bRG52Bho=
02l09dj368fjk813867f6ra5t1iasumj.legal.	3600	in	nsec3	1 1 0 73 033U3KS04U89962SUH62P6FCC4EM2FBQ NS DS RRSIG
02l09dj368fjk813867f6ra5t1iasumj.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. 0ICHO5Eb3MFYTapIpo3e57zsDSLchw3CcKy29ZNy4Bl+WXZyab2gK8QtnI0ziwb8TRIaDttj6SQv0ITuQsNvIJ9fsUaTjzchItm03JnW9BRJK6ExHx71eVEwLMBGLT2Vat3vluGLHHiZ5zpfv8LRZKRk1bm0f2nTgXyo93UlPeg=
03032.legal.	3600	in	ns	ns1.dyna-ns.net.
03032.legal.	3600	in	ns	ns2.dyna-ns.net.
03284.legal.	3600	in	ns	ns1.dyna-ns.net.
03284.legal.	3600	in	ns	ns2.dyna-ns.net.
033u3ks04u89962suh62p6fcc4em2fbq.legal.	3600	in	nsec3	1 1 0 73 04FDGA5HOA3OOR08C1B8T69PM9PBR5Q8 NS DS RRSIG
033u3ks04u89962suh62p6fcc4em2fbq.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. q51taUjXeRx48ESHgoau9zd+RqLp4j/f4vV2BQCLFS7gTMBfF5uXmfTryidr4NlbkkQawlkGbZeQa/7ED0ljio8CRgv6ekPAIn9JLxPmBzRoJK9KkKrOyjgymG0KPN6r85MM1wGkNa1OgemRM6q495rsvQSfSVOLOxWjuPHH+do=
03708.legal.	3600	in	ns	ns1.dyna-ns.net.
03708.legal.	3600	in	ns	ns2.dyna-ns.net.
04fdga5hoa3oor08c1b8t69pm9pbr5q8.legal.	3600	in	nsec3	1 1 0 73 04KEAJ45F8I8F1N1OIJU6L5GO8BHNV0V NS DS RRSIG
04fdga5hoa3oor08c1b8t69pm9pbr5q8.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. Kf01FtG6OvkupM3PL2w8v2HTJDYpthNz661NnXqf9SzD3NQyTaxAtZkE8oFHm7hzWbHYvDX1XDx9uILL3U85OXVj6RvbjMdY1g3SNdlLxFUn/CeePNRUHQLhwiK9SbYFVdwv+3mT6xWxLpU9kjS4q8/cKU3GDnL4GsXiLVJo60k=
04keaj45f8i8f1n1oiju6l5go8bhnv0v.legal.	3600	in	nsec3	1 1 0 73 04NPJO86450AR9UGEH529OU2PNT9P124 NS DS RRSIG
04keaj45f8i8f1n1oiju6l5go8bhnv0v.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. OMOo9lX0IMv+jMwbprdFQDJtMY2Vl9Oz7FH6BcPieDlLdfx7mWebL0rJwpqjdb9Yd/2hOpES0cvj1mUknwving4ZbBXBdRJaY83OwpCuN3HutWly72kRC2DBF+c47eI+RlVDQ72T+s3puAmszh34cCkv58pX13g9UHCsgpOsDBw=
04npjo86450ar9ugeh529ou2pnt9p124.legal.	3600	in	nsec3	1 1 0 73 05LLLL4UINE5DRGN42NECK2APB76PMRT NS DS RRSIG
04npjo86450ar9ugeh529ou2pnt9p124.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. HAKi0WsmWXZOTOTy+LFW+ku2nj4Qb/74qFqSZFvVQYhJg5si+/i95AyhCY8Dk407Yfc48n5n8Dw5/cFOpYv8dppvEAnSTf6qy9yWN/824AC6wJVAPXPtTfBOK1fc/Ok2/OREix6EoJ/mUlrA05/DsKYpZQugG6FUpsIXyhYJ2CE=
05659.legal.	3600	in	ns	ns1.dyna-ns.net.
05659.legal.	3600	in	ns	ns2.dyna-ns.net.
05llll4uine5drgn42neck2apb76pmrt.legal.	3600	in	nsec3	1 1 0 73 06CU6I03GOJ5M9O9TRGM5U9PG7HMQN60 NS DS RRSIG
05llll4uine5drgn42neck2apb76pmrt.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. gKoiWmPLKM60vobruhO6PWgSgqDpS4k5Cj1K+bWkUeaagFyGnmrVbJY7e/5EuIkKZs/+o6On59pRuuLj8XVhyub+KWaAEkA1BcoXUfXtVh9V4LYztjubJmPFc7pcYuqscp+97Y5jIo3VhwX23lpvDRIPK6lqij1GXN4VMqIVJ8s=
06274.legal.	3600	in	ns	ns1.dyna-ns.net.
06274.legal.	3600	in	ns	ns2.dyna-ns.net.
06397.legal.	3600	in	ns	ns1.dyna-ns.net.
06397.legal.	3600	in	ns	ns2.dyna-ns.net.
06cu6i03goj5m9o9trgm5u9pg7hmqn60.legal.	3600	in	nsec3	1 1 0 73 071ACAGJ9PC23HAGAFO9QHBQ9O4EFEOA NS DS RRSIG
06cu6i03goj5m9o9trgm5u9pg7hmqn60.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. 0/IlQpYNaF9hbb/7XILvfDhci3DkPN9q2X9OEP+jbWwFrUi6YAgM5Em3MfLc/wnxncoWleIT44snbhiOTjvgzxa6uwOVIbFoAF0t8KD+37bKnGVjdsgl2jtcN49WX43sEHhZVMysDN1IBYWD5YSl0CqddioawcxCysc2Y4vt/BQ=
071acagj9pc23hagafo9qhbq9o4efeoa.legal.	3600	in	nsec3	1 1 0 73 07AAAQMO751Q4VCP6SJGV7NSGA7TFDH3 NS DS RRSIG
071acagj9pc23hagafo9qhbq9o4efeoa.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. OSiC1utI4wTm4bgSbY2Ja91ndjK4jCMwFEaL/eqK84e4m1SfS6wWe1YuX2GJolSN0ZqgYQ5+rfhnzs3Ca4/rbz4QjIjEjvrwG9PZy6pp8lyJDlgFJ8eIxJpzzHkmvbYXPw47JNX8mdcXH9JRy7XvR9akT0m6CzKs+AXrMdgUyNg=
077024.legal.	3600	in	ns	ns1.dyna-ns.net.
077024.legal.	3600	in	ns	ns2.dyna-ns.net.
07718.legal.	3600	in	ns	ns1.dyna-ns.net.
07718.legal.	3600	in	ns	ns2.dyna-ns.net.
07aaaqmo751q4vcp6sjgv7nsga7tfdh3.legal.	3600	in	nsec3	1 1 0 73 07OKCVU0SDSQDAV1CB785J0SNMSNFF85 NS DS RRSIG
