ltda.	3600	in	soa	a0.nic.ltda. hostmaster.donuts.email. 1769303060 7200 900 1209600 3600
123b.ltda.	3600	in	ns	ns1.dyna-ns.net.
123b.ltda.	3600	in	ns	ns2.dyna-ns.net.
188bet.ltda.	3600	in	ns	koa.ns.cloudflare.com.
188bet.ltda.	3600	in	ns	sofia.ns.cloudflare.com.
1beef.ltda.	3600	in	ns	ns-1178.awsdns-19.org.
1beef.ltda.	3600	in	ns	ns-1851.awsdns-39.co.uk.
1beef.ltda.	3600	in	ns	ns-384.awsdns-48.com.
1beef.ltda.	3600	in	ns	ns-842.awsdns-41.net.
1q2uai3p2fj3s18onllm72t0upgllpcu.ltda.	3600	in	nsec3	1 1 0 73 9OR051J74E7CR5T7A7AD9S2ONL7JG0CN NS DS RRSIG
1q2uai3p2fj3s18onllm72t0upgllpcu.ltda.	3600	in	rrsig	NSEC3 8 2 3600 20260207155205 20260117145205 50265 ltda. xuLGKzbKlD8f/zatEiEZFzHykrmDLH3jOpcyzwohMJg4dKt3sTwxr4mCIRUvH1eFohIVY2G7YYN8LfXWag04uTkjuR5vfUqkgGSxZnGIOCnqa8PeGNxf9hbuFqn9CU6B+i62oiDUhieMyDDgVDHqZGBDfva2w7VA0b+Frqba/ZA=
215domainlistfr.ltda.	3600	in	ns	ns1053.ui-dns.biz.
215domainlistfr.ltda.	3600	in	ns	ns1083.ui-dns.com.
215domainlistfr.ltda.	3600	in	ns	ns1094.ui-dns.org.
215domainlistfr.ltda.	3600	in	ns	ns1112.ui-dns.de.
33win.ltda.	3600	in	ns	garrett.ns.cloudflare.com.
33win.ltda.	3600	in	ns	lisa.ns.cloudflare.com.
360.ltda.	3600	in	ns	ns1.dns-parking.com.
360.ltda.	3600	in	ns	ns2.dns-parking.com.
5movierulz.ltda.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.ltda.	3600	in	ns	santino.ns.cloudflare.com.
789bet.ltda.	3600	in	ns	aaron.ns.cloudflare.com.
789bet.ltda.	3600	in	ns	ziggy.ns.cloudflare.com.
789club.ltda.	3600	in	ns	bill.ns.cloudflare.com.
789club.ltda.	3600	in	ns	gracie.ns.cloudflare.com.
888b.ltda.	3600	in	ns	cora.ns.cloudflare.com.
888b.ltda.	3600	in	ns	kyrie.ns.cloudflare.com.
88i.ltda.	3600	in	ns	ns75.domaincontrol.com.
88i.ltda.	3600	in	ns	ns76.domaincontrol.com.
88m.ltda.	3600	in	ns	ns77.domaincontrol.com.
88m.ltda.	3600	in	ns	ns78.domaincontrol.com.
8day.ltda.	3600	in	ns	cora.ns.cloudflare.com.
8day.ltda.	3600	in	ns	kyrie.ns.cloudflare.com.
9or051j74e7cr5t7a7ad9s2onl7jg0cn.ltda.	3600	in	nsec3	1 1 0 73 CQRTE7NPS0KM1PH6F4JU5QNTMU3RUV7B NS DS RRSIG
9or051j74e7cr5t7a7ad9s2onl7jg0cn.ltda.	3600	in	rrsig	NSEC3 8 2 3600 20260207155205 20260117145205 50265 ltda. ZoHV399KVXPdWpnGjjaFU3grS5vrVygVuHFqRh42y2qPLx8vkJi2j2YxxPdS3HyxXg/R/gcmK2+wGXJu+ka+ogv97/x6LxZ5Zr40ZtsMZawmS0fWpbK/LaaN9uDt6pUfCqMDoANWh7B+QLGYvejPab0chcewf6n39O1xbDQs1iU=
a0.nic.ltda.	3600	in	a	65.22.116.17
a0.nic.ltda.	3600	in	aaaa	2a01:8840:0072:0000:0000:0000:0000:0017
a2.nic.ltda.	3600	in	a	65.22.119.17
a2.nic.ltda.	3600	in	aaaa	2a01:8840:0075:0000:0000:0000:0000:0017
aaa.ltda.	3600	in	ns	ns-cloud-c1.googledomains.com.
aaa.ltda.	3600	in	ns	ns-cloud-c2.googledomains.com.
aaa.ltda.	3600	in	ns	ns-cloud-c3.googledomains.com.
aaa.ltda.	3600	in	ns	ns-cloud-c4.googledomains.com.
abc8.ltda.	3600	in	ns	kianchau.ns.cloudflare.com.
abc8.ltda.	3600	in	ns	sue.ns.cloudflare.com.
abo.ltda.	3600	in	ns	evan.ns.cloudflare.com.
abo.ltda.	3600	in	ns	mona.ns.cloudflare.com.
about.ltda.	3600	in	ns	a.ns14.net.
about.ltda.	3600	in	ns	b.ns14.net.
about.ltda.	3600	in	ns	c.ns14.net.
about.ltda.	3600	in	ns	d.ns14.net.
abuse.ltda.	3600	in	ns	a.ns14.net.
abuse.ltda.	3600	in	ns	b.ns14.net.
abuse.ltda.	3600	in	ns	c.ns14.net.
abuse.ltda.	3600	in	ns	d.ns14.net.
abuso.ltda.	3600	in	ns	a.ns14.net.
abuso.ltda.	3600	in	ns	b.ns14.net.
abuso.ltda.	3600	in	ns	c.ns14.net.
abuso.ltda.	3600	in	ns	d.ns14.net.
abyat.ltda.	3600	in	ns	dns1.registrar-servers.com.
abyat.ltda.	3600	in	ns	dns2.registrar-servers.com.
account.ltda.	3600	in	ns	a.ns14.net.
account.ltda.	3600	in	ns	b.ns14.net.
account.ltda.	3600	in	ns	c.ns14.net.
account.ltda.	3600	in	ns	d.ns14.net.
address.ltda.	3600	in	ns	a.ns14.net.
address.ltda.	3600	in	ns	b.ns14.net.
address.ltda.	3600	in	ns	c.ns14.net.
address.ltda.	3600	in	ns	d.ns14.net.
ads.ltda.	3600	in	ns	alaric.ns.cloudflare.com.
ads.ltda.	3600	in	ns	alina.ns.cloudflare.com.
agabrielasilva.ltda.	3600	in	ns	ns15.domaincontrol.com.
agabrielasilva.ltda.	3600	in	ns	ns16.domaincontrol.com.
agenciavillarroel.ltda.	3600	in	ns	dns1.hosting.cl.
agenciavillarroel.ltda.	3600	in	ns	dns2.hosting.cl.
agenciavillarroel.ltda.	3600	in	ns	dns3.hosting.cl.
agenciavillarroel.ltda.	3600	in	ns	dns4.hosting.cl.
agilent.ltda.	3600	in	ns	dns1.p03.nsone.net.
agilent.ltda.	3600	in	ns	dns2.p03.nsone.net.
