luxe.	900	in	soa	a.nic.luxe. admin.tldns.godaddy. 1756235175 1800 300 604800 1800
0.luxe.	172800	in	ns	ns1.eftydns.com.
0.luxe.	172800	in	ns	ns2.eftydns.com.
00.luxe.	172800	in	ns	ns1.eftydns.com.
00.luxe.	172800	in	ns	ns2.eftydns.com.
00484.luxe.	3600	in	ns	expire1.gname-dns.com.
00484.luxe.	3600	in	ns	expire2.gname-dns.com.
00590.luxe.	3600	in	ns	expire1.gname-dns.com.
00590.luxe.	3600	in	ns	expire2.gname-dns.com.
00731.luxe.	3600	in	ns	n1.xundns.com.
00731.luxe.	3600	in	ns	n2.xundns.com.
00852.luxe.	3600	in	ns	dns15.hichina.com.
00852.luxe.	3600	in	ns	dns16.hichina.com.
00a.luxe.	3600	in	ns	dns17.hichina.com.
00a.luxe.	3600	in	ns	dns18.hichina.com.
01.luxe.	172800	in	ns	ns1.eftydns.com.
01.luxe.	172800	in	ns	ns2.eftydns.com.
01935.luxe.	3600	in	ns	expire1.gname-dns.com.
01935.luxe.	3600	in	ns	expire2.gname-dns.com.
01pni.luxe.	3600	in	ns	cameron.ns.cloudflare.com.
01pni.luxe.	3600	in	ns	ivy.ns.cloudflare.com.
02.luxe.	172800	in	ns	ns1.eftydns.com.
02.luxe.	172800	in	ns	ns2.eftydns.com.
02926.luxe.	3600	in	ns	expire1.gname-dns.com.
02926.luxe.	3600	in	ns	expire2.gname-dns.com.
03.luxe.	172800	in	ns	ns1.eftydns.com.
03.luxe.	172800	in	ns	ns2.eftydns.com.
032l7.luxe.	3600	in	ns	james.ns.cloudflare.com.
032l7.luxe.	3600	in	ns	zita.ns.cloudflare.com.
03bubqj2cob24iug2n146f7ilb9l8h64.luxe.	900	in	nsec3	1 1 0 - 05M6HV01IOTSVH10KF8DNOOPVAH298LO NS DS RRSIG
03bubqj2cob24iug2n146f7ilb9l8h64.luxe.	900	in	rrsig	NSEC3 8 2 900 20250907133618 20250824131306 1560 luxe. 08rAXHXJCxkbe57MaD5x1cGpGM8yigfEXdqRT/qVyeKAED76z8wLHMQKE0iw2vjA0UvYAxSMpItgAG7k2WIUVA2zGG5osBqHYcCcNtWjDeKY/du7zdEHWUtuqmErySFDVT2lGqkyKaBK90clL931xFp73Iphbhr93rFbTO62CeV7HsYxWmk/vesAC+zrD0/63z3365B2cSDT3HMQFF1ntw==
04.luxe.	172800	in	ns	ns1.eftydns.com.
04.luxe.	172800	in	ns	ns2.eftydns.com.
04433.luxe.	3600	in	ns	expire1.gname-dns.com.
04433.luxe.	3600	in	ns	expire2.gname-dns.com.
04971.luxe.	3600	in	ns	expire1.gname-dns.com.
04971.luxe.	3600	in	ns	expire2.gname-dns.com.
05.luxe.	172800	in	ns	ns1.eftydns.com.
05.luxe.	172800	in	ns	ns2.eftydns.com.
05156.luxe.	3600	in	ns	expire1.gname-dns.com.
05156.luxe.	3600	in	ns	expire2.gname-dns.com.
05m6hv01iotsvh10kf8dnoopvah298lo.luxe.	900	in	nsec3	1 1 0 - 07D4FIRV1S6GF4GLMMVUGN9S4VH95SME NS DS RRSIG
05m6hv01iotsvh10kf8dnoopvah298lo.luxe.	900	in	rrsig	NSEC3 8 2 900 20250906122001 20250823120600 1560 luxe. OaMeh2i9bdJIJ5oI6wnVXV4K/usxKBpheKLoCM9MWEkwtyxY/F0kUcJJMKX1zryaXB+B0muzwEzYkrbNW6FZJSKW/hsdohpycC14JCjtmgnX95Et03KC5UCQ1y4RBTvQMTdbIWJ5J1F2Gdi+MQc8uMk1dH4puL4tsGCMt+lbErX/l+U3+wpYwSO6eM7SlsVe0RFGqldgcgc4I9pXnAH1Ig==
06.luxe.	172800	in	ns	ns1.eftydns.com.
06.luxe.	172800	in	ns	ns2.eftydns.com.
06450.luxe.	3600	in	ns	expire1.gname-dns.com.
06450.luxe.	3600	in	ns	expire2.gname-dns.com.
06936.luxe.	3600	in	ns	expire1.gname-dns.com.
06936.luxe.	3600	in	ns	expire2.gname-dns.com.
07.luxe.	172800	in	ns	ns1.eftydns.com.
07.luxe.	172800	in	ns	ns2.eftydns.com.
07d4firv1s6gf4glmmvugn9s4vh95sme.luxe.	900	in	nsec3	1 1 0 - 08JO9PPKOV73TIT1LTEEM5PH0LHFQO80 NS DS RRSIG
