madrid.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601242007 7200 7200 604800 900
003jomsureg5dt43h4g0k87vfllnmodi.madrid.	43200	in	nsec3	1 0 0 - 00NEVCRSNMHIT88F5V2R4U0PSBSPU7BL NS
003jomsureg5dt43h4g0k87vfllnmodi.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. C309s2yA2ouuiTJwRawCncjnRs2HM6S2NipYxwsQdOPIsS1AHgGdGKleOrPeHrSjivtHLg0xswDctHCOTGAO/6EBGKgdNr4ElEr/GPC0FRjQxGlZoorezVBKP5F8sbbsFbaPgFj3Ahuz+Sye/qYmBT7qOv7nBEswca0R07i7j9HyJDqirsIHG7fJ5nctUdParnXDbrRGfC+0OmZb0qSx+A==
00nevcrsnmhit88f5v2r4u0psbspu7bl.madrid.	43200	in	nsec3	1 0 0 - 00QS73AT0FH6BBJCSQSNSFHEQ4FSHSQN NS
00nevcrsnmhit88f5v2r4u0psbspu7bl.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. IT+ciVNHe+wSg2OigobovoSGF0+i42aTpMR2HS1+XmuRApW/uCc02idTMJ3axdAx7i9AnBXKTmo4Cc90IzB/TNvYebqq0iaR09FOjeUmpQnRXlZ2+B/O+RTbYHiBw+LZ/QGqHuebugcCEHDcuGbTLF30Wku9afRVSMc9KXvmFlvD6cAwtCSSZhXHD5t93nadXR+kg+7TQw4Oru+W6HUHrw==
00qs73at0fh6bbjcsqsnsfheq4fshsqn.madrid.	43200	in	nsec3	1 0 0 - 01BL7T6JC97OUIF7O55DVNEUEGQ1BB38 NS
00qs73at0fh6bbjcsqsnsfheq4fshsqn.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. eoQ3KQtMwi9rKoXhGIIPvD+Doej9Tt0z1U1ZmdKEGoYrvvVjgyfDUdlQjI7M1IiQGeSopQg+bdH/EduMnh2SmDY3KUay7PmUCsv/jVFjlxZxObBm4gGZth5FZGSUqCv16xFUp7wajoUuWaXXouNP3vSscxbbBoyQfufCTXWiHRuT0xSVUsUe7G+obwLbU7za2OMH4lhdKA9kYeMWKVmnRg==
010.madrid.	86400	in	ns	a1-25.akam.net.
010.madrid.	86400	in	ns	a11-65.akam.net.
010.madrid.	86400	in	ns	a12-67.akam.net.
010.madrid.	86400	in	ns	a26-67.akam.net.
010.madrid.	86400	in	ns	a4-64.akam.net.
010.madrid.	86400	in	ns	a7-65.akam.net.
012.madrid.	86400	in	ns	icmcom.madrid.org.
012.madrid.	86400	in	ns	olimpia.madrid.org.
01bl7t6jc97ouif7o55dvneuegq1bb38.madrid.	43200	in	nsec3	1 0 0 - 01CMGEOSR1QDJQNPI498HAGLSE29QM7T NS
01bl7t6jc97ouif7o55dvneuegq1bb38.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. JHgFkKWlWB/q90rzKj0y36TPXCQpjpwhfpMya/rahXj7eBSiFMBuKC9ogeo6hhnlrA2gWCrejDKzjhO/IMy67G0r/RsYQs4en8T5kKZUC2NzBIsPALda/vQQwivAgYGVoF81MZ4KQle6yb/KzF+YsmbDV7Z/1jcqnsBJkMFsQHr51D1aSX4kbbJxsAdCHZx/gikvRwCKSFzL3SoQ+XmNvA==
01cmgeosr1qdjqnpi498haglse29qm7t.madrid.	43200	in	nsec3	1 0 0 - 02A54OAK4T6FA60C0DIFP2JOL1AKD482 NS
01cmgeosr1qdjqnpi498haglse29qm7t.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. g+8POeJ3ld8gsbopzJDs+AxoSL32ZEI2TpTl9yQxEFygeqJKado8kDf31lYW6LUSZZ7MS6yTN7F3nzEmUAchbaMKU3Jd9l4AGiFd3bQYFN5ZaCbNseDmK4/eP+DAa7/M28bQi04Dvk7wjtDtgsrNckh6Q9wRpl7K9vNkCarLxhn/5MVE7T7vhFp3+bmT+yBMMgfAwPXlajGHH1mdi3t83w==
02a54oak4t6fa60c0difp2jol1akd482.madrid.	43200	in	nsec3	1 0 0 - 02DUA052R6D3CCN43RR76UTVGUHKUOD6 NS
02a54oak4t6fa60c0difp2jol1akd482.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. Un4Fs2W/A4dNg2I075Xw9Fpkq/vQ4Bu8YxXxjGvx5MmR51DqV4UILY0Z8EVcZapDX405xsFK64iKZ6Hm05BdWgTVJyBgldvavSAgAyCGr3iDKgN38MxUushJUklsCEdGLYVjID/e8+ndS+3pco/uCFRvhWDwD5tyV909GSRAC3E+Kikwqt5GeDqsHaOGf2a8Fukzkn8OYadYE7xz5Oh3pA==
02dua052r6d3ccn43rr76utvguhkuod6.madrid.	43200	in	nsec3	1 0 0 - 02M76S3NUJ01J7CFBCK6P7L49R39T3M2 NS
02dua052r6d3ccn43rr76utvguhkuod6.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. jolQJfMs1NuUN5wiI05OGmwB2R4/dX+JY7Ge0zPmH3CV/dR+xythw+AxY82/t4cAogzZm8yhzKZ5N82mUUCOe/UjHVoci1OZLaFfRIpMqMhFIVoogDPrz/OU6Zszh6uaJhQn89wl0jC22y3qxhf0WaxeFjOUWdIBemZqnx3LtlVxrQA03tc2qFNPI+nfYwnsfsyTnsYclmPRyNaZHHVzuw==
02m76s3nuj01j7cfbck6p7l49r39t3m2.madrid.	43200	in	nsec3	1 0 0 - 02TH2T0G53G64OB0S269PVV86Q7I4TT7 NS
02m76s3nuj01j7cfbck6p7l49r39t3m2.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. aRjLGn37iXOYS2TH0tZisjpQDPU8KBZaNc0VzXaaRW3LGY6I5F9myraLqt3EP+PWHvHDNsXy0bOwbjsllmvWKn4uag4FPagTGiyR30TgHhAxMFShtS5mNpGpn2WL8efhPgfvezIFwJ+OVfaHVYHbgxeRRf9fHcHqs3+Ewwb5laaggdJwtf7Xf7nVtmchsmMYZGbZmtW+4LotZTL4yMNJVw==
02th2t0g53g64ob0s269pvv86q7i4tt7.madrid.	43200	in	nsec3	1 0 0 - 035H14RTAAJDAHMOSVSJQLI63M47D3DA NS
02th2t0g53g64ob0s269pvv86q7i4tt7.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. Kenbhf/XeDu0hnbylIW2BryueQ50Ae6lct6/5+Xx+4ywJXTtKzmjdGxspBlsWRfPm0AHQFbccOg2Mt0vY0voKgu0LkCjn/fmp+mM4YgcMwlyITaIBOq4pWmVu6BbsyZbl5cd1zeMZD8BnpCfOaq5IJYt1c2DAXh70o+ELo6zktEQuC32VJM4lDRctkjW4kXbGDHTTVx36xdRohqQyFUycA==
034tactical.madrid.	86400	in	ns	ns1.sempai.marketing.
034tactical.madrid.	86400	in	ns	ns2.sempai.marketing.
034tactical.madrid.	86400	in	ns	ns3.sempai.marketing.
034tactical.madrid.	86400	in	ns	ns4.sempai.marketing.
035h14rtaajdahmosvsjqli63m47d3da.madrid.	43200	in	nsec3	1 0 0 - 03MHMJA5F3OJON601SOBICMRPJTBRIU0 NS
035h14rtaajdahmosvsjqli63m47d3da.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. estFcAdgOcvd1koeUivw4l7LCLRwimlA0ZwlGIV6yYKF87KdjthQQO3U9IYEMxFQLhBswh0z8aoDPUegJVRB0FFa7TvSAXY8qBjXxHkYR+o+Qz9LfK4u8HIHSrnvPYGlFtB9UHriN6o4VMSl8ZKlgQobUPqZypPI0HFpiTSflDo8g7Hh/aAkYbX2HJc+gMckrCvETG2snOD9gcec/RsQPw==
03mhmja5f3ojon601sobicmrpjtbriu0.madrid.	43200	in	nsec3	1 0 0 - 03R72FUJOK6EUNLCHSPNCBA2AFPFCCG0 NS
03mhmja5f3ojon601sobicmrpjtbriu0.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. iW9cBWFJ3soW37aeTlwkj8bX+C7wT1+UrPQAnm6djlrF553NJjh8P0TDDwiHWhta+TUDtdWqcKm4JosifaoJpck9wpxDSS1aKqug9pWFMomKPyHPvaYr+1G8bDPV82VUGp2K6DLDc75zuvxvGpgj1+g/bsz4/kbKjmC3ien5MXq/JjaxiuzMmmz3xUqaDloaNuVz5eB3egkY6Kr8iXJPgA==
03r72fujok6eunlchspncba2afpfccg0.madrid.	43200	in	nsec3	1 0 0 - 03U4QRD59C660S4AENF9FOUNAD6AQ6RQ NS
03r72fujok6eunlchspncba2afpfccg0.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. NZuRRUSKHn06FkLM4xCgpM65w329RgO0N1KpJrRv9eLQ+oKqtTk1mLGdVwh20d3FEdEZUKyUpn3RGMMBPL1ta1jX1GQNtp/hvqA4367uqbOsu+ThmOIUjKxx8rKSWHl1SjmX4g+KbhqD4l2Aje+gnZKfQpF8TBme3zh34hRkzY0ULct2T6xalr5oCIkkbtcLVBx8MavDuChaZd0sdhTSlw==
03u4qrd59c660s4aenf9founad6aq6rq.madrid.	43200	in	nsec3	1 0 0 - 04AOVR60LRSCTOQSB7O5V7EB1Q8P0UJH NS
03u4qrd59c660s4aenf9founad6aq6rq.madrid.	43200	in	rrsig	NSEC3 10 2 43200 20260207042804 20260124042804 58272 madrid. KOqUWe3Kg+ynq9l7UYtdf1pnpYQTifBzdZN3o0pFTkltfIacfZWkJaM/anjZ9Ln4aBqVM4c1mQgj0T7ia7cvfGKVbHqsvoC9jwgBDJiVEMwXyz0/uVui+blF10c5UzO/tOqukQ3LlVK+BvehtE7WuPgPvWe6ZsJk4fHuiKZbpcJSneQ8lQTO6S4nqTVlyhjNJtXWHVa5LA7iFq0LHEmE3w==
04aovr60lrsctoqsb7o5v7eb1q8p0ujh.madrid.	43200	in	nsec3	1 0 0 - 04UAMBVC4PVAT3ELHSA92RMHV90B1I49 NS
