marketing.	3600	in	soa	v0n0.nic.marketing. hostmaster.donuts.email. 1757034796 7200 900 1209600 3600
0.marketing.	3600	in	ns	pdns13.domaincontrol.com.
0.marketing.	3600	in	ns	pdns14.domaincontrol.com.
00hr5ri1tsnfgnrnvu12ofb75tlbck7d.marketing.	3600	in	nsec3	1 1 0 73 00L80SPA1M2IVS2R6FLMB9G4SC9OE6L3 NS DS RRSIG
00hr5ri1tsnfgnrnvu12ofb75tlbck7d.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. LjHuxP2YNdDzxhtsYx9uQ1OuhYgAAhK1/MnF53koG0Iv7kKyovMB5syxcMqqIayBevjeb2x2QBw/KA/DZ0DIPZXrkLi9tZbJvE6Ue4zrEMUxq0nlr6UvVOMl39EPpHQa3Thni60NpDKLS/9OtoYjcy12fl+udOn8XrzkRGFjLEU=
00l80spa1m2ivs2r6flmb9g4sc9oe6l3.marketing.	3600	in	nsec3	1 1 0 73 00M0F7FFAAU4OMOPGGPEKAB67FSVHO5H NS DS RRSIG
00l80spa1m2ivs2r6flmb9g4sc9oe6l3.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. nZ+TcDJWr+c2xGvFQDlBqJrucgTdvXKqPVjndB6UKmGk3e+mLv9zdu3+w+bB9hnSB3AlaYsuT10s4MxVLVzcXXZh497zEbyg/7pUiNyTVLxd94CQQ9gdbvO4saEq9P18GP0uf8Nx8WmNWqv54Qx4vPL1AC6jcxawdbQr4a5dLH4=
00m0f7ffaau4omopggpekab67fsvho5h.marketing.	3600	in	nsec3	1 1 0 73 01JL79EU38ARJADD44ELUEPRG8HDE6P0 NS DS RRSIG
00m0f7ffaau4omopggpekab67fsvho5h.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. RCusBJ224mrytpTuaQWjPjz7C1yyM+hMEUP8cpbjfWXH5Ol+CxF5FYwuSm5glE6mlwXwQk961EAoIRD5l5SK65EKpklzj209dvAouRs1owMhG7Ihi+VaPfZfABTpoul318TAPBBO8r+H8LCpAKzqv+Kr83/8dKNHTnlOnjfrAcs=
01.marketing.	3600	in	ns	ns.udag.de.
01.marketing.	3600	in	ns	ns.udag.net.
01.marketing.	3600	in	ns	ns.udag.org.
01jl79eu38arjadd44elueprg8hde6p0.marketing.	3600	in	nsec3	1 1 0 73 029EG5A4V38B8GULBTIENKK49456SPKN NS DS RRSIG
01jl79eu38arjadd44elueprg8hde6p0.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. w/2B1s6vIVESOu57FeKvcGkeVIdFPAlxWNkMzlrskBrLDqS95NtwlRZDJBWR1xfLDjMqnhs6gjmLe31pHTiQn5EjR0A4yqc9fQYEjkwqEsZ6gsNXKxfJfaWwQ1pe5pZKJ6bRL2mV4iScMX3bWs45GmRzTOE3Pwa7HI4GpzhvW2c=
01media.marketing.	3600	in	ds	38051 8 2 43FB0F2795DC3AA9C7261574CD087DB29F15E4D92A9AE34B590AF88FB76DF756
01media.marketing.	3600	in	ns	ns-cloud-b1.googledomains.com.
01media.marketing.	3600	in	ns	ns-cloud-b2.googledomains.com.
01media.marketing.	3600	in	ns	ns-cloud-b3.googledomains.com.
01media.marketing.	3600	in	ns	ns-cloud-b4.googledomains.com.
01media.marketing.	3600	in	rrsig	DS 8 2 3600 20250922160438 20250901150438 22341 marketing. IDDe28mraPKXxKTXQeaPAtu+HQOqzEV7YH4Y6w9mqH58/FOzmneN8h4Xe41uDJB3cG4Vhx/76ecKN4ta+QbfXtq1nh4dZDk/hjqj985r4FXJU65YOhHAK80aS7Bn3bpQs9ndcoBrsq4B1NZCUxBD/z68dUCwCHG7ClMVuKdAQVg=
021.marketing.	3600	in	ns	ns01.domaincontrol.com.
021.marketing.	3600	in	ns	ns02.domaincontrol.com.
029eg5a4v38b8gulbtienkk49456spkn.marketing.	3600	in	nsec3	1 1 0 73 02JVHT0T6HVQAU12BD0VV2JVBK60GI2R NS DS RRSIG
029eg5a4v38b8gulbtienkk49456spkn.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. QY63YlPvM8+/juKhjceEyYOUImVAU9ceNxFsCFI2u4NU2eqsBxqovtue1tSgn5PQCsZdUN41OgRll4BR442m5y5r5gJ2d5R/QSyDW1VTE/6CzG2YsIJVA7eIqQzjazvL0GqGx1JiE35zmViSlpMbyTM4RYYrPTPEbXXj85kpGrc=
02jvht0t6hvqau12bd0vv2jvbk60gi2r.marketing.	3600	in	nsec3	1 1 0 73 032D25FP86B8K46E8V54S23L8062MIHV NS DS RRSIG
02jvht0t6hvqau12bd0vv2jvbk60gi2r.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. JgUoURea0vnEuyykVTMvTKYYUMxm71+k4hjR+LpXtFvuOIDmO5g5h1KZH3u1pVSWNjsnyMhuGFmwUcl21iA99v+mUtvn0bFWjg/5s4A/YKaSZuPWrg6dd9JRtnRroE61O6uDtpZPnngGngMDoVFTO5rvnticGVEpNPh5JTpOIQI=
02marketing.marketing.	3600	in	ns	dns1.name-services.com.
02marketing.marketing.	3600	in	ns	dns2.name-services.com.
02marketing.marketing.	3600	in	ns	dns3.name-services.com.
02marketing.marketing.	3600	in	ns	dns4.name-services.com.
02marketing.marketing.	3600	in	ns	dns5.name-services.com.
032d25fp86b8k46e8v54s23l8062mihv.marketing.	3600	in	nsec3	1 1 0 73 04K9QFQ031BID410GVH7GVAK0C0HM8F6 NS DS RRSIG
032d25fp86b8k46e8v54s23l8062mihv.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. BsiSIMEeS4Ka7Z/NmHocQNAa8IuPM9SjLCWUjipPOQnkIIvX5oCmDiB8Q8qYihFZLX82OkUJe5O07SMHUJvUqcCF/M5o9ffJ6tzwgaes7uzxmJdw3fOBnaY+XxJMIwi37druT3MlXlhB2EgyGJmTE/7/Z9V8FFF/Kqh9biucmNE=
048.marketing.	3600	in	ns	ns1.dns-parking.com.
048.marketing.	3600	in	ns	ns2.dns-parking.com.
04k9qfq031bid410gvh7gvak0c0hm8f6.marketing.	3600	in	nsec3	1 1 0 73 053837B2B6BNJBADK0EEAO73LRTEKTA9 NS DS RRSIG
