memorial.	3600	in	soa	v0n0.nic.memorial. hostmaster.donuts.email. 1767661756 7200 900 1209600 3600
0eo7ct7a1ueo9u1c756bu86dial82b8r.memorial.	3600	in	nsec3	1 1 0 73 0FGABR1OA3PLUNM2DR4L4O1UPMAS1FJK NS DS RRSIG
0eo7ct7a1ueo9u1c756bu86dial82b8r.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. gcAi/vbLyxvZIAet3aZvVAbylaz80I2MH018kRpRgb7azTen+q/KyzwUsj32Jbc7aSr0baBKiCpsyCvBecHapc+OXftFuMJfEp/wrAc9oRllcZqQrKSD4KgZpRjt7xRKYPVfcwvdSEiOt9D6T/RjWVREVp6DYdbqbLqMwhn91fM=
0fgabr1oa3plunm2dr4l4o1upmas1fjk.memorial.	3600	in	nsec3	1 1 0 73 0LKU9DK5HIK3DDB7B34DFVPCDGOSDS08 NS DS RRSIG
0fgabr1oa3plunm2dr4l4o1upmas1fjk.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. lWfkNpmsH9N6scCT0JrQoYiyKnlvitgSyT8IS0dUjCgpqAvm36jJ0ly57ynXoQg+06hN/QaDsA/v1M5xRs180dKSbclD4wNkQrgQbJByFWjF1v/QcSJPKI7KuRZllUnhIAugSyCI/Wujmpxv/vrocNO1F4yKKdcCLyR2wVRyL5U=
0lku9dk5hik3ddb7b34dfvpcdgosds08.memorial.	3600	in	nsec3	1 1 0 73 0LQ9640ATQB08LIN8MSBK095TN4PEIE2 NS DS RRSIG
0lku9dk5hik3ddb7b34dfvpcdgosds08.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. QSCvrbHsZn+yOorh+q/pr/ze/D9g7m5kXXnpwno9Zr99YggzbuzT5Dxzr8MTF4G6jqnBgEmRdmUZDXShn2ZPZUcZh1e1T5b+RxdPfr8+kYafc0XKvLjHQCWkGQ6aT/SsbhDsUUpncUkh1KjboqYZQwCiMS09oK5lojvO646TBjA=
0lq9640atqb08lin8msbk095tn4peie2.memorial.	3600	in	nsec3	1 1 0 73 16TPU0T4TGVDTL1AA6DS7TT8C0B7E0Q4 NS DS RRSIG
0lq9640atqb08lin8msbk095tn4peie2.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. En6Bu2ZPXW+ub0Ixqgq+CYZXpWCX6BhIzP55Y1fXa3/DKXLif5r4uzaro7zWX2sxdRRDdH040Y7kxrpJ1P63qxAPjduNsvfIeJ8QYQsG33fs7F5xIZOWApA4VCzPVEgtfyQ03f3OFPQkXNNkI2iRIh0g0Iu7HIvUbRXNs4B21c4=
11juli.memorial.	3600	in	ns	1-you.njalla.no.
11juli.memorial.	3600	in	ns	2-can.njalla.in.
