men.	900	in	soa	a.nic.men. admin.tldns.godaddy. 1757552622 1800 300 604800 1800
0000.men.	3600	in	ns	carlos.ns.cloudflare.com.
0000.men.	3600	in	ns	meilani.ns.cloudflare.com.
00000.men.	3600	in	ns	a.share-dns.com.
00000.men.	3600	in	ns	b.share-dns.net.
000000.men.	3600	in	ns	dns01.muumuu-domain.com.
000000.men.	3600	in	ns	dns02.muumuu-domain.com.
001.men.	3600	in	ns	ns3.myhostadmin.net.
001.men.	3600	in	ns	ns4.myhostadmin.net.
0013.men.	3600	in	ns	ns1.zomro.net.
0013.men.	3600	in	ns	ns2.zomro.ru.
0013.men.	3600	in	ns	ns3.zomro.com.
0013.men.	3600	in	ns	ns4.zomro.su.
00554.men.	3600	in	ns	ns1.alidns.com.
00554.men.	3600	in	ns	ns2.alidns.com.
006.men.	3600	in	ns	ns1.myhostadmin.net.
006.men.	3600	in	ns	ns2.myhostadmin.net.
006.men.	3600	in	ns	ns3.myhostadmin.net.
006.men.	3600	in	ns	ns4.myhostadmin.net.
006.men.	3600	in	ns	ns5.myhostadmin.net.
006.men.	3600	in	ns	ns6.myhostadmin.net.
007win.men.	3600	in	ns	ainsley.ns.cloudflare.com.
007win.men.	3600	in	ns	nikon.ns.cloudflare.com.
0098.men.	3600	in	ns	ns3.myhostadmin.net.
0098.men.	3600	in	ns	ns4.myhostadmin.net.
00ihrkeu5bug1i88c47j9acmjor68gcv.men.	900	in	nsec3	1 1 0 - 01V2VOIR8A4KEQM7OBHDPMDK120QUINL NS DS RRSIG
00ihrkeu5bug1i88c47j9acmjor68gcv.men.	900	in	rrsig	NSEC3 8 2 900 20250920045134 20250906035622 34428 men. lTU1KRt7uaK5TYhBvvCcnBxddTKN3FUXodUHwWc2Ue4SO7Eu4zrZDLJP7c+cZvQ2nZeFZ7+7g+b/lzCMARG5ETLgljyfgYvryCo+DyjId0ud7amKs4fJiK6+Rzf0A/k3Lr53x0vO+VGj2plU5UJE9dsCG8e50ysxr2XMjKKPy7V7LHkJyapHcyrV/GAMYPQl0pvL3GJfK47YE3so0PlksA==
0149898.men.	3600	in	ns	a.share-dns.com.
0149898.men.	3600	in	ns	b.share-dns.net.
01637.men.	3600	in	ns	ns1.dyna-ns.net.
01637.men.	3600	in	ns	ns2.dyna-ns.net.
018632.men.	3600	in	ns	ns1.dyna-ns.net.
018632.men.	3600	in	ns	ns2.dyna-ns.net.
01v2voir8a4keqm7obhdpmdk120quinl.men.	900	in	nsec3	1 1 0 - 022NJ2ICJ3QHO0LVBA5QVQ9E2VNJ6APV NS DS RRSIG
01v2voir8a4keqm7obhdpmdk120quinl.men.	900	in	rrsig	NSEC3 8 2 900 20250920045134 20250906035622 34428 men. x5Vl2t//7XhsQ4cTneFQ4IL7Lxo66Dm3MFFm0D8lTvRPj+1vR7vaO9M+K2/IkxFkarXkrTbBjz8qUhD9DLL2V3R7Wr8ACmVIWay9ncY9C2Rh6XEERbJdEbKG2R0l88yn3cTlOzwuVJ44m1JmvK8OokVEtqB8v2g8RgMyBVqlEIE+1gqip7lRiJhiQaCgczQcyM9vb7haxXkwSx0h1606mg==
020.men.	3600	in	ns	ns1-show.myhostadmin.net.
020.men.	3600	in	ns	ns2-show.myhostadmin.net.
021.men.	3600	in	ns	ns1-show.myhostadmin.net.
021.men.	3600	in	ns	ns2-show.myhostadmin.net.
022nj2icj3qho0lvba5qvq9e2vnj6apv.men.	900	in	nsec3	1 1 0 - 02KUPDGH1B0CIFI6IDQ8ICJDPI78EV7T NS DS RRSIG
