menu.	900	in	soa	a.nic.menu. admin.tldns.godaddy. 1769299233 1800 300 604800 1800
007.menu.	3600	in	ns	ns1.webglobe.sk.
007.menu.	3600	in	ns	ns2.webglobe.sk.
007.menu.	3600	in	ns	ns3.webglobe.com.
0eua83mulon7jqoeumpo7mk8heutsn10.menu.	900	in	nsec3	1 1 0 - 0HKT10E8M19JDN3P1VH5C9N52P4U62DL NS DS RRSIG
0eua83mulon7jqoeumpo7mk8heutsn10.menu.	900	in	rrsig	NSEC3 8 2 900 20260207050456 20260124050207 55260 menu. Hg2NUnF7LzdU0NgsnK17tPDqERy8bc+m63cGDfjtQ+TVPkanoiaprXTo+AdKmLKVfEu9NRhpgkVmOCMp/jkSh1pTTSjH2f3+qWcNurKl8BY7KDrEfV4mw17AlZH5RLp+XWT464l4YVigT06NR3zIECSZuSsSTBv4BmSYQ3jh/HfVNXmY9QKeox5y7UroOodLpoNM5XfwZ3cWyKalHTwtQg==
0hkt10e8m19jdn3p1vh5c9n52p4u62dl.menu.	900	in	nsec3	1 1 0 - 13DOI9H509RJH3SLIJHCK4DF7901OTCC NS DS RRSIG
0hkt10e8m19jdn3p1vh5c9n52p4u62dl.menu.	900	in	rrsig	NSEC3 8 2 900 20260205084841 20260122083746 55260 menu. TbUjG/Zhof5Zun2R9L0vcTyjuPKg935Ts25aiRJcn/+hwsFSgqrKlYAzb7oI4XEMAD6BJ7ia8kgxMWg1koz1X7PBOlisG/tVE507piZy+UIvtHzUvDCIsL1RxdGG7048WklGap/PxotHIrxQZBDU9S/R5RgKbhngLsBeKDtrRLlR3e3N4B58TzxVvJSP8i14AyI8trztu6eHl8Nu0zOjYg==
1000.menu.	3600	in	ns	ezra.ns.cloudflare.com.
1000.menu.	3600	in	ns	nancy.ns.cloudflare.com.
1001.menu.	3600	in	ns	ns39.domaincontrol.com.
1001.menu.	3600	in	ns	ns40.domaincontrol.com.
100folds.menu.	3600	in	ns	dns1.registrar-servers.com.
100folds.menu.	3600	in	ns	dns2.registrar-servers.com.
101family.menu.	3600	in	ns	ns1.tildadns.com.
101family.menu.	3600	in	ns	ns2.tildadns.com.
11bet.menu.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.menu.	3600	in	ns	maceio.ns.porkbun.com.
11bet.menu.	3600	in	ns	salvador.ns.porkbun.com.
1231daiquiris.menu.	3600	in	ns	curitiba.ns.porkbun.com.
1231daiquiris.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
1231daiquiris.menu.	3600	in	ns	maceio.ns.porkbun.com.
1231daiquiris.menu.	3600	in	ns	salvador.ns.porkbun.com.
123b.menu.	3600	in	ns	dns1.name-services.com.
123b.menu.	3600	in	ns	dns2.name-services.com.
123b.menu.	3600	in	ns	dns3.name-services.com.
123b.menu.	3600	in	ns	dns4.name-services.com.
123b.menu.	3600	in	ns	dns5.name-services.com.
12dusi.menu.	3600	in	ns	dns1.registrar-servers.com.
12dusi.menu.	3600	in	ns	dns2.registrar-servers.com.
13doi9h509rjh3slijhck4df7901otcc.menu.	900	in	nsec3	1 1 0 - 1K6450VHIPOC2GTJONPO03K289M4K776 NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
13doi9h509rjh3slijhck4df7901otcc.menu.	900	in	rrsig	NSEC3 8 2 900 20260206211107 20260123205527 55260 menu. AlORhAId582AeGPJLYTSsZGbR9qrj6ynaOoQtF7Ozab/zVL30bJpucE8LgzEiKyioat5yPf5CBewKS18lkhrPvK42Z5xOpQcCzWMwGElAKn/wS6rxIDlEsOv4S/yiX/0muyS81COFw0pUKwqOULEFAyY9+ha9NB5w6N/RHSixqwEzzFXbFNBSWZ0wRXWZ5rUlxr2JpJs3FgVDfjWksFMAA==
14th.menu.	3600	in	ns	ns.abdns.biz.
14th.menu.	3600	in	ns	ns.abdns.eu.
14th.menu.	3600	in	ns	ns.abdns.info.
188bet.menu.	3600	in	ns	pdns95.ultradns.biz.
188bet.menu.	3600	in	ns	pdns95.ultradns.com.
188bet.menu.	3600	in	ns	pdns95.ultradns.net.
188bet.menu.	3600	in	ns	pdns95.ultradns.org.
195.menu.	3600	in	ns	dns1.registrar-servers.com.
195.menu.	3600	in	ns	dns2.registrar-servers.com.
1980sseafoodandcatering.menu.	3600	in	ns	curitiba.ns.porkbun.com.
1980sseafoodandcatering.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
1980sseafoodandcatering.menu.	3600	in	ns	maceio.ns.porkbun.com.
1980sseafoodandcatering.menu.	3600	in	ns	salvador.ns.porkbun.com.
19languages.menu.	3600	in	ns	ns-1282.awsdns-32.org.
19languages.menu.	3600	in	ns	ns-14.awsdns-01.com.
19languages.menu.	3600	in	ns	ns-2017.awsdns-60.co.uk.
19languages.menu.	3600	in	ns	ns-766.awsdns-31.net.
19th.menu.	3600	in	ns	ns33.domaincontrol.com.
19th.menu.	3600	in	ns	ns34.domaincontrol.com.
1and1-test-ntlds-ca.menu.	3600	in	ns	ns-ca.1and1-dns.com.
1and1-test-ntlds-ca.menu.	3600	in	ns	ns-ca.1and1-dns.org.
1food.menu.	3600	in	ns	james.ns.cloudflare.com.
1food.menu.	3600	in	ns	uma.ns.cloudflare.com.
1k6450vhipoc2gtjonpo03k289m4k776.menu.	900	in	nsec3	1 1 0 - 1TIO3T9FFA994QP8PKRI5589FSGGUIMS NS DS RRSIG
1k6450vhipoc2gtjonpo03k289m4k776.menu.	900	in	rrsig	NSEC3 8 2 900 20260203002521 20260119234450 55260 menu. Y4tB3+V+OsynUsUHe/zafJ9TJEbKy+ZDQClHejdDhCjcQSxFN4CeQK9SVCs/c8dyxNzWKTHvZT7n6wc4iC3DVhG/eUFudNTT/nPd/x3HJkP3xgWiP4QsigoqATpEponfCzlyzAPrt/GEFPHzNuy81zTtU7V9c/N0NflnGOXBwE2VR+vftMbqNuf6syUgI6Pd+4QE5YmCHxjNdnwsk9PuDQ==
1page.menu.	3600	in	ns	ns1.stackdns.com.
1page.menu.	3600	in	ns	ns2.stackdns.com.
1page.menu.	3600	in	ns	ns3.stackdns.com.
1page.menu.	3600	in	ns	ns4.stackdns.com.
1st.menu.	3600	in	ns	ns1.atom.com.
1st.menu.	3600	in	ns	ns2.atom.com.
1tio3t9ffa994qp8pkri5589fsgguims.menu.	900	in	nsec3	1 1 0 - 1UPJT1NDURBKMANI03DBN7S0796K2Q8A NS DS RRSIG
1tio3t9ffa994qp8pkri5589fsgguims.menu.	900	in	rrsig	NSEC3 8 2 900 20260207133241 20260124124257 55260 menu. krp1SL0u4DCHxFF582GeDTwmLEAQsxTd2tWCEePqEmfxav7V50m4mZdn1VSyiMaNJ7SoknLQHbPqIqHdV/4S0Hpq29lx1aONPE+h1fxqJjuC/5b9ZRJDSTtS0Rb6QbGQsrJpNJj+aLo4OmpZP/47ZcEbWPdSkPDv5mIvsc87BAz7wLd1il7zMKX6hdOhiIcjPHfT0IDvq4OL6jrHXBGNQQ==
1upjt1ndurbkmani03dbn7s0796k2q8a.menu.	900	in	nsec3	1 1 0 - 22KNS54TS6JU0FC4F1U628GMOP53RBRO NS DS RRSIG
1upjt1ndurbkmani03dbn7s0796k2q8a.menu.	900	in	rrsig	NSEC3 8 2 900 20260205154257 20260122150434 55260 menu. QWd0L2w+b9rmVn2MurbNryZTCBomXF7u6Sbsc1qoS+ikY9+5f5NTJFQJYBGhoeiObhiCrN9reTPAYvZgT7xzFyp9RvRDePPyW/cjohPhE94zY9aFy4BXIhRRsBGZsZVGJxb32JAGYhDu+B7v4+kuVFHqCeUwXwK8TGWG1NKWyB+/i+kzlzXi0+WoQis4lg995y7H++iQQPRGbXTlWKrFsQ==
20four.menu.	3600	in	ns	curitiba.ns.porkbun.com.
20four.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
20four.menu.	3600	in	ns	maceio.ns.porkbun.com.
20four.menu.	3600	in	ns	salvador.ns.porkbun.com.
220cps.menu.	3600	in	ns	curitiba.ns.porkbun.com.
220cps.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
220cps.menu.	3600	in	ns	maceio.ns.porkbun.com.
220cps.menu.	3600	in	ns	salvador.ns.porkbun.com.
222.menu.	3600	in	ns	dns1.registrar-servers.com.
222.menu.	3600	in	ns	dns2.registrar-servers.com.
22kns54ts6ju0fc4f1u628gmop53rbro.menu.	900	in	nsec3	1 1 0 - 2KMNSLO7QU51N9B7D7FFJ84LR4GEILIM NS DS RRSIG
22kns54ts6ju0fc4f1u628gmop53rbro.menu.	900	in	rrsig	NSEC3 8 2 900 20260205154257 20260122150434 55260 menu. Z/4xb551MckpJ3CjSVmJIV2bNcSjq/HAAwi/raV4yobpItW98B61qI6JSgOha8epCswLZBVncQPbifpQUumhGu2Ji/ovF2pb0cZzDu2r+QhXN+SBog2+Uzuf3d+8N9pgRfHlTNPecSqQsUph/ujRXSSD5ffIft6BFFgHbI57L39ZuS253Y6Z9sGNC89VRfZZt/tkLXHGZ3LqdO4NIVjt5A==
22vanderbilt.menu.	3600	in	ns	curitiba.ns.porkbun.com.
22vanderbilt.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
22vanderbilt.menu.	3600	in	ns	maceio.ns.porkbun.com.
22vanderbilt.menu.	3600	in	ns	salvador.ns.porkbun.com.
23win.menu.	3600	in	ns	addilyn.ns.cloudflare.com.
23win.menu.	3600	in	ns	bryce.ns.cloudflare.com.
24-7.menu.	3600	in	ns	curitiba.ns.porkbun.com.
24-7.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
24-7.menu.	3600	in	ns	maceio.ns.porkbun.com.
24-7.menu.	3600	in	ns	salvador.ns.porkbun.com.
24expres.menu.	3600	in	ns	ns.forpsi.cz.
24expres.menu.	3600	in	ns	ns.forpsi.it.
24expres.menu.	3600	in	ns	ns.forpsi.net.
24video.menu.	3600	in	ns	ns1.dns-cloud.org.
24video.menu.	3600	in	ns	ns2.dns-cloud.org.
2day.menu.	3600	in	ns	ns1.register.it.
2day.menu.	3600	in	ns	ns2.register.it.
2kmnslo7qu51n9b7d7ffj84lr4geilim.menu.	900	in	nsec3	1 1 0 - 2NF1ELNO5KGDGUO2DD4L24ADK62UGVRV NS DS RRSIG
2kmnslo7qu51n9b7d7ffj84lr4geilim.menu.	900	in	rrsig	NSEC3 8 2 900 20260206212235 20260123205656 55260 menu. axnFFvCw1EhX7bvO/yJnfwDNBh+2fGwR+dz3FN/rRGEYhMGBz4S79ue9NGEnwvo0Z5HAQgu5IHyw41g4gVzybbO6rqFVvd6kvMQ1QyaZBkVVOuS6t9sggrV1poS2IzVjJoUTEByjU+G4koJkSKvvGFCuSxK5T2BcHqLea9MmF9dCXNCRLwSm+U0Q/nOf3amLNHslsQZrSFi+eu3driIcZQ==
2nf1elno5kgdguo2dd4l24adk62ugvrv.menu.	900	in	nsec3	1 1 0 - 3KJQD0KGVCND5F6OJ0A0HNIBH439CIU1 NS DS RRSIG
2nf1elno5kgdguo2dd4l24adk62ugvrv.menu.	900	in	rrsig	NSEC3 8 2 900 20260203183126 20260120180151 55260 menu. fy0GpcFFWeOaTio0ZCwzVMGCw5kQ1d3bieyQ7IAH/IQKTxNSYEZARW4OLvREvwbITbSZgPISVRVFqQi9/ZadLI873Sw6Y50NAJW3QxO/9oDVe1m6DQgNEf8nndLepuO2csiuRqcb9I7sD/xDIKfTp+8Ciy5xZoUI4J/kMUDTC7vpl2sL4fmm7SgHIl0sG/8CA9CqDhKF0e6vrqpOmeCiOw==
2order.menu.	3600	in	ns	ns1.siteground.net.
2order.menu.	3600	in	ns	ns2.siteground.net.
2take1.menu.	3600	in	ns	ns1.abovedomains.com.
2take1.menu.	3600	in	ns	ns2.abovedomains.com.
2vu.menu.	3600	in	ns	ns1kwy.name.com.
2vu.menu.	3600	in	ns	ns2dqx.name.com.
2vu.menu.	3600	in	ns	ns3jmt.name.com.
2vu.menu.	3600	in	ns	ns4kmw.name.com.
3-gangen.menu.	3600	in	ns	ns1.sedoparking.com.
3-gangen.menu.	3600	in	ns	ns2.sedoparking.com.
30a.menu.	3600	in	ns	ns77.domaincontrol.com.
30a.menu.	3600	in	ns	ns78.domaincontrol.com.
30afoodandwine.menu.	3600	in	ns	ns07.domaincontrol.com.
30afoodandwine.menu.	3600	in	ns	ns08.domaincontrol.com.
30dagen.menu.	3600	in	ns	ns1.siteground.net.
30dagen.menu.	3600	in	ns	ns2.siteground.net.
333.menu.	3600	in	ns	dns1.registrar-servers.com.
333.menu.	3600	in	ns	dns2.registrar-servers.com.
360americanbistro.menu.	3600	in	ns	curitiba.ns.porkbun.com.
360americanbistro.menu.	3600	in	ns	fortaleza.ns.porkbun.com.
360americanbistro.menu.	3600	in	ns	maceio.ns.porkbun.com.
360americanbistro.menu.	3600	in	ns	salvador.ns.porkbun.com.
388bet.menu.	3600	in	ns	anuj.ns.cloudflare.com.
388bet.menu.	3600	in	ns	hope.ns.cloudflare.com.
3dprinting.menu.	3600	in	ns	ns39.domaincontrol.com.
3dprinting.menu.	3600	in	ns	ns40.domaincontrol.com.
3kjqd0kgvcnd5f6oj0a0hnibh439ciu1.menu.	900	in	nsec3	1 1 0 - 3O4FFA88O6IBACRPRJU6R7ESDJ87BCI2 NS DS RRSIG
