microsoft.	172800	in	soa	dns1.nic.microsoft. hostmaster.nominet.org.uk. 1750680222 900 300 2419200 3600
1gealamgvol4u7an37lsp9n191h0jlng.microsoft.	3600	in	nsec3	1 1 0 - 3BC35KQB6OHA3SR0HNPITM63267URVI3 NS DS RRSIG
1gealamgvol4u7an37lsp9n191h0jlng.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251103060524 20250929055351 26161 microsoft. LSdX0mFVOihPKAQxUTH7yDnlERWH+5ZTBL8+THSPpNJTYkVYHbBBExygXXH1id3jiCHPi/INdMXUSflsQH7lLoVxPhVfAnfFD/GBB6Yw/5VG3gazAraNEFK+jVqJQCLEyxWseH1H1UDSBhOHiyazt2vnuEGEi8ai4xctvSMCapaABtU+uYF+USqtuO1IAhHel8V5MkJRSV8FyABVFHJl69RnmUOC18PVCKfqlpPmBDlFTwHaYCKVmj0rqYmw/VKqS3+SzrEpZAGF5RZ4XjWyQyoG6jRte7K3uf/RXCK1IgzAUFxq35sjs6NldXX/X/SeiA7AHNPK3q5raPsTg9P3cQ==
365.microsoft.	172800	in	ns	ns1-02.azure-dns.com.
365.microsoft.	172800	in	ns	ns2-02.azure-dns.net.
365.microsoft.	172800	in	ns	ns3-02.azure-dns.org.
365.microsoft.	172800	in	ns	ns4-02.azure-dns.info.
3bc35kqb6oha3sr0hnpitm63267urvi3.microsoft.	3600	in	nsec3	1 1 0 - 3GDKLOF2KB8HK7TSLUV8S14QLRU8QN37 NS DS RRSIG
3bc35kqb6oha3sr0hnpitm63267urvi3.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251103060524 20250929055351 26161 microsoft. ioq/3YcVPtzBrBAyhsLgPbWFEn9QGbzTsZI/eQlx9BiXuq201xaMkDzWGvEKx5SsQrtFrQYIUJUHVx87eTyBlL3+XWyzx+Hg+CShVBj/QShzGlsb9o1MfvadkPilgeotqv4dD+SNraf1bjt0+uZh4Z8EBt1Kw1zh32QIDX6zw0BWY8OyYDewhz80MIAV55vtX3eocsah/HrPyyFRkIJPrOVGsOH+DfWMsI9CKKpR84SKm53MpIeCnUe4OItAyc5xIibDORL4rP2TouOeyMXV7ZjNBODi2qdFHB1nPUQlVpaBB1dVTeNTxE8fHT24NRcEJ9TlAE6xhepSCc9rq05xeQ==
3gdklof2kb8hk7tsluv8s14qlru8qn37.microsoft.	3600	in	nsec3	1 1 0 - 7F8VCM2B2JF85M32P69ATM21NSJIIHKF NS SOA RRSIG DNSKEY NSEC3PARAM TYPE65534
3gdklof2kb8hk7tsluv8s14qlru8qn37.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251102173123 20250928170037 26161 microsoft. BlXfukWqBqQY8uZ42T5mfF7rGGiFyxRvmztRsv2B3qwKM9XhkUnndIZf/Bok3njOmn9jmLzdzNN7JMPXjyPO85GPn26GxNz/Yjrv5fXaNfdPTjW1PvHWu7lPDQZuBr4uv2Aqp1jo2KmADgnrG5BZsX8uZtDQ/Vi/7H+utGTHspf/KvMhu5FrU5yaA8X0LKS0j8E9yNACyhH66ThTi8gxsBQ7h0iOfUqDQVbuJYfXdo+RZggsRozceeYGOm+aZwWvDm+w5VykIHUj04j3VPQ1EChZ7nHztAMyXihQVq4tz9nA/0CqxiydR9PKxEeT/RL3Vto3HkfdmKE/0OWMLw/XHA==
7f8vcm2b2jf85m32p69atm21nsjiihkf.microsoft.	3600	in	nsec3	1 1 0 - 9H99IK9FIQPQAQKG5894K5PCJPHIINA5 NS DS RRSIG
7f8vcm2b2jf85m32p69atm21nsjiihkf.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251104231024 20250930223107 26161 microsoft. kfi+QP6aYwnvIm1Pa9uxDDpTE2t2yFIC30eSkK1oQidC+XW0bZldNGb1xxlXeS36eMbeYUMh/DbfycpntziYJBAhAkmkjKoF2xAMMWxY7Twl2L0bKZKJGkYT3/4uH86A1A8WXWIkmVX1yVYGQeN9BASSmmGUxFLCdteQZp/qqSLK1c2Khhcq55PqwZgy17Vymyy6z2Z8KEPN/WKpcY8LeMwuCJqaj2byn9iIpBt8NnUffESIRs+GvUR0Vaz318Tr5QLYD/KLDZytc+7JGZ8aTW/NPjwdDu+WqGiDq+hWBTNtA62spj38t4pWRpTK0RDFZT/Yi3Ga/tIaPXkkVwyErg==
9h99ik9fiqpqaqkg5894k5pcjphiina5.microsoft.	3600	in	nsec3	1 1 0 - GMPMDH3URN3NELSCE2P741KUVNO31QSO NS DS RRSIG
9h99ik9fiqpqaqkg5894k5pcjphiina5.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251104231024 20250930223107 26161 microsoft. NnbNGQG2qWow0mSAU5kxISXTRZDwLrMql5qkWufxPWtEKsk5PsljFBcjamKpoWmlHe7SJ3IGxD2axVej0QP0T4kPyarV6QsCflLej0IBiiNCqwa6MzXXEGQBVksvoxhoph8beYTF8TdIuwP4ESe7/Hu0NvHONgxDG0jZZrgGGPoxmnB4ZSROUePdJaE8I+09E0OVa1prr/Be8D47Q+dnEVPVcAYZ70j+FkxIbuFY7EEPBYGrxQN8eawL5UUshRcGM+cgWVWCLbFUTg1lUeOArNp1ZrnXoyqPfJU8N4/ixsNy6AQMtzZlyCP8iFfkMlkJJUFrUb+XuKxeVOEjArBiWQ==
about.microsoft.	172800	in	ns	ns1-02.azure-dns.com.
about.microsoft.	172800	in	ns	ns2-02.azure-dns.net.
about.microsoft.	172800	in	ns	ns3-02.azure-dns.org.
about.microsoft.	172800	in	ns	ns4-02.azure-dns.info.
account.microsoft.	172800	in	ns	ns1-09.azure-dns.com.
account.microsoft.	172800	in	ns	ns2-09.azure-dns.net.
account.microsoft.	172800	in	ns	ns3-09.azure-dns.org.
account.microsoft.	172800	in	ns	ns4-09.azure-dns.info.
auth.microsoft.	172800	in	ns	ns1-32.azure-dns.com.
auth.microsoft.	172800	in	ns	ns2-32.azure-dns.net.
auth.microsoft.	172800	in	ns	ns3-32.azure-dns.org.
auth.microsoft.	172800	in	ns	ns4-32.azure-dns.info.
azure.microsoft.	172800	in	ns	ns1-04.azure-dns.com.
azure.microsoft.	172800	in	ns	ns2-04.azure-dns.net.
azure.microsoft.	172800	in	ns	ns3-04.azure-dns.org.
azure.microsoft.	172800	in	ns	ns4-04.azure-dns.info.
band.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
band.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
band.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
band.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
bing.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
bing.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
bing.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
bing.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
cloud-dev.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
cloud-dev.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
cloud-dev.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
cloud-dev.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
cloud.microsoft.	172800	in	ns	ns1-33.azure-dns.com.
cloud.microsoft.	172800	in	ns	ns2-33.azure-dns.net.
cloud.microsoft.	172800	in	ns	ns3-33.azure-dns.org.
cloud.microsoft.	172800	in	ns	ns4-33.azure-dns.info.
cloud.microsoft.	3600	in	ds	61899 13 2 3669D6E0BA4221859F38E90C598CD669A834BD99EE6478C2217C90D2C509D3ED
cloud.microsoft.	3600	in	rrsig	DS 8 2 3600 20251104205814 20250930205004 26161 microsoft. IQiea37xbgtvkP4/DH9smTJ2d+yWDEpoI6qY1Eb8hI+djnWibYpOfXS5wBTDPYS7UwwB3oRXkLwFJ53pUqgnd1oipp0QEikLGp2u2dN7EL79mn9CYw4RaJwd5cMXtgQjILodtoBcSdg5ScpSftu6haGxjhDLjBwv6dRDymNoLwEziOEqiTtgO+ZNdJnfn7rIlgGJk4C5icIU+7XSYBTGS+QcT8w65jNjFeVlpAZuX7sAOtzkxzdNI7bELKfceivl4BVp3YteU+jjJLRb6XcfBrSyA24E9e6tYrrCdJ1hf8wx6clQsSXmBmEtNY9C/bN2rzx7h5PlttQB1h64y65Ucg==
com.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
com.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
com.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
com.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
core.microsoft.	172800	in	ns	ns1-33.azure-dns.com.
core.microsoft.	172800	in	ns	ns2-33.azure-dns.net.
core.microsoft.	172800	in	ns	ns3-33.azure-dns.org.
core.microsoft.	172800	in	ns	ns4-33.azure-dns.info.
core.microsoft.	3600	in	ds	26730 13 2 FC2C6818B73721081CE2D1E23684115353063F84FDAAFA4DA992162F65665FAF
core.microsoft.	3600	in	rrsig	DS 8 2 3600 20251103224111 20250929223747 26161 microsoft. Vq3j6vXzGwCO7iqer2GxFVZNjh1mxpmkSQSa7UwCpi0x3PfFGC7y/GVBDYSBvxJ8SPVgfNIdMxsT99U6vcTNQDiuv9ZsyyAaLkjk0Q8kRyWd9vdo5ZZqRpLSWiIY3C16txulgwLSLn6WS3MumNC+XA7pw9+imaOukjGuJWti3Dh/i1kkaXyOUgUuqF0BC94AijULB/1Nq5bdg99gLqaJRSB6Ox4F3juzuN5uP2IFbVzIlUTbkPZhHqBw08umAi+kFCTvTUiI6MG5vKnY8AE2xy5IL1dOjXtFDC3978xQHmbyvfyfegCgmoOx1ZH24yjFYco9B5GSMocbpLs7neNF+g==
corp.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
corp.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
corp.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
corp.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
data.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
data.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
data.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
data.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
dc.microsoft.	172800	in	ns	ns1-05.azure-dns.com.
dc.microsoft.	172800	in	ns	ns2-05.azure-dns.net.
dc.microsoft.	172800	in	ns	ns3-05.azure-dns.org.
dc.microsoft.	172800	in	ns	ns4-05.azure-dns.info.
dev.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
dev.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
dev.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
dev.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
dev.microsoft.	3600	in	ds	31163 13 2 C4043620932720E7D133C523861C5449800FDF3AAB862A00401F2B3C900826F6
dev.microsoft.	3600	in	rrsig	DS 8 2 3600 20251103060524 20250929055351 26161 microsoft. hFq+XYcd+DZsXOknU4D9BwW6lAQW93eZuapMo5MwGzdEE4tZM8Xebkzxt36MpRLeajj0p5NOhBHVndbtbA7fREpsD6/7cjBi54D2PnFimJ2GRAMWIxPECp/k/0jaTvE2khylkPl20bf25soRYvos+sAbkWf1aDzkvUR6jIPyD+cqDK5yLoTeYJntlGEnSFWTvdUawJ5GQ5+l8wksP3hBTjz++RhrdVggNoxCdTF3AxVS7S3Ev/S/M803KH5vxEkOFmCV01INM/zfy5HM2FTbluq9nnMU7sJ3YjADdwl9VyPrgRfDNPoEmT2k+YR5bMuj1oD2EHVYBaWRoUnk5VbFgA==
