moe.	900	in	soa	ns1.dns.nic.moe. admin.tldns.godaddy. 1757030804 1800 300 604800 1800
001.moe.	3600	in	ns	luke.ns.cloudflare.com.
001.moe.	3600	in	ns	rose.ns.cloudflare.com.
00525.moe.	3600	in	ns	a.dnspod.com.
00525.moe.	3600	in	ns	b.dnspod.com.
00525.moe.	3600	in	ns	c.dnspod.com.
00530.moe.	3600	in	ns	ns1.dns.com.
00530.moe.	3600	in	ns	ns2.dns.com.
005hr46pb1np0v43f64k8p0v8jkniuhl.moe.	900	in	nsec3	1 1 0 - 00OIFRNRERFNEC9VUENMK3H9RAQ80R6N NS DS RRSIG
005hr46pb1np0v43f64k8p0v8jkniuhl.moe.	900	in	rrsig	NSEC3 8 2 900 20250918235732 20250904234835 7626 moe. ogkPyhvcmlBLbK+ock3TO9XiXpyz4A929JO64G5ovAfZ26BCMRZ8lRlnlVGOs2fk7lBmmwKkfbvFhWcjWfHl8ocfGva0dLjbkWqx245ZvkgYw182udcf39HJJ1Gd7RUTrLXgtac1kh2gZIyAmuys3Ni3JKegS8fL4dwZ8j0vY8NVEQUpu5a11v5LkpXBblc/VWPQ4Ks/O47XMq0YTsrTzA==
00696.moe.	3600	in	ns	a.dnspod.com.
00696.moe.	3600	in	ns	b.dnspod.com.
00696.moe.	3600	in	ns	c.dnspod.com.
007.moe.	3600	in	ns	bingo.ns.cloudflare.com.
007.moe.	3600	in	ns	elmo.ns.cloudflare.com.
00775.moe.	3600	in	ns	a.dnspod.com.
00775.moe.	3600	in	ns	b.dnspod.com.
00775.moe.	3600	in	ns	c.dnspod.com.
00oifrnrerfnec9vuenmk3h9raq80r6n.moe.	900	in	nsec3	1 1 0 - 00S7HA3GBL7V9618N4LEHGOGSLBGFJGV NS DS RRSIG
00oifrnrerfnec9vuenmk3h9raq80r6n.moe.	900	in	rrsig	NSEC3 8 2 900 20250915004331 20250831234927 7626 moe. HsDiYtFE40ZptAsDilLDpe3wTAgtYTcg8bpqqXO0i0TSfnLkME8nzKIADHx6A2ktBMakasA7CcgSBS8x8iZ/qahajKfWRoQDCim+s57voQVsnFLmvQouZuZ81pvbbFFULgZd2NRjVBzCMl5ENZK4mpVeixNW7hms4rB4r5I3fhqQgpUYlw3DRl4Lxv+xR+mBM+CDoJB7tXM5QGg4/8ZMPA==
00s7ha3gbl7v9618n4lehgogslbgfjgv.moe.	900	in	nsec3	1 1 0 - 02GMSTUL9T9IMAQTLP7HTGTNR387FU27 NS DS RRSIG
00s7ha3gbl7v9618n4lehgogslbgfjgv.moe.	900	in	rrsig	NSEC3 8 2 900 20250914203426 20250831193821 7626 moe. JPe+KPYdnkBZETbDvkfWTMY9WnLqWWsHTrXyZNcgUEf/oXg6bRcjDMKdOd+jNmNEeN2ZnBn0hJBmm9x+JHgvLMOuAIh7K9sct3BFJShGPbCcHLj/kaez5kDZyCbI7NHFoU5IjdJPz81WuwDkXBxDM8TlXS018OM1GKQ/d3IUt5M1fXxBwungBb1tOzXAdF8ZBOCv5jXmd5pJcZ8iSwmJWQ==
010.moe.	3600	in	ns	ns59.domaincontrol.com.
010.moe.	3600	in	ns	ns60.domaincontrol.com.
0120.moe.	3600	in	ns	dns1.jadm.moe.
0120.moe.	3600	in	ns	dns2.jadm.moe.
0123.moe.	3600	in	ns	cheryl.ns.cloudflare.com.
0123.moe.	3600	in	ns	chuck.ns.cloudflare.com.
01329.moe.	3600	in	ns	n1.xundns.com.
01329.moe.	3600	in	ns	n2.xundns.com.
015.moe.	3600	in	ns	ns1.dns.kitchen.
015.moe.	3600	in	ns	ns2.dns.kitchen.
015.moe.	3600	in	ns	ns3.dns.kitchen.
01539.moe.	3600	in	ns	n1.xundns.com.
01539.moe.	3600	in	ns	n2.xundns.com.
01769.moe.	3600	in	ns	ns1.dnsip.com.
01769.moe.	3600	in	ns	ns2.dnsip.com.
01892.moe.	3600	in	ns	ns1.dnsip.com.
01892.moe.	3600	in	ns	ns2.dnsip.com.
01blu3.moe.	3600	in	ns	ada.ns.cloudflare.com.
01blu3.moe.	3600	in	ns	vern.ns.cloudflare.com.
02135.moe.	3600	in	ns	ns1.dnsip.com.
02135.moe.	3600	in	ns	ns2.dnsip.com.
025013.moe.	3600	in	ns	n1.xundns.com.
025013.moe.	3600	in	ns	n2.xundns.com.
02706.moe.	3600	in	ns	n1.xundns.com.
02706.moe.	3600	in	ns	n2.xundns.com.
02710.moe.	3600	in	ns	n1.xundns.com.
02710.moe.	3600	in	ns	n2.xundns.com.
02gmstul9t9imaqtlp7htgtnr387fu27.moe.	900	in	nsec3	1 1 0 - 02J1CF3E5JKOCM218MU533HO69DCLUKQ NS DS RRSIG
02gmstul9t9imaqtlp7htgtnr387fu27.moe.	900	in	rrsig	NSEC3 8 2 900 20250915155049 20250901154701 7626 moe. k+tJqKBp1BeN0iJ6q5qDVkSX9WGA68KEgTdj6dSE5wldH/orEU9IpMs9vK+fcYqsKih8cMheXwzEaTvHs/DX5dpoRAreaj2NIPZ3gog5rQmZK+eBlgIwnFnheOpK1S0WLjSPXGK3XfEHB7hGUpmTh+Smx8SKwaoarcaDc6wdMC5SbiTQvpm2ecFetANzlifM0UDOZfKGYVmFpAVMg0fWOw==
02j1cf3e5jkocm218mu533ho69dclukq.moe.	900	in	nsec3	1 1 0 - 02R4BTB8T5MP7MC6SSDBSFP96QHHS147 NS DS RRSIG
02j1cf3e5jkocm218mu533ho69dclukq.moe.	900	in	rrsig	NSEC3 8 2 900 20250915155049 20250901154701 7626 moe. G3ZzlWNtGn6V455pCF///i8GoslrgCUgNAXtvchJHBrqNHUodAFBAG5AHhW9fLUSiX0UY1Ph6KK5A3nQWe9OLMBAiBhSYigZMrB9go6JhF6bNOhB/b4BggiV8EU5cVHvLUgvp3USMuduh2RQGiPPKkhN3Wwa9eDp02Yl64pLjc2cFBISSgw9XU18zxDb3MIRl1e1j2tJQjHZkErI/RC32g==
02r4btb8t5mp7mc6ssdbsfp96qhhs147.moe.	900	in	nsec3	1 1 0 - 03KR980MODMM4J75PQ413A4O63612T9J NS DS RRSIG
02r4btb8t5mp7mc6ssdbsfp96qhhs147.moe.	900	in	rrsig	NSEC3 8 2 900 20250915040202 20250901034531 7626 moe. EUmLLAJSSly8SBz6CGUCA+Aflae6WsJXNd8ODELSOTkTFylB6ISMpfDbCLFDT4vUTieFNjLhI9MVGPWV9kmy6lfbP5x/hSd8NBrDHs0G53F422qkowp+4PMRTWM66+HWyXbt/j+zbAzHp0R4wKdmcWhEgHo4Nr8Zs5ppovnE9BZq2rF2j1r7Nly+YLLljjUHXz1XYh0iudiu/SILGx+Y3A==
030.moe.	7200	in	ns	ken.ns.cloudflare.com.
030.moe.	7200	in	ns	lucy.ns.cloudflare.com.
030buy.moe.	7200	in	ns	ns31.domaincontrol.com.
030buy.moe.	7200	in	ns	ns32.domaincontrol.com.
0316.moe.	3600	in	ds	2371 13 2 C070B761FCD57BFE8D3FB7297145884F188A5F5E57417BB3C6710E7F3B34BDD4
0316.moe.	3600	in	ns	aragorn.ns.cloudflare.com.
0316.moe.	3600	in	ns	jamie.ns.cloudflare.com.
0316.moe.	3600	in	rrsig	DS 8 2 3600 20250914053527 20250831051958 7626 moe. f3dKrhtMHvrU10Itdwl8EvZmIDnJoB5Lu3zTKLfDq9Rxdwz2n5LDWhe1qMnU9SmMMzO1mr7XXEVku49+LXFmWVm3b7L2+Sv+tgAXi7/s2rRCr6o8BcJIrHrX509hwQxiL3DMxiOnfHOsy3O8i3HgUsosfECPLb7Ss+KDjsmEAUmWR0HwMVpuC0AVRa1LslcUtoyeWGlOyG7+tLXvK5szPQ==
03515.moe.	3600	in	ns	a.dnspod.com.
03515.moe.	3600	in	ns	b.dnspod.com.
03515.moe.	3600	in	ns	c.dnspod.com.
03561.moe.	3600	in	ns	a9.share-dns.com.
03561.moe.	3600	in	ns	b9.share-dns.net.
03878.moe.	3600	in	ns	n1.xundns.com.
03878.moe.	3600	in	ns	n2.xundns.com.
03kr980modmm4j75pq413a4o63612t9j.moe.	900	in	nsec3	1 1 0 - 047AMKB4M32CT8N0JB29FJDEA6KP8GSI NS DS RRSIG
03kr980modmm4j75pq413a4o63612t9j.moe.	900	in	rrsig	NSEC3 8 2 900 20250918024254 20250904021339 7626 moe. am+GgjaA6vNORPLvxD8TiJTA9zNNd54N/7H5EO8tW8M/boP6kj+b+WqaW8ykAxsK1cMDISF797qvNSFviUQwSfSUkAHRrRjHZ9oUY4z6fAm0UGYnzm0Ric0X9VpLqCpxzefkyTKOeRTyN8bo/hrfoStqx0v2aC+bVRD6ygnqpOQhlJtuDzSPzDoYMuc5Q/Apa476gfTr9gz+VyJnw38aPg==
04298.moe.	3600	in	ns	a.dnspod.com.
04298.moe.	3600	in	ns	b.dnspod.com.
04298.moe.	3600	in	ns	c.dnspod.com.
04381.moe.	3600	in	ns	a.dnspod.com.
04381.moe.	3600	in	ns	b.dnspod.com.
04381.moe.	3600	in	ns	c.dnspod.com.
