moi.	172800	in	soa	dns1.nic.moi. hostmaster.nominet.org.uk. 1757526958 900 300 2419200 60
11bet.moi.	172800	in	ns	ns1.101domain.com.
11bet.moi.	172800	in	ns	ns2.101domain.com.
123movies.moi.	172800	in	ns	elijah.ns.cloudflare.com.
123movies.moi.	172800	in	ns	jo.ns.cloudflare.com.
188bet.moi.	172800	in	ns	pdns95.ultradns.biz.
188bet.moi.	172800	in	ns	pdns95.ultradns.com.
188bet.moi.	172800	in	ns	pdns95.ultradns.net.
188bet.moi.	172800	in	ns	pdns95.ultradns.org.
1tamilblasters.moi.	172800	in	ns	cass.ns.cloudflare.com.
1tamilblasters.moi.	172800	in	ns	elias.ns.cloudflare.com.
1tamilmv.moi.	172800	in	ns	dax.ns.cloudflare.com.
1tamilmv.moi.	172800	in	ns	zelda.ns.cloudflare.com.
365.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
365.moi.	172800	in	ns	nssui.comlaude.ch.
365.moi.	172800	in	ns	nsusa.comlaude.net.
388bet.moi.	172800	in	ns	ns1.101domain.com.
388bet.moi.	172800	in	ns	ns2.101domain.com.
4u72npm0vfnnu8j0ajam6n6n313k25ra.moi.	60	in	nsec3	1 1 0 - 5DNH31TVLVCUIOKVIJ1RAIMRP2BEHH9I NS DS RRSIG
4u72npm0vfnnu8j0ajam6n6n313k25ra.moi.	60	in	rrsig	NSEC3 8 2 60 20251009121308 20250904120918 57060 moi. UNAOP674ZBjulZ5/LN8cn1IdvJj+PCZMRWvdVJJi07xO6vsw0nN9v4TDbS5Dz2+5F9H3NvmtAuvi3JyRg+KgAndQdZ4TF6TslD5VQAaTb2xBpQiH2xYO8P788vs9gjjI59WSIbck9NH5HeDyNaNZOBvXzcZYjbhYdsMC9acSNXk86m9AlleFPV3IXVZ1c+oEplrnRpfF0eJ+4kSN8q47a+M7FAQPcy/c8f+cha1Btt8txAQOw4zHC5ur1o7QYmadt7qUCPGtz+Jz/BtUP/+W66izQQqA+qdkOD+zkfx36m9pz1s0BL/hlJn2TGE84pHrzyPpNqC5PyvOgTIZldLadw==
5dnh31tvlvcuiokvij1raimrp2behh9i.moi.	60	in	nsec3	1 1 0 - 7BK1T1VI6SBRV0RL1ONLKS1KFU09B8NR NS DS RRSIG
5dnh31tvlvcuiokvij1raimrp2behh9i.moi.	60	in	rrsig	NSEC3 8 2 60 20251014093214 20250909085620 57060 moi. PYXtLMErmLYOElYJBP1iRWIIGjHGPCvYZtma+WyU/NyJqMu9AgA8McPSztQaV4iYxeg+jXaZEvVki64XjIfEfym21KMhH9/U8EJtmwsVpIxIVS2PUNoUZXJaSmArqB3EB5skqdNduuT/miuRR/kLzddB5UJXYVbnvgL8xPDTRzYvbfFKXSpmHfNPKOnzL225Qc01wohEvQOho01+3r4SdahsFk2HqyxV5c9aB5fD8kLLUmnp6LayYxgq6GsjH/CbfeyCySvuOmy1nY5TT+UEwpdj3WBRXhwheDQNAoOCHueF7ki7ej+VJZz1I0Anf4z7XY1j7lXsK6IoOV1LpZwXjw==
5movierulz.moi.	172800	in	ns	greg.ns.cloudflare.com.
5movierulz.moi.	172800	in	ns	lindsey.ns.cloudflare.com.
789club.moi.	172800	in	ns	ns1.101domain.com.
789club.moi.	172800	in	ns	ns2.101domain.com.
78win.moi.	172800	in	ns	sofia.ns.cloudflare.com.
78win.moi.	172800	in	ns	sullivan.ns.cloudflare.com.
7bk1t1vi6sbrv0rl1onlks1kfu09b8nr.moi.	60	in	nsec3	1 1 0 - 8PF4GBC0UEUAQPR9PQ2BU7E150P2CEO3 NS DS RRSIG
7bk1t1vi6sbrv0rl1onlks1kfu09b8nr.moi.	60	in	rrsig	NSEC3 8 2 60 20251012220153 20250907211440 57060 moi. Gx9W2JM7Gv1qd58XbdarYweGZIjAh79s/lr4QzeHdlY0eE6uxX1FywDf3Qx/eHwR1t28aAiO+7pRF/XN/HyETqn808+wLfLjm835d60GgSnbv9XYDcNBdKIfFHByLCgg9fU9Dr+6PcSYbH0WmtOwWuZS/Grach3kaC1OoTNZvRGIdZMTfuTN5vnIlv2o9ueV4XGwCxYDyeJFm92yWYlexzytYFlpkIvSJAzzCKMd63ImMX9MqUtOcLUT1ytiRmZTQ2GF6GwjBOiGqnUrakMHfja4ontL90bSU3agmS+UWA/wJFg3JmXhoETMV6BEE8R6akvEceu1sbXmxRbYMBaKkg==
8live.moi.	172800	in	ns	ns1.101domain.com.
8live.moi.	172800	in	ns	ns2.101domain.com.
8pf4gbc0ueuaqpr9pq2bu7e150p2ceo3.moi.	60	in	nsec3	1 1 0 - 9CTVJN1L693EA3JV294GEJLE7ECUMLFL NS DS RRSIG
8pf4gbc0ueuaqpr9pq2bu7e150p2ceo3.moi.	60	in	rrsig	NSEC3 8 2 60 20251012220153 20250907211440 57060 moi. IG3P3seyhuFkYkHClIOXNNVagNH2grWbM+dz56DW0tU4B5ExriRhrl8/Etr2IpZK6WzK9dzHRSZaeyAyvZBjKu9YyPKOKYbWcoU2wR8LwSe4VmH0SOmI8A1GMgtH2l+5QRj2EWIeTbjtKeXKUTLJONVtEsK7BRxZLfBmJZjmIuYRHVrJ0t5RTMB4oIEEwTEq7at8FONWMAl2Dpbd3OtmKqSgNj8iRhXAxCJDtKPuQJzFcwU0FpFOBoWkUSeFkNoEReBvy9qxCWxUVBTIZKXcyOUvT9CJlMeRep5bDXHwWNOWO5rvCR7uxhC22S/WINMRgwiThiMerw5MU9141l6+YQ==
8xbet.moi.	172800	in	ns	meiling.ns.cloudflare.com.
8xbet.moi.	172800	in	ns	osmar.ns.cloudflare.com.
9ctvjn1l693ea3jv294gejle7ecumlfl.moi.	60	in	nsec3	1 1 0 - CJE59MLQSBQ55VUTJFJ3T3UIMDV5GPVA NS DS RRSIG
9ctvjn1l693ea3jv294gejle7ecumlfl.moi.	60	in	rrsig	NSEC3 8 2 60 20251010021242 20250905020639 57060 moi. r1GfwWjJQ79KiHzVLBGu3wvISSqDY+Lf5uE0MkYWl2+gKau66FqcDPKt6aNVX1QZ2GZEThATS1ROsudShJTvIaSwXx4YGe2FwlP8TqjMnbWLOgIy81/QfBy724H5S72gQq2yknr1Xnw9SpBMmSKCl++0qbMcXIKl1iSJCRSm3wuqZyYK2Wh0NkFhhtGkAAEUeAEOcw96MBi8fy5YMBR2e8bsMmnX22LnCG8FlGymd/sADrBzJQEHAOaZ2YVt54wP2QGu70jNC/V3yQpaDOecO/7KjfwQXzGrczfk/flyXUuNaRZ14MnXdJ/BxQ3L/NRL1WZtzw0WeNGP0D7gZbClyg==
9xmovies.moi.	172800	in	ns	arturo.ns.cloudflare.com.
9xmovies.moi.	172800	in	ns	susan.ns.cloudflare.com.
a1d.moi.	172800	in	ns	lady.ns.cloudflare.com.
a1d.moi.	172800	in	ns	micah.ns.cloudflare.com.
a5k.moi.	172800	in	ns	ajay.ns.cloudflare.com.
a5k.moi.	172800	in	ns	indie.ns.cloudflare.com.
aagmaal.moi.	172800	in	ns	ignat.ns.cloudflare.com.
aagmaal.moi.	172800	in	ns	perla.ns.cloudflare.com.
aarp.moi.	172800	in	ns	ns1.markmonitor.com.
aarp.moi.	172800	in	ns	ns2.markmonitor.com.
aarp.moi.	172800	in	ns	ns3.markmonitor.com.
aarp.moi.	172800	in	ns	ns4.markmonitor.com.
aarp.moi.	172800	in	ns	ns5.markmonitor.com.
aarp.moi.	172800	in	ns	ns6.markmonitor.com.
aarp.moi.	172800	in	ns	ns7.markmonitor.com.
abc.moi.	172800	in	ns	dalary.ns.cloudflare.com.
abc.moi.	172800	in	ns	fattouche.ns.cloudflare.com.
abt.moi.	172800	in	ns	ns1.101domain.com.
abt.moi.	172800	in	ns	ns2.101domain.com.
ada.moi.	172800	in	ns	ns1.hover.com.
ada.moi.	172800	in	ns	ns2.hover.com.
adonis.moi.	172800	in	ns	adns1.domaineplus.net.
adonis.moi.	172800	in	ns	adns2.domaineplus.net.
adonis.moi.	172800	in	ns	adns3.domaineplus.net.
adonisetmoi.moi.	172800	in	ns	adns1.domaineplus.net.
adonisetmoi.moi.	172800	in	ns	adns2.domaineplus.net.
adonisetmoi.moi.	172800	in	ns	adns3.domaineplus.net.
adrian.moi.	172800	in	ns	ns1.101domain.com.
adrian.moi.	172800	in	ns	ns2.101domain.com.
agent.moi.	172800	in	ns	curitiba.ns.porkbun.com.
agent.moi.	172800	in	ns	fortaleza.ns.porkbun.com.
agent.moi.	172800	in	ns	maceio.ns.porkbun.com.
agent.moi.	172800	in	ns	salvador.ns.porkbun.com.
agents.moi.	172800	in	ns	curitiba.ns.porkbun.com.
agents.moi.	172800	in	ns	fortaleza.ns.porkbun.com.
agents.moi.	172800	in	ns	maceio.ns.porkbun.com.
agents.moi.	172800	in	ns	salvador.ns.porkbun.com.
agi.moi.	172800	in	ns	curitiba.ns.porkbun.com.
agi.moi.	172800	in	ns	fortaleza.ns.porkbun.com.
agi.moi.	172800	in	ns	maceio.ns.porkbun.com.
agi.moi.	172800	in	ns	salvador.ns.porkbun.com.
agi.moi.	3600	in	ds	2371 13 2 2D264A2A73226CAE6273E9EBB8591D796CDD3A7249B32573AFC13D7260DCC16B
