money.	3600	in	soa	v0n0.nic.money. hostmaster.donuts.email. 1756257106 7200 900 1209600 3600
00.money.	3600	in	ns	ns1.dyna-ns.net.
00.money.	3600	in	ns	ns2.dyna-ns.net.
000.money.	3600	in	ns	launch1.spaceship.net.
000.money.	3600	in	ns	launch2.spaceship.net.
000000.money.	3600	in	ns	ns55.domaincontrol.com.
000000.money.	3600	in	ns	ns56.domaincontrol.com.
0001.money.	3600	in	ns	ns73.domaincontrol.com.
0001.money.	3600	in	ns	ns74.domaincontrol.com.
001.money.	3600	in	ns	ns1.dns-redirect.com.
001.money.	3600	in	ns	ns2.dns-redirect.com.
009.money.	3600	in	ns	hera.ns.cloudflare.com.
009.money.	3600	in	ns	langston.ns.cloudflare.com.
00omjfdt4mns3iv35bdgudlc2dqab8t3.money.	3600	in	nsec3	1 1 0 73 014BCMH4VPCOK9KDRJS7Q8VDA5SF0MLR NS DS RRSIG
00omjfdt4mns3iv35bdgudlc2dqab8t3.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. e1sjUyakjNh06OzX+X0oQxChRgyY8Q3a5szivQyPD6G5VS0oYBc3oU66W34/iKvGjTbiP4m5DeD9k11CwilVeFaHKmCcXmhV/v+tsMFgUS0/qLCKQFbr7Bow6V+e555bvod57CaHukW/5wPq7hiMmdtIgjLidQWSz1QqV6jGYEs=
01.money.	3600	in	ns	ns1.dyna-ns.net.
01.money.	3600	in	ns	ns2.dyna-ns.net.
010.money.	3600	in	ns	dns1.registrar-servers.com.
010.money.	3600	in	ns	dns2.registrar-servers.com.
0101.money.	3600	in	ns	ns1035.ui-dns.biz.
0101.money.	3600	in	ns	ns1056.ui-dns.org.
0101.money.	3600	in	ns	ns1064.ui-dns.de.
0101.money.	3600	in	ns	ns1096.ui-dns.com.
011.money.	3600	in	ns	ns05.domaincontrol.com.
011.money.	3600	in	ns	ns06.domaincontrol.com.
0110.money.	3600	in	ns	dns1.registrar-servers.com.
0110.money.	3600	in	ns	dns2.registrar-servers.com.
014bcmh4vpcok9kdrjs7q8vda5sf0mlr.money.	3600	in	nsec3	1 1 0 73 018HGJTP26GDTNMBBPBJ8D392O7RKSU7 NS DS RRSIG
014bcmh4vpcok9kdrjs7q8vda5sf0mlr.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. C38RRjL5kkQAhxih5Bym34g6C2lXNvPDkBCuCB4cIAcrdQ5yWPEagVMEsFWzW2b+eXN9u2BhdNQf/8YOvTjzQhCO1FPpi81tRrhbD5eT1LbRME5dpQK3DjcDRt5qNd5OXNOojIwggad8Ir2tkScfghzCex0WzwCWCxNmy0TVVBo=
018hgjtp26gdtnmbbpbj8d392o7rksu7.money.	3600	in	nsec3	1 1 0 73 018IK3RTSKPQ3SOB71P7QLGLFKHRUVTK NS DS RRSIG
018hgjtp26gdtnmbbpbj8d392o7rksu7.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. CASkZnj5ul0OrXkSAd0qJEirG3ylTI3ZUH06VbUuy3NJLhc32souxxvew9LkvphGOozhHQh+3Da6XPARpGWqAkDF3FLTNCG/U6vlMCvczjs+hs/AaxbHjIsBe7iobGeHYw7MlSGP9cFLau4KmiSJ4V5SL4o/66h21uj4/yDwP7c=
018ik3rtskpq3sob71p7qlglfkhruvtk.money.	3600	in	nsec3	1 1 0 73 02UA7PGJTCU2P3FUIA5HVOBQDDNC1NHQ NS DS RRSIG
018ik3rtskpq3sob71p7qlglfkhruvtk.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. ndjNeqJH1UDLRKqACjsG+be9V2FbqgLDTiw4mQVmJVWvSAoUJVxkJ3opTo+oItpOHZl/Zqw3xlM5MwAfM3SirqBsZmTSkmyE/1M+iXERQt6dZAUB44Z/WPRsxgCWE9w2DBW44B66mtjvYTCHJ8mg9p0HgkMkBNDyng4ldgg9HxQ=
01x.money.	3600	in	ns	dns1.registrar-servers.com.
01x.money.	3600	in	ns	dns2.registrar-servers.com.
024.money.	3600	in	ns	uns01.lolipop.jp.
024.money.	3600	in	ns	uns02.lolipop.jp.
02ua7pgjtcu2p3fuia5hvobqddnc1nhq.money.	3600	in	nsec3	1 1 0 73 046PKU0GBJFU83OU4NTC05VPIJ7T7NFK NS DS RRSIG
02ua7pgjtcu2p3fuia5hvobqddnc1nhq.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. pCSMFzTDO5vZ2VZge0uQypW8CvVChKtGti8IBmOaXq+7tpCaHmc9uqNDcVxASHE7A/XiBgayTzPeJ+WbY+CI1/bOo6F/cNWggMfLpzhtnrVwbBscLrRF2YBNMrzpKrJ962tVnjMK53fZyZE3wxcy5IHrZF1LyVboDaX7UBkX/TY=
0360.money.	3600	in	ns	ns-1480.awsdns-57.org.
0360.money.	3600	in	ns	ns-1832.awsdns-37.co.uk.
0360.money.	3600	in	ns	ns-48.awsdns-06.com.
0360.money.	3600	in	ns	ns-857.awsdns-43.net.
046pku0gbjfu83ou4ntc05vpij7t7nfk.money.	3600	in	nsec3	1 1 0 73 04HAD24A6M13TC51C2SK0QH18N2L5UN9 NS DS RRSIG
046pku0gbjfu83ou4ntc05vpij7t7nfk.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. XWbSh+sCIoO5b/zaZCzT2YiPsVVL2AzCRACv31V/azRnSxpkmRZ6/eYPZ5ecUl1vnB3mUDwBDjTap7MsNRjexljK1yfqQsqaXfQqp3O3Q0/PPn43VPI8Y4MxmLp5xDNaiALPlSpGJEZUo88V9CY932gBg4UnI9HWtlIuSKHi49Y=
04had24a6m13tc51c2sk0qh18n2l5un9.money.	3600	in	nsec3	1 1 0 73 05L8AAIQOBFJRNIC3E27ROK7UPN3BCBV NS DS RRSIG
04had24a6m13tc51c2sk0qh18n2l5un9.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. FsZmVjIx1T6eOlUBXyAOmzoi8iQNOvS+X1/nvwrcjMz6Kum9cMFIZ0Ip4xzYHTKHBb4YdNfiyh4EETMpjt0OiJm8P9Mi88vJyKbobVYCAninaGVamylr5LmoEtehIgNmHms2P6wmRE4r7FxnVAfvhYcgNg0m+c2m9hIdaHiX08k=
05l8aaiqobfjrnic3e27rok7upn3bcbv.money.	3600	in	nsec3	1 1 0 73 05OVV0BV437HEC26DAV3VNVETS7ESGRQ NS DS RRSIG
05l8aaiqobfjrnic3e27rok7upn3bcbv.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. cpRsbqIe1Ighm76i13GtkJzpwIbq9QNTnoKpS2w1X4iuBm8dTLJXX0Enaq10OscZBivJZiblLiCe1Ke7cG/BaWzibuD9d5MNMtyhNMStKCGXiPRh+ZyBzPgtSy0hHOzwdtSKXHqjoHD2FJee1L6koWOrlr7hnLVPTUuqb7oyIyM=
05ovv0bv437hec26dav3vnvets7esgrq.money.	3600	in	nsec3	1 1 0 73 08DSNRFGVKTFOAIK1IU1TPG9610C62D9 NS DS RRSIG
05ovv0bv437hec26dav3vnvets7esgrq.money.	3600	in	rrsig	NSEC3 8 2 3600 20250916160237 20250826150237 23949 money. EcSA94JYIa2qhjEFNxDv/G7PY2oLbzLZeEadrpvEW8g3IZrvWiMHtlhz9AusgtcwfJ/Pd3V7X3jxzB3s06J0490rJKioMCjUT+h6twY0BkvYU5pP71dPSI0mRcevakljwL+9I+bLkQxI7C9RwLJZyPRMANtrMp8fDjH7Kazpq7c=
08.money.	3600	in	ns	ns1.dyna-ns.net.
08.money.	3600	in	ns	ns2.dyna-ns.net.
0800.money.	3600	in	ns	dns1.registrar-servers.com.
0800.money.	3600	in	ns	dns2.registrar-servers.com.
0857.money.	3600	in	ns	ns1.dnsowl.com.
0857.money.	3600	in	ns	ns2.dnsowl.com.
0857.money.	3600	in	ns	ns3.dnsowl.com.
08dsnrfgvktfoaik1iu1tpg9610c62d9.money.	3600	in	nsec3	1 1 0 73 08S66QB0L9K0LU9IKKQJJ938CD24V97I NS DS RRSIG
