monster.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1621574850 900 1800 6048000 3600
0-9.monster.	3600	in	ns	ns3.epik.com.
0-9.monster.	3600	in	ns	ns4.epik.com.
000.monster.	3600	in	ns	ns-rs1.gmoserver.jp.
000.monster.	3600	in	ns	ns-rs2.gmoserver.jp.
0007.monster.	3600	in	ns	ns1.dyna-ns.net.
0007.monster.	3600	in	ns	ns2.dyna-ns.net.
000ooo000o0o0o0o.monster.	3600	in	ns	arch.ns.cloudflare.com.
000ooo000o0o0o0o.monster.	3600	in	ns	chin.ns.cloudflare.com.
001.monster.	3600	in	ns	ns1.ni.net.tr.
001.monster.	3600	in	ns	ns2.ni.net.tr.
007win.monster.	3600	in	ns	keanu.ns.cloudflare.com.
007win.monster.	3600	in	ns	stevie.ns.cloudflare.com.
008.monster.	3600	in	ns	dns23.hichina.com.
008.monster.	3600	in	ns	dns24.hichina.com.
008fl3.monster.	3600	in	ns	amit.ns.cloudflare.com.
008fl3.monster.	3600	in	ns	lady.ns.cloudflare.com.
009.monster.	3600	in	ns	ns73.domaincontrol.com.
009.monster.	3600	in	ns	ns74.domaincontrol.com.
00mmm.monster.	3600	in	ns	ns1.dnsowl.com.
00mmm.monster.	3600	in	ns	ns2.dnsowl.com.
00mmm.monster.	3600	in	ns	ns3.dnsowl.com.
00q9k6shpq3tjne1bhdfosdbu31id4fl.monster.	900	in	nsec3	1 1 0 - 03TNSLALANUJCGNNRHQFM47EK8AKGPV0 NS DS RRSIG
00q9k6shpq3tjne1bhdfosdbu31id4fl.monster.	900	in	rrsig	NSEC3 13 2 900 20260214071347 20260115054347 38448 monster. j08lHaVnq51YAnGCoyKezxdOJJrM08K0rCRJA71ewoueNKymuKrIfucsfLdghCaRX6rvsh+rW7wBfVBK40W1eQ==
00video.monster.	3600	in	ns	ns1.afternic.com.
00video.monster.	3600	in	ns	ns2.afternic.com.
0101.monster.	3600	in	ds	52916 13 4 6BB385DB4EA56F04344693B00670DD78BF54D0813B6FE412F8D3F65638165F19411DA936EFA604F94DE122B179E2391B
0101.monster.	3600	in	ns	ns16.0101.monster.
0101.monster.	3600	in	ns	ns4.0101.monster.
0101.monster.	3600	in	rrsig	DS 13 2 3600 20260216115403 20260117102403 38448 monster. G7pIdb9oAL1U3klg0gJiKOBgGalQjs07RM5YgTsAhKNTeGKFRxNozR1aBwD/waX7AR8k94H8/iboIqCfGkZp8A==
01120193357.monster.	3600	in	ns	dns1.namecheaphosting.com.
01120193357.monster.	3600	in	ns	dns2.namecheaphosting.com.
01273218116.monster.	3600	in	ns	dns1.namecheaphosting.com.
01273218116.monster.	3600	in	ns	dns2.namecheaphosting.com.
01kitaslot777.monster.	3600	in	ns	heather.ns.cloudflare.com.
01kitaslot777.monster.	3600	in	ns	rex.ns.cloudflare.com.
02neko.monster.	3600	in	ns	ns1.star-domain.jp.
02neko.monster.	3600	in	ns	ns2.star-domain.jp.
02neko.monster.	3600	in	ns	ns3.star-domain.jp.
03tnslalanujcgnnrhqfm47ek8akgpv0.monster.	900	in	nsec3	1 1 0 - 04LKA92EP0B6FB8733MM8SQP9LIUNCI8 NS DS RRSIG
03tnslalanujcgnnrhqfm47ek8akgpv0.monster.	900	in	rrsig	NSEC3 13 2 900 20260129143112 20251230130112 38448 monster. QWKYOQeO53pI21aTuJ/e1gWxHjIll4E7A+Vt74kEWj+JcYvTg5CTbHspLjYnAaebDJdiDQ75iSV3NrbSo4mEmA==
04lka92ep0b6fb8733mm8sqp9liunci8.monster.	900	in	nsec3	1 1 0 - 0534354EBNP5JGBBQMGBFTSDJEJCNNRA NS DS RRSIG
