mortgage.	3600	in	soa	v0n0.nic.mortgage. hostmaster.donuts.email. 1756256454 7200 900 1209600 3600
039t0ca3lv7sb7l83sdrphuv6o16vv3f.mortgage.	3600	in	nsec3	1 1 0 73 07MVV08DE9IS8OP3T9PPJB8LSLT63AJ7 NS DS RRSIG
039t0ca3lv7sb7l83sdrphuv6o16vv3f.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. xHygBDcIZcz/BSFsnmEFcoz+cNcRVK0KshRl2rJm0JeJH+KsVoMmK0hqWxPrPDFAH4bhjks7RPCyMCJn+8MIy93icblxiDySY8xQ8HL3YE3EqIz47pW+1ETUnWHVbZUzporPqvisuK2/BQ98nR5mZLxZBDFh1MxLeTrjMinrl6k=
07mvv08de9is8op3t9ppjb8lslt63aj7.mortgage.	3600	in	nsec3	1 1 0 73 0CS1SKQOI8F9H9IGNGU6MG5MH5020ME9 NS DS RRSIG
07mvv08de9is8op3t9ppjb8lslt63aj7.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. DQ6AFsr+jJw+t79h0XQJHG4BSMX5Zj6e7qcW1bIdh4iEG7mEHsb0qLMSRsdABpcNdLS1iZGTosNXAF293qBQL1PBz2lSeMwHMyoMvgmQ7/N6MlA01jLttdy5Q5CuyvP+4hoWA0BswL/WT61hw1UY4x7MlE9SZmYxKDykSdv6Xo4=
0cs1skqoi8f9h9igngu6mg5mh5020me9.mortgage.	3600	in	nsec3	1 1 0 73 0O7P83POSIGDPK1OGIPTQJB64M2JKDMD NS DS RRSIG
0cs1skqoi8f9h9igngu6mg5mh5020me9.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. I03K9eQFQ51KRXOplaMACc5wYqPekisHKO7Mre0QLmPK9bj976qsJtre2rpEE/QcFrvlnvuJNhodzQS9proFjrHZ0nMMw1DFADSq78YeCqOGLCrpeut/1w3u1goIH9lh/teTBgawdSa+9KjGTyZPSxhtMtvobOBGN/fO4ulSI3o=
0o7p83posigdpk1ogiptqjb64m2jkdmd.mortgage.	3600	in	nsec3	1 1 0 73 0U2IP6EO4RJO0NM4SOB6VN6B2TUI83MV NS DS RRSIG
0o7p83posigdpk1ogiptqjb64m2jkdmd.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. pEAoWv0kV4Y72J1FEBvvTMMDg66v8AT9PY4g2otdIQJbGZ7YkARCmDb1bIxYDuahNEU2DClUXwPFnLLBzwstJRdbT+zEZjPsxGCW4tX1xIICD3qn1FtwFQ2ntg5+SJdjqYg2s7H39Pda5G3MD737VZrit82ak2r02yCEmDWAce0=
0u2ip6eo4rjo0nm4sob6vn6b2tui83mv.mortgage.	3600	in	nsec3	1 1 0 73 15KPOG15SJSF36MMCFOEQSH2ECLHM9E9 NS DS RRSIG
0u2ip6eo4rjo0nm4sob6vn6b2tui83mv.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. gqTowVTyU7v1Qbyafb3rrS1kewW31fk6FVooty7+VHMjb6IOc3HUO9VOedm5hNKTbKotUZZ2he7mJJdmls3GzuG+1/AB/BvPUz2SxOo/c0bcYOxJfQyRpQ+t0s/pLuUkOJ4RYh3gf7fZeZ58xb6+CDqZvL3+1X69rGRmzUnfn2o=
