mov.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2025091010 21600 3600 259200 900
0000.mov.	10800	in	ns	lara.ns.cloudflare.com.
0000.mov.	10800	in	ns	roman.ns.cloudflare.com.
0000.mov.	900	in	ds	2371 13 2 4B14B66263CC19F49290729E52B6B4FB37ECA5CD9498514081BE44B428B29279
0000.mov.	900	in	rrsig	DS 8 2 900 20251001024148 20250909024148 6535 mov. a36TQOT8IRvyyrpf6/eJrfXkVQFdtAq/7BM61YTQQTCXHx+EZSulq5n6XEYIQW3Cf6e1Gf/mM520sHauWmzW3dEX5I0A3ldFuGEMiamdxTtEBakPiT7UaO+lngdb3EbmwAfd9jlbBLJz+9sKqsXjkSilO2VzaveZMSp0cm7r5ig=
00047.mov.	10800	in	ns	n1.xundns.com.
00047.mov.	10800	in	ns	n2.xundns.com.
00513.mov.	10800	in	ns	a.dnspod.com.
00513.mov.	10800	in	ns	b.dnspod.com.
00513.mov.	10800	in	ns	c.dnspod.com.
00660.mov.	10800	in	ns	ns1.dnsip.com.
00660.mov.	10800	in	ns	ns2.dnsip.com.
00anuee3e0kv1pc8ng9mtednpi458s2b.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00DV46NNT2KVQ6A6DTBIV5BAJIGLOI76 NS
00anuee3e0kv1pc8ng9mtednpi458s2b.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. Ke1b5HlndLkg+Arn+WSiIuuCvyraWJs/pKgM3FTrBwv7H6NIBUJFDOHapRnbjd9qqLpDL0lgdUrQGFQJpJGy+EHQmiYMvCfEx+qjbLjGs1mVIS8t676IzAsTnZGEWlsP02QHBBu7+s8NhkkUfWHyLV0zWaD/79mPYbwsutF5LpM=
00dv46nnt2kvq6a6dtbiv5bajigloi76.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00EPO9D7Q3CD61ND5ATS4VMRB562TORF NS
00dv46nnt2kvq6a6dtbiv5bajigloi76.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. erQhyqA+rIKReUeNjckCs3I+48SkVn2d3A9E0aTkJXyN3WS3/FE2bApHhhjj/MYZjN2IgZy6auajGzLn0LNWl9RDIV4OPvRhzi+jYEeuf/XMzB7qqZdqP6R+xMopIeOlzFjtRidj/BSp1s75Hr5HaXuCy+poEZQJ2niuA8OiFn8=
00epo9d7q3cd61nd5ats4vmrb562torf.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00F5DJSAP6RJIKCUFNQBF5KRHM6I5GO1 NS
00epo9d7q3cd61nd5ats4vmrb562torf.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. aFTMl7AJKc6ZGrEi8Jkhnh2GumwqKtLaHoxxSuXGIDqBRmoEVJq3pYQsCydkJSJW1mvd+h1S2c2Gv7seVMmcKtPEFh5mP/VAqmT91xIt3N8G3YKrW7Mayyjsk9PXQlWSX43pha0pfb6jGBysFNgil9iSms++Jflf4LgC3cvCC7Q=
00f5djsap6rjikcufnqbf5krhm6i5go1.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00JBA2VU7CUBEQK4GSTI2UL16PHVTERU NS
00f5djsap6rjikcufnqbf5krhm6i5go1.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. B8hHJ1XrQkis9Bdog/AEvYExp34LXslAe8Jtvru8Gb7NCM4vQNmUjjrco8YL9IsfcnJ3RNhF3VnBOus0vkHKHXk5eDRcyVac8ZqCFVtmAhrCTVJpKIrd493VzZF13EHxVSCVQPI0AUCSXFRR+2GqvwTDUHreMUq13gvzQAFJFXQ=
00h.mov.	10800	in	ns	lens.soha.foo.
00h.mov.	10800	in	ns	monocle.jin.sh.
00h.mov.	10800	in	ns	view.soha.foo.
00jba2vu7cubeqk4gsti2ul16phvteru.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00L3S9QCT7PE8PSGF34NFREI0D15E90A NS
00jba2vu7cubeqk4gsti2ul16phvteru.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. GAStPmXI6wk7PHA4CuJ/QQn0j5JCDHhb8vTDcFq4AboNwhWD4D8z3DAqCpHilUqVSYj3xo45PRmGUKMcMFxvZWhC2rxhJ8n6I501LzLODh3fqH5UnVnXofzouUlhP14tFHvFaeGz4J0LjvoAqIoJ7nrS9YKX8yOoxwzIxwlPo0E=
00l3s9qct7pe8psgf34nfrei0d15e90a.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 00MLT5A0345B5DRRICGH789FCS3F52QD NS
00l3s9qct7pe8psgf34nfrei0d15e90a.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. FmEZOTRbsXEbXXYIRhNE2mGvoiFtRumI7aT0+ICprvo2YCHcq/aFBy4loNi//XTOMT2+VlR2Sx5n5rmEN0695hhfuGZcfMSXLXTDY/ruSsBk/PdZ+oKobzCLxZsZYpirFhToxYf/cJJX9S9NjoinxZgLGzuni5+QyfCoX2399W4=
00mlt5a0345b5drricgh789fcs3f52qd.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 010NH03PRBND6R0HUMUJJ7NKM7TEP6MQ NS
