music.	300	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1767662120 1800 900 604800 300
084059cp8jutusn8ie7btcf0o6rp75k7.music.	300	in	nsec3	1 1 0 - 08KLO5S3JGB53HRJ9RCJPIKGIBBSOEFF NS DS RRSIG
084059cp8jutusn8ie7btcf0o6rp75k7.music.	300	in	rrsig	NSEC3 13 2 300 20260131020455 20260102181019 62867 music. cWNbRa0IIDS5p2b2bmM0YCNgiLlMwY5SHQjz5/jtTcaTN0V3kAW1HAEg7PNj4PgqSh3IvPkOlKY8u+09j6Uajw==
08klo5s3jgb53hrj9rcjpikgibbsoeff.music.	300	in	nsec3	1 1 0 - 0GDPB81TBU97G8KV082F6D88JIL9NMIB NS DS RRSIG
08klo5s3jgb53hrj9rcjpikgibbsoeff.music.	300	in	rrsig	NSEC3 13 2 300 20260118230826 20251221224020 62867 music. mDv7f+IJ4K12VxQFahZBBT9NF3qXSQSt5nB9eIvICM6Yfvx2hxnwkqNzYk2CKzbfOKwvC2gon/p0fuS3JmDuyQ==
0gdpb81tbu97g8kv082f6d88jil9nmib.music.	300	in	nsec3	1 1 0 - 0JUIAR67NEOTMBUI0LCPFCI0CLUAHO8I NS DS RRSIG
0gdpb81tbu97g8kv082f6d88jil9nmib.music.	300	in	rrsig	NSEC3 13 2 300 20260118120928 20251221022029 62867 music. j50r1zO3X36fZkP5aFjVTQZCflRgUUFMZ6m5fcut7/PuiV14xA/SPlPXfL4yF/3OsZ8A5bldvpmxWveYXNzGhQ==
0juiar67neotmbui0lcpfci0cluaho8i.music.	300	in	nsec3	1 1 0 - 0QRJLI1FUJ4UI548JAO393PHEFF9K83O NS DS RRSIG
0juiar67neotmbui0lcpfci0cluaho8i.music.	300	in	rrsig	NSEC3 13 2 300 20260203133517 20260105125018 62867 music. Sl+mWQdVnv5gzFivSM8sbcS/WcuCsNwq2vo7cvb7kVktEsbAvnF6HPopmDvT9INQPNL/d8GiBgMOrTVJM+xLKg==
0qrjli1fuj4ui548jao393pheff9k83o.music.	300	in	nsec3	1 1 0 - 0UA4RLOQFSEKCSUP32C87S8JMAHM6KME NS DS RRSIG
0qrjli1fuj4ui548jao393pheff9k83o.music.	300	in	rrsig	NSEC3 13 2 300 20260201114635 20260104034029 62867 music. doDIZrZ2/aG8NiOS5Vffif9I6RVDiV+Pj9TwWfsHzaZn45KICDjyONuQDugIevUZ+sN/rhEYbaQIalfmeQm+lQ==
0to8.music.	900	in	ns	ns15.domaincontrol.com.
0to8.music.	900	in	ns	ns16.domaincontrol.com.
0ua4rloqfsekcsup32c87s8jmahm6kme.music.	300	in	nsec3	1 1 0 - 16G4QD7VEJNAH4KMPTBM7TAQLK4A7J9N NS DS RRSIG
0ua4rloqfsekcsup32c87s8jmahm6kme.music.	300	in	rrsig	NSEC3 13 2 300 20260120123854 20251222145519 62867 music. M7R2ZZUBpVHP8nbqe8+/SngZSTlwk4uKWpBIHchm4iAlukxztIX0lAhZ5X/QKp6/pFF6u+lu4mxS9cFRB1w42g==
1000watts.music.	900	in	ns	ns10.wixdns.net.
1000watts.music.	900	in	ns	ns11.wixdns.net.
100years.music.	900	in	ns	ns75.domaincontrol.com.
100years.music.	900	in	ns	ns76.domaincontrol.com.
101domain.music.	900	in	ns	ns1.101domain.com.
101domain.music.	900	in	ns	ns2.101domain.com.
111r.music.	900	in	ns	curitiba.ns.porkbun.com.
111r.music.	900	in	ns	fortaleza.ns.porkbun.com.
111r.music.	900	in	ns	maceio.ns.porkbun.com.
111r.music.	900	in	ns	salvador.ns.porkbun.com.
13thmasterstudios.music.	900	in	ns	ns1.systemdns.com.
13thmasterstudios.music.	900	in	ns	ns2.systemdns.com.
13thmasterstudios.music.	900	in	ns	ns3.systemdns.com.
163.music.	900	in	ns	mns1.zdnscloud.com.
163.music.	900	in	ns	mns2.zdnscloud.com.
16g4qd7vejnah4kmptbm7taqlk4a7j9n.music.	300	in	nsec3	1 1 0 - 1BEIQDTPSOMJB0DF7EPEJ60B92UKC7CU NS DS RRSIG
16g4qd7vejnah4kmptbm7taqlk4a7j9n.music.	300	in	rrsig	NSEC3 13 2 300 20260119222859 20251221093019 62867 music. p9/U0p7PQJS3NkI3u+xVeWluE2BVZTYIet+9OsmYaKn9/ookKIzIoGSqpUAQLp6PDaoHCE7xxocLBNXuesLbxw==
1beiqdtpsomjb0df7epej60b92ukc7cu.music.	300	in	nsec3	1 1 0 - 1E6ID6C89OTV6NS292QTBP380VPEC0TP NS DS RRSIG
1beiqdtpsomjb0df7epej60b92ukc7cu.music.	300	in	rrsig	NSEC3 13 2 300 20260120232339 20251223141029 62867 music. 97AEtoBhW0IIqDyKjHb46w8nWo9s5R0PIIG6jkFzKO+GA2MS/1Wpy6x8a0u22NJBAfstWusHnjiRtte9W7C/7A==
1e6id6c89otv6ns292qtbp380vpec0tp.music.	300	in	nsec3	1 1 0 - 1ORNBTINHLMNLKTNTK7H0KFO75KNEUUL NS DS RRSIG
1e6id6c89otv6ns292qtbp380vpec0tp.music.	300	in	rrsig	NSEC3 13 2 300 20260120190416 20251223141029 62867 music. 8dRyHFHiQW8Yhd9LP3lAHJa3jlDii6g56anwJezP+xMA189nGY06iTWZ7dHBpJskSz+ZDq8qPAofZkemZZoxAw==
1equal.music.	900	in	ns	pdns07.domaincontrol.com.
1equal.music.	900	in	ns	pdns08.domaincontrol.com.
1ornbtinhlmnlktntk7h0kfo75kneuul.music.	300	in	nsec3	1 1 0 - 1RFBF4RUPCFDB5OT2END352TJFPM7N58 NS DS RRSIG
1ornbtinhlmnlktntk7h0kfo75kneuul.music.	300	in	rrsig	NSEC3 13 2 300 20260113060230 20251215190019 62867 music. /PF660RzUEP3Tt/dhaABXcR9DKBvyumDzG3s+Y8Nri5QmXoidTyo+qVL6Ks4JOBAGhuTMR7rGl7qWhufPG6tkQ==
1rfbf4rupcfdb5ot2end352tjfpm7n58.music.	300	in	nsec3	1 1 0 - 21087E8LLCMAB7CLTMUHN1TQKB7U7G3F NS DS RRSIG
1rfbf4rupcfdb5ot2end352tjfpm7n58.music.	300	in	rrsig	NSEC3 13 2 300 20260201021454 20260104000519 62867 music. qj3Y47H8U8kjXV2HPoGd3B2mb7j4bvqh43o0HZyYdHp+myGVq8Tg3tPAvKKs7N/xikqyNMXkENm+54Juu+plww==
1sn2s.music.	900	in	ns	ns.udag.de.
1sn2s.music.	900	in	ns	ns.udag.net.
1sn2s.music.	900	in	ns	ns.udag.org.
1track.music.	900	in	ns	pdns1.registrar-servers.com.
1track.music.	900	in	ns	pdns2.registrar-servers.com.
2000f.music.	900	in	ns	ns1.systemdns.com.
2000f.music.	900	in	ns	ns2.systemdns.com.
2000f.music.	900	in	ns	ns3.systemdns.com.
20hz.music.	900	in	ns	ns1.dns-parking.com.
20hz.music.	900	in	ns	ns2.dns-parking.com.
21087e8llcmab7cltmuhn1tqkb7u7g3f.music.	300	in	nsec3	1 1 0 - 251VHCJ9MCF90OIPSFIS362GU3BA3FNC NS DS RRSIG
21087e8llcmab7cltmuhn1tqkb7u7g3f.music.	300	in	rrsig	NSEC3 13 2 300 20260203162601 20260105123536 62867 music. R9sLM4AkZTAa6ioNmJUiCNfudR4e8ArC+M7m7ZFAk9VIzG/YKoaJOYZESXaHSOuQJMuJKXftpgEyq/KzRv25Nw==
242electronic.music.	900	in	ns	dns1.registrar-servers.com.
242electronic.music.	900	in	ns	dns2.registrar-servers.com.
24hour.music.	900	in	ns	chase.ns.cloudflare.com.
24hour.music.	900	in	ns	lorna.ns.cloudflare.com.
