ngo.	3600	in	soa	a0.nic.ngo. hostmaster.donuts.email. 1759367650 7200 900 1209600 3600
00.ngo.	3600	in	ns	dns1.registrar-servers.com.
00.ngo.	3600	in	ns	dns2.registrar-servers.com.
001.ngo.	3600	in	ns	ns1.cargo.site.
001.ngo.	3600	in	ns	ns2.cargo.site.
00g79vdskqtujgkh569cq60jcldihs59.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0UPC40J1NE3PPECPQRC5S2D3N8VO2JRO NS DS RRSIG
00g79vdskqtujgkh569cq60jcldihs59.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. xdk94WqOWVAMNad65eBKh9qtVV3ddnLAJqjCfcywm3GSlrP/DFwycdbFbldJhyEBrlBXcD+q5AwpuOrlycBT1VLfu2k0Bq4amjf2EiUBRwc/ZmK5Vczp2E3qB8x/YPUX0hkAWC19iY7q2e0T1QptiHcCnD8OwEPC5WZNLIsKVhs=
0upc40j1ne3ppecpqrc5s2d3n8vo2jro.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 203IK57COQ9404A7HDPF7827H84FL2KS NS DS RRSIG
0upc40j1ne3ppecpqrc5s2d3n8vo2jro.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. E6xRwYU5SjblE6Gmrg06T8EGZK3I9HKN+KbwLI4nDCaPqA92Cq0h/jm7dJjO7IVyHqFLvQ+1mN/AfVCClmXuEqZ+n1KypabHYMMTLIJGkdpELNs9w1QBgBBzKa/2AEYFyhchTIOu8W+nf/PebY0m39ZTzW7+v1OnRZt5Ps0nubM=
1008.ngo.	3600	in	ns	ns1.dns-parking.com.
1008.ngo.	3600	in	ns	ns2.dns-parking.com.
123b.ngo.	3600	in	ns	mcgrory.ns.cloudflare.com.
123b.ngo.	3600	in	ns	savanna.ns.cloudflare.com.
1bit.ngo.	3600	in	ns	ns1.101domain.com.
1bit.ngo.	3600	in	ns	ns2.101domain.com.
1bit.ngo.	3600	in	ns	ns5.101domain.com.
1euro-international.ngo.	3600	in	ns	ns1.dyna-ns.net.
1euro-international.ngo.	3600	in	ns	ns2.dyna-ns.net.
1gom.ngo.	3600	in	ns	lars.ns.cloudflare.com.
1gom.ngo.	3600	in	ns	leanna.ns.cloudflare.com.
1st.ngo.	3600	in	ns	curitiba.ns.porkbun.com.
1st.ngo.	3600	in	ns	fortaleza.ns.porkbun.com.
1st.ngo.	3600	in	ns	maceio.ns.porkbun.com.
1st.ngo.	3600	in	ns	salvador.ns.porkbun.com.
2001convention-uch.ngo.	3600	in	ns	ns1-02.azure-dns.com.
2001convention-uch.ngo.	3600	in	ns	ns2-02.azure-dns.net.
2001convention-uch.ngo.	3600	in	ns	ns3-02.azure-dns.org.
2001convention-uch.ngo.	3600	in	ns	ns4-02.azure-dns.info.
203ik57coq9404a7hdpf7827h84fl2ks.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 230FF0Q6RBM0BGH24A9Q0TKGOVPNED80 NS DS RRSIG
203ik57coq9404a7hdpf7827h84fl2ks.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. d6h90Pe+Srm8O7mmq0kS+YwuVCDpWQnwVxZ3BQGGximyt7Q6IqXZtfTrQgQn/c0+aBrVdF4gW3tUFPTZ8M+pPIZAlI56SD4+OQ+fBlh6mu3aqeifGQmH6MkkfIKl7FGjkUIssnBfTm6bjbgwbEH+4Kjyu9Zn/ahOuqd2BL6qlbM=
211.ngo.	3600	in	ns	dns1.cscdns.net.
211.ngo.	3600	in	ns	dns2.cscdns.net.
21stcenturyleaders.ngo.	3600	in	ns	ns1.101domain.com.
21stcenturyleaders.ngo.	3600	in	ns	ns2.101domain.com.
220.ngo.	3600	in	ns	dns1.name-services.com.
220.ngo.	3600	in	ns	dns2.name-services.com.
220.ngo.	3600	in	ns	dns3.name-services.com.
220.ngo.	3600	in	ns	dns4.name-services.com.
220.ngo.	3600	in	ns	dns5.name-services.com.
22ndwildlife.ngo.	3600	in	ns	ns.hostpoint.ch.
22ndwildlife.ngo.	3600	in	ns	ns2.hostpoint.ch.
22ndwildlife.ngo.	3600	in	ns	ns3.hostpoint.ch.
230ff0q6rbm0bgh24a9q0tkgovpned80.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 2IAAB6HFGHPNF246VNEU803GVD2QUQ1D NS DS RRSIG
230ff0q6rbm0bgh24a9q0tkgovpned80.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. LEcoXM7/mvsIxv36nu/ih0jUFiHLsDJ8ec6dSzJgmshyC9PNjHu+TVGzltTS8TAScyAqckodc34VeJQ5LaSKJ0MChsGHDa57ZJjY4AnvtUgfcojF6krwn3uqldhi8Q/WkdDBFnjosyMWajiHYdB0DxNsEZKV+6FxKBbUl3q9rno=
2iaab6hfghpnf246vneu803gvd2quq1d.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 2JAREG2PV6J6PLQRHCI4OA9H10GVVPOS NS DS RRSIG
2iaab6hfghpnf246vneu803gvd2quq1d.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. RWYCMA5GtuPGKWmzSyLBo01snYSaHtpIxyszUsUAJ8Yt9tEi1kvcH1a1/GP9LvZgJZKmprZgUiylJ34QQMXknRZ8EzSPHGYi7XS7u9VQFNdti54Jpu/8g/bvRpyr64PhgcyaQpPUkm1CzlcI0nOPxYZopRKB0Sy01UTXiCqnvj4=
2jareg2pv6j6plqrhci4oa9h10gvvpos.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 2T7B2R2JHDPBHPA2JMH0OIA9L3KT826P NS DS RRSIG
2jareg2pv6j6plqrhci4oa9h10gvvpos.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. mOA11ZwdsOXsAvv2FBsOE7Z3bxtUqAma3wL3pZpJmwrry72MuCw8MFYIgYmSZpsq3W8L089CXiWR3mZLvh+rdRxq82dq+/UhuwO82i/wd0IWIn1m1xCMQL2AqG1D67wt5ZJ+vNnF9j7wK506pqNzdozv/SskBmIJpqEayA/goSQ=
2t7b2r2jhdpbhpa2jmh0oia9l3kt826p.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 37TH2RMTC9TNJAE51L4NVTGCAB8BHERH NS DS RRSIG
