okinawa.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1757551827 1800 900 604800 3600
002tb46k9u71adfdseu7kfju8k1ksneb.okinawa.	3600	in	nsec3	1 0 0 - 00HIGC83FS0O95K5S6H5E5VBP38BUMJK NS
002tb46k9u71adfdseu7kfju8k1ksneb.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917201230 20250910204937 10069 okinawa. obUnodq9SsrnZ0DBES/t+8kvhi2YZKJJienj9BFZ2m4NSVWQ62qIqIjUnKh01RLX/Wdtbla5w8QCoFehLEpdoNJ+z05RNexz2M1HNCK3dprZR954QzRuyWBJD8+8IeuJXgI6dPNL4vhOvaW9BuLlJnalDr5oRhTOK+UZOny1arI=
00higc83fs0o95k5s6h5e5vbp38bumjk.okinawa.	3600	in	nsec3	1 0 0 - 00KTM6HB34Q5E52KKKBJCHL3JHFP2PLR NS
00higc83fs0o95k5s6h5e5vbp38bumjk.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917132523 20250910204937 10069 okinawa. Q6v2zc1Xu4j45aZv9udXtmFQXJ6iDYUO3i1rtVucWSVkQtjMYpSQe3KdbcXoyA0ewL3x/T4wtx0rHMIY+hWHFw3ol7tsVGmyp9NVQgoAY7fOqVoM/jcbCJDh5MK3/mwCToUvpuqwRY8GCa0YuikZvLRBDaQ5QNNJY5hdx7Wuakc=
00ktm6hb34q5e52kkkbjchl3jhfp2plr.okinawa.	3600	in	nsec3	1 0 0 - 00RFLM6QKIBDG0PBB6F0A80BVD8NPP25 NS
00ktm6hb34q5e52kkkbjchl3jhfp2plr.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917234709 20250910204937 10069 okinawa. rcUpXLQ9Q3CpRp4n1hRkDnmG0MQUFuuXEFgxYirgSahxvv9Dg0Ib31eoo6BNbmOqRv+ha3uMP0jOWaBMTZ9hCB7bBXJxekKlx1gwbJ2waosmNUt97U0krKHVg74bD3/Yn2a67lYv7XHa9g5tOX6npJ93Crl0KC8+rFwbDVmoY4I=
00rflm6qkibdg0pbb6f0a80bvd8npp25.okinawa.	3600	in	nsec3	1 0 0 - 010FUVCO16N0DCDRCCKKERMUOUGNLJNK NS
00rflm6qkibdg0pbb6f0a80bvd8npp25.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918083707 20250910204937 10069 okinawa. WM1yTuu6XgTgRQXUihPcpMRobFtPxLwbFOOSsns7ppFtfeo68+dYeyH0vpHyzSInLszP/QWqk7uuNYhTNeXgnxzgyDcF0/Vs6pEH8Ikv/fiIlLpWAcO9kORilobkmj7bLVPwjCmPcl7zmLu6iYbdFEXMycDMxQQSO9Njtrs+PhE=
010fuvco16n0dcdrcckkermuougnljnk.okinawa.	3600	in	nsec3	1 0 0 - 01J23TTDP2K6146EPKHB49NLQ1C37DUQ NS
010fuvco16n0dcdrcckkermuougnljnk.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918063150 20250910204937 10069 okinawa. URhCvL0QvahsUjUki5tSAOVOVdmqCMFZS7JtIVid6466MadPJ12aFB8VRNLbTDEQ3i6CRIKv/DtWs4KDGt+VdsW7G97jnjWQN5WOOoPzPbM7V1QXhXP+qXNqETt9vNWxYO8GOmkJDwXKsKY2nigV+97WQAxirXLnhcJn3p3+5Eo=
014.okinawa.	86400	in	ns	dns01.muumuu-domain.com.
014.okinawa.	86400	in	ns	dns02.muumuu-domain.com.
01j23ttdp2k6146epkhb49nlq1c37duq.okinawa.	3600	in	nsec3	1 0 0 - 02K9FBGHQ92S58VD3T4V1GLAC8U88AL2 NS
01j23ttdp2k6146epkhb49nlq1c37duq.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917123825 20250910204937 10069 okinawa. ijasdQURsa6SsuqHkpG1BQMBSqG+pasYJqp+QYo4Hr4ztiWR1zWJHNUmY6yxQKEANjmYHoX9/TCZiYtntgDvVLdUxvLQwhcw+/3FDkiN18iz8aRzN7b36FUM+7NT6b/FE8OBv55Zk9MxJexUlhsUV0StzVYQQJZJjjv7Acakh1M=
01twinscafe.okinawa.	86400	in	ns	ns1.xserver.jp.
01twinscafe.okinawa.	86400	in	ns	ns2.xserver.jp.
01twinscafe.okinawa.	86400	in	ns	ns3.xserver.jp.
01twinscafe.okinawa.	86400	in	ns	ns4.xserver.jp.
01twinscafe.okinawa.	86400	in	ns	ns5.xserver.jp.
02k9fbghq92s58vd3t4v1glac8u88al2.okinawa.	3600	in	nsec3	1 0 0 - 02N63FJEGI0GC28EL816705R5C4UME7U NS
02k9fbghq92s58vd3t4v1glac8u88al2.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917173641 20250910204937 10069 okinawa. nvRG/rYfRaWTIUpqYiv1ZhAO2SJWEVuMzryWC/M64pYwEna+AZA96zGieUo0exWLbZGVpuJXjP11iENlYlxHA4xPv3Zo1rPH9zNArGtAQf6gQP/bHLO708CWs2A5MRTukZCZkPccaTRZdWaF5NQjfTvXsSw5UWnm45rYLRmSsmM=
02n63fjegi0gc28el816705r5c4ume7u.okinawa.	3600	in	nsec3	1 0 0 - 02PGNAVGF8KD062Q5VA4NU2N1DE3C68Q NS
02n63fjegi0gc28el816705r5c4ume7u.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917152118 20250910204937 10069 okinawa. rkGhO22574iGOTt8x2f9MvbL2+JBJpSq9cmn6yiUVtvievCsk9aKnzcsp7N0kIfJflu0EKPW8lLiC9gwIiBPBKh+nLiXcL+kUjnppUkZTHMoYXzCzbK1cDzChtFjz3/LqDvhcBm2XEds0bExhk9gQ0flihMChxeClqv34LyOa08=
02pgnavgf8kd062q5va4nu2n1de3c68q.okinawa.	3600	in	nsec3	1 0 0 - 032UECLN0C78LAH41IQCT8HE7IO5F85I NS
02pgnavgf8kd062q5va4nu2n1de3c68q.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917213646 20250910204937 10069 okinawa. Da7KiURlebDpmCKznxQLiToqOxkG8KfELlxmCgqSbJuPYfZjBifAIDLjuSliDKw0xZ3PaSXWp6ZUkKxSirWtWVVKxb5oJaqy2HlPnmk70nEwW+DavZZ9iM46j9hvvrDmhEg/EnKdeSHS+Ih+XwqXbEBJ0TB+aU6MJ/JkZELEHWA=
032uecln0c78lah41iqct8he7io5f85i.okinawa.	3600	in	nsec3	1 0 0 - 034AKVOSF0A75M9UBEK4OUI55BT95OT3 NS
032uecln0c78lah41iqct8he7io5f85i.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918043939 20250910204937 10069 okinawa. CQ17Em4PRkCUfgHA4Nbt8XDrYtScHBGPk60DbiFTx7ygU4uq4RMFtxcmBmWG/5sj8vyFoz/Htn+ZQDvo5Z+oht2c14VDIiLE+jNsmhEFtYa2hc0Fl9nYfiVKOGbpUWon82xG375ohGG7W8LbciD8flFZo5zqRGNjozcbSVCx2Yk=
034akvosf0a75m9ubek4oui55bt95ot3.okinawa.	3600	in	nsec3	1 0 0 - 03IGMHD6TMGRF0C43E31VR97VKMRS3DM NS
034akvosf0a75m9ubek4oui55bt95ot3.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917100440 20250910204937 10069 okinawa. Sp66QDaaviB0EDilqx54EUbJdahk/aonk6yJT6XDxjwWQio2I2b92XsLG+gYpFmMA+EjRyFi8yOSyFoVdzTQ1md7XPJlagTFIQ0c8xlA1W7AIHZF7/hb+TdaLGKW7AwlpyGLFurI9mhg99NWcfRqgdLB0ie9MOALWNma5Agmi7E=
03igmhd6tmgrf0c43e31vr97vkmrs3dm.okinawa.	3600	in	nsec3	1 0 0 - 03LLDDSP9M8SFRJEIHDNRVDHE2SGUDH3 NS
03igmhd6tmgrf0c43e31vr97vkmrs3dm.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918013423 20250910204937 10069 okinawa. YK23dXiwpRQv6Ves3uGnNaiwHWlGU61GmCvnOD+g6v/x9TFetiAwc3KFzfCA8nfQXlMYhbiM1GN40swTtJEsjW43Fa7BURJBSs9bigb0tl0joKaHQzzkp8udrRuDwCkiy9gCwOu13054TdFYA5MFa6BTP/GCrSiyjRzhWndAma8=
03llddsp9m8sfrjeihdnrvdhe2sgudh3.okinawa.	3600	in	nsec3	1 0 0 - 03T69UHVH5O8FF0TH0MHHE22BC9F1LBT NS
03llddsp9m8sfrjeihdnrvdhe2sgudh3.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917112442 20250910204937 10069 okinawa. W/iPaSPIyyIjkaB7A9zVFC77LDOAcJUetOYOSNyF9hEN5QI6By7jkWAoQ6kFw0DI6e0X91T95LPWIjsHuqHnvcErIuibYUN2MviMf2gPKxKmjy691NTUGF4HzlXm8sEbHQbyFonQtHchR8X7WfxNDyjF4VVyaOgn7oaqEiYEAl4=
03t69uhvh5o8ff0th0mhhe22bc9f1lbt.okinawa.	3600	in	nsec3	1 0 0 - 03TMO8R6KJ1AL41F2AL4BNMR8BOSN7KN NS
03t69uhvh5o8ff0th0mhhe22bc9f1lbt.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918052305 20250910204937 10069 okinawa. fjwC0YuHHO3r8juQVcKXvbUqV9NAbNrtaerQ4BDUjZuZ55GO4PQPA1DFDng0UOKtnP9pUoE8xPqCju0OQr8xhg0Ku3qhaNj2l3lw2k1PZPkifs6ZDeofsAY90jpqEFsUnQjbjktIjSL/IMB1WydpbPjCz70k8ohTkzHMMb2Yk34=
03tmo8r6kj1al41f2al4bnmr8bosn7kn.okinawa.	3600	in	nsec3	1 0 0 - 03UH904OERN03FDMA9GMO82RF5AIHFVA NS
03tmo8r6kj1al41f2al4bnmr8bosn7kn.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918030755 20250910204937 10069 okinawa. h2qzvZ0HhVz/HubhkqaYZewOMj4K8zyQCDx7cqUTRw0JYsti+Gbv2CXnQkzQRp6e1tIHq+clD0gIuoUkWgxZ25pnwAA0IxROTrYizhmpUXzipTq0Pn3ghCgQurUVmDFs221sERtQltvnvCbQ5fsZG+iDYUiQvhENwoXrkPsxBvA=
03uh904oern03fdma9gmo82rf5aihfva.okinawa.	3600	in	nsec3	1 0 0 - 03VJFLM07PJN42L4IT9TBR5MCMRJGLVE NS
03uh904oern03fdma9gmo82rf5aihfva.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917213931 20250910204937 10069 okinawa. pNyPRri10b46L4ZIqcRKo60njX1T0aIULLSALGOUkCo/kUDQ3w6MQWaImatlruq0w/3sr1uLWUpxdlUy3PenDfksHhIpwZ5n49eolI6C2DH2Z/eoE7bNUyYQP5u5vNDIjGGzIUU6n1H1SiG89n8Unc1q+MlrchFblyqjuxCeDTk=
03vjflm07pjn42l4it9tbr5mcmrjglve.okinawa.	3600	in	nsec3	1 0 0 - 04A5568CORAO9CQTANULHMU2TNKFTURN NS
03vjflm07pjn42l4it9tbr5mcmrjglve.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917155157 20250910204937 10069 okinawa. F5q03X48ZKZCKAk3Cegr2x4ZLkKdM4glvZCJZJ8we3LO1kIRfi0JFvI0V/txEnsh5dfmK8MXvKfqlZlGVB4S3Cz6mKFI2fhDNN+8GghCjjnjv9lQn/9Wr+BAtAoat8EMzZnR7bvdtesBiuAK78wpHpHFLqb+m7kUonpa6wrsx9M=
04a5568corao9cqtanulhmu2tnkfturn.okinawa.	3600	in	nsec3	1 0 0 - 04LDNFEDGCSLHH7P6VLG9SPDM36OIBBC NS
04a5568corao9cqtanulhmu2tnkfturn.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918021425 20250910204937 10069 okinawa. Hm0awkuPj588/9zCyxE/S7TujEHrJBV4rUOq1Ms2vNN8P0FXcoAx2OyYTW3O1BbL7sDfqWhgAOh1nrUpuAuh1r4lxog8wf1h4lSOxj9I8Di7RVGGQFR4AsfyHre2kd9VTqJzUXM9UaeYvXnLnF0ScZAZL2p/nX0/1kTuGyY+Dlk=
04ldnfedgcslhh7p6vlg9spdm36oibbc.okinawa.	3600	in	nsec3	1 0 0 - 05213BN58U3KRM7USP84QRI7PNC62R67 NS
04ldnfedgcslhh7p6vlg9spdm36oibbc.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918084209 20250910204937 10069 okinawa. SuNRHDd+os4fLD0xiMzmBxaFEuikJ5aRr1gFmcCpXn8jUJGfMivJ2hAMiq7TecSsOsVEGh7nWereVfTA0qU2qK+Xtr1AbhluiPbsunRs16gWlmvGeCU9WQV/QY6ot8CM3loluWSUfiIimF6TBGBas5Kc/1C4gZhTJ7vr1ns639k=
05213bn58u3krm7usp84qri7pnc62r67.okinawa.	3600	in	nsec3	1 0 0 - 058D40K0K6ITSH8L5T7DDAEDOK9JI51I NS
05213bn58u3krm7usp84qri7pnc62r67.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917134501 20250910204937 10069 okinawa. mzlPA6NBwdNg21qqNRmidNbQHtJHlwDfR3G7qlFoYyn7EEPecLSCbh6c6JPRplISoYKkoQRJuVUaHnG5Yxgvgm3A1Pvl8VDWuuilermWIWleNGiHX5Yhh3edlTtg9UYwpq5tgQCSGoR4vBuUf+b/Bg184H67lIqiz4Ock856k9w=
058d40k0k6itsh8l5t7ddaedok9ji51i.okinawa.	3600	in	nsec3	1 0 0 - 05LE156U7BQBT14O3K2GL0VAG0MEJVEG NS
058d40k0k6itsh8l5t7ddaedok9ji51i.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918014641 20250910204937 10069 okinawa. ifaJBzaxcouLHVU3qVR1ZzHIwYOgsqNVXGT4QV2HG2S20cc5iYWUelhYBKcPJjb/R7cKQkgJ/E26QfmPV5ZBYmgT4WQC1kfQqcQneuKE+XLKCzf5a/PrAyw6O9Z8Fq5kCiZzI7LLEjcQRLjJCL4YhC+8HscM35LjDOt5aw3G2dQ=
05le156u7bqbt14o3k2gl0vag0mejveg.okinawa.	3600	in	nsec3	1 0 0 - 05M9NGPNAI0D6S6J863K9K3DLN0995QP NS
05le156u7bqbt14o3k2gl0vag0mejveg.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918075828 20250910204937 10069 okinawa. G2jk5PZlhf1b0O6cmfhjIw80/Dif/J6qWtCRXspQPsXgvMlhNFHdNTp/g9nFBWoGzkgLj3HW8ieXifBbekTkkVsIRKC20zwLB9t7WGf0h4Je7M47klslUkOJ7hcDuMY274pokn4Xbe7WVORxfJbnJYAfUSHDjxMgZShAPVzPK0Q=
05m9ngpnai0d6s6j863k9k3dln0995qp.okinawa.	3600	in	nsec3	1 0 0 - 05MIMT7KG2GQPD9JKP2RSKVFA6ETBP0A NS
05m9ngpnai0d6s6j863k9k3dln0995qp.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918014915 20250910204937 10069 okinawa. MnUiQTC6/mK5bMWdldAnlY2merO1YtoRR30qOCLD74yHzcTpxRGIaUi/FHSvkNOKa112LLecqJaZoo/Ff2eEnpmYH1/5ac43dEoucDksB7oQ6/NaFtlXsjaWZkYolJcEy82NcnTCANjlpgPY/MkxxqXbQ0wqV5wc53Sca6yT4vg=
05mimt7kg2gqpd9jkp2rskvfa6etbp0a.okinawa.	3600	in	nsec3	1 0 0 - 05Q3KJOG5UVF0KUBD6B424RVT8FB8088 NS
05mimt7kg2gqpd9jkp2rskvfa6etbp0a.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918005329 20250910204937 10069 okinawa. JNKbNGlLbUw+IfA3wcxi8ECuqH34rSNK1pWS+AIfEpP6uLyIHQ419XkcmSqMJzanFtGkTQg88Z8gX5Vmnh4buBbmFhkYLF7DnhJsXne6CAOQeCkHFdEfLHnmwDBRMzsYPEuCuj5v4U22jtYw2U69liZW6rsKVrQ3ScroEZYKBoU=
05q3kjog5uvf0kubd6b424rvt8fb8088.okinawa.	3600	in	nsec3	1 0 0 - 05UA3B65CE3G4DBAFN47NNE2C3STUE56 NS
05q3kjog5uvf0kubd6b424rvt8fb8088.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917125831 20250910204937 10069 okinawa. JJvW5USJ+mSPIxwifLb3a6hE1ino7+X7aCMNsIkWsBR+mnwU2c9szRL14ie8ST+c1onFFrDiKEVuayjNJXGxc9OfBM8VSlvpD/WrnKKqku7cDxkGuRolug+FZhTWdge+/V37RE3b66Hyscm/fcBDsmzrly7mtAxKkH5oxGQX3WI=
