ooo.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1521216669 900 1800 6048000 3600
0-0-0.ooo.	3600	in	ds	56275 8 2 BD89A2746E177212695C19D426E8C2559A61DD18DF318A66F466786B79F0B63B
0-0-0.ooo.	3600	in	ns	ns-cloud-b1.googledomains.com.
0-0-0.ooo.	3600	in	ns	ns-cloud-b2.googledomains.com.
0-0-0.ooo.	3600	in	ns	ns-cloud-b3.googledomains.com.
0-0-0.ooo.	3600	in	ns	ns-cloud-b4.googledomains.com.
0-0-0.ooo.	3600	in	rrsig	DS 8 2 3600 20260209123932 20260110110932 1930 ooo. UkWgz4vmQO/L1Qaj5NvT5YwQ2Ia41P703v5iJNYJFi5BbDZDB2zUifNFyJ35fSMrnTftn+chzfYfhHcEyjYlipBSNqVM4PcvXJaOq5x/Gjo8JzKM7tyk8OQNWvWROUgEvP+s6oeUZWwzCKA4AGUGtHhls7xv0t7DeTF9KF4KY6c=
0-0.ooo.	3600	in	ns	ns1.dreamhost.com.
0-0.ooo.	3600	in	ns	ns2.dreamhost.com.
0-0.ooo.	3600	in	ns	ns3.dreamhost.com.
0-00-000.ooo.	3600	in	ns	ns1.dyna-ns.net.
0-00-000.ooo.	3600	in	ns	ns2.dyna-ns.net.
0-1.ooo.	3600	in	ns	ns5.myhostadmin.net.
0-1.ooo.	3600	in	ns	ns6.myhostadmin.net.
0-o-0.ooo.	3600	in	ns	perimeter.dnspod.net.
0-o-0.ooo.	3600	in	ns	phase.dnspod.net.
0-o.ooo.	3600	in	ns	ns.linube.com.
0-o.ooo.	3600	in	ns	ns.linube.es.
0-o.ooo.	3600	in	ns	ns.linube.net.
0.ns.doch.ooo.	3600	in	a	213.190.28.74
0.ns.doch.ooo.	3600	in	aaaa	2a0a:51c0:0000:0144:0000:0000:0000:0003
00-0.ooo.	3600	in	ns	ns1.dyna-ns.net.
00-0.ooo.	3600	in	ns	ns2.dyna-ns.net.
000-000.ooo.	3600	in	ds	18299 8 2 7AACA3CAD45A804C013F5AEA6329E0EA41C05F60C720C774DC556473F3CAC6AE
000-000.ooo.	3600	in	ns	ns-cloud-d1.googledomains.com.
000-000.ooo.	3600	in	ns	ns-cloud-d2.googledomains.com.
000-000.ooo.	3600	in	ns	ns-cloud-d3.googledomains.com.
000-000.ooo.	3600	in	ns	ns-cloud-d4.googledomains.com.
000-000.ooo.	3600	in	rrsig	DS 8 2 3600 20260216161246 20260117144246 1930 ooo. p27Yi15nHPJfdJFfa6Pzsg8VBVVFVXn2IVxsYyj1RqXgQJ1QcTyIu4hl+thik6lWQRDfNv3Rgdfcd3iEX05LZnuySAWuPKtPwME8UJ6ZpCm+IR4qJQnl5tpTAsIjuShT0e3YJiymNzzi+bVlfYmLvtw7KQuFNxDJRTVWHmasY9s=
0000.ooo.	3600	in	ns	f1g1ns1.dnspod.net.
0000.ooo.	3600	in	ns	f1g1ns2.dnspod.net.
00000.ooo.	3600	in	ns	peyton.ns.cloudflare.com.
00000.ooo.	3600	in	ns	tegan.ns.cloudflare.com.
000000.ooo.	3600	in	ns	ns1.000000.ooo.
000000.ooo.	3600	in	ns	ns2.000000.ooo.
0000000.ooo.	3600	in	ns	curitiba.ns.porkbun.com.
0000000.ooo.	3600	in	ns	fortaleza.ns.porkbun.com.
0000000.ooo.	3600	in	ns	maceio.ns.porkbun.com.
0000000.ooo.	3600	in	ns	salvador.ns.porkbun.com.
000000000.ooo.	3600	in	ns	ns1djs.name.com.
000000000.ooo.	3600	in	ns	ns2lns.name.com.
000000000.ooo.	3600	in	ns	ns3ckl.name.com.
000000000.ooo.	3600	in	ns	ns4hmp.name.com.
0000000000.ooo.	3600	in	ns	ns1.dyna-ns.net.
0000000000.ooo.	3600	in	ns	ns2.dyna-ns.net.
00000o0o0o0o000.ooo.	3600	in	ns	curitiba.ns.porkbun.com.
00000o0o0o0o000.ooo.	3600	in	ns	fortaleza.ns.porkbun.com.
00000o0o0o0o000.ooo.	3600	in	ns	maceio.ns.porkbun.com.
00000o0o0o0o000.ooo.	3600	in	ns	salvador.ns.porkbun.com.
00001.ooo.	3600	in	ds	13502 8 2 E6A25B0A1FC6FB9C801B56CAA16CDB330B5D8ADDE1B416170CB2A3B67B6B0AB2
00001.ooo.	3600	in	ns	ns-cloud-b1.googledomains.com.
00001.ooo.	3600	in	ns	ns-cloud-b2.googledomains.com.
00001.ooo.	3600	in	ns	ns-cloud-b3.googledomains.com.
00001.ooo.	3600	in	ns	ns-cloud-b4.googledomains.com.
