paris.	3600	in	soa	a.nic.fr. dnsmaster.afnic.fr. 2223160762 3600 1800 1209600 600
0000.paris.	3600	in	ns	ns1.lerelaisinternet.com.
0000.paris.	3600	in	ns	ns2.lerelaisinternet.com.
00edup9uck7vt0tdkh87i95qijbna5lc.paris.	600	in	nsec3	1 1 0 - 00USM1Q20V3VH37QOMVP2L2LLQD24TK4 NS DS RRSIG
00edup9uck7vt0tdkh87i95qijbna5lc.paris.	600	in	rrsig	NSEC3 13 2 600 20260124100902 20251225094332 38200 paris. SQ/TvmqMTDY8UWdnrN3odcj1DHQoysPh5S/fP5eBMFiYWfUgIYY8qLNVoaVMiQJgcc09GnQgUJ/1iP61naDWmw==
00usm1q20v3vh37qomvp2l2llqd24tk4.paris.	600	in	nsec3	1 1 0 - 00V78Q99O0SPFDS2JQEBATBBIB8I8FTB NS DS RRSIG
00usm1q20v3vh37qomvp2l2llqd24tk4.paris.	600	in	rrsig	NSEC3 13 2 600 20260123025159 20251224022836 38200 paris. jzy3BQG27AH4nZS5l6NJcELYmN2NfX9m++W767rsmGcvw79czcndjJwcerV+FaEXv4DUOnzNXBkqm/2T1mSnAg==
00v78q99o0spfds2jqebatbbib8i8ftb.paris.	600	in	nsec3	1 1 0 - 01HO7H6MQQ2R78MLUPMT1Q3OVAAIILAO NS DS RRSIG
00v78q99o0spfds2jqebatbbib8i8ftb.paris.	600	in	rrsig	NSEC3 13 2 600 20260127045716 20251228041921 38200 paris. DzDcR3ZzTI94nQax06zOSulJQ3d9ePYZlbsZrHlT4ZJwK+6DB+5dsoMjwEsBYkQyNg7hbNfQbOiHS0uOp+21zA==
01ho7h6mqq2r78mlupmt1q3ovaaiilao.paris.	600	in	nsec3	1 1 0 - 033JVGUFSJIENIQMRLMO2IQIKJN6VSNJ NS DS RRSIG
01ho7h6mqq2r78mlupmt1q3ovaaiilao.paris.	600	in	rrsig	NSEC3 13 2 600 20260122200044 20251223190639 38200 paris. pF03L4F1vd2uByBG0CJwE+bGZfOX2iJiYOB80p6vMBbO0z2oWaTvhFTLUp0NVapOL7XjhXkCAuC+wcZjqRftBw==
033jvgufsjieniqmrlmo2iqikjn6vsnj.paris.	600	in	nsec3	1 1 0 - 03A8MMOQEIC7C9EJAVHCM8H8N4SJSBC2 NS DS RRSIG
033jvgufsjieniqmrlmo2iqikjn6vsnj.paris.	600	in	rrsig	NSEC3 13 2 600 20260201074143 20260102074038 38200 paris. 1ToDDwMamFJXox7kSK7H6yUahing1KU2KH79uiEHfb0uXsVmnz/1mC0p6oDOFLaldwzFAC4SgZvIvmRaeTcoaA==
03a8mmoqeic7c9ejavhcm8h8n4sjsbc2.paris.	600	in	nsec3	1 1 0 - 03ES74FQN7992UJCQVJ0668928IU48R6 NS DS RRSIG
03a8mmoqeic7c9ejavhcm8h8n4sjsbc2.paris.	600	in	rrsig	NSEC3 13 2 600 20260202080544 20260103075201 38200 paris. PaR7vc8kt0jTMNTcBKWCKIVImuxC1WCWX9kembgdqIHomyaKCuWdqFxaO9dCs08tN+WF/5fo8vLYowTgAEn1hg==
03es74fqn7992ujcqvj0668928iu48r6.paris.	600	in	nsec3	1 1 0 - 03U5J0IH0K4ACV4BVQ4AQFF536GRO3QI NS DS RRSIG
03es74fqn7992ujcqvj0668928iu48r6.paris.	600	in	rrsig	NSEC3 13 2 600 20260122091216 20251223082327 38200 paris. ZF+ZHUoZUVFuClnUA6rSB4gfnsTp/ETATbc1bCuJVaLd4HOHSY5HOvA1AFxm+ZwaMDzZOQHdzZ/pBI3l5NnThw==
03u5j0ih0k4acv4bvq4aqff536gro3qi.paris.	600	in	nsec3	1 1 0 - 03VE8U8CUQAVS9FST3LEO42GMJ8144R2 NS DS RRSIG
03u5j0ih0k4acv4bvq4aqff536gro3qi.paris.	600	in	rrsig	NSEC3 13 2 600 20260130092055 20251231084510 38200 paris. Lq3UYo8jZ2r1nohjBLVFfhLhRj14B5t1mXkKus/NqPrwGkDbpuoK/1zgseoaN2DKkfS7ROPyaxq25/Z8xg8YkQ==
03ve8u8cuqavs9fst3leo42gmj8144r2.paris.	600	in	nsec3	1 1 0 - 04C3FR6CCP85DVJ9A8TOVC7IH1QPVDLE NS DS RRSIG
