pizza.	3600	in	soa	v0n0.nic.pizza. hostmaster.donuts.email. 1757034847 7200 900 1209600 3600
0.pizza.	3600	in	ns	augustus.ns.cloudflare.com.
0.pizza.	3600	in	ns	laura.ns.cloudflare.com.
00006.pizza.	3600	in	ns	ns1.1233dns.com.
00006.pizza.	3600	in	ns	ns2.951dns.com.
000150.pizza.	3600	in	ns	ns1.1233dns.com.
000150.pizza.	3600	in	ns	ns2.951dns.com.
00018.pizza.	3600	in	ns	a.dnspod.com.
00018.pizza.	3600	in	ns	b.dnspod.com.
00018.pizza.	3600	in	ns	c.dnspod.com.
00030.pizza.	3600	in	ns	a.dnspod.com.
00030.pizza.	3600	in	ns	b.dnspod.com.
00030.pizza.	3600	in	ns	c.dnspod.com.
00037.pizza.	3600	in	ns	ns1.1233dns.com.
00037.pizza.	3600	in	ns	ns2.951dns.com.
00051.pizza.	3600	in	ns	amy.ns.cloudflare.com.
00051.pizza.	3600	in	ns	mark.ns.cloudflare.com.
00065.pizza.	3600	in	ns	ns1.dnsip.com.
00065.pizza.	3600	in	ns	ns2.dnsip.com.
00070.pizza.	3600	in	ns	ns1.dyna-ns.net.
00070.pizza.	3600	in	ns	ns2.dyna-ns.net.
001.pizza.	3600	in	ns	ns17.domaincontrol.com.
001.pizza.	3600	in	ns	ns18.domaincontrol.com.
00101.pizza.	3600	in	ns	ns1.dns.com.
00101.pizza.	3600	in	ns	ns2.dns.com.
00102.pizza.	3600	in	ns	ns1.dns.com.
00102.pizza.	3600	in	ns	ns2.dns.com.
00130.pizza.	3600	in	ns	ns1.dnsip.com.
00130.pizza.	3600	in	ns	ns2.dnsip.com.
00133.pizza.	3600	in	ns	ns1.dnsip.com.
00133.pizza.	3600	in	ns	ns2.dnsip.com.
00137.pizza.	3600	in	ns	amy.ns.cloudflare.com.
00137.pizza.	3600	in	ns	mark.ns.cloudflare.com.
00139.pizza.	3600	in	ns	ns1.1233dns.com.
00139.pizza.	3600	in	ns	ns2.951dns.com.
001390.pizza.	3600	in	ns	ns1.1233dns.com.
001390.pizza.	3600	in	ns	ns2.951dns.com.
001670.pizza.	3600	in	ns	ns1.1233dns.com.
001670.pizza.	3600	in	ns	ns2.951dns.com.
001724.pizza.	3600	in	ns	ns1.1233dns.com.
001724.pizza.	3600	in	ns	ns2.951dns.com.
00173.pizza.	3600	in	ns	ns1.dyna-ns.net.
00173.pizza.	3600	in	ns	ns2.dyna-ns.net.
002.pizza.	3600	in	ns	ns1.dyna-ns.net.
002.pizza.	3600	in	ns	ns2.dyna-ns.net.
00210.pizza.	3600	in	ns	n1.xundns.com.
00210.pizza.	3600	in	ns	n2.xundns.com.
00212.pizza.	3600	in	ns	ns7.alidns.com.
00212.pizza.	3600	in	ns	ns8.alidns.com.
00217.pizza.	3600	in	ns	ns1.dnsip.com.
00217.pizza.	3600	in	ns	ns2.dnsip.com.
00220.pizza.	3600	in	ns	n1.xundns.com.
00220.pizza.	3600	in	ns	n2.xundns.com.
00235.pizza.	3600	in	ns	ns7.alidns.com.
00235.pizza.	3600	in	ns	ns8.alidns.com.
00238.pizza.	3600	in	ns	ns1.1233dns.com.
00238.pizza.	3600	in	ns	ns2.951dns.com.
00246.pizza.	3600	in	ns	a.dnspod.com.
00246.pizza.	3600	in	ns	b.dnspod.com.
00246.pizza.	3600	in	ns	c.dnspod.com.
002550.pizza.	3600	in	ns	ns1.1233dns.com.
002550.pizza.	3600	in	ns	ns2.951dns.com.
00264.pizza.	3600	in	ns	n1.xundns.com.
00264.pizza.	3600	in	ns	n2.xundns.com.
002677.pizza.	3600	in	ns	ns1.1233dns.com.
002677.pizza.	3600	in	ns	ns2.951dns.com.
00269.pizza.	3600	in	ns	dolly.ns.cloudflare.com.
00269.pizza.	3600	in	ns	oswald.ns.cloudflare.com.
00271.pizza.	3600	in	ns	ns1.dnsowl.com.
00271.pizza.	3600	in	ns	ns2.dnsowl.com.
00271.pizza.	3600	in	ns	ns3.dnsowl.com.
00272.pizza.	3600	in	ns	ns1.1233dns.com.
00272.pizza.	3600	in	ns	ns2.951dns.com.
002720.pizza.	3600	in	ns	a.dnspod.com.
002720.pizza.	3600	in	ns	b.dnspod.com.
002720.pizza.	3600	in	ns	c.dnspod.com.
00274.pizza.	3600	in	ns	a.dnspod.com.
