place.	3600	in	soa	v0n0.nic.place. hostmaster.donuts.email. 1757034845 7200 900 1209600 3600
0.place.	3600	in	ns	ns1.name.com.
0.place.	3600	in	ns	ns2.name.com.
0.place.	3600	in	ns	ns3.name.com.
0.place.	3600	in	ns	ns4.name.com.
008vgcnhdekjg4tbn6q3beufe8pi1vlr.place.	3600	in	nsec3	1 1 0 73 01L4TF1B6QACGT3MVE9LGGON26MK1TF1 NS DS RRSIG
008vgcnhdekjg4tbn6q3beufe8pi1vlr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. L2ddZqaJYaAiL7T2exPc202lolTqopq4Rco4pCvYwe4JS0HJgniAiX1GBCTv+pbugeJvIvDu8RVscU8aaDnIayJwjxu9IQf0vQTeV8ZgS24/kQ6iaOmr8sFTAWprLg/iulZKUjUNQqewdM6JPHHlcP3v2PFSoY+KQgimQnF/wSo=
01l4tf1b6qacgt3mve9lggon26mk1tf1.place.	3600	in	nsec3	1 1 0 73 03EHN6K758L08R0DUN6QHKN2JEILCPA3 NS DS RRSIG
01l4tf1b6qacgt3mve9lggon26mk1tf1.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. SJzHA44bMT+yjnTzUgEoVe6PBFn7SuepgSyFuMj46LEVNc7r3Rr0Xen/+BbmUoXr8VDd9qT6emWR4HZooXLqDCys2oWV06TSr1aj6ZsNLrxmyPLwzsCe8h5r6wO7GvssqIKEqt2ce4gD8nEZ+b8TgWsqI9/dTezI9VKmFhDgmI8=
03458.place.	3600	in	ns	ns1.dns.com.
03458.place.	3600	in	ns	ns2.dns.com.
03ehn6k758l08r0dun6qhkn2jeilcpa3.place.	3600	in	nsec3	1 1 0 73 03J0JDLB5BH7CQLBEIJ44E5RR61RVBPG NS DS RRSIG
03ehn6k758l08r0dun6qhkn2jeilcpa3.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. UnVpKLlJeDChaPrcgu2pKsatVpld6SGHuR8KfQlODUEmxBMrQTv+CGRhtcYIDpyHu00J7ZpT9niP6fqGud8b63Cj2fMg9r8Ny4IUwmNT4gHCBOrSFCZRmIHIUZQRKJ4cln8yLV4UM1wfyUuYRnxC4yAGsrwNSkqV2uFRZ6TQeLQ=
03j0jdlb5bh7cqlbeij44e5rr61rvbpg.place.	3600	in	nsec3	1 1 0 73 03T6AM6T55NPBJCNMRDTOU4VL21DOOML NS DS RRSIG
03j0jdlb5bh7cqlbeij44e5rr61rvbpg.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. UlCl93WRRbsz3TujA9Fr+8eM8N6wXQke+JY53hRrveQ39NUCXUIQ+CalwAXQteBFSgoORdCPmoELfZER9PFHNREBWb1n5z6cQ0u0jnJY4n44GSPLvPbYp25cAaqw+j7R12HCHIyBSKN8KDjawdLo8eUHaOB52Bs75DC65/7hZv0=
