plumbing.	3600	in	soa	v0n0.nic.plumbing. hostmaster.donuts.email. 1757034780 7200 900 1209600 3600
02521.plumbing.	3600	in	ns	ns1.dyna-ns.net.
02521.plumbing.	3600	in	ns	ns2.dyna-ns.net.
02fgfaacz2.plumbing.	3600	in	ns	gracie.ns.cloudflare.com.
02fgfaacz2.plumbing.	3600	in	ns	micah.ns.cloudflare.com.
06875.plumbing.	3600	in	ns	ns1.dns.com.
06875.plumbing.	3600	in	ns	ns2.dns.com.
0c9dpgtk73encn6rbl5okde2mavsv5pa.plumbing.	3600	in	nsec3	1 1 0 73 0KUB1KAPS40F18EPFGUOLLFJ6T14MEBB NS DS RRSIG
0c9dpgtk73encn6rbl5okde2mavsv5pa.plumbing.	3600	in	rrsig	NSEC3 8 2 3600 20250922152544 20250901142544 7215 plumbing. zohWJL5pNDhhhf6XzkuWrH8EWqs0SlsMZL06Yk9peTipHuIIZvGhhc24SHrSukTjmINCsX4nYzv5HbptKFBxheYQwTobFOERb9Yq0QXwoD4YR6DQV/rlGwO2+Q4QrnFElk7ToYYh5UWZ/+qr9Hw79qsCHID9qXMTlqmsVqSBQdk=
0kub1kaps40f18epfguollfj6t14mebb.plumbing.	3600	in	nsec3	1 1 0 73 0OSJLI92EOSL140DC544EGPGUF0BRCMO NS DS RRSIG
0kub1kaps40f18epfguollfj6t14mebb.plumbing.	3600	in	rrsig	NSEC3 8 2 3600 20250922152544 20250901142544 7215 plumbing. QO6NIxSDmhfcbne34IX2be6bfpmsO6qN5Va9HxY6OiS/ZRklCVOon3CCdBWqOtOnPXnRWdo/TSPYxxmJ0SeMcAidO4BFh1E3C1l8s7PULzRmbHbZTwEsNBkCicc18aRt8gPqG/Nu8FbZHjumgyUxWa5OYO8aMpfCFrbmHOV3o7U=
0osjli92eosl140dc544egpguf0brcmo.plumbing.	3600	in	nsec3	1 1 0 73 106F5C3HM2CKSLDM8M1PHGPE04VV1123 NS DS RRSIG
0osjli92eosl140dc544egpguf0brcmo.plumbing.	3600	in	rrsig	NSEC3 8 2 3600 20250922152544 20250901142544 7215 plumbing. cgVOkhQi2Jp17Pdr0juYPCV+9XA3EIMZvedYYE0y6t/OMYXwX3zpw7LogoBpuwx6PUX1w9dkOfsifIvIF1k2F97bBSThCWBmMFqig9OWVopE5OdPzazf0FDT197FX/rOkRb7uhJ15MmnJC68LnptCvpsn4ZbMk/tHNZTQbpcRZ0=
100.plumbing.	3600	in	ns	jacqueline.ns.cloudflare.com.
100.plumbing.	3600	in	ns	mack.ns.cloudflare.com.
10306c10-9d7e-4587-970b-e97417c9259c.plumbing.	3600	in	ns	ns01.mittwald.dev.
10306c10-9d7e-4587-970b-e97417c9259c.plumbing.	3600	in	ns	ns02.mittwald.dev.
106f5c3hm2cksldm8m1phgpe04vv1123.plumbing.	3600	in	nsec3	1 1 0 73 1MJ32JAAOES18JB98TC0OSVH14FS3P0K NS DS RRSIG
