poker.	3600	in	soa	a0.nic.poker. hostmaster.donuts.email. 1767661813 7200 900 1209600 3600
000.poker.	3600	in	ns	launch1.spaceship.net.
000.poker.	3600	in	ns	launch2.spaceship.net.
0000000000000000000000000000000000000000000000000000000000000.poker.	3600	in	ns	ns1.dyna-ns.net.
0000000000000000000000000000000000000000000000000000000000000.poker.	3600	in	ns	ns2.dyna-ns.net.
00064.poker.	3600	in	ns	ns1.dyna-ns.net.
00064.poker.	3600	in	ns	ns2.dyna-ns.net.
00127.poker.	3600	in	ns	ns1.dyna-ns.net.
00127.poker.	3600	in	ns	ns2.dyna-ns.net.
001997.poker.	3600	in	ns	ns1.dyna-ns.net.
001997.poker.	3600	in	ns	ns2.dyna-ns.net.
00242.poker.	3600	in	ns	ns1.dyna-ns.net.
00242.poker.	3600	in	ns	ns2.dyna-ns.net.
00405.poker.	3600	in	ns	ns1.dyna-ns.net.
00405.poker.	3600	in	ns	ns2.dyna-ns.net.
004541.poker.	3600	in	ns	ns1.dyna-ns.net.
004541.poker.	3600	in	ns	ns2.dyna-ns.net.
00531.poker.	3600	in	ns	ns1.dyna-ns.net.
00531.poker.	3600	in	ns	ns2.dyna-ns.net.
007.poker.	3600	in	ns	ns39.domaincontrol.com.
007.poker.	3600	in	ns	ns40.domaincontrol.com.
00767.poker.	3600	in	ns	ns1.dyna-ns.net.
00767.poker.	3600	in	ns	ns2.dyna-ns.net.
007788.poker.	3600	in	ns	ns1.dyna-ns.net.
007788.poker.	3600	in	ns	ns2.dyna-ns.net.
009548.poker.	3600	in	ns	ns1.dyna-ns.net.
009548.poker.	3600	in	ns	ns2.dyna-ns.net.
009bet.poker.	3600	in	ns	george.ns.cloudflare.com.
009bet.poker.	3600	in	ns	monroe.ns.cloudflare.com.
01099.poker.	3600	in	ns	ns1.dyna-ns.net.
01099.poker.	3600	in	ns	ns2.dyna-ns.net.
012936.poker.	3600	in	ns	ns1.dyna-ns.net.
012936.poker.	3600	in	ns	ns2.dyna-ns.net.
01359.poker.	3600	in	ns	ns1.dyna-ns.net.
01359.poker.	3600	in	ns	ns2.dyna-ns.net.
015167.poker.	3600	in	ns	ns1.dyna-ns.net.
015167.poker.	3600	in	ns	ns2.dyna-ns.net.
015225.poker.	3600	in	ns	ns1.dyna-ns.net.
015225.poker.	3600	in	ns	ns2.dyna-ns.net.
01539.poker.	3600	in	ns	ns1.dyna-ns.net.
01539.poker.	3600	in	ns	ns2.dyna-ns.net.
015508.poker.	3600	in	ns	ns1.dyna-ns.net.
015508.poker.	3600	in	ns	ns2.dyna-ns.net.
01601.poker.	3600	in	ns	ns1.dyna-ns.net.
01601.poker.	3600	in	ns	ns2.dyna-ns.net.
020237.poker.	3600	in	ns	ns1.dyna-ns.net.
020237.poker.	3600	in	ns	ns2.dyna-ns.net.
020253.poker.	3600	in	ns	ns1.dyna-ns.net.
020253.poker.	3600	in	ns	ns2.dyna-ns.net.
020687.poker.	3600	in	ns	ns1.dyna-ns.net.
020687.poker.	3600	in	ns	ns2.dyna-ns.net.
021226.poker.	3600	in	ns	ns1.dyna-ns.net.
021226.poker.	3600	in	ns	ns2.dyna-ns.net.
021385.poker.	3600	in	ns	ns1.dyna-ns.net.
021385.poker.	3600	in	ns	ns2.dyna-ns.net.
02270.poker.	3600	in	ns	ns1.dyna-ns.net.
02270.poker.	3600	in	ns	ns2.dyna-ns.net.
02286.poker.	3600	in	ns	ns1.dyna-ns.net.
02286.poker.	3600	in	ns	ns2.dyna-ns.net.
02344.poker.	3600	in	ns	ns1.dyna-ns.net.
02344.poker.	3600	in	ns	ns2.dyna-ns.net.
02395.poker.	3600	in	ns	ns1.dyna-ns.net.
02395.poker.	3600	in	ns	ns2.dyna-ns.net.
024016.poker.	3600	in	ns	ns1.dyna-ns.net.
024016.poker.	3600	in	ns	ns2.dyna-ns.net.
02590.poker.	3600	in	ns	ns1.dyna-ns.net.
02590.poker.	3600	in	ns	ns2.dyna-ns.net.
02612.poker.	3600	in	ns	ns1.dyna-ns.net.
02612.poker.	3600	in	ns	ns2.dyna-ns.net.
02693.poker.	3600	in	ns	ns1.dyna-ns.net.
02693.poker.	3600	in	ns	ns2.dyna-ns.net.
02704.poker.	3600	in	ns	ns1.dyna-ns.net.
02704.poker.	3600	in	ns	ns2.dyna-ns.net.
02851.poker.	3600	in	ns	ns1.dyna-ns.net.
02851.poker.	3600	in	ns	ns2.dyna-ns.net.
02886.poker.	3600	in	ns	ns1.dyna-ns.net.
02886.poker.	3600	in	ns	ns2.dyna-ns.net.
02980.poker.	3600	in	ns	ns1.dyna-ns.net.
02980.poker.	3600	in	ns	ns2.dyna-ns.net.
029flg127vsqug1v7lp2bu0j2fp6vnnr.poker.	3600	in	nsec3	1 1 0 73 0H7QMQHKN5A4MRB9U1HMKV1KK9OVTM1E NS DS RRSIG
029flg127vsqug1v7lp2bu0j2fp6vnnr.poker.	3600	in	rrsig	NSEC3 8 2 3600 20260125042209 20260104032209 58953 poker. HaefRRNdRHp9E8hbxbrg6c1yQyp8FXdtyYrhCyNYhSIPBgiMFGLuoYq0VtKMwTn86SZN0oUD+KCI5xI4Ld3W73LKvPylR+Qx9gPqf6Ki8/1yyBpHzvyQcBbkLaDbh+7VbcaIgtOaNQJR7o29BdqI/L6KDR9SVNp0JvL9GZu479U=
03008.poker.	3600	in	ns	ns1.dyna-ns.net.
