promo.	3600	in	soa	a0.nic.promo. hostmaster.donuts.email. 1759367415 7200 900 1209600 3600
008ur2us9k0bu7qn9lgoh7to49058cld.promo.	3600	in	nsec3	1 1 0 73 07EVNHQHEC2IATGJQOBTQ5JKU3U2IE45 NS DS RRSIG
008ur2us9k0bu7qn9lgoh7to49058cld.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. x4SyTiKZoY0nRFMi3eoo+dmNDkQsPms2oLmNkMiJ0Gh0Hfh4ohBfKTKwqCOxQ24s2MOW7YtYlfQI2tDVizdwVgY/dVrvNNcWzX22QxjWT+oFguVn97u0DqE0I94ME3BdhbebhmSwCHChiIMBdZzVc2CRqji6J2ZsY2LvsYFQDa8=
021bet.promo.	3600	in	ns	janet.ns.cloudflare.com.
021bet.promo.	3600	in	ns	wells.ns.cloudflare.com.
07evnhqhec2iatgjqobtq5jku3u2ie45.promo.	3600	in	nsec3	1 1 0 73 0D66TIGGSC1I7REVJVVQOTUAR3OT6H7G NS DS RRSIG
07evnhqhec2iatgjqobtq5jku3u2ie45.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. 6Q/UVmsQe+Wchfzfrx6R85l7ODqUc/nLEdlBpJ05noYHKAB05JGvsz51kltIU9a3NsBbowaoj2EhvjFtkpi507Ntckc+jW+pqbhBLk7b4HCEIqbp+fYKJUHg7oMPYZT4QA5EQy/V2LhQop97VmN6sVubwJFFJaRdFUGRR5wVGzw=
09834.promo.	3600	in	ns	dane.ns.cloudflare.com.
09834.promo.	3600	in	ns	tori.ns.cloudflare.com.
0d66tiggsc1i7revjvvqotuar3ot6h7g.promo.	3600	in	nsec3	1 1 0 73 0DM0S2UR4HPJ6B171BFC0J8HLHHR6MIL NS DS RRSIG
0d66tiggsc1i7revjvvqotuar3ot6h7g.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. X7y7OhXq0cESX/fVf4EEVUDVrGO3ppyrHJ7+49vacntjKKnCtpmMSX2x40vAu+XaOEqG14hPpEXkeg4H74zigXhzm+KvM/wBBdF/l8dqkmoyJAvuCf8c+KUqj3X2mW/ZsD+Zrfq1fcfOQNIAnf4o43YwloNVvkGl6mCFOgNPmxg=
0dm0s2ur4hpj6b171bfc0j8hlhhr6mil.promo.	3600	in	nsec3	1 1 0 73 0OKPCJ0PLBUBR71P5UDFN0IPE6RI1A1B NS DS RRSIG
0dm0s2ur4hpj6b171bfc0j8hlhhr6mil.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. sORGUpLEUmoHCTZDuWWASVg94g/M2fXfhdGJqYaVboN+h+SPGmliKgEfJ1pgnpvCZ8ecHCRtCqGA515VwTBLtRDh1wU3n1dIx8QUwoxGINXvA9ypFy/4h9bVrCs5vVZyqEv1m7wBgfFesb4Lp3mV8OwUbyvqcfRNXWVldvQ2FEk=
0okpcj0plbubr71p5udfn0ipe6ri1a1b.promo.	3600	in	nsec3	1 1 0 73 0PI8HBMT28CLCPJ76H2F0MOJDOHJOLA9 NS DS RRSIG
0okpcj0plbubr71p5udfn0ipe6ri1a1b.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. JOd7FlkxC3Fpp1yTpZ08WCHz9QPuMvX3ROHX91pcmyV9fJfXuw4T3P37TJ1xBVbvXyMNXbJMaJ98EnBZ1pjGB8NeHIifVxxOTk83M1P43nTM8rUAbD0L4XYNe71euv5fldCMUm3tS2CQ9YwgileZjFNMPdc/9Bh6Qo5Xa4uSb+8=
0pi8hbmt28clcpj76h2f0mojdohjola9.promo.	3600	in	nsec3	1 1 0 73 0RU71VELKJKGPADCO1LGHB97V894BAQC NS DS RRSIG
0pi8hbmt28clcpj76h2f0mojdohjola9.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. 7isluG++bYKf49LrOeeaxGXJcEUUUQRWO+9VAl5+cHPWB3ZGicMOT5oPjDWovpzuugAnUcv2i7p1gyZrwO1jhme7XCB0/LNfvlAbJP/Kmb28r+LhKpGEYJ1/MDFniWHEDEDD1Jb0Qf6Haix4G79Pmy/lbY3mNPfy98ctetBG8mE=
0ru71velkjkgpadco1lghb97v894baqc.promo.	3600	in	nsec3	1 1 0 73 0TF2I5VKT2956UCHB3NA82U2A2HBKP48 NS DS RRSIG
0ru71velkjkgpadco1lghb97v894baqc.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. dTHDfHYGPRmZo+lkjol+s1dsugpRm/Jjsbgu4YfcYrh8zIm4IBc40BClYa3KGEkFR1corf632wbJ3CeiPSA1rMR+rOUGCUV2mzAUIUkQSD4ua6YrmfyY52uatGRuMlUk+xjt30Q8T1Pz+SBcCrNZOyKa1edLo7gT3JpRDmb7pyo=
0tf2i5vkt2956uchb3na82u2a2hbkp48.promo.	3600	in	nsec3	1 1 0 73 14S85UVCU43RBAEQM2C5OJ5CIK0342H2 NS DS RRSIG
0tf2i5vkt2956uchb3na82u2a2hbkp48.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. d3s/Ih4OZ1QEdqlWzSFqoHPhiPO1JG1qvPAY+CE+9VXYMI2h53D4uzRqgd7vx55fPDhDuOdx9TVbG8qAR/HVbfff4vosBOzvM+Y//OjaT0uIGQxg8h4+OgDXpEn5gsNDWgzyGVddlUhyWA98viLJEw7OEoDV7XXlfDGAnj1P4LI=
1-800-flowers.promo.	3600	in	ns	dns1.cscdns.net.
1-800-flowers.promo.	3600	in	ns	dns2.cscdns.net.
1001.promo.	3600	in	ns	ns-wh1.web.z.com.
1001.promo.	3600	in	ns	ns-wh2.web.z.com.
108records.promo.	3600	in	ns	ns1.nameself.com.
108records.promo.	3600	in	ns	ns2.nameself.com.
11win.promo.	3600	in	ns	clyde.ns.cloudflare.com.
11win.promo.	3600	in	ns	elle.ns.cloudflare.com.
123b.promo.	3600	in	ns	ns1.dns-redirect.com.
123b.promo.	3600	in	ns	ns2.dns-redirect.com.
123movies.promo.	3600	in	ns	ns1.dns-redirect.com.
123movies.promo.	3600	in	ns	ns2.dns-redirect.com.
12bet.promo.	3600	in	ns	ada.ns.cloudflare.com.
12bet.promo.	3600	in	ns	lakas.ns.cloudflare.com.
14s85uvcu43rbaeqm2c5oj5cik0342h2.promo.	3600	in	nsec3	1 1 0 73 1626PGHBPUCM02AL628QCLN3D4NRQ83F NS DS RRSIG
14s85uvcu43rbaeqm2c5oj5cik0342h2.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. kb1ADyhFmTPvysBEcnU6thSEMuSHXi5NLGJgkHPUQR/z7Y1a18wAcTlkfmrk7CL6ZTAYTgdOaHf57vRdcsiziLDz7Uw/tcDj7GpKhMtY4wIwcBLglPSaR50fsPMh+QplnxlrugvmvTW+l4n8XlsmQZRVDIsmwuY7zqzhSn3KG8Q=
1626pghbpucm02al628qcln3d4nrq83f.promo.	3600	in	nsec3	1 1 0 73 19T07V9711A8SQS3U1289KBOSU7FNTDS NS DS RRSIG
1626pghbpucm02al628qcln3d4nrq83f.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. Ow3+g7YlAC4NABYAotpTS7LJVwh7uZo+Y9MHl8ksTaPnJkH6JvpnuA976r737+LCQYoIccH99vxwo53nB1MCHaU57refHO13tuRUoR/qIA1XoNgfNeuQaAFxaLcZwak6n7pVAvEPCimto4EtcAECQ7nGn5AjNZwk5twaMk7/oqU=
1688.promo.	3600	in	ns	ns1.afternic.com.
1688.promo.	3600	in	ns	ns2.afternic.com.
1800baskets.promo.	3600	in	ns	dns1.cscdns.net.
1800baskets.promo.	3600	in	ns	dns2.cscdns.net.
1800flowers.promo.	3600	in	ns	dns1.cscdns.net.
1800flowers.promo.	3600	in	ns	dns2.cscdns.net.
1836ink.promo.	3600	in	ns	ns1.wpx.net.
1836ink.promo.	3600	in	ns	ns2.wpx.net.
1836ink.promo.	3600	in	ns	ns3.wpx.net.
188bet.promo.	3600	in	ns	pdns95.ultradns.biz.
188bet.promo.	3600	in	ns	pdns95.ultradns.com.
188bet.promo.	3600	in	ns	pdns95.ultradns.net.
188bet.promo.	3600	in	ns	pdns95.ultradns.org.
19t07v9711a8sqs3u1289kbosu7fntds.promo.	3600	in	nsec3	1 1 0 73 1BM6E0K097VON8KNCAITBM0P6MB47EJ3 NS DS RRSIG
19t07v9711a8sqs3u1289kbosu7fntds.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. z/pJ6FBInOpZ4+bcBWInwh7cb1RaKs1udAS3wTOabNot4Bt7Kl3EioXWH5B2dQTvF+Z4Ubp3LgMiwoSsM3GwGAQybBCoPWzpTXoppDRODP4ylcGcjDXbXlHkb3IDgTeL/cEF7SsvcOWKwkhqn+UojeDiVD5MiM8PDi3pDsbBOf8=
1beef.promo.	3600	in	ns	ns-1178.awsdns-19.org.
1beef.promo.	3600	in	ns	ns-1851.awsdns-39.co.uk.
1beef.promo.	3600	in	ns	ns-384.awsdns-48.com.
1beef.promo.	3600	in	ns	ns-842.awsdns-41.net.
1bm6e0k097von8kncaitbm0p6mb47ej3.promo.	3600	in	nsec3	1 1 0 73 1E46RA6F87FV1UQ8D1JKLFRG6IB9ANEE NS DS RRSIG
1bm6e0k097von8kncaitbm0p6mb47ej3.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. ZE8b0ccAQLHzYmPyS4tSFSkl0CS1cgoI7lN9crVoCzOgg2Ppl7KrTymBO+M5eBD27dNspUUXKjfglCTas46mm3dlxKnQpNG8u6Tl50yjHoGI4wiEXXMyPasDLb3kAZp8JeeInFqfmXP9dClFPf5d8Rpg0OryIaKEXuYFYwV9Km4=
1casino.promo.	3600	in	ns	buck.ns.cloudflare.com.
1casino.promo.	3600	in	ns	mckinley.ns.cloudflare.com.
1click.promo.	3600	in	ds	26544 13 2 9896176FEA6A9A91FC054DB00344EA22309361EFB8F8AF4591FE84E88E6CB865
1click.promo.	3600	in	ns	launch1.spaceship.net.
1click.promo.	3600	in	ns	launch2.spaceship.net.
1click.promo.	3600	in	rrsig	DS 8 2 3600 20251022161043 20251001151043 6474 promo. Ca6AHNbxvl2W1k+up1JOkQVf8hnJ6FGr3MJT1VKb3+ivh+jUF/gJiK2RsmGK7WPRC6gO8hUwzRcEDawy2a6jRt0tNgUlnBEimca19kk/baOETvIw4iLSVJ1D7wgF6Y5XsYFDgCnoIt0KgHp1cv/6BAjo9qa/3FAK9RsEzN6tWH8=
1e46ra6f87fv1uq8d1jklfrg6ib9anee.promo.	3600	in	nsec3	1 1 0 73 1KMIG768MJ159FP06SBBP8QM44MMOOLR NS DS RRSIG
1e46ra6f87fv1uq8d1jklfrg6ib9anee.promo.	3600	in	rrsig	NSEC3 8 2 3600 20251022161043 20251001151043 6474 promo. HftlyrEnWsSQ4LDMey+mQ4ulQN7s10ilRRZIsqWgO0S3FlCxZGvDSm3KFgaKu8miF3hjrQamwaZZKNCaZe+oFC3mmQQJgFahDO7EOZTdE9mKYiNzn2QDKs1J+BbMfc7xLuAX+87z9gOuJYeF5cvYjAGgibTkvZlJX1iN50BK0e8=
1inch.promo.	3600	in	ns	curitiba.ns.porkbun.com.
1inch.promo.	3600	in	ns	fortaleza.ns.porkbun.com.
