rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
1.rich.	3600	in	ns	premium-ns1.dnsowl.com.
1.rich.	3600	in	ns	premium-ns2.dnsowl.com.
1.rich.	3600	in	ns	premium-ns3.dnsowl.com.
1xbet.rich.	3600	in	ns	ns1.dnsres.net.
1xbet.rich.	3600	in	ns	ns2.dnsres.net.
1xbet.rich.	3600	in	ns	ns3.dnsres.net.
2.rich.	3600	in	ns	karina.ns.cloudflare.com.
2.rich.	3600	in	ns	tosana.ns.cloudflare.com.
2vihmqdah9t3deshkug1jdb4nitfbr30.rich.	3600	in	nsec3	1 1 0 73 39PVQKQEIOP8DCVL9FFUJQ1KQE4KMNL2 NS SOA RRSIG DNSKEY NSEC3PARAM
2vihmqdah9t3deshkug1jdb4nitfbr30.rich.	3600	in	rrsig	NSEC3 8 2 3600 20250917011651 20250827001651 12519 rich. YpA+uunYAPk0iLmSw4DjvcFQHQtwXCpFTD6wK/E+iefQXupqvcGxgoxUExh9x4n+lqYD4Y7BtTXUYKusjheQNRyO1VpBU8JpeyBEz432pL+0l9+zcA7VQQRsMFbYBowlNidvc54g1BxytS6PjsoCXGZL6nw3VDU9p3n7qb6E208=
365.rich.	3600	in	ns	ns1.4.cn.
365.rich.	3600	in	ns	ns2.4.cn.
39pvqkqeiop8dcvl9ffujq1kqe4kmnl2.rich.	3600	in	nsec3	1 1 0 73 IK84QUM3Q7MJNAT0F4P3SVJS8AIV8M4P NS DS RRSIG
39pvqkqeiop8dcvl9ffujq1kqe4kmnl2.rich.	3600	in	rrsig	NSEC3 8 2 3600 20250916160320 20250826150320 12519 rich. YzA8U5cd27na/4vgDLOGNDAC83qfR3DfPnlwigCfXJWrnWRlOa+B/N9mMWrZFEJGOUENEFca28zSffEa3ckiBVMx5I9NUYU+pspHRONUmmhNvAJ8Qr6KPayLD63lcr+8dqbzuVmxQ2EWNE2WruOhP96LX/hWnZ/zanvx5El4tds=
5movierulz.rich.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.rich.	3600	in	ns	santino.ns.cloudflare.com.
777.rich.	3600	in	ns	ns1.dyna-ns.net.
777.rich.	3600	in	ns	ns2.dyna-ns.net.
8xbet.rich.	3600	in	ns	cora.ns.cloudflare.com.
8xbet.rich.	3600	in	ns	nile.ns.cloudflare.com.
a.rich.	3600	in	ns	rocco.ns.cloudflare.com.
a.rich.	3600	in	ns	vita.ns.cloudflare.com.
a0.nic.rich.	3600	in	a	65.22.136.17
a0.nic.rich.	3600	in	aaaa	2a01:8840:0086:0000:0000:0000:0000:0017
a2.nic.rich.	3600	in	a	65.22.139.17
a2.nic.rich.	3600	in	aaaa	2a01:8840:0089:0000:0000:0000:0000:0017
abra.rich.	3600	in	ns	ns1a.dodns.net.
abra.rich.	3600	in	ns	ns2a.dodns.net.
access.rich.	3600	in	ns	ns1dhq.name.com.
access.rich.	3600	in	ns	ns2glx.name.com.
access.rich.	3600	in	ns	ns3fqs.name.com.
access.rich.	3600	in	ns	ns4lqx.name.com.
accs.rich.	3600	in	ns	bella.ns.cloudflare.com.
accs.rich.	3600	in	ns	ryan.ns.cloudflare.com.
ai.rich.	3600	in	ns	ns27.domaincontrol.com.
ai.rich.	3600	in	ns	ns28.domaincontrol.com.
alfa.rich.	3600	in	ns	ns1.dyna-ns.net.
alfa.rich.	3600	in	ns	ns2.dyna-ns.net.
alphabet.rich.	3600	in	ns	ns1.google.com.
alphabet.rich.	3600	in	ns	ns2.google.com.
alphabet.rich.	3600	in	ns	ns3.google.com.
alphabet.rich.	3600	in	ns	ns4.google.com.
always.rich.	3600	in	ns	ns-rs1.gmoserver.jp.
always.rich.	3600	in	ns	ns-rs2.gmoserver.jp.
amazon.rich.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.rich.	3600	in	ns	nssui.comlaude.ch.
amazon.rich.	3600	in	ns	nsusa.comlaude.net.
app.rich.	3600	in	ns	ns1.dyna-ns.net.
app.rich.	3600	in	ns	ns2.dyna-ns.net.
aws.rich.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.rich.	3600	in	ns	nssui.comlaude.ch.
aws.rich.	3600	in	ns	nsusa.comlaude.net.
b0.nic.rich.	3600	in	a	65.22.137.17
b0.nic.rich.	3600	in	aaaa	2a01:8840:0087:0000:0000:0000:0000:0017
bailliegifford.rich.	3600	in	ns	ns-1408.awsdns-48.org.
bailliegifford.rich.	3600	in	ns	ns-1899.awsdns-45.co.uk.
bailliegifford.rich.	3600	in	ns	ns-234.awsdns-29.com.
bailliegifford.rich.	3600	in	ns	ns-580.awsdns-08.net.
bb-in.rich.	3600	in	ns	ns1bqx.name.com.
bb-in.rich.	3600	in	ns	ns2dhj.name.com.
bb-in.rich.	3600	in	ns	ns3bgq.name.com.
bb-in.rich.	3600	in	ns	ns4cjp.name.com.
be.rich.	3600	in	ns	ns1.sedoparking.com.
be.rich.	3600	in	ns	ns2.sedoparking.com.
believe.rich.	3600	in	ns	ns1.vercel-dns.com.
believe.rich.	3600	in	ns	ns2.vercel-dns.com.
bet.rich.	3600	in	ns	ns1.atom.com.
