rio.	172800	in	soa	a.dns.br. hostmaster.registro.br. 2025239030 1800 900 604800 900
0fshhkdb8ejpkcu1uijqtsogr98lr498.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 0VDS2DMJHK5VGVKS8JI3CIF65NNQPSBK NS DS RRSIG
0fshhkdb8ejpkcu1uijqtsogr98lr498.rio.	900	in	rrsig	NSEC3 13 2 900 20250909112501 20250825102501 65520 rio. JDER2NdVwJsRtS21I64lPR9fKiXdTTZL5xf0Xu1HGkwx6HBmuiULvU0Vf2kQlPkdfZ+0K1+b4wOnh90tE7f7Fw==
0vds2dmjhk5vgvks8ji3cif65nnqpsbk.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 12ID3E0F1QB0E0M723BGIET1MUQ4I5DC NS DS RRSIG
0vds2dmjhk5vgvks8ji3cif65nnqpsbk.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. kbwTVxKsaQO3E3Hs7uIR0pX6yIOS6NOFUl8fjUXhzcBBucwJuW6nDTjvu/UDgoBNXTIcSjxdbJSQu0itby/94w==
12id3e0f1qb0e0m723bgiet1muq4i5dc.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 1AM7RJ6U4DBFFOL3E7F42E5T0EQS0A6N NS DS RRSIG
12id3e0f1qb0e0m723bgiet1muq4i5dc.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. oFzkOoAYaw2uo1auUdXeYrPKQljlWJ3vih+ERjl21Gmpo/147dwZzHeGxjTJ/KuYbQzzJfwJwY/5LNF6WWK7iw==
1746.rio.	86400	in	ns	ns0.rio.gov.br.
1746.rio.	86400	in	ns	ns1.rio.rj.gov.br.
1am7rj6u4dbffol3e7f42e5t0eqs0a6n.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 1C13HF908PE7AJ4GLVP6I4MVM4CGUU8B NS DS RRSIG
1am7rj6u4dbffol3e7f42e5t0eqs0a6n.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. cBjM00wTOFQe8etmx9g0AiWSqMl9n2VOoxvyhQqAh1FpndKWscShB0kbA1Nyb27mSK6m82CulpgpnlRybnmDNw==
1c13hf908pe7aj4glvp6i4mvm4cguu8b.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 1H04JN85BBMQJJIJ33QAOEFFLCUSFS26 NS DS RRSIG
1c13hf908pe7aj4glvp6i4mvm4cguu8b.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 4BsTCM2MOEmd7SfP8VvKtlqZMigbSrLQF/lpyd+FLOmLiwHI2zuV28a5c8BPg24YYRElwNT6afGCJ30IQXbEZA==
1h04jn85bbmqjjij33qaoefflcusfs26.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 29213E02NT0MF264FHR8B6JBA7G03887 NS DS RRSIG
1h04jn85bbmqjjij33qaoefflcusfs26.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. uQv7jXwog8jsd50B17q+j7rT83DS/4Ntkp5ooS1g2UwPkfOSbcZVmVQqt0++Y6/Lk1aDPixUWJktzdg+oefYXg==
29213e02nt0mf264fhr8b6jba7g03887.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 2G28IAR5MTMQJFQIQBRVL6483PR2S7JB NS DS RRSIG
29213e02nt0mf264fhr8b6jba7g03887.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. +fukLODRpquHAbogclOPRI+q9E5XjCRxSFeM7k3m0lKbzI/CSfHgd5x9mDq0cxdv/kfogfZl/8NkI3HbOza7Lw==
2g28iar5mtmqjfqiqbrvl6483pr2s7jb.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 2IEF1C8U2P4JU4F1BREQMPF61RF99U82 NS DS RRSIG
2g28iar5mtmqjfqiqbrvl6483pr2s7jb.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 9MLdDRzXfrQydj8/qtwSITTT2AhpyiJ+4AoOLHmApfGeBV/GYwRvB4h6BFHg7PVpM0lTqbzkLYNOTQKFTyZ7gg==
2ief1c8u2p4ju4f1breqmpf61rf99u82.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 2O41FAS3VAAN2FV3R2QV7DCP3NKIOQQ1 NS DS RRSIG
2ief1c8u2p4ju4f1breqmpf61rf99u82.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 8MALVoJIXxAh7IH9Pa3KbqpzjTNpjdvKvKU76FgyQmrSApbZZkADCp3Ppuzcw9/pMdsuLPZB4uyKmiYY+AajZA==
2o41fas3vaan2fv3r2qv7dcp3nkioqq1.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 3FHPQV6DFUJEK2DH4745LCSU11U41UOM NS DS RRSIG
2o41fas3vaan2fv3r2qv7dcp3nkioqq1.rio.	900	in	rrsig	NSEC3 13 2 900 20250909203502 20250825193502 65520 rio. mTbcm3DB/5tK2Pem9lOOYsUSEjHhLTqIYB8EzJYQ7nvSfVYTOUpmbFPzo9tDBsXhU9rzkXg6KZD+kqnNjCPn3A==
2santos.rio.	86400	in	ns	nsa1.k8.com.br.
2santos.rio.	86400	in	ns	nsa2.k8.com.br.
2santos.rio.	86400	in	ns	nsa3.k8.com.br.
2santos.rio.	86400	in	ns	nsa4.k8.com.br.
2santos.rio.	86400	in	ns	nsa5.k8.com.br.
2santos.rio.	86400	in	ns	nsa6.k8.com.br.
3fhpqv6dfujek2dh4745lcsu11u41uom.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 43ROOK672RRVSK58UNHI7MRLACKBJ87D NS DS RRSIG
3fhpqv6dfujek2dh4745lcsu11u41uom.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. olvYrnqzt0Yr23NavePzlZnFVjX6DUU0P4ShY+5/CZCdx7ITPASppTZrZSPzJDaCz366SOW0pOpKxk1i4OcTcw==
42.rio.	86400	in	ns	henry.ns.cloudflare.com.
42.rio.	86400	in	ns	rachel.ns.cloudflare.com.
43rook672rrvsk58unhi7mrlackbj87d.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 47VOQPSF7BTRHOLD11EFK16TIA7AU36L NS DS RRSIG
43rook672rrvsk58unhi7mrlackbj87d.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. jeh26uBZwtZLJ/baHmApHV4qDKGMpMoTkbme85GyMfXXafH1Y1fCvd2KtVA/lB1UcO1OM+In3eYI/BNPKEKuYA==
47voqpsf7btrhold11efk16tia7au36l.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 489J2DNDL1665JN7S75HP95GGDK2ABCR NS DS RRSIG
47voqpsf7btrhold11efk16tia7au36l.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 8rKED6W8rPncsiwV3acEjjPxE8oCBb5Ti89/EpaeSu7dS7Dy7jJqrWwQ7CC8RA2JkhPrJhd+e0xDVrWFfMVgvg==
489j2dndl1665jn7s75hp95ggdk2abcr.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4AGBDK3OOSQJT6URPEB77SIDK9MRECVK NS SOA RRSIG DNSKEY NSEC3PARAM
489j2dndl1665jn7s75hp95ggdk2abcr.rio.	900	in	rrsig	NSEC3 13 2 900 20250911011501 20250827001501 65520 rio. 0ZCZ3eREaGrFD6fUe+ZZTGjy6BSFPRkq+4WMwFy7GfAyNRdIcbRubE9SkNKlqQpJn1AazZ4gxTLKxkyTFJ169g==
4agbdk3oosqjt6urpeb77sidk9mrecvk.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4F0TRMN8LSPGODKIKUC3T3EA9AC09Q5G NS DS RRSIG
4agbdk3oosqjt6urpeb77sidk9mrecvk.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. CvwfdryOs+4VYpMxE5WDqkpi+7pu3hF9n01MWg7RsXw08iiV81GfIpzwj/EIb4S/DkfO/6Z4HchxbjibqDBXFA==
4f0trmn8lspgodkikuc3t3ea9ac09q5g.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4MVB4QIK0S4NK05UUQJAEHQB2KCLEN2U NS DS RRSIG
4f0trmn8lspgodkikuc3t3ea9ac09q5g.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. Eca9AeUSv1iluvrXS3kn8b7R4nolejiqKitttDHY6lYAiR/RS9bMa/X7ZLN4hJBzGXxTNUvfNI7ZPxFWWsyY6g==
4mvb4qik0s4nk05uuqjaehqb2kclen2u.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 5GH5ELKE8S2JIHDNPN4P4TEK6RCKBA6U NS DS RRSIG
4mvb4qik0s4nk05uuqjaehqb2kclen2u.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. RU1OFruxFd8NdGjlUd7DxGLo2plcJ8W3nQFKYFlAK+0+emsWFsuopl+pdBRcUyuas6ddxPJ/NK7gAdzBXniAhg==
5gh5elke8s2jihdnpn4p4tek6rckba6u.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6EJMISAPBV4O448BUIQ0L2FKNREU872E NS DS RRSIG
5gh5elke8s2jihdnpn4p4tek6rckba6u.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. TzbJPN7LeWNiEy9BLjYwXm2tseV17j0nUAiYITwTsXt3EEbtmzQto9rk7/eTKcAFMxXJ930+rr/iVWZY/iP1Ig==
6ejmisapbv4o448buiq0l2fknreu872e.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6FPQDNKIQ4NS8ROKPQTGNC4FBIR3CVEI NS DS RRSIG
6ejmisapbv4o448buiq0l2fknreu872e.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. OPOl35yNxKsWaYLAWYriFulMo85+An7dmd5STQHEDmaj9L3c+Us9RrXwIWa/3JrIg9bw3SqnhC+0mhdBTAyiCQ==
6fpqdnkiq4ns8rokpqtgnc4fbir3cvei.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6GUPGPCSA74EAKODOQ61FR0JV8JBRFF4 NS DS RRSIG
