rip.	3600	in	soa	v0n0.nic.rip. hostmaster.donuts.email. 1756257135 7200 900 1209600 3600
00.rip.	3600	in	ns	curitiba.ns.porkbun.com.
00.rip.	3600	in	ns	fortaleza.ns.porkbun.com.
00.rip.	3600	in	ns	maceio.ns.porkbun.com.
00.rip.	3600	in	ns	salvador.ns.porkbun.com.
000.rip.	3600	in	ns	delilah.ns.cloudflare.com.
000.rip.	3600	in	ns	hassan.ns.cloudflare.com.
001.rip.	3600	in	ns	ns1.rocketbyte.net.
001.rip.	3600	in	ns	ns2.rocketbyte.net.
00116.rip.	3600	in	ns	ns1.dnsip.com.
00116.rip.	3600	in	ns	ns2.dnsip.com.
00173.rip.	3600	in	ns	ns1.netsto.net.
00173.rip.	3600	in	ns	ns2.netsto.net.
001alive.rip.	3600	in	ns	dns101.ovh.net.
001alive.rip.	3600	in	ns	ns101.ovh.net.
00252.rip.	3600	in	ns	ns1.dnsip.com.
00252.rip.	3600	in	ns	ns2.dnsip.com.
00415.rip.	3600	in	ns	n1.xundns.com.
00415.rip.	3600	in	ns	n2.xundns.com.
004889.rip.	3600	in	ns	ns1.dnsip.com.
004889.rip.	3600	in	ns	ns2.dnsip.com.
005288.rip.	3600	in	ns	ns1cnb.name.com.
005288.rip.	3600	in	ns	ns2fwz.name.com.
005288.rip.	3600	in	ns	ns3cna.name.com.
005288.rip.	3600	in	ns	ns4kmw.name.com.
00584.rip.	3600	in	ns	ns1.dyna-ns.net.
00584.rip.	3600	in	ns	ns2.dyna-ns.net.
00627.rip.	3600	in	ns	n1.xundns.com.
00627.rip.	3600	in	ns	n2.xundns.com.
006322.rip.	3600	in	ns	ns1.dyna-ns.net.
006322.rip.	3600	in	ns	ns2.dyna-ns.net.
009.rip.	3600	in	ns	bonnie.ns.cloudflare.com.
009.rip.	3600	in	ns	howard.ns.cloudflare.com.
009093.rip.	3600	in	ns	ns1.dyna-ns.net.
009093.rip.	3600	in	ns	ns2.dyna-ns.net.
009196.rip.	3600	in	ns	ns1.dnsip.com.
009196.rip.	3600	in	ns	ns2.dnsip.com.
009423.rip.	3600	in	ns	ns1.dnsip.com.
009423.rip.	3600	in	ns	ns2.dnsip.com.
00980.rip.	3600	in	ns	ns1cnb.name.com.
00980.rip.	3600	in	ns	ns2kqz.name.com.
00980.rip.	3600	in	ns	ns3cna.name.com.
00980.rip.	3600	in	ns	ns4jnz.name.com.
009casino.rip.	3600	in	ns	ns1.dyna-ns.net.
009casino.rip.	3600	in	ns	ns2.dyna-ns.net.
01194.rip.	3600	in	ns	ns1.dyna-ns.net.
01194.rip.	3600	in	ns	ns2.dyna-ns.net.
01212.rip.	3600	in	ns	ns1.dyna-ns.net.
01212.rip.	3600	in	ns	ns2.dyna-ns.net.
01284.rip.	3600	in	ns	ns1.dyna-ns.net.
01284.rip.	3600	in	ns	ns2.dyna-ns.net.
01303.rip.	3600	in	ns	ns1.netsto.net.
01303.rip.	3600	in	ns	ns2.netsto.net.
01334.rip.	3600	in	ns	n1.xundns.com.
01334.rip.	3600	in	ns	n2.xundns.com.
01472.rip.	3600	in	ns	ns1.dyna-ns.net.
01472.rip.	3600	in	ns	ns2.dyna-ns.net.
01494.rip.	3600	in	ns	ns1cnb.name.com.
01494.rip.	3600	in	ns	ns2fjz.name.com.
01494.rip.	3600	in	ns	ns3cna.name.com.
01494.rip.	3600	in	ns	ns4dfh.name.com.
01566.rip.	3600	in	ns	ns1.netsto.net.
01566.rip.	3600	in	ns	ns2.netsto.net.
01586.rip.	3600	in	ns	n1.xundns.com.
01586.rip.	3600	in	ns	n2.xundns.com.
016383.rip.	3600	in	ns	ns1.dnsip.com.
016383.rip.	3600	in	ns	ns2.dnsip.com.
017982.rip.	3600	in	ns	ns1.dnsip.com.
017982.rip.	3600	in	ns	ns2.dnsip.com.
01908.rip.	3600	in	ns	ns1.dns.com.
01908.rip.	3600	in	ns	ns2.dns.com.
01991.rip.	3600	in	ns	ns1.netsto.net.
01991.rip.	3600	in	ns	ns2.netsto.net.
01996.rip.	3600	in	ns	ns1.dnsip.com.
01996.rip.	3600	in	ns	ns2.dnsip.com.
01tech.rip.	3600	in	ns	dale.ns.cloudflare.com.
01tech.rip.	3600	in	ns	lovisa.ns.cloudflare.com.
02083.rip.	3600	in	ns	ns1.dnsip.com.
02083.rip.	3600	in	ns	ns2.dnsip.com.
02143.rip.	3600	in	ns	n1.xundns.com.
02143.rip.	3600	in	ns	n2.xundns.com.
02167.rip.	3600	in	ns	a.dnspod.com.
02167.rip.	3600	in	ns	b.dnspod.com.
02167.rip.	3600	in	ns	c.dnspod.com.
0221.rip.	3600	in	ns	edward.ns.cloudflare.com.
0221.rip.	3600	in	ns	julissa.ns.cloudflare.com.
02325.rip.	3600	in	ns	a.dnspod.com.
02325.rip.	3600	in	ns	b.dnspod.com.
02325.rip.	3600	in	ns	c.dnspod.com.
023373.rip.	3600	in	ns	ns1.dnsip.com.
023373.rip.	3600	in	ns	ns2.dnsip.com.
02432.rip.	3600	in	ns	ns1cnb.name.com.
02432.rip.	3600	in	ns	ns2fjz.name.com.
02432.rip.	3600	in	ns	ns3cna.name.com.
02432.rip.	3600	in	ns	ns4dfh.name.com.
02437.rip.	3600	in	ns	ns1.dnsip.com.
02437.rip.	3600	in	ns	ns2.dnsip.com.
02465.rip.	3600	in	ns	ns1.dyna-ns.net.
02465.rip.	3600	in	ns	ns2.dyna-ns.net.
