ruhr.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2209133685 900 1800 6048000 3600
1.ruhr.	3600	in	ns	anycast1.irondns.net.
1.ruhr.	3600	in	ns	anycast2.irondns.net.
1.ruhr.	900	in	nsec	1000-leben-retten.ruhr. NS RRSIG NSEC
1.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. pD/k7AL2t4GB7QdxesbSug5rRmVNOEEg4lIfwXnWTya+8Yj1VoAZ0AQ+3R3nomMU9hZ6bdk6Be31ZmEXFPqid0achDIM2zqQ9X5vQMoS+DIyKv5vtKQsC/PPMDpnKwCDrjIKIchKmhEEhNxcdG6NCh+boeYIeMvPViIiQQfI7BSGIG2NORoje2fEhf6nCyS7mEiTkjeROrB+PYnpFoAssQ==
1000-leben-retten.ruhr.	3600	in	ns	dns.globvill.de.
1000-leben-retten.ruhr.	3600	in	ns	dns.voerde.globvill.de.
1000-leben-retten.ruhr.	900	in	nsec	110.ruhr. NS RRSIG NSEC
1000-leben-retten.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. QktFaV8M0wzMJj5PPm1/irrjv44KSmI0QzRWJxV/ptMF1G/6W4L5mRR6MyFRzAze8EWIHEY4aGW8C106EopQxLMLGvD1XM18ZILptV2VhLupVIAXwJVW6lkrjzQ7oD3K45ZIuSRPbmZMHEWEA9TYwisozzvQkpXApfpJwqkjVwsEgGG9QhzQQuTgZwkOQ7AYGFIkUtwKt91lngbzQJvfOw==
110.ruhr.	3600	in	ns	ns-de.1and1-dns.biz.
110.ruhr.	3600	in	ns	ns-de.1and1-dns.com.
110.ruhr.	3600	in	ns	ns-de.1and1-dns.de.
110.ruhr.	3600	in	ns	ns-de.1and1-dns.org.
110.ruhr.	900	in	nsec	112.ruhr. NS RRSIG NSEC
110.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. QyJUbntyz8XVcsAhFp0IjB5pqdRV0uu1eOMvFAqd3lQoR7wdxEfL4j37GqZnRKOMe8oDbZEbSr0xySPx5qV5YZwJzg8ojLzT2fYBfYFFSJscU57cQP5XKrD/rGmWNY7anOi1kAGSnPDg4b0DSnhTTCVqsD5VomUkvLH2gcGWJt6YPoJTcdNfsYp1k/DhqSDHOcPneOE7wWbPkdRa4T9SYA==
112.ruhr.	3600	in	ns	ns-de.1and1-dns.biz.
112.ruhr.	3600	in	ns	ns-de.1and1-dns.com.
112.ruhr.	3600	in	ns	ns-de.1and1-dns.de.
112.ruhr.	3600	in	ns	ns-de.1and1-dns.org.
112.ruhr.	900	in	nsec	123domain.ruhr. NS RRSIG NSEC
112.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. VpbHkRzXc9AQUg/r/k+8A/LLjn9qUoWt1eQFmL8tc0emJfDJafckvRNLEPm5OfPtJYGjoI7Ser7g4XwHcTW5wW1njwHnZzIlU32T/g3Gmm6IA2U/kMxzUe2iaJrutpbAvfBo54DA7Vi5V5XQp+/hug68IP4zh/e3Gx0o5xHlx30xt7bln750CZktORlyEbjPSMjC0tXqgEDghCIVVjs8Ow==
123domain.ruhr.	3600	in	ns	ns1-eu.123ns.eu.
123domain.ruhr.	3600	in	ns	ns2-eu.123ns.de.
