sale.	3600	in	soa	v0n0.nic.sale. hostmaster.donuts.email. 1767661757 7200 900 1209600 3600
0.sale.	3600	in	ns	launch1.spaceship.net.
0.sale.	3600	in	ns	launch2.spaceship.net.
000.sale.	3600	in	ns	ns1.huaweicloud-dns.cn.
000.sale.	3600	in	ns	ns1.huaweicloud-dns.com.
000.sale.	3600	in	ns	ns1.huaweicloud-dns.net.
000.sale.	3600	in	ns	ns1.huaweicloud-dns.org.
001.sale.	3600	in	ns	ns1.afternic.com.
001.sale.	3600	in	ns	ns2.afternic.com.
006.sale.	3600	in	ns	nitin.ns.cloudflare.com.
006.sale.	3600	in	ns	zariyah.ns.cloudflare.com.
008.sale.	3600	in	ns	ns77.domaincontrol.com.
008.sale.	3600	in	ns	ns78.domaincontrol.com.
00852.sale.	3600	in	ns	cass.ns.cloudflare.com.
00852.sale.	3600	in	ns	elliott.ns.cloudflare.com.
009bet.sale.	3600	in	ns	alec.ns.cloudflare.com.
009bet.sale.	3600	in	ns	daisy.ns.cloudflare.com.
01.sale.	3600	in	ns	meadow.ns.cloudflare.com.
01.sale.	3600	in	ns	odin.ns.cloudflare.com.
01ai.sale.	3600	in	ns	dns13.hichina.com.
01ai.sale.	3600	in	ns	dns14.hichina.com.
01i31ourjiik5g2tu4li13qheqto2adt.sale.	3600	in	nsec3	1 1 0 73 02STB58L5EV4SPCTHH542UQGA34FQ7B5 NS DS RRSIG
01i31ourjiik5g2tu4li13qheqto2adt.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. ckhXzw2HKTLU8o/aeSJ/f2nbiYxSgWVZiK+ESupL3rNUGluozmROtyCLH2deYQGpdHScPV0H74Qod6NsrBjKfYU8C4EiHXoDc7iM14FhWfdq+Sneqd8xn6qbvTG9APJQUXrpAf6xa5CFG7Q0vjaM+RMAz361kvGTWnIRUoqp1a0=
02stb58l5ev4spcthh542uqga34fq7b5.sale.	3600	in	nsec3	1 1 0 73 06T3PIQS26V19RL5NFAT5IEHV6D6JQF9 NS DS RRSIG
02stb58l5ev4spcthh542uqga34fq7b5.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. gVy7EPIH6IDzc+rD+G8d7xpYEGDrH41P8ZBNFTK/POL9zIfhpceAOUyUz1oZhX7ZK2/YaEazDm1kyEa24QGLFytYxfbtiIGJpKtZSDi0y4HysAiHx7oqOTwTcgU6lFCqYzSqFsNJOfwvP57RKoVFcAvZA5vTNdOFUJLXONFU/wc=
0335.sale.	3600	in	ns	ns1.myhostadmin.net.
0335.sale.	3600	in	ns	ns2.myhostadmin.net.
0335.sale.	3600	in	ns	ns3.myhostadmin.net.
0335.sale.	3600	in	ns	ns4.myhostadmin.net.
0335.sale.	3600	in	ns	ns5.myhostadmin.net.
0335.sale.	3600	in	ns	ns6.myhostadmin.net.
06t3piqs26v19rl5nfat5iehv6d6jqf9.sale.	3600	in	nsec3	1 1 0 73 07973CK4RCC8E8SP6FJ26F9A5GP188OM NS DS RRSIG
06t3piqs26v19rl5nfat5iehv6d6jqf9.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260125122758 20260104112758 7596 sale. TRDI77aRaoj/MLZOsiVaxDHuEEHembJEV4nBaE0CdL9/z3QWy0RyJPKUWa2KRhwyQXkrxhUUl7YrqP8mN2FRWbG+oAZ0JBUYZkwxkG/mTYblH3by930jmC5Aub8tq4WQlNiJTuQJIv6g+beKh9LVnJZJYX7ZDreIbek4bwGQeuY=
0755.sale.	3600	in	ns	expirens3.hichina.com.
0755.sale.	3600	in	ns	expirens4.hichina.com.
07973ck4rcc8e8sp6fj26f9a5gp188om.sale.	3600	in	nsec3	1 1 0 73 09IJRS6813846FCOA47JE11IKM6H1KRT NS DS RRSIG
07973ck4rcc8e8sp6fj26f9a5gp188om.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260125122758 20260104112758 7596 sale. dcxFlT4NEmP/apzMhSiJYGkY1t68sMEWpBOY97/eM7l4vBPz0DRgZW85i8UC2RWVqNfoCPe+/qpw58kLCgLvWpKr8qsRywH1at4X/4h3WMMol/+e2ELawbOyUzliFkqM3J0XGYp1sScDG7F7yQK1/tPKjJgQ24qbpjjW1ifnz38=
0800flowers.sale.	3600	in	ns	dns1.cscdns.net.
0800flowers.sale.	3600	in	ns	dns2.cscdns.net.
09ijrs6813846fcoa47je11ikm6h1krt.sale.	3600	in	nsec3	1 1 0 73 0C955RR2QJBLE6OMU488T4POQMNR4S7U NS DS RRSIG
09ijrs6813846fcoa47je11ikm6h1krt.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. N24IVuAVutmvxbm0I4xzx41fhVFwF1dxSPw7mxcMOpI47FgsaoZFGWqR2ft/hOzg1il6p18sdF6cvOM7KK03lSaivmwo6yqI5pP+H1MSrcSoBXSCu6xJ6xusjWsATWX2uwM/T8ipfPeUfHPwm/xSx38uvVnTv4Gxtjj20JdDgj8=
0c955rr2qjble6omu488t4poqmnr4s7u.sale.	3600	in	nsec3	1 1 0 73 0CN884J8H4H4IJHGFNDUU904U379UIN8 NS DS RRSIG
0c955rr2qjble6omu488t4poqmnr4s7u.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. T52AL9mbZ8GIPb2/u43GQTST1TxbHy0cmUa0aqKb7iDjXYAPUpUlH1MK+Cj8kv6qLrmWTC6KACmHs4ip5qvj4twZxYe9wZJUA4U7WV3ASKseLsDETQmXBQFJd1fBFQn9hOEyo4bvnJTBoksOzHT2UMTHRrJhWkGWZJNh4VWpcq8=
0cn884j8h4h4ijhgfnduu904u379uin8.sale.	3600	in	nsec3	1 1 0 73 0CU3KRVPT1E2LBS88HDF4AHMBBE2P9Q2 NS DS RRSIG
0cn884j8h4h4ijhgfnduu904u379uin8.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. LmXwUl3/Grkk8g+n9ylgH3TlalmOnOUL8skOQNGjfMMqVqvIvBhzMMxMH7Ej5Xqy62Ec7nOBUfvbkQ/uTxAC5wYDOlzOR5a8W7ZiTws9DTjP/js1dOKuR2WX6rzoXARTgR6CTB473Xdh7wpEOjMLY/MwHdw8mCKwzHkOYsepF38=
0cu3krvpt1e2lbs88hdf4ahmbbe2p9q2.sale.	3600	in	nsec3	1 1 0 73 0DEGSODHB3JLR4N94FI7HGK48PODIPS9 NS DS RRSIG
