sarl.	3600	in	soa	v0n0.nic.sarl. hostmaster.donuts.email. 1757034850 7200 900 1209600 3600
012j7o1go944v6lm8nrqteuttrrtcs3t.sarl.	3600	in	nsec3	1 1 0 73 0E5HKVARTTTL8K9RH92RH61U8Q6Q96PI NS DS RRSIG
012j7o1go944v6lm8nrqteuttrrtcs3t.sarl.	3600	in	rrsig	NSEC3 8 2 3600 20250922154225 20250901144225 50838 sarl. ZrXKdswDDL2h99vsZHUU+mhGZOlIxtx13I3fHgQeUdf5/X4LckcVIgvSyoCrvg/h6KSuW5WZd0qNR9nGKMh3Mdz8nqlS1faw0GfZJWH626y3B6HyGxD07F3W5RuXJcOLWFQMN1AhWR0ekh6GgVgxjIESZ69DTBzqAe2UTinjdtY=
0d7cu.sarl.	3600	in	ns	etta.ns.cloudflare.com.
0d7cu.sarl.	3600	in	ns	rocco.ns.cloudflare.com.
0e5hkvartttl8k9rh92rh61u8q6q96pi.sarl.	3600	in	nsec3	1 1 0 73 0FNHTMOUACGONGVAKA928L5RB23Q9PVI NS DS RRSIG
0e5hkvartttl8k9rh92rh61u8q6q96pi.sarl.	3600	in	rrsig	NSEC3 8 2 3600 20250922154225 20250901144225 50838 sarl. PnOOxZVmvwJ868vvwqShGbBvklAXhJLzc/AIXuLvxzOfnZlKAX+yoPawZRlwVur9Wv4kv6U8Uu+cCnE1UhfXegZeUG5rwFIWw7WuuGdvtwYQv5DKKIAM4nLOFAj5lZhysdAmnxQujaL2EvLTzJHFIibMickLhssM6NCWQKXo/Lg=
0fnhtmouacgongvaka928l5rb23q9pvi.sarl.	3600	in	nsec3	1 1 0 73 13989VT1EK9RNKDG29VHKJL1FGVC9TR7 NS DS RRSIG
0fnhtmouacgongvaka928l5rb23q9pvi.sarl.	3600	in	rrsig	NSEC3 8 2 3600 20250922154225 20250901144225 50838 sarl. cN7PsVA8rAjf1TXs+Y9HPYGP7IF0dMN9pQivKQidkXQsL/J8p8dWpAmgb8FyqZXAFRI9tCLPDA9+Jv2WFld+oaG72P4lKIzhHjJ3P5ivIAuueqNgZORHoZ6drB3IOEILOqda2JnkPhm/kVu/0uA/U6YHBs4Sazc3bfD1T4opQpA=
11bet.sarl.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.sarl.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.sarl.	3600	in	ns	maceio.ns.porkbun.com.
