saxo.	3600	in	soa	v0n0.nic.saxo. hostmaster.donuts.email. 1767661854 7200 900 1209600 3600
7ps21srmhh5b6qs43cidqs1j7q16cebv.saxo.	3600	in	nsec3	1 1 0 73 BL8L8AFELPBH12C9OUIFNA0NT0E2CJQC NS SOA RRSIG DNSKEY NSEC3PARAM
7ps21srmhh5b6qs43cidqs1j7q16cebv.saxo.	3600	in	rrsig	NSEC3 8 2 3600 20260127011531 20260106001531 39384 saxo. cONKz2smoP/jtd4k8Rpdv67Axn+rN4JO0NU9ChAOcR0N/7Z2lM0xy0p0CQlXL1IQKbZhgPnWiW03loAv0Bm02ASNxorsv8E8SyxN/HCs6hm8dRC3Na+C6WMMr3iiRlP2H0D/BAFCCfbaOr2Fpm0n4uGzLoX04nGf1wEiRFqwBKE=
academy.saxo.	3600	in	ns	edns4.ultradns.biz.
academy.saxo.	3600	in	ns	edns4.ultradns.com.
academy.saxo.	3600	in	ns	edns4.ultradns.net.
academy.saxo.	3600	in	ns	edns4.ultradns.org.
academy.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
academy.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
accountservices.saxo.	3600	in	ns	edns4.ultradns.biz.
accountservices.saxo.	3600	in	ns	edns4.ultradns.com.
accountservices.saxo.	3600	in	ns	edns4.ultradns.net.
accountservices.saxo.	3600	in	ns	edns4.ultradns.org.
accountservices.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
accountservices.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
ai.saxo.	3600	in	ns	edns4.ultradns.biz.
ai.saxo.	3600	in	ns	edns4.ultradns.com.
ai.saxo.	3600	in	ns	edns4.ultradns.net.
ai.saxo.	3600	in	ns	edns4.ultradns.org.
ai.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
ai.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
aide.saxo.	3600	in	ns	edns4.ultradns.biz.
aide.saxo.	3600	in	ns	edns4.ultradns.com.
aide.saxo.	3600	in	ns	edns4.ultradns.net.
aide.saxo.	3600	in	ns	edns4.ultradns.org.
aide.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
aide.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
analysis.saxo.	3600	in	ns	edns4.ultradns.biz.
analysis.saxo.	3600	in	ns	edns4.ultradns.com.
analysis.saxo.	3600	in	ns	edns4.ultradns.net.
analysis.saxo.	3600	in	ns	edns4.ultradns.org.
analysis.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
analysis.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
api.saxo.	3600	in	ns	edns4.ultradns.biz.
api.saxo.	3600	in	ns	edns4.ultradns.com.
api.saxo.	3600	in	ns	edns4.ultradns.net.
api.saxo.	3600	in	ns	edns4.ultradns.org.
api.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
api.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
au-cfds.saxo.	3600	in	ns	edns4.ultradns.biz.
au-cfds.saxo.	3600	in	ns	edns4.ultradns.com.
au-cfds.saxo.	3600	in	ns	edns4.ultradns.net.
au-cfds.saxo.	3600	in	ns	edns4.ultradns.org.
au-cfds.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
au-cfds.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
backoffice.saxo.	3600	in	ns	edns4.ultradns.biz.
backoffice.saxo.	3600	in	ns	edns4.ultradns.com.
backoffice.saxo.	3600	in	ns	edns4.ultradns.net.
backoffice.saxo.	3600	in	ns	edns4.ultradns.org.
backoffice.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
backoffice.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
bank.saxo.	3600	in	ns	edns4.ultradns.biz.
bank.saxo.	3600	in	ns	edns4.ultradns.com.
bank.saxo.	3600	in	ns	edns4.ultradns.net.
bank.saxo.	3600	in	ns	edns4.ultradns.org.
bank.saxo.	3600	in	ns	ns0106.secondary.cloudflare.com.
bank.saxo.	3600	in	ns	ns0219.secondary.cloudflare.com.
benvenuto.saxo.	3600	in	ns	edns4.ultradns.biz.
benvenuto.saxo.	3600	in	ns	edns4.ultradns.com.
