school.	3600	in	soa	v0n0.nic.school. hostmaster.donuts.email. 1767661766 7200 900 1209600 3600
00.school.	3600	in	ns	ns1-show.myhostadmin.net.
00.school.	3600	in	ns	ns2-show.myhostadmin.net.
006e41tt5meo4nn9vhhrqsnhc0n1cojf.school.	3600	in	nsec3	1 1 0 73 00CLCRAO301HEBO8T3IEGH9GS2LPRNHI NS DS RRSIG
006e41tt5meo4nn9vhhrqsnhc0n1cojf.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. csJ/01p+ZIUy69qMpJedalc3m05Oq2lu4JsxbeSMIaOrx3l07hT0HN34uUlfg81/bcCq8U+w9GMHznicgMq0VloaQDJEoNtdOwOrse7NZ11tg33JzxJzyC2RWkcI83dYrITm7m07lTKRyClHlNjJQW7NkfcbRUDDe7Jd4QrZHbc=
007.school.	3600	in	ns	curitiba.ns.porkbun.com.
007.school.	3600	in	ns	fortaleza.ns.porkbun.com.
007.school.	3600	in	ns	maceio.ns.porkbun.com.
007.school.	3600	in	ns	salvador.ns.porkbun.com.
00852.school.	3600	in	ns	expirens3.hichina.com.
00852.school.	3600	in	ns	expirens4.hichina.com.
00clcrao301hebo8t3iegh9gs2lprnhi.school.	3600	in	nsec3	1 1 0 73 00DTQBBOHOKFA58BANQ9LLD05KO96ITT NS DS RRSIG
00clcrao301hebo8t3iegh9gs2lprnhi.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 9OUoJOztqtRUBtGb2bsGx6HtmldnLtV+wFrJqBpWZ37qVLXzCPqjZIJaIORvqRf6BtijOtpOK6xSmQ5PVgFs7gcj48EtVxMrF+gTxKSqwvY4Ase/4hJynRlNhM6uwNXwrlrZoGdGNjplPhH+XABk+PAGqQlCITcqOb+J+FuvAmA=
00dtqbbohokfa58banq9lld05ko96itt.school.	3600	in	nsec3	1 1 0 73 00IHUCOHIQ6BMJ00K6J0ASPTHJ6LQ82S NS DS RRSIG
00dtqbbohokfa58banq9lld05ko96itt.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. LAOgCnat5q0j3nx/xeEvW3gqxchFePpeyRSmS5l6QWzkklZse4Lrv6UhG65fH+2fG9pkPjCr4kOTddgdwDqlKVW5pq2D92rbJqSdUPsrr7XE0X6QvN0xAgQIJkP2pBjvG8ZaF465XD/uWcHrnmrAj56rgLzqn44bNT7Vi6UVS/A=
00ihucohiq6bmj00k6j0aspthj6lq82s.school.	3600	in	nsec3	1 1 0 73 00TK0FN592AE7U2TCJVPF0VP9M6G77J7 NS DS RRSIG
00ihucohiq6bmj00k6j0aspthj6lq82s.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 4UsnQexjxKRwzFFFm+TNngHv7qsRzX68bAaTzk7kzWHAu6ejkTGnOuYNCjEVjA2JwRP6kbtwMryTcz9ccnU+QHOhZd+iXxwXPwNt3+sywBTqajJLOndHAdrkJ/Q8p+0x7A7aEyWIyHomgaAWc2n4JhWPonY6E5LbRezaWBWndMs=
00tk0fn592ae7u2tcjvpf0vp9m6g77j7.school.	3600	in	nsec3	1 1 0 73 013DD3G74LLUI0FJ93DC5RH6H6P90GJC NS DS RRSIG
00tk0fn592ae7u2tcjvpf0vp9m6g77j7.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. fJcV1DsBTQDczhOw8pacQDlXV5oto6GEWDht1Y3XkCMx737hP+cx6N7Iu8BPMLEK0wTy2QeMEi1a7icoOrVdTU69zNaTDpXTyUscbVMC8YaGhILqS85DfpkhNdk4ELRXNiu30fn9lFhduSFno28N6IRz7rXXdUaa+oeLICTLypc=
01.school.	3600	in	ns	kim.ns.cloudflare.com.
01.school.	3600	in	ns	rene.ns.cloudflare.com.
0101.school.	3600	in	ns	clyde.ns.cloudflare.com.
0101.school.	3600	in	ns	selah.ns.cloudflare.com.
0123.school.	3600	in	ns	dns3.hichina.com.
0123.school.	3600	in	ns	dns4.hichina.com.
013dd3g74llui0fj93dc5rh6h6p90gjc.school.	3600	in	nsec3	1 1 0 73 01TGG4V0PKG3STI0ODHHECMP6FONSM3H NS DS RRSIG
