select.	900	in	soa	a.nic.select. admin.tldns.godaddy. 1756996345 1800 300 604800 1800
00video.select.	3600	in	ns	ns1.afternic.com.
00video.select.	3600	in	ns	ns2.afternic.com.
01qe39bs4uk7vktsch2od6kal0f40qbc.select.	900	in	nsec3	1 1 0 - 1HQL3G1B3TQ4H89O0T3624DIEFCCUTSS NS DS RRSIG
01qe39bs4uk7vktsch2od6kal0f40qbc.select.	900	in	rrsig	NSEC3 8 2 900 20250914134334 20250831130338 58470 select. TWQduXWVRj8Ki+ALjR/hQ8OmWck9y/A5ONIl6iTRAlnqqaySt6WC/xRfubuOo+uSx7PNX45xNUFtxlV0x6pmnduBx/qhnJ9Ru+bznIX0mDhD3EuWjLIgoWc+RB9EegrN5zs/peG+EG6t9/cUAXMOJP5lrbTdyPpfRsAH/P6tKG03kUV4YNFmur6asTNE0WZvA02uU7b7AmFzF/mV1Jyg1Q==
123b.select.	3600	in	ds	40587 13 2 7BFDB4A52501BAE95A9C9602FD14378046B14AC62BCCD6D1CEEFE5BA4D542664
123b.select.	3600	in	ns	launch1.spaceship.net.
123b.select.	3600	in	ns	launch2.spaceship.net.
123b.select.	3600	in	rrsig	DS 8 2 3600 20250915141255 20250901141109 58470 select. EgyALforXymXWYistCyXj+YBvWK9Md2L3RfKoQF/mkUxMhBasgYPkO7dsYdWJmqjBHxHlaU79C2E7C3kgIO5uzeDFFutmIkSJRUlSu3aSwhzNqS74Q9mog2zehQU3mlyn3h7P00jQHrSskSFHX8tNsQ371TKbEuWgRcOtRWVM2iLIoxJP5nx4arr6i0oJC5XC3HCtpeD2saWuFwHpZq5sQ==
188bet.select.	3600	in	ns	kanye.ns.cloudflare.com.
188bet.select.	3600	in	ns	mckenzie.ns.cloudflare.com.
1day.select.	3600	in	ns	ns1.markmonitor.com.
1day.select.	3600	in	ns	ns2.markmonitor.com.
1day.select.	3600	in	ns	ns3.markmonitor.com.
1day.select.	3600	in	ns	ns4.markmonitor.com.
1day.select.	3600	in	ns	ns5.markmonitor.com.
1day.select.	3600	in	ns	ns6.markmonitor.com.
1day.select.	3600	in	ns	ns7.markmonitor.com.
1hql3g1b3tq4h89o0t3624diefccutss.select.	900	in	nsec3	1 1 0 - 2OM6QKC95HKQ29A2FDRITE54HMJJBJLG NS DS RRSIG
1hql3g1b3tq4h89o0t3624diefccutss.select.	900	in	rrsig	NSEC3 8 2 900 20250915055857 20250901054330 58470 select. MVAVqVD573HWx6/ow7pjaPE3FLZ2o2MJIWs9DXZiNRGdJdaPB/J4R/DumNiBVeYswwFCqB6R3cjWk1idfwcj1cL892wjLOoS5Nzl0oBb6UmsLFBETnev2KoXHP9E2X5cAsQVfkuiEU+ijydrQxMQbw/wluuXc4wi3Jq7NY4n4/cLzCoHKEjbaF1ByEqA5hZijsDDzS5SouP2jIYWcTCrqw==
1win.select.	3600	in	ns	andronicus.ns.cloudflare.com.
1win.select.	3600	in	ns	lily.ns.cloudflare.com.
23win.select.	3600	in	ns	hera.ns.cloudflare.com.
23win.select.	3600	in	ns	junade.ns.cloudflare.com.
2om6qkc95hkq29a2fdrite54hmjjbjlg.select.	900	in	nsec3	1 1 0 - 2RFF9UONNK2K26ORJ4V4TBP3H1DOAD5V NS DS RRSIG
2om6qkc95hkq29a2fdrite54hmjjbjlg.select.	900	in	rrsig	NSEC3 8 2 900 20250916110028 20250902104542 58470 select. eeUiNKAW6rtK9a6Ybu21rBDqjj/bhOXFHSVgYfGwF2FZTKZMNgg+hoec4b5HdGWiPS2E37/WOQA5SlTCCNWpu4WuaJj/7FL2zPIxAhDm7v2ynHkiimqqwTGTO8OWQbR70g0FFSXju1g4O/xW/gGZKrhGLoQnWSPVv85YWupxcMRx4WRrnc+bFoyDeJWnt7llUIDfHRV5UsRHaJebvmQtSw==
2rff9uonnk2k26orj4v4tbp3h1doad5v.select.	900	in	nsec3	1 1 0 - 37BK5PDN70R4TJ2EN6AO84E1JAJ8JMS2 NS DS RRSIG
2rff9uonnk2k26orj4v4tbp3h1doad5v.select.	900	in	rrsig	NSEC3 8 2 900 20250916110028 20250902104542 58470 select. H4oudwTpeW+sEoCFqqpFZoslUKWr/cmCZpQ4+Cd5WS3480Q48O/OM4cSJ2HPLATFtkTIuluBpvFqnU7Bp9VPBPEzjOBZpe34UZOoTZAJeSIWM0DzRJN7OTsfHPD9Inro9WF0/+L1dkYv0dvugODP9w9MSGvmEb0PnT/b3eELEwRjqgpy5nUkFUUC8uQvPXOSWIBu5z4k8IoO9QzTxHAgqA==
32win.select.	3600	in	ns	celeste.ns.cloudflare.com.
32win.select.	3600	in	ns	ruben.ns.cloudflare.com.
33win.select.	3600	in	ns	gabriella.ns.cloudflare.com.
33win.select.	3600	in	ns	kanye.ns.cloudflare.com.
37bk5pdn70r4tj2en6ao84e1jaj8jms2.select.	900	in	nsec3	1 1 0 - 3VV2DT9N0VO96I416OGF312005TJ2LOV NS DS RRSIG
37bk5pdn70r4tj2en6ao84e1jaj8jms2.select.	900	in	rrsig	NSEC3 8 2 900 20250914115654 20250831112704 58470 select. EVi4SWCnwElS4C3po8LNi+feb7x4jn5Mkjq78E0adSMLLN2xUyiWg6zbTwhP4kuznmn+YP+NA9W6zn2PwIFHQUBBloIbjxsuzsQRZ2wY4efePyOKlieHlVej+3pgQtt3HWWTGLaNeyCdHFzgkYWZBQrs3QHRjKw6g3czq+7618r384FWH+21xr0cG+7kX5Y8foGxVvQSdWgB2WQAa3YGAg==
