shiksha.	3600	in	soa	a0.nic.shiksha. hostmaster.donuts.email. 1767661804 7200 900 1209600 3600
123b.shiksha.	3600	in	ns	eloise.ns.cloudflare.com.
123b.shiksha.	3600	in	ns	lex.ns.cloudflare.com.
12bet.shiksha.	3600	in	ns	colette.ns.cloudflare.com.
12bet.shiksha.	3600	in	ns	javon.ns.cloudflare.com.
1r6vrdb22nd6sjvns0pv1tv6qvefdo0m.shiksha.	3600	in	nsec3	1 1 0 73 39MP36K8KKIB9Q3D76104JE6U44NU4S5 NS DS RRSIG
1r6vrdb22nd6sjvns0pv1tv6qvefdo0m.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. t2hJ8cjF5V/FJh2T5yW4fEyz2Fyf3jr+LCfSk6m8sFZuQnw0Ugj87odDNmlgICQAL+vS43rrDmQ67XOOnKSZDG9Zg9GlHrAP+Iv1vK0KkbkZsBinlbSWekeTtd7ESi9ICVTucrutjXi3CLJxg/btKS5EK2QySABzLlmx0fvQ2DY=
2048.shiksha.	3600	in	ns	a12.share-dns.com.
2048.shiksha.	3600	in	ns	b12.share-dns.net.
23win.shiksha.	3600	in	ns	expire1.gname-dns.com.
23win.shiksha.	3600	in	ns	expire2.gname-dns.com.
33win.shiksha.	3600	in	ns	dakota.ns.cloudflare.com.
33win.shiksha.	3600	in	ns	princess.ns.cloudflare.com.
39mp36k8kkib9q3d76104je6u44nu4s5.shiksha.	3600	in	nsec3	1 1 0 73 7BN543HV717E5EC793SFG4380V2L9PIS NS DS RRSIG
39mp36k8kkib9q3d76104je6u44nu4s5.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. GEP8yklinJvbb2Kl9sSEUoK7ILIROOcZhUPvy1JZP976tTnVKxTk95n+N3a7poMVwJeapxUd3w6sHeLafr6XhifTEiPKzwhA8iiDcz29EigHmamWPPFTsOg+uyujbfD0WYIQ2hpdDp6ndwAeCmACBGf3BC26ueesGbG3VvNfR70=
3dphoto.shiksha.	3600	in	ns	ns65.domaincontrol.com.
3dphoto.shiksha.	3600	in	ns	ns66.domaincontrol.com.
58win.shiksha.	3600	in	ns	bill.ns.cloudflare.com.
58win.shiksha.	3600	in	ns	gracie.ns.cloudflare.com.
69vn.shiksha.	3600	in	ns	carla.ns.cloudflare.com.
69vn.shiksha.	3600	in	ns	wilson.ns.cloudflare.com.
789bet.shiksha.	3600	in	ns	hans.ns.cloudflare.com.
789bet.shiksha.	3600	in	ns	monroe.ns.cloudflare.com.
789club.shiksha.	3600	in	ns	ns1.dyna-ns.net.
789club.shiksha.	3600	in	ns	ns2.dyna-ns.net.
789win.shiksha.	3600	in	ns	ophelia.ns.cloudflare.com.
789win.shiksha.	3600	in	ns	zod.ns.cloudflare.com.
78win.shiksha.	3600	in	ns	bethany.ns.cloudflare.com.
78win.shiksha.	3600	in	ns	dion.ns.cloudflare.com.
79king.shiksha.	3600	in	ns	monika.ns.cloudflare.com.
79king.shiksha.	3600	in	ns	rommy.ns.cloudflare.com.
7bn543hv717e5ec793sfg4380v2l9pis.shiksha.	3600	in	nsec3	1 1 0 73 9CMD2PAC5OJGEJBBOHUOBA7AAA3S43E3 NS DS RRSIG
7bn543hv717e5ec793sfg4380v2l9pis.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. RrZWBodjSZQ0jJd3hnnstuJaaVAMdvRyQOQX7CsFOn4AlPJJnAe78MluyJOch7CVnsC9C1az0FfHBSUxlZzsGFPgBpPRbPpr8+ycSGAdUlazg2vXiFO4zXF1HDvQ5nd/Wa+tqcv6csmmR3GNEG/0k8n5SxwAqL+FNMEQqOg9ev8=
888b.shiksha.	3600	in	ns	fatima.ns.cloudflare.com.
888b.shiksha.	3600	in	ns	fred.ns.cloudflare.com.
888okk.shiksha.	3600	in	ns	ns1.dyna-ns.net.
888okk.shiksha.	3600	in	ns	ns2.dyna-ns.net.
8xbet.shiksha.	3600	in	ns	ian.ns.cloudflare.com.
8xbet.shiksha.	3600	in	ns	nucum.ns.cloudflare.com.
98win.shiksha.	3600	in	ns	ara.ns.cloudflare.com.
98win.shiksha.	3600	in	ns	harlan.ns.cloudflare.com.
99acres.shiksha.	3600	in	ns	ns1.infoedgeindia.net.
99acres.shiksha.	3600	in	ns	ns2.infoedgeindia.net.
99acres.shiksha.	3600	in	ns	ns3.infoedgeindia.net.
99acres.shiksha.	3600	in	ns	ns4.infoedgeindia.net.
99bet.shiksha.	3600	in	ns	a.share-dns.com.
99bet.shiksha.	3600	in	ns	b.share-dns.net.
99ok.shiksha.	3600	in	ns	leonard.ns.cloudflare.com.
99ok.shiksha.	3600	in	ns	magdalena.ns.cloudflare.com.
9cmd2pac5ojgejbbohuoba7aaa3s43e3.shiksha.	3600	in	nsec3	1 1 0 73 9SAS99DDBN2B38FPELA508164VV3OHR2 NS DS RRSIG
9cmd2pac5ojgejbbohuoba7aaa3s43e3.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. f7ur5KdP0+h7dvkPQdHL4Qko5I2p1aXi5EZ0qP/k+ccI4GAAOSaAGnnPBf1l7wH3oa37ChwVYmtaDUjN7xqAXRIzS92UdZheOno6n0CWk+VO+RTrAkCQwznY8GZw4w73DB6DGtBll6q60q0uZPDp8JRCebmDtJaKv7f3bkmTxbQ=
9sas99ddbn2b38fpela508164vv3ohr2.shiksha.	3600	in	nsec3	1 1 0 73 9VF2OPSPLMG11L2NRD0PML873A4U6QO7 NS DS RRSIG
9sas99ddbn2b38fpela508164vv3ohr2.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. Yqp/WYIRMrdTfOc+CqLuRfg6LRgb7crg11CM/U8hat0SdHOmRLvoKRcRz1efaWI2PGDESK3CevwQAz3/JDwF4a0Pvj1lrnp/UI+iooCtLcTBlmnbXC7SJCohQkW2xmmRU5R7XOcZmUulgYQPvxv57Rt2yB4G628kLjrN7KO4Vh8=
9vf2opsplmg11l2nrd0pml873a4u6qo7.shiksha.	3600	in	nsec3	1 1 0 73 AE7OJGIJBJSLT69DOFSHD88R5CV04AKC NS DS RRSIG
9vf2opsplmg11l2nrd0pml873a4u6qo7.shiksha.	3600	in	rrsig	NSEC3 8 2 3600 20260122160613 20260101150613 56601 shiksha. YdxeY2H6TQj0QSV+//vEbzudDVgwNHkIPacI+b//ZUmAGTt/BOCkJdBuBmduokCVyARQTLItdlIySQqCU1/gPjken6Pe6SuubBpCpILoqsq0ghAltrpa1adNZZyvolKPLMtSLDxqeB3mA7wv+IH/NDe1PmTWM80Nv8DjIW+zQxQ=
a0.nic.shiksha.	3600	in	a	65.22.32.33
a0.nic.shiksha.	3600	in	aaaa	2a01:8840:0022:0000:0000:0000:0000:0033
a2.nic.shiksha.	3600	in	a	65.22.35.33
a2.nic.shiksha.	3600	in	aaaa	2a01:8840:0025:0000:0000:0000:0000:0033
abyat.shiksha.	3600	in	ns	dns1.registrar-servers.com.
abyat.shiksha.	3600	in	ns	dns2.registrar-servers.com.
acharya.shiksha.	3600	in	ds	38569 8 2 1DF559CE11597BB0E91EACE55D1A9D90E8D325A1143719B312B440F2C40208DB
acharya.shiksha.	3600	in	ns	ns1.openprovider.nl.
acharya.shiksha.	3600	in	ns	ns2.openprovider.be.
acharya.shiksha.	3600	in	ns	ns3.openprovider.eu.
acharya.shiksha.	3600	in	rrsig	DS 8 2 3600 20260122160613 20260101150613 56601 shiksha. VEz2iNmw91532mIHXzh0qHq2C6SAuJMZ6YXD5l5iY9CDP/IikhnnfJTi/uDoNQOr+KUf2bJchhG2lfT9gVL3nKI0q9BAtZYP+lFGlo3B4GbjA8xk/U2Tr8kDCrqL77rpR6xTw1scaQh/EvXxGChgEMwWmZn8Kc5jGGuXeTkHcF4=
adsense.shiksha.	3600	in	ns	ns1.googledomains.com.
adsense.shiksha.	3600	in	ns	ns2.googledomains.com.
adsense.shiksha.	3600	in	ns	ns3.googledomains.com.
adsense.shiksha.	3600	in	ns	ns4.googledomains.com.
adwords.shiksha.	3600	in	ns	ns1.googledomains.com.
adwords.shiksha.	3600	in	ns	ns2.googledomains.com.
adwords.shiksha.	3600	in	ns	ns3.googledomains.com.
adwords.shiksha.	3600	in	ns	ns4.googledomains.com.
