ski.	3600	in	soa	a0.nic.ski. hostmaster.donuts.email. 1767661835 7200 900 1209600 3600
001.ski.	3600	in	ns	dns29.hichina.com.
001.ski.	3600	in	ns	dns30.hichina.com.
009.ski.	3600	in	ns	achiel.ns.cloudflare.com.
009.ski.	3600	in	ns	mira.ns.cloudflare.com.
01.ski.	3600	in	ns	ns1.bdm.microsoftonline.com.
01.ski.	3600	in	ns	ns2.bdm.microsoftonline.com.
01.ski.	3600	in	ns	ns3.bdm.microsoftonline.com.
01.ski.	3600	in	ns	ns4.bdm.microsoftonline.com.
01fh18851dbuc9nh6g1vrcutejdujq42.ski.	3600	in	nsec3	1 1 0 73 01QJFDSFAR0K8I76RDBN1AC1JHD24E59 NS DS RRSIG
01fh18851dbuc9nh6g1vrcutejdujq42.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. R26TJmTNtvZO2oEXnjMx7jja/WLjqC5QoKFrFuYsLChxQhzZrcORdXqRAohgsSiI/pp5YtvXYlFD3IRD8CbyIsMbhrA5TnnqRknusK3SYvW9audxbIjIC2ETeb8lpqU9IM4kjYszYe7IT7oT6k9/XLOjFmTKdoBiEGJav8Ako74=
01qjfdsfar0k8i76rdbn1ac1jhd24e59.ski.	3600	in	nsec3	1 1 0 73 02GGGDRCD8P19U89A8NL5U7U6BM61F24 NS DS RRSIG
01qjfdsfar0k8i76rdbn1ac1jhd24e59.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. eiY+eUaPMX8oGt/IvKrId9Nw9HnLDcJZj3Mez4ujS/NM3ikM5ynprQvgyuHv1sL8FPuLUz9Pip1hlg62WvUbs1vCRzbiUYn/gjeI0JRYAm4kXeRiEiBil7YcK31Mx2Y3v2skpjOeqmNgabq4qBsPFj/QKRVfkss66ogz0zwOnfk=
02gggdrcd8p19u89a8nl5u7u6bm61f24.ski.	3600	in	nsec3	1 1 0 73 02MOJ7K4D86KT35FGVKI8LK3780BR98V NS DS RRSIG
02gggdrcd8p19u89a8nl5u7u6bm61f24.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. cueNJQztt1hKZFKkGnfYgQiJbly1fVxVThS8DXN2fogSE7FAbOo41YbrlRoBB+d4dW4kJEbydb+yyjgvoU5EynnLNKHNHxkJukxwXxOFE2c+wdJe/GKYAWGzEQlWrjqTb0bDUxlFa0p2Djw4RB8EjInAJv3V5jtZC342Y3sjgo4=
02moj7k4d86kt35fgvki8lk3780br98v.ski.	3600	in	nsec3	1 1 0 73 04BC2DGMOOKM0LM10VQ20LEN7E0I17QV NS DS RRSIG
02moj7k4d86kt35fgvki8lk3780br98v.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. E346tlBbofy9TY4X+b6fOlixmFMbGJ8PCFSEhoCvC7soJU2bTgprCRizHbfP/MuWulR3I9MAcndfGaCAmhw9glbasZyyRJR2fbADYWEdsSnWmn51CgY46lpiywEte2QqqWDB/kqsLRWNh11ldbZZX3mLTPF7TWZvlSp0lzZgPdU=
