sky.	86400	in	soa	dns1.nic.sky. hostmaster.nominet.org.uk. 1753797891 900 300 2419200 3600
3rm8fi1p3j8rq1kn8cmua5mmc9ugvis8.sky.	3600	in	nsec3	1 1 0 - 87PDLO6F05LFO5FS3FP2Q2RBNDE9MVTN A RRSIG
3rm8fi1p3j8rq1kn8cmua5mmc9ugvis8.sky.	3600	in	rrsig	NSEC3 8 2 3600 20251015224438 20250910214455 11725 sky. dRUscxXpkjM5FG1BNSWPfOImFICJ1N332Y+Exr6H+BT3wcQ0TCBThuw/BRsWY/YlVOlS28SIWhJT4/U3a8lheFqW2D5eGUPoTDFCSZJftCCVZ5sWjQBKAeL5Rlrye5bXpkplIRsqzixsNXS50q/WBA0a0i/BgaBOJJTDL+0Vcgq5mUCiGoEpt1P4vZ5aWgjIvxtfp+I9sY3KQMOBHnXcoApPZRPI0W3m7l28fPvDbbftY/4PRXuzZ1rwkHOJbKPvDTSHLM5tjSspTlWkQtEBP9pVnwloMILphhegzndhr1zXBpcPRGH9YFKifkdHoiY7e+GxFiHkIxDRhVQFIlyY0g==
87pdlo6f05lfo5fs3fp2q2rbnde9mvtn.sky.	3600	in	nsec3	1 1 0 - N6OP7I6TUB6RM8GG9ECB0AGDRU948RKF NS SOA RRSIG DNSKEY NSEC3PARAM TYPE65534
87pdlo6f05lfo5fs3fp2q2rbnde9mvtn.sky.	3600	in	rrsig	NSEC3 8 2 3600 20251009224110 20250904221609 11725 sky. PYtYt5G/6x4YTV3nR6D6jYzfs5X/nxTJeiz7HOT4Mfb2hN0ZCDBe9driqwS6Ch6v0UdQmD4YZDxcj2Nzk1XKWbNZ7uxNbChwUId8CaDP5Y2YsyqHgeVNhfQRbUVH6FMT/k0or0a+BFfgw5DjnKdum9LYCLkkF4pv6C5tg9j9BJS8nXtmq1SfhRzH2vJe1fwUo2y5lU/0vbhArHH0f8/ufGlkb8iy4Iy57pDMuug+k+b7qhjZpEHOTChr+RCfOsEWkhg0BqBXjStZX7CMzzzDpBrCLLxpYiTEQ4tK+EtwXllU+FY4+Vx+NEVsqJ5Gkm05RiZshWH/XDp8M0LFdx+hug==
access.sky.	172800	in	ns	edns1.ultradns.biz.
access.sky.	172800	in	ns	edns1.ultradns.com.
access.sky.	172800	in	ns	edns1.ultradns.net.
access.sky.	172800	in	ns	edns1.ultradns.org.
access.sky.	172800	in	ns	ns0.isp.sky.com.
access.sky.	172800	in	ns	ns1.isp.sky.com.
admanager.sky.	172800	in	ns	ns-cloud-e1.googledomains.com.
admanager.sky.	172800	in	ns	ns-cloud-e2.googledomains.com.
admanager.sky.	172800	in	ns	ns-cloud-e3.googledomains.com.
admanager.sky.	172800	in	ns	ns-cloud-e4.googledomains.com.
ai.sky.	172800	in	ns	ns0.isp.sky.com.
ai.sky.	172800	in	ns	ns1.isp.sky.com.
aieng.sky.	172800	in	ns	edns1.ultradns.biz.
aieng.sky.	172800	in	ns	edns1.ultradns.com.
aieng.sky.	172800	in	ns	edns1.ultradns.net.
aieng.sky.	172800	in	ns	edns1.ultradns.org.
aieng.sky.	172800	in	ns	ns0.isp.sky.com.
aieng.sky.	172800	in	ns	ns1.isp.sky.com.
analytics.sky.	172800	in	ns	edns1.ultradns.biz.
analytics.sky.	172800	in	ns	edns1.ultradns.com.
analytics.sky.	172800	in	ns	edns1.ultradns.net.
analytics.sky.	172800	in	ns	edns1.ultradns.org.
analytics.sky.	172800	in	ns	ns0.isp.sky.com.
analytics.sky.	172800	in	ns	ns1.isp.sky.com.
at.sky.	172800	in	ns	edns1.ultradns.biz.
at.sky.	172800	in	ns	edns1.ultradns.com.
at.sky.	172800	in	ns	edns1.ultradns.net.
at.sky.	172800	in	ns	edns1.ultradns.org.
at.sky.	172800	in	ns	ns0.isp.sky.com.
at.sky.	172800	in	ns	ns1.isp.sky.com.
bmt.sky.	172800	in	ns	edns1.ultradns.biz.
bmt.sky.	172800	in	ns	edns1.ultradns.com.
bmt.sky.	172800	in	ns	edns1.ultradns.net.
bmt.sky.	172800	in	ns	edns1.ultradns.org.
bmt.sky.	172800	in	ns	ns0.isp.sky.com.
bmt.sky.	172800	in	ns	ns1.isp.sky.com.
buildsigning.sky.	172800	in	ns	edns1.ultradns.biz.
buildsigning.sky.	172800	in	ns	edns1.ultradns.com.
buildsigning.sky.	172800	in	ns	edns1.ultradns.net.
buildsigning.sky.	172800	in	ns	edns1.ultradns.org.
buildsigning.sky.	172800	in	ns	ns0.isp.sky.com.
buildsigning.sky.	172800	in	ns	ns1.isp.sky.com.
campaigncompass.sky.	172800	in	ns	ns-1095.awsdns-08.org.
campaigncompass.sky.	172800	in	ns	ns-1672.awsdns-17.co.uk.
campaigncompass.sky.	172800	in	ns	ns-378.awsdns-47.com.
campaigncompass.sky.	172800	in	ns	ns-754.awsdns-30.net.
campaigncompass.sky.	172800	in	ns	ns10.digicertdns.com.
campaigncompass.sky.	172800	in	ns	ns11.digicertdns.com.
campaigncompass.sky.	172800	in	ns	ns12.digicertdns.com.
