software.	3600	in	soa	v0n0.nic.software. hostmaster.donuts.email. 1767661746 7200 900 1209600 3600
000kglhn57iruejeep86nbfo2rr1flqn.software.	3600	in	nsec3	1 1 0 73 007KGIO63QROQFJM734RJENT57J2FEQB NS DS RRSIG
000kglhn57iruejeep86nbfo2rr1flqn.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. ezn6IsF/aD+HjX/TbbKA47nKxZ6qbCiifOCulzJPAdGsX93SQK1BqKl7EYViflNmDdieNdLzGkrXmkgJ0M8BCiqo9CaxwFxOYz3l0eOHtdj+7FH639g8SYxpMvc2RG9qJT3KVwfNM6/634Fg9Rvo+EH3/UXf3rTQGU0CsRDVguk=
007kgio63qroqfjm734rjent57j2feqb.software.	3600	in	nsec3	1 1 0 73 00RNQPN94UBM2R7OOUVT4AM14QK2B3TS NS DS RRSIG
007kgio63qroqfjm734rjent57j2feqb.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. C10Ey+DCQoviir318HFDFSRoMm0s90Xv1OAhQUa+GabFNlahfDhQ+asyWlCGRzgMnXSGuKY4WBYPVYNe3WU01rPtsS6J2+wUYaKKjL/4B1w4IT4SkybvZT/kB84onviIuthzOYbP1Upt5r30amt/zGnZs+Z02maDbOQYTzqMzlk=
00rnqpn94ubm2r7oouvt4am14qk2b3ts.software.	3600	in	nsec3	1 1 0 73 00T3U9OA5HFAP8IGMBNIQKFTE65R1L80 NS DS RRSIG
00rnqpn94ubm2r7oouvt4am14qk2b3ts.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. ioy96hLWfdFlk7jU6rEAIH4sDQT3SpNF2SBVfjoHtZOkXrxJ2DjpJvewwyZ1/elJRL+RsO78zmLK52hfv8r/CopfDm2dEABg+DKGT2knTk8mCLfgvFwSD0XI/us8wIbCFz5hWaYjM86xObGZi9Vlqw+uCu6167XbhrGR899MrD4=
00t3u9oa5hfap8igmbniqkfte65r1l80.software.	3600	in	nsec3	1 1 0 73 01I1RBUKM2C1BH01K81RU53VQ0EPFIL8 NS DS RRSIG
00t3u9oa5hfap8igmbniqkfte65r1l80.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Ox0YIIZWBpHFc+qVWdo55AD9IKmYYyUEBpYNmuBu19kk3u3q2caiRrNQomRN1cxc3YuGZqhC93lyvRoWJleeHvqI5k5UcT9gyQS/BLqtqZ6VHS+N++pzePKOQQWJ+3CQ2iU2gBHc3FehQD3glo86shg0kVpDeGmvzHrqT2Um/u8=
01.software.	3600	in	ns	jessica.ns.cloudflare.com.
01.software.	3600	in	ns	nolan.ns.cloudflare.com.
0101010.software.	3600	in	ns	curitiba.ns.porkbun.com.
0101010.software.	3600	in	ns	fortaleza.ns.porkbun.com.
0101010.software.	3600	in	ns	maceio.ns.porkbun.com.
0101010.software.	3600	in	ns	salvador.ns.porkbun.com.
011.software.	3600	in	ns	millie.ns.cloudflare.com.
011.software.	3600	in	ns	zod.ns.cloudflare.com.
0110.software.	3600	in	ns	ns4.wixdns.net.
0110.software.	3600	in	ns	ns5.wixdns.net.
01i1rbukm2c1bh01k81ru53vq0epfil8.software.	3600	in	nsec3	1 1 0 73 020M1D709L4JIPS29UKCD8Q4V65B64FV NS DS RRSIG
01i1rbukm2c1bh01k81ru53vq0epfil8.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. KOjV80W+gTgqsU6SI7N8MBqlSkMvgfRBXcCM67c26RPx2+zTnN3/MW3JNihJ5RYQG6RnagfsuZBEu2YDoBkPdELnYi171Y7I+cJGtSMoCVSSPVfcMEfUo73T5eR4QlU6acGRqYiQGdzJaq4hcNhbNClETVjSY4k9aU1IH12fkQg=
01net.software.	3600	in	ns	ns1.safebrands.fr.
01net.software.	3600	in	ns	ns2.safebrands.eu.
01net.software.	3600	in	ns	ns3.safebrands.com.
01net.software.	3600	in	ns	ns4.safebrands.org.
01net.software.	3600	in	ns	ns5.safebrands.tech.
01s.software.	3600	in	ns	curitiba.ns.porkbun.com.
01s.software.	3600	in	ns	fortaleza.ns.porkbun.com.
01s.software.	3600	in	ns	maceio.ns.porkbun.com.
01s.software.	3600	in	ns	salvador.ns.porkbun.com.
01sentient.software.	3600	in	ns	curitiba.ns.porkbun.com.
01sentient.software.	3600	in	ns	fortaleza.ns.porkbun.com.
01sentient.software.	3600	in	ns	maceio.ns.porkbun.com.
01sentient.software.	3600	in	ns	salvador.ns.porkbun.com.
020m1d709l4jips29ukcd8q4v65b64fv.software.	3600	in	nsec3	1 1 0 73 02ITMN8PH0UIQ4K3CDK4GHTS2541UBCM NS DS RRSIG
020m1d709l4jips29ukcd8q4v65b64fv.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. h9iKlTOPOyVcfp84vnfitQW7ijpBIdpmjArwE86JccYa2DltI8Inu6Qv3vJquSTHRAj48WfU7sL/xBjjQTX9x3yp03gor1bkVsoC8VEeYeFHbxVfCvRY+uMlNJ3JbkRrJif4VMQv5xCx1b6Pa6gZu/c7BKi6fiUs34Hpl/zvOic=
021.software.	3600	in	ns	curitiba.ns.porkbun.com.
021.software.	3600	in	ns	fortaleza.ns.porkbun.com.
021.software.	3600	in	ns	maceio.ns.porkbun.com.
021.software.	3600	in	ns	salvador.ns.porkbun.com.
