sport.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601241944 7200 7200 604800 900
0000nqfaarf6r68bk5p0ubeei23ktq3l.sport.	43200	in	nsec3	1 0 0 - 002L0IMG2G379751N23ATFO1BI0QDLJS NS
0000nqfaarf6r68bk5p0ubeei23ktq3l.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. iAGZp+TPGwLWsGOYi19UHBIXagiNufPs+JFxcE2r72l2tcO9xpQo6DkFdERhJES9Othq05MhlZM07NAyDHbUUAYSnPlSxij53xc9mp/AsvDxfLOUKTIFw1L/TDgHpXlAuOE6D15tNEXmtpFvDW34bjgMkLEpZYH0ELjb48Jd7LTVjKwIDdBVc3DRASlIgYdpD0sGaqMtsQoTf78GrnZUZA==
002l0img2g379751n23atfo1bi0qdljs.sport.	43200	in	nsec3	1 0 0 - 0085H8C0OK9Q6JAHCPQ1HD94A7DU8CFO NS
002l0img2g379751n23atfo1bi0qdljs.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. iUzdN4Gk2xw4jOvnHLd4OxyC/nWrPf7ssH3iu1ODf4PNs7rYKItz9eWjrQw7DoVbh0vGWpgZsInqc5Cw9hg8ZYUQw69B1gq1gK/SHd2Li3rTfR81wn1TJZGjZ0paigjVYUdK7qK3xq8BWNqE5uQRmoXNaIyP1gttoMFsTyFT5w1Ct3EJkYpyexbaZllN6DCQL9nPXNJW6s/No5LqeGC2Jg==
0085h8c0ok9q6jahcpq1hd94a7du8cfo.sport.	43200	in	nsec3	1 0 0 - 009IIOMO7DO3QFA2DEFAO30HPKEQ1HP2 NS
0085h8c0ok9q6jahcpq1hd94a7du8cfo.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. IS4jyiuur8VMPbcSCIH8QGVYb8iQ5QQ3OJI8dW3EgCoi40nj3WLzXYb3X01ZnY9Z1XYZWmAiutKV2RkpmsvNsWz6fwL1wSNTccO6yTqdy2yLEC0S1WKTwX5zA1+QVhxmuhkR9OR1Wz7VHnWd/KEJ5nrqRJa07lfd6r/QfDdxu6ww+8/gmQuzdMDcYAC6t9tY1sanHTEDpEyorHZkzX60lA==
009iiomo7do3qfa2defao30hpkeq1hp2.sport.	43200	in	nsec3	1 0 0 - 00HI1IN4J9VOC08011H8RB0G7DO6TCNL NS
009iiomo7do3qfa2defao30hpkeq1hp2.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. SZi1gjVvDaH+LC13aM87y6KuVIUIjUGosNcbnjGE0u55Ee2OQhlKX5zRerxx2Tyzhmv+zJSb8UXhDAATMOLw9vx97/pweQdL4HzVRWCpa8BZ3dk9uXRvAAfbl5gN8os9fWZBE1vtzv3R3PbBt+L/eswEfYfQgzkG9kG0E1nV5Dbc4GJEbpsdOSVhZ6+Yk3/78E1v9QRpjvceNjsqXF1gOA==
00hi1in4j9voc08011h8rb0g7do6tcnl.sport.	43200	in	nsec3	1 0 0 - 00O062BLC6P8DL2QMUPVB76KOM0ED097 NS
00hi1in4j9voc08011h8rb0g7do6tcnl.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. BX1zw9ib2B8d5lrBjwGXuzA1rpw75r7dJleVU9ocyHgi2y/FnPtTDqQ+2NdR6EoXxUT884JsChE94HoTT5UMJKate3X8VO+hBcUG6brTEW5187GxTQuAMCy8PYLdR9G2Pbf6sDsmQXWBrKJ4JUrd4Tno5DehYWBnn4jmzpiXZYRns+M1EglxSyEoN9Fe4h3PMmZ9z8Al+1b6OFmvS6Dqtw==
00o062blc6p8dl2qmupvb76kom0ed097.sport.	43200	in	nsec3	1 0 0 - 00PCA0NQ9Q5CP10M48TD5CI3IB9HHV45 NS
00o062blc6p8dl2qmupvb76kom0ed097.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. qyEFjEVdF0CZ7YpvXaXD7hRE1c+6CxB/Eni5lgQYeNMlCkBHedZI1OcXw2RqygCoet8hRUY3UZlHUt4DAusL0KxBU4o0gvbrtFRvGsZGeGhMzwUdoAStJDIUt/c78BTJgmbEcRv4b5Z9Cn38/Udq4oUtNMJU4ROGMDpgDO8ySslxLx6cL4Bb5B0souArg2Rj109hxDKB3DvR4LjQ3MG0ZA==
00pca0nq9q5cp10m48td5ci3ib9hhv45.sport.	43200	in	nsec3	1 0 0 - 013DO604D5H9NI8VUGC5S6V69BFP7HHJ NS
00pca0nq9q5cp10m48td5ci3ib9hhv45.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. gpO5+FyLwfwSJImJpnnGQ4NNjPKNEnBmXMo7NQ2QDX34FnWZEfgYhlbxIZNZVYgpXfYd93nq6q+FAD8RPG6UHTLoHU25KCLeUdLbKHq3xse4tw+75OK3NQfcUG6pvd+LVmj+s26PmEHtJa2o1KJ68nyQSgU8hK6OzXDnEJWtYHIIA4ShoDmXkTYUj1dKFj2ZhWeNqVGpul3oGJV3cA9Ucw==
0110.sport.	86400	in	ns	ns-12-b.gandi.net.
0110.sport.	86400	in	ns	ns-153-a.gandi.net.
0110.sport.	86400	in	ns	ns-170-c.gandi.net.
013do604d5h9ni8vugc5s6v69bfp7hhj.sport.	43200	in	nsec3	1 0 0 - 01DHF2NOBFP1D2DE90RO1KHTVCF0I75G NS
013do604d5h9ni8vugc5s6v69bfp7hhj.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. WA8QzD+racgr/0/xeSQNQTZuPtcEnMneAwtFrMW/bte9rVKXF2SYJCS3dbaLV0g0nRwDzoYQ6ZP4rTmzUwCDUBeCf7ehjBQ1gp/SiJUFqxV4kYk5aLKjdOe0GQ/eJwaCWWtA4Wmo/kBI63S7tOf50IS6u2DY2AEJwFqT9qXU+wL22ghNG3ru2S5/WZBgTHETnuw3wZLBNZdAMZ5NNSVGaw==
01dhf2nobfp1d2de90ro1khtvcf0i75g.sport.	43200	in	nsec3	1 0 0 - 01F6KQVM520J5FQ86KERCUPO5OJSA52L NS
01dhf2nobfp1d2de90ro1khtvcf0i75g.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. DILX3n2uZXeMXdrXpmWYni3P4YbM3g5o3p9Y9xrZhUA/MBWt9rTgcf+aiDkfTHplCvPWT/2gl2oDpruoJDO0l3qrZibQ5Wk79y+/nxgnTbD6kIxGps120YLqs5Gb32GeyFn0Krs4moKZeXI5cLKM1eKi2qVWiaQ11dDzaNfY6ELrMRATrIm9k3gBflaPlkJ5nE1XvdiMDera10V50HnRMg==
01f6kqvm520j5fq86kercupo5ojsa52l.sport.	43200	in	nsec3	1 0 0 - 01HIAMECI051I591BTNTC66OQ8BE2G9J NS
01f6kqvm520j5fq86kercupo5ojsa52l.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. fHTcPOEMqEZpG2gY/V33dohWoE9XMdclvHAFZRTG39H3oOSCGHmRQTucTkpghSrsywwhhNikq6DE0+YqHWGGoHu8VAl+C2r7plLOY5WoXncAe/yh0P2kQtuJuUHMYOUxHcl6z0q3k5Cpxhscod8tMCV9Rwef1Pf0D6JpASt+94Rc6Gd2eOKC05BcL1NdOgg7vUrDuoMKWpGWZu9umM/NLg==
01hiameci051i591btntc66oq8be2g9j.sport.	43200	in	nsec3	1 0 0 - 01KOVLL5K5FRSP4O4T4TH58QSV2EAEKJ NS
01hiameci051i591btntc66oq8be2g9j.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. LJ84mkdwyQcGMKSyaYPDzhoXzqMOmKl3n+Ouw09nvPpz62u2VeOZsQWDmMivMgf4wuXf58ga1t8GA+ce3nlUjzPXuAhT0lbpKgxQJJk5dTRdVf3MDUpRdOdij6Qsi54Z2kB6no9/Vu1HCLI9ZXaRqvZk3cPueuajqEk/nfJmLX8VvjhQE1SwshCz8HotNQNxfwdbVDPo+V4HS86fia8xkA==
01kovll5k5frsp4o4t4th58qsv2eaekj.sport.	43200	in	nsec3	1 0 0 - 01M0ICFJ4H3BC2E8ME1ICS01QO4VMI75 NS
01kovll5k5frsp4o4t4th58qsv2eaekj.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. Zk4eDa7LFIIjQNWcEHgNdRKL3OnU1xFCtugDGwiKJ2HeTeNJXr3WJ6YW3Pz+RrJiRcYU5Whwb7W0zCkuGjKKoEHb66y8QaLluD1hnmLqBr3NWixTErHEdp0Np9dZ/FrY2OXWztQ+JwZadJgehY7/dOwukvl4c7fSQVig5IU++vBEaekz3/9fAuGmaoihDWTmOkjx7hwcCcT6ncu5htzjiQ==
01m0icfj4h3bc2e8me1ics01qo4vmi75.sport.	43200	in	nsec3	1 0 0 - 01MBQ22N73K2CBGFFH5P5HFK62R2T8ED NS
01m0icfj4h3bc2e8me1ics01qo4vmi75.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. MLZvDmDbohgnUcIMCdrSVUW2nPl8am1Eti9VtRZakHBB5SK8MnaofEBdEygOxPDHiTC1XfBsoQDR1J+2Hcb5tuBTWdsfwc62NH3hsLsITP24LtkblMYC/L7RtjjPnZa+pBC+nHjaUGQS/OVk/MMh/P9ok//BeL6/tZQTGjTgCSyvFJrIH26zlVpHwgFut1lYH+qBkGyxY7aJbXkGfCsAkQ==
01mbq22n73k2cbgffh5p5hfk62r2t8ed.sport.	43200	in	nsec3	1 0 0 - 01NBGH30TI2PRJFDFGGTPR9KIKUP0DRB NS
01mbq22n73k2cbgffh5p5hfk62r2t8ed.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. aXGoBBd5IAW64b57fviJyXK1PUlqyLXx4YOlNcPNJlzUcbOMyZo0dRG8AjPpR3cwvRdQuL2aMBKU/zWeDLP2tflAI9D4x00S8F1soMrnA/KxuByiMiiWucBh0QUjLofCx/aXYhpqIF+X29iy/fEjSdxQ+rUDWvjwRFWmU4JvFyYXggCdV8r2dCeU1Ef7YmiH0i+yqzG2MeAQqnylbPTBeg==
01nbgh30ti2prjfdfggtpr9kikup0drb.sport.	43200	in	nsec3	1 0 0 - 01POLH4PMP99IQHSH7Q9BLIJ7K1RD2K8 NS
01nbgh30ti2prjfdfggtpr9kikup0drb.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. OUT2Zox67JbZ5GPA8R4Z7wTScZ2d3gh9ys605M2ehOpZUvetURBCKYFjG3Tfw4/GkCd7j+66M98EBi8Zn/q7vEhf6l2I/UY99LvNLWU3Ze1IB9qDbvxoqkeshfIvtdgj87TblrZW58s0VSrwFrKhnSbFwBijPRVRZNSwwYG9Qbo/Uu9oKzVZcVUWTvuUpPs543gtOaONeZ0dcsPcM68skQ==
01polh4pmp99iqhsh7q9blij7k1rd2k8.sport.	43200	in	nsec3	1 0 0 - 01VEBCF4R24MQ5T7KFR3UR34LFN7C3EV NS
01polh4pmp99iqhsh7q9blij7k1rd2k8.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. GEOfdWKJ3jarlSnFpHeeOvjeI21Fhanzu3qive10HcZQYdfDgZL1xCU3OEw91ANbq6PMORijcT0kNb3Iagu4hlIEtuGqo/jc4NoOw5PrNlQgHSdQhG/Ox4VQcK7LYXAMww5FerE8ElRMIXjCOhpXIQi/quIEzLHPdQZFzQDn5B7K1/yahsGYR/DX++VUy7OfqnVVOWwAIqlysMrikWQ0Yw==
01vebcf4r24mq5t7kfr3ur34lfn7c3ev.sport.	43200	in	nsec3	1 0 0 - 020SGT80OS2JQ5386MG1B0IEI8TENN3F NS
01vebcf4r24mq5t7kfr3ur34lfn7c3ev.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. cx3dfti20VqVhsTDl5Yo9ga31N6uiwQgTyZ5DtuXDEW0sPrI03qmW14gP2nNzb4Y9CtBtEPs92Yn8XAyrHL6vWmOav+A9Br8iauQjD8JOX4iyYN5e/KQrUxQ3tI7d/JYOXD9oKvrjXaTpGPDNXjiXWEiNNfOZHYu/AcmstVxhvldeGH4qZKXCkAti+a06SQHIeuRMyutlp92vMzV7+YEFQ==
020sgt80os2jq5386mg1b0iei8tenn3f.sport.	43200	in	nsec3	1 0 0 - 021OILKK9HM7F60O2C92708UEL9ASJHF NS
020sgt80os2jq5386mg1b0iei8tenn3f.sport.	43200	in	rrsig	NSEC3 10 2 43200 20260203042040 20260120042040 43332 sport. a1ymZWFYmRFAKSCM3qJpYkrz/71D7NGbaA2j2S66f3AGeu5kZ2zljL0UTltCUldkjDb71Jx637DrbLn4yMu6jeGJovc9c6vtogHemDRhCTEMSWJ1mI1vEW0egtP6ce6rx9ZnEY4aueSx0ef2KzXNYObXSwMNj3RyFE3yUQFsQef1YhJmIAFkab/4SI1IZNA+NvYgLWhuhTO+pca3Lut4wA==
