surgery.	3600	in	soa	v0n0.nic.surgery. hostmaster.donuts.email. 1767662376 7200 900 1209600 3600
07277ac539djq3c6n8aho5eqnm7i83jf.surgery.	3600	in	nsec3	1 1 0 73 0737ESUEU3ET6TTO7CQ3UBT0MJGJ9D3B NS DS RRSIG
07277ac539djq3c6n8aho5eqnm7i83jf.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. S1SOgJcWzKkEVrLHqZOwi/bIHQ7eeBrU+n7yK0hvVurnZ6iY12LebzgxuajUbzBEzmuUgDTlKvn3w1BBcAlayDXjZaHbX/2ICGoF7obogTBLgof08EpkZPd6jT9lbpIksjronyNyRDPp7If4ieyi5vh4CbENqIrBxfxbz4fTOrg=
0737esueu3et6tto7cq3ubt0mjgj9d3b.surgery.	3600	in	nsec3	1 1 0 73 07E61CJSG6RTL2QMORV9VOOR41ABBA7A NS DS RRSIG
0737esueu3et6tto7cq3ubt0mjgj9d3b.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. cU3X/9BlradGbrqmttI6VNedJ4NjuItS5vY3ox7Fkh1XzAjryCUj/c7jiYBVFVA1QwugaAiMCr0GgN9lvlPwAoVIqv+rVid9TwTZP3B/M6TFL2h360M8PB4YzePdo7WxaEz+7InoJBisddC3T4L/Fh88aR0fKTWzpMSAN8x2OTk=
07e61cjsg6rtl2qmorv9voor41abba7a.surgery.	3600	in	nsec3	1 1 0 73 080GP9K87AUNCMN7TJK2ITV4RSQSO3EJ NS DS RRSIG
07e61cjsg6rtl2qmorv9voor41abba7a.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. DuKT3iogjS7V7M3GJLHQOYozXPYtOc+F9OOqZykfVjnnQsA0YvbRvV5OHPTUabsFmf9er4LfR3pKOgIzxhkkv48JYJGST9ci7K95ESCRmtoVlLwRZXBM6nELyEBuT3CN6FCiJN4FmUHu/8kEM9LSdSSf11oa9fsE0dISURviDOs=
080gp9k87auncmn7tjk2itv4rsqso3ej.surgery.	3600	in	nsec3	1 1 0 73 0G44AH211LK1M72N86K4NS85AA64FB9F NS DS RRSIG
080gp9k87auncmn7tjk2itv4rsqso3ej.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. nuU14QWZQ5TSfp6Jrf+yK6QyARkaGKRxuuvK7m01uOVBruZel4SS4vYQ5dmLVLroTSSm7w+BadrsTx7lZHTCc8V7esprd1UyU+Xvsj2Oz0pVdDGvIYXhm8ukeq5XPpR4D2n4F7WviWwl8UcDJx0vxnief4R14c5NvLvdF666T/E=
0g44ah211lk1m72n86k4ns85aa64fb9f.surgery.	3600	in	nsec3	1 1 0 73 0I3C3VEHI27DNFFUNGOUG0H409UNKRH0 NS DS RRSIG
0g44ah211lk1m72n86k4ns85aa64fb9f.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. CCX7Mq7ePYM6EyN2KN2qUM6rKUtglvsEj1H3uIWF2YD9Ux1lIYkBVSDoUYKWJriTt3aLVsiPbD4lfzvSkW919zqxWtYFwbxGyfgkwsZmDPn3L8m06zjo24b62GPR5CHgnokrzNrgXQoW45/+esMkVQho/DavW8KVHAOIny+5qK4=
0i3c3vehi27dnffungoug0h409unkrh0.surgery.	3600	in	nsec3	1 1 0 73 0U0OGRO0B0EV7846368SIH3G9525IJL4 NS DS RRSIG
0i3c3vehi27dnffungoug0h409unkrh0.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. BwWmnQdHgfOVhMUyRVzabdFj+Dp0hh2SMW2Dcq1f39aAGEcQ5J6AZSW55jTCplg0p/CMLU8Ck8IGcVU9SR7GWBz+XIHmnquD+7020TgfRDqmyQUD4wFv47ehHIntvB0nybOScaJInaxGOGnPwW0tq3+023nN1esGLa7Z1BOK5nU=
0u0ogro0b0ev7846368sih3g9525ijl4.surgery.	3600	in	nsec3	1 1 0 73 1M0E7ELLA5OCMHNEAN5A2GII2J8BQC6R NS DS RRSIG
0u0ogro0b0ev7846368sih3g9525ijl4.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. ZoRzC0Q32UR9wcbZ2v1eq2fJyDS/9lzMe3w3I7MzizlMhIRTT0J1hTy4QFNxEU6bfOfkxJ5jADDnxdenctt3ioEeiwd1sFajZfLMafPobiZl6Yk25k/9J3rRjIPF/SfJYnZqqGSptkoDTNL9AosACAW6B0tG2C4zcDC60dyVrIA=
1.surgery.	3600	in	ns	ns.udag.de.
1.surgery.	3600	in	ns	ns.udag.net.
1.surgery.	3600	in	ns	ns.udag.org.
