tatar.	86400	in	soa	a.dns.ripn.net. hostmaster.ripn.net. 650338825 86400 14400 2592000 3600
003.tatar.	86400	in	ns	ns3-l2.nic.ru.
003.tatar.	86400	in	ns	ns4-cloud.nic.ru.
003.tatar.	86400	in	ns	ns4-l2.nic.ru.
003.tatar.	86400	in	ns	ns8-cloud.nic.ru.
003.tatar.	86400	in	ns	ns8-l2.nic.ru.
100.tatar.	86400	in	ns	expirepages-kiae-1.nic.ru.
100.tatar.	86400	in	ns	expirepages-kiae-2.nic.ru.
1000.tatar.	86400	in	ns	ns1.beget.com.
1000.tatar.	86400	in	ns	ns1.beget.pro.
1000.tatar.	86400	in	ns	ns2.beget.com.
1000.tatar.	86400	in	ns	ns2.beget.pro.
100edu.tatar.	86400	in	ns	ns1.nameself.com.
100edu.tatar.	86400	in	ns	ns2.nameself.com.
100re.tatar.	86400	in	ns	ns1.reg.ru.
100re.tatar.	86400	in	ns	ns2.reg.ru.
101.tatar.	86400	in	ns	ns1.reg.ru.
101.tatar.	86400	in	ns	ns2.reg.ru.
116.tatar.	86400	in	ns	ns1.ht-systems.ru.
116.tatar.	86400	in	ns	ns2.ht-systems.ru.
1552.tatar.	86400	in	ns	ns1.reg.ru.
1552.tatar.	86400	in	ns	ns2.reg.ru.
1tema.tatar.	86400	in	ns	blocked1.nic.ru.
1tema.tatar.	86400	in	ns	blocked2.nic.ru.
404.tatar.	86400	in	ns	ns1.reg.ru.
404.tatar.	86400	in	ns	ns2.reg.ru.
500slov.tatar.	86400	in	ns	ns1.nameself.com.
500slov.tatar.	86400	in	ns	ns2.nameself.com.
5551111.tatar.	86400	in	ns	ns1.ihc.ru.
5551111.tatar.	86400	in	ns	ns2.ihc.ru.
666.tatar.	86400	in	ns	ns1.spaceweb.ru.
666.tatar.	86400	in	ns	ns2.spaceweb.ru.
777.tatar.	86400	in	ns	ns1.reg.ru.
777.tatar.	86400	in	ns	ns2.reg.ru.
888.tatar.	86400	in	ns	ns1.domaindiscount24.net.
888.tatar.	86400	in	ns	ns2.domaindiscount24.net.
888.tatar.	86400	in	ns	ns3.domaindiscount24.net.
a-race.tatar.	86400	in	ns	dns1.yandex.net.
a-race.tatar.	86400	in	ns	dns2.yandex.net.
a2n.tatar.	86400	in	ns	ns1.spaceweb.ru.
a2n.tatar.	86400	in	ns	ns2.spaceweb.ru.
a2n.tatar.	86400	in	ns	ns3.spaceweb.pro.
a2n.tatar.	86400	in	ns	ns4.spaceweb.pro.
aaron.tatar.	86400	in	ns	ns1.domaindiscount24.net.
aaron.tatar.	86400	in	ns	ns2.domaindiscount24.net.
aaron.tatar.	86400	in	ns	ns3.domaindiscount24.net.
absolut.tatar.	86400	in	ns	ns1.hosting.reg.ru.
absolut.tatar.	86400	in	ns	ns2.hosting.reg.ru.
administrator.tatar.	86400	in	ns	ns1.reg.ru.
administrator.tatar.	86400	in	ns	ns2.reg.ru.
ads.tatar.	86400	in	ns	ns1.smartape.ru.
ads.tatar.	86400	in	ns	ns2.smartape.ru.
adsense.tatar.	86400	in	ns	ns1.google.com.
adsense.tatar.	86400	in	ns	ns2.google.com.
adsense.tatar.	86400	in	ns	ns3.google.com.
adsense.tatar.	86400	in	ns	ns4.google.com.
advokat.tatar.	86400	in	ns	ns1.mchost.ru.
advokat.tatar.	86400	in	ns	ns2.mchost.ru.
advokat.tatar.	86400	in	ns	ns3.mchost.ru.
advokat.tatar.	86400	in	ns	ns4.mchost.ru.
adwords.tatar.	86400	in	ns	ns1.google.com.
adwords.tatar.	86400	in	ns	ns2.google.com.
adwords.tatar.	86400	in	ns	ns3.google.com.
adwords.tatar.	86400	in	ns	ns4.google.com.
afisha.tatar.	86400	in	ns	ns1.nameself.com.
afisha.tatar.	86400	in	ns	ns2.nameself.com.
afound.tatar.	86400	in	ns	a1-139.akam.net.
afound.tatar.	86400	in	ns	a11-66.akam.net.
afound.tatar.	86400	in	ns	a12-67.akam.net.
afound.tatar.	86400	in	ns	a28-64.akam.net.
afound.tatar.	86400	in	ns	a5-65.akam.net.
afound.tatar.	86400	in	ns	a8-66.akam.net.
africa.tatar.	86400	in	ns	ns1.reg.ru.
africa.tatar.	86400	in	ns	ns2.reg.ru.
agrolizing.tatar.	86400	in	ns	ns1.reg.ru.
