tattoo.	900	in	soa	a.nic.tattoo. admin.tldns.godaddy. 1756249759 1800 300 604800 1800
003079jg.tattoo.	3600	in	ds	10735 13 2 30D1C66A0BAD625584B48757AD7CD91C1DFE8E11470E2A5E680F90AA9787972F
003079jg.tattoo.	3600	in	ns	launch1.spaceship.net.
003079jg.tattoo.	3600	in	ns	launch2.spaceship.net.
003079jg.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904202635 20250821200544 58469 tattoo. 9gO5pF9A0BiS/EtAS+tHTwT/l3LZ+rlvA/8p4Pwcr8j/SScDNMkIwuz8TFOcadX4o4pa4Eefs4ieWrGXKt38Iw==
0032u72o6139j6nq6nhl1ef2s4nkh9ub.tattoo.	900	in	nsec3	1 1 0 - 01Q4O9F9TJI0KBNGC4NA43AF4UVLOMUN NS DS RRSIG
0032u72o6139j6nq6nhl1ef2s4nkh9ub.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250905035716 20250822031559 58469 tattoo. dHsT9mEvfZ7gqfwtyreCmwSgZhSaKbqNy06oOxg4vLPd5ecKNC/hcwTgqvwJZ+QziZ0CHERm3c2u5Uk7CbzYJA==
00433656.tattoo.	3600	in	ds	10878 13 2 73458A4F6455879CD0B8A96FDF1742A83261CC59E718DBF148C80C1D1048AC6D
00433656.tattoo.	3600	in	ns	launch1.spaceship.net.
00433656.tattoo.	3600	in	ns	launch2.spaceship.net.
00433656.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. 4Vlx7JnuX7wL94gWgqnmnNiETkVeY6MWt1qj0YpnyK/Wp5cjUNvLwZ1kA/8ygqkm9w2zfMiXyMiIrYlHouWxCA==
00438129.tattoo.	3600	in	ds	1510 13 2 E14DDA53A10C92DAA7A1CA70522C87A8BD4BA650D0B70DA3FE5206BFC434742A
00438129.tattoo.	3600	in	ns	launch1.spaceship.net.
00438129.tattoo.	3600	in	ns	launch2.spaceship.net.
00438129.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. q8ryFItZWFEBUTUrxGgOpmljV0DjPogcyDQ7wmV3AX9Bp2/WSas35OIVjadwewc8mticMHABFnRspj75mzstjg==
00506774.tattoo.	3600	in	ds	10115 13 2 51C5C43C3BCF7945ACFC7A0642275F9C0C736E55B03EDCCC6294019ECE19C8F3
00506774.tattoo.	3600	in	ns	launch1.spaceship.net.
00506774.tattoo.	3600	in	ns	launch2.spaceship.net.
00506774.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. PUzJOCsqf7BdQ4rqHEhrFJrrCIu+HZfhlUcIsSQSD88guD23tpfITG/mCypgsIQ7xZWTChTe7ybicPs/wKysZg==
00549434.tattoo.	3600	in	ds	6731 13 2 6D8C7A462F5F0B362D90959ABABA1EB80C35D549D325BE25554823D6CE3C9F48
00549434.tattoo.	3600	in	ns	launch1.spaceship.net.
00549434.tattoo.	3600	in	ns	launch2.spaceship.net.
00549434.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. vnrfwsi5VTLYCjCua3THB51ggvKVEeer2czhYGH4qf06f+kV80lmJ7XR2fm7q+VIA5fbSIq/JSifccL7UQkSyQ==
00706331.tattoo.	3600	in	ds	53851 13 2 2B1A126E8B9692ACA61C76AE3A1B154174B8CDEA4A3F4DFAD62C4754907A3B4E
00706331.tattoo.	3600	in	ns	launch1.spaceship.net.
00706331.tattoo.	3600	in	ns	launch2.spaceship.net.
00706331.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. 65Om0o/jqrxHH/UYg4ecl7vA4DZgbVvWDdvTZeKC9Goj7oqgqO7foECWc/TsibN1/X6j+L3HeqAC9LSnKEoOQQ==
00739401.tattoo.	3600	in	ds	41617 13 2 B56F4B5839F63308F5A46FEFA41285C15940127FB7D8171712BE4031E7560C00
00739401.tattoo.	3600	in	ns	launch1.spaceship.net.
00739401.tattoo.	3600	in	ns	launch2.spaceship.net.
00739401.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. SXjuwZFvQoIBvRqUpTUSTFqF7fCGPjdlm2qMa8MNQfPoez9I7iTNNCfLYU6edHjtkIZxs8RUQtl6dgRrVqQ08Q==
00852198.tattoo.	3600	in	ds	28487 13 2 1A60632AEB36CAB930494212E52963803174EFD5873F6155F1D01B5F21C4297D
