technology.	3600	in	soa	v0n0.nic.technology. hostmaster.donuts.email. 1769303551 7200 900 1209600 3600
0-1.technology.	3600	in	ns	dns1.registrar-servers.com.
0-1.technology.	3600	in	ns	dns2.registrar-servers.com.
0.technology.	3600	in	ns	ns73.domaincontrol.com.
0.technology.	3600	in	ns	ns74.domaincontrol.com.
000.technology.	3600	in	ds	56934 13 2 F33275F11BF0B39686A47E4EE424A1AB090EB9BB3C733D19A5BDE70042F10ECB
000.technology.	3600	in	ns	ns3.epik.com.
000.technology.	3600	in	ns	ns4.epik.com.
000.technology.	3600	in	rrsig	DS 8 2 3600 20260207160001 20260117150001 3003 technology. dnoNOeawg0Qiyws21dmYuSAC0/Xl01N2cQBjtbRbnCQ+Ojeb5WJw3UHNnta88rItsHwQHiAWe1zTR80OHhObphnrr0unvzRr1eVsrgiv7p0YkMeOfW7HxLMR3JfgkEWSLO48AMYIkkgaaY5hXZfv6oeWf6zEO3vZXqQ9poxB/yI=
001.technology.	3600	in	ns	ns45.domaincontrol.com.
001.technology.	3600	in	ns	ns46.domaincontrol.com.
0024be8q93s3v351m914kvaijk6d70ht.technology.	3600	in	nsec3	1 1 0 73 00EFQICAFBKIRSEDRQRSDMPOJE8TSO5P NS DS RRSIG
0024be8q93s3v351m914kvaijk6d70ht.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. PezfOe0RBMdcpL2mO+MC0fVyk48mLNWKj0STIl2dL1fvK8YQrLmw4CLde7DfNm5QTkhqdZFha0rJzKciMigcazOhQlmI3XERgbzsdSQFXfDpfipE1eIR0S/WAZHWHsQMKH0Pakcigt45bYTS1tCU1/nN8ph8iJ7hbTzkMACO3BY=
0049.technology.	3600	in	ns	docks14.rzone.de.
0049.technology.	3600	in	ns	shades05.rzone.de.
00efqicafbkirsedrqrsdmpoje8tso5p.technology.	3600	in	nsec3	1 1 0 73 00P7PNK9JRLBGIAU8HBVIR9039PQBO59 NS DS RRSIG
00efqicafbkirsedrqrsdmpoje8tso5p.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. LNuVmeAVNAh9KkQdRJ9DMn432nvURxnReyioF2BbsrKSWUBR1HjiEoBdPkmoP5tA5f9sIlBvP2uhp8MPW6RWKizHfyrmQDj8Q2pRcKHj5akioMN7zz0286lEYPXQuN4B6XgP7wrpkpG7K1kDolrUxzI4cCd6H4WqNxZtmx0A6no=
00p7pnk9jrlbgiau8hbvir9039pqbo59.technology.	3600	in	nsec3	1 1 0 73 00VJUSMODARLPQ38AE5R0C6QECPOO2KP NS DS RRSIG
00p7pnk9jrlbgiau8hbvir9039pqbo59.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. XEH0YjFhxVWA/WsPEZdAfXCBq/qMP7qBLnoQ+w5vYztIAtPokK2MzeCdk6cgowdDyerc9OaovNYPVFt/DfRNpFqf5Cm/lgfOrsPw7vkWwhSit8r+Z4A/vySNO7mbilsXhymbE5yA73u3ZKOicAGlijKo8GSx/O4nI86dYNw3/Y4=
00vjusmodarlpq38ae5r0c6qecpoo2kp.technology.	3600	in	nsec3	1 1 0 73 027G4KPIVU0HR69MTKUKGG5AAKG7ODK9 NS DS RRSIG
00vjusmodarlpq38ae5r0c6qecpoo2kp.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. N4O+pD9avXKnxDkaxpMBeut+fR9pB2UGNo3OoPTMQ3gcM/z3hdqlkYv3NQYIaxo70il6YeZj24/WsTSn7lKDo0/2p4bK2/Kuqkh8OmawYFlH9Kt+AhO3bec1AACcc/8mi6lUObE8i4Ow+lO8DDzqpOU8vKA3wowtLTSLTohPiTM=
01.technology.	3600	in	ns	ns27.domaincontrol.com.
01.technology.	3600	in	ns	ns28.domaincontrol.com.
0101.technology.	3600	in	ds	19684 8 2 B6FA42AE2C89162144D0F4EEB64495BD5DC0065DB20D592E3A61E78BCF0472B2
0101.technology.	3600	in	ns	ns-cloud-a1.googledomains.com.
0101.technology.	3600	in	ns	ns-cloud-a2.googledomains.com.
0101.technology.	3600	in	ns	ns-cloud-a3.googledomains.com.
0101.technology.	3600	in	ns	ns-cloud-a4.googledomains.com.
0101.technology.	3600	in	rrsig	DS 8 2 3600 20260207160001 20260117150001 3003 technology. N4IjeGkr+BoW5+Qs4MXGuMR2y7SJhlQZ8WctqWG3MvsobreTc0T5v82ipPhYkFkb7qzEfiybsABKd5Tn8kCDiv0X9fVIbAG5ehHb3sOjFLjQPkbqN/G/rLHOyIkvhXi5I63MYPW1plBwPJGoEAFcYtIp4n5bJj5XNQDotWyuRwY=
010101.technology.	3600	in	ns	ns.forpsi.cz.
010101.technology.	3600	in	ns	ns.forpsi.it.
010101.technology.	3600	in	ns	ns.forpsi.net.
021.technology.	3600	in	ns	ns-cloud-c1.googledomains.com.
021.technology.	3600	in	ns	ns-cloud-c2.googledomains.com.
021.technology.	3600	in	ns	ns-cloud-c3.googledomains.com.
021.technology.	3600	in	ns	ns-cloud-c4.googledomains.com.
027g4kpivu0hr69mtkukgg5aakg7odk9.technology.	3600	in	nsec3	1 1 0 73 028CJA0EHFR8KHSIPF3MQJ53N5V1850C NS DS RRSIG
027g4kpivu0hr69mtkukgg5aakg7odk9.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. VU7dl+ZY39/Vkroyf1Mm0wwofI3aUj+0Evzyu3zUqW5zn2zn4SnYo6k+JGrV/jySXaqMJXt+4njZHyNGYo6aE4Op4XD8GNrsI/TXj21RWwwRS5CnIeF7HR/cDX9W+2/IhEjK+RRjdB/ZWUppBwgXDRWYlrpriU3uMB7KwlUCpkk=
028cja0ehfr8khsipf3mqj53n5v1850c.technology.	3600	in	nsec3	1 1 0 73 02H9LFDC63JLU6SOOU0SPD23VBBQ82RU NS DS RRSIG
028cja0ehfr8khsipf3mqj53n5v1850c.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. hoNU2HIx2YnlWE8X1Tz+RA+BG6kMa2d3eLuUIun/7+XO/RdVvFpOTJ6a3hFmoP75dP1xYaY4BvAgqc3bbel7lEYcsi5e4NxOBiShpCzQGEiiaVrjnnaDTvom2LEJTklB/6EaZo3y1RJOrth5NF8dEq6mPsgd5sR05vnDozFMnws=
02h9lfdc63jlu6soou0spd23vbbq82ru.technology.	3600	in	nsec3	1 1 0 73 02IO3GILIS9PMGKTLCJF5S3NOPES6TB8 NS DS RRSIG
