tips.	3600	in	soa	v0n0.nic.tips. hostmaster.donuts.email. 1757035428 7200 900 1209600 3600
000.tips.	3600	in	ns	ns1025.ui-dns.com.
000.tips.	3600	in	ns	ns1055.ui-dns.org.
000.tips.	3600	in	ns	ns1061.ui-dns.de.
000.tips.	3600	in	ns	ns1086.ui-dns.biz.
001.tips.	3600	in	ns	plaster.dnspod.net.
001.tips.	3600	in	ns	school.dnspod.net.
007.tips.	3600	in	ns	curitiba.ns.porkbun.com.
007.tips.	3600	in	ns	fortaleza.ns.porkbun.com.
007.tips.	3600	in	ns	maceio.ns.porkbun.com.
007.tips.	3600	in	ns	salvador.ns.porkbun.com.
007soccer.tips.	3600	in	ns	dolly.ns.cloudflare.com.
007soccer.tips.	3600	in	ns	hank.ns.cloudflare.com.
01gld4f1jm5mqkef4jsfqpqrg5e60h24.tips.	3600	in	nsec3	1 1 0 73 01TS24BEK13L18TVTMLMMKCR9E05V164 NS DS RRSIG
01gld4f1jm5mqkef4jsfqpqrg5e60h24.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. XkfQ5FcBjwQCmr1LRhItZ8yaJuISeYBIlnqT5Xp4RdK8uK9VDUyH9p3Oi/FjdT7UiIpnXsGB6YDSoo1x5Ubi6DN/WWY31souw41eCBJ2FipT5nu5uDtOgktNw0GQHfnNjkDU1rjta1xTD5kO00yfNmyDUt4b3rkzo8AHp/UtyoM=
01ts24bek13l18tvtmlmmkcr9e05v164.tips.	3600	in	nsec3	1 1 0 73 0531IQDUV0MD2CT0T33QDRDT6DU3J6CG NS DS RRSIG
01ts24bek13l18tvtmlmmkcr9e05v164.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. LFSK9I2OSC78carxoIZFVTqxcmjFwgABm8uWSYGBluTESDoL/qJrtqJ8pH5pKyhY4S2n0WM2DM96N/i+12x+PdGt8sd4dBEIB8NjniAKDkP2aXAQJrUjD5eCJs5JbdUigh9AseDPFieCcOZuPYMxITR5jkKsbnRShqtS02ZWm4g=
030.tips.	3600	in	ds	17149 8 2 6FA6DEB1DF3B8AD092DE112BA1D458966C651D483B96BF429EB52170529C825C
030.tips.	3600	in	ns	ns1.xel.nl.
030.tips.	3600	in	ns	ns2.xel.nl.
030.tips.	3600	in	ns	ns3.xel.nl.
030.tips.	3600	in	rrsig	DS 8 2 3600 20250922152646 20250901142646 54429 tips. FCBUeuOeHKqqlrSsyq2pjxpfVxQ+j9YibaMZSho7lKMgcy8zCC3NTSk1TRpvDyVA/HdrCQpBQSxO8cLynwOhn2OuUUmwr9CbA0wmYtGyPtrmwQ80j+xJQyx/GSbPnqt36LIm08pUQvb1ODdwSQzchLFHF9SWFrGCCbqbpu3/324=
0530test.tips.	3600	in	ns	ns10.alidns.com.
0530test.tips.	3600	in	ns	ns9.alidns.com.
0531iqduv0md2ct0t33qdrdt6du3j6cg.tips.	3600	in	nsec3	1 1 0 73 056BL3098NM9HBV7IE6RLF5Q3SHPBS9I NS DS RRSIG
0531iqduv0md2ct0t33qdrdt6du3j6cg.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. EC04WadcudfPt2wy8fAewAk1oDtedFtE/fgqD7d3nRpi9wm8Cp5iP5vp9bWg2K39GUrUgSpCZ3xBEGVYmLLeVSJtcnIfXW3FLqS1t8O1oNzfHgcQoBd7E5CwnYMKMPjHhGlqfGCnx7QqjLBkmdqavzWu9wTtmxxni+1aNuy/gdw=
056bl3098nm9hbv7ie6rlf5q3shpbs9i.tips.	3600	in	nsec3	1 1 0 73 066HKT3TAU8FPEBP22AODDELBVNGM814 NS DS RRSIG
056bl3098nm9hbv7ie6rlf5q3shpbs9i.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. YfPvLjmZUeofB88akmqIJoONPVbfMaPueZ7qEG7RUc7hRkOTQR8PKbUh0djsteIg+h2xg9jL1uIFKO5H3vcfB35kGtnNgn2jM4a5WcymV+M9CKIQSbaprOfMifWCpNsRwrlWd23n4Zftm8x0ke+xRfb6vyYkfOt6nGJ/eik7vFE=
066hkt3tau8fpebp22aoddelbvngm814.tips.	3600	in	nsec3	1 1 0 73 06G2DT5920VAP1C631MIALDPESAM7K3P NS DS RRSIG
