vegas.	3600	in	soa	a0.nic.vegas. hostmaster.donuts.email. 1769304332 7200 900 1209600 3600
000.vegas.	3600	in	ns	ns07.domaincontrol.com.
000.vegas.	3600	in	ns	ns08.domaincontrol.com.
0000.vegas.	3600	in	ns	ns1.dyna-ns.net.
0000.vegas.	3600	in	ns	ns2.dyna-ns.net.
06n3of5euv9ag44ua14m4fodjdfr4eni.vegas.	3600	in	nsec3	1 1 0 73 08S5701LMHI0ISJ9BR9ND1JAFA0L4EFC NS DS RRSIG
06n3of5euv9ag44ua14m4fodjdfr4eni.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. P48T9rwLvjEOUgWBLvCZDRxehcIu4tEaGUV49UYMfj7nKIHf3/RfC3BmJnKXlfd7Ik7zqEapsldi4fFZ6/Bc26SYBBnf+DaCoHVNJKxsh7yw5L1GNhjtGv3JD4y0Spw3Y55c2KelccS5D+KdcmA2fpMw5TlmhwcN5oSkl7BrCOs=
08s5701lmhi0isj9br9nd1jafa0l4efc.vegas.	3600	in	nsec3	1 1 0 73 09TPQ0F5CUFKIUD9HMIL5NQ00T8MB95N NS DS RRSIG
08s5701lmhi0isj9br9nd1jafa0l4efc.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. Y1zTK63CytFkMAid7YC47tcZv6ObcjfsC0ZSzcHPK4CW5z8um5BOaR9CLTs/j+OUedI19N45/gDhJ0nc9tjRgJwCyx3fdajHPfJSxeh/29xriKH9R0dL5hhDQjIh2E4qSybr4a5jP5sXK82qLGdREm1ztvSlupoN/11Yk9G8Qd8=
09tpq0f5cufkiud9hmil5nq00t8mb95n.vegas.	3600	in	nsec3	1 1 0 73 0HQRCLEU486F21LRBP0FPC260ROHRU8C NS DS RRSIG
09tpq0f5cufkiud9hmil5nq00t8mb95n.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. PVLdfx2Z4ihWzLNSmP7K8WDoCr/nacuiqAFYCGvXiRjpsMqcgcyc0RaPYz17sTRVcBPJu5tNZOwTk7RVtCXRvc1DC5W+AzNeyJAowg75R5VgicR+cpOwQQ6CcLNWoGcissMLngPdj2VhXkM2uO16MeubT1fFpi3Lux16HAABdnI=
0hqrcleu486f21lrbp0fpc260rohru8c.vegas.	3600	in	nsec3	1 1 0 73 0M9UGPRH544F4GEGCE8OEME2GAIFVTQ7 NS DS RRSIG
0hqrcleu486f21lrbp0fpc260rohru8c.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. lBLLK2uYJc9mq1Dh6JXRF87owJc9JME5bKNiJa73EKuTIrdvarVljiIOW3iE704JngzUiRGNIGBAC+XvMYwNZasRpM97j5QZtnlJzgdeBfyw363ulJ/v3a+I4mIKEvhziwqo302Yj/jzLbnaP5Dw9N9K9dO2DnGv4q/8h6j9jgI=
0labs.vegas.	3600	in	ns	ns35.domaincontrol.com.
0labs.vegas.	3600	in	ns	ns36.domaincontrol.com.
0m9ugprh544f4gegce8oeme2gaifvtq7.vegas.	3600	in	nsec3	1 1 0 73 13JB4QSM29C44BQA7VNO6ARMP6LSVMAF NS DS RRSIG
0m9ugprh544f4gegce8oeme2gaifvtq7.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. o4yG+aRn+8Ur45c2dnyUBt9LKlCxfvYlcjQSOr1sSXdOqLkK5xBPCXQAUL4wGYXIxonqz5S9ZOqK1mYcewaYwkRNOB+T8xVZZeAKIW0bzd/qrYetJlagw20rFPeiVqQpObbNRphOmzH9O7GJ+1XfbOlooC5/+49oPGBT92+fhow=
1-800-flowers.vegas.	3600	in	ns	dns1.cscdns.net.
1-800-flowers.vegas.	3600	in	ns	dns2.cscdns.net.
100.vegas.	3600	in	ns	ns51.domaincontrol.com.
100.vegas.	3600	in	ns	ns52.domaincontrol.com.
1001.vegas.	3600	in	ns	ns11.firerockdigital.com.
1001.vegas.	3600	in	ns	ns12.firerockdigital.com.
100calories.vegas.	3600	in	ns	ns09.domaincontrol.com.
100calories.vegas.	3600	in	ns	ns10.domaincontrol.com.
