ventures.	3600	in	soa	v0n0.nic.ventures. hostmaster.donuts.email. 1767662328 7200 900 1209600 3600
0.ventures.	3600	in	ns	ns1.monikerdns.net.
0.ventures.	3600	in	ns	ns2.monikerdns.net.
0.ventures.	3600	in	ns	ns3.monikerdns.net.
0.ventures.	3600	in	ns	ns4.monikerdns.net.
00.ventures.	3600	in	ns	dns1.registrar-servers.com.
00.ventures.	3600	in	ns	dns2.registrar-servers.com.
002.ventures.	3600	in	ns	ns65.domaincontrol.com.
002.ventures.	3600	in	ns	ns66.domaincontrol.com.
004a9mlql66609igeijdjihh0i3l9khc.ventures.	3600	in	nsec3	1 1 0 73 018BKB2244RJD9VGFAM5J958N408OD8L NS DS RRSIG
004a9mlql66609igeijdjihh0i3l9khc.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. k96blmyQi7aXjKnsb2oO2hcjjAMtsOa3H2+lufRLXVYjMjVEzfHxOloP0du562NWg2mL3ePvGWmuor+8L+klzqoazNgutNpW5PahEht6uPtkflAIVDFuN3dLm5fYyaL+l81jByuyC7b6SmvU9gQYLn+b/CQhHJGoe4Cxs/AlQkg=
007.ventures.	3600	in	ns	ns41.domaincontrol.com.
007.ventures.	3600	in	ns	ns42.domaincontrol.com.
01.ventures.	3600	in	ns	elma.ns.cloudflare.com.
01.ventures.	3600	in	ns	george.ns.cloudflare.com.
0100.ventures.	3600	in	ns	ns29.domaincontrol.com.
0100.ventures.	3600	in	ns	ns30.domaincontrol.com.
018bkb2244rjd9vgfam5j958n408od8l.ventures.	3600	in	nsec3	1 1 0 73 01FO7L3OEDNKEO6KEJ94F9HC7FJAH8ML NS DS RRSIG
018bkb2244rjd9vgfam5j958n408od8l.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. mBNJON5ujdCPNclhiLm39ah7HsN90JsVzk6OOx7HzHtdkj6/j9IDELXP1RG5ugOc+AJLrfNvCbotd3bOD6PfocjAHlF0d0m2TL14U1ZbVfh7mlB2TENLDBFkYwuLW0663myDWggklGjdv0LWL791yaa4WLcZgA3NavZIRIn5Qqk=
01fo7l3oednkeo6kej94f9hc7fjah8ml.ventures.	3600	in	nsec3	1 1 0 73 01O3TP0NNG08F2B9LSSV4UAPU47VD1DB NS DS RRSIG
01fo7l3oednkeo6kej94f9hc7fjah8ml.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Ly9QNYDmNQwGE8GOvYng9CGpQnUahKmx1r4N9i9Io7evRpiptbMIabUkAm37en9JzzHS/bY98YpR85InDxBDl/o4KdsVg85AcyD2Zw6bgkbkolzwkd6M722lqBMD8hYvDa9wxLBRrOyLKJZMG/4stjeiagz5nqWj1PxifQGASQw=
01o3tp0nng08f2b9lssv4uapu47vd1db.ventures.	3600	in	nsec3	1 1 0 73 03UQC4P8OMNQAI2N3LFPC9A7VMMBFP3O NS DS RRSIG
01o3tp0nng08f2b9lssv4uapu47vd1db.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. OOFSt9QzowsCuN1btjJ/4YrfRrtLy/FReH+AgUHrCt7qFxSrd45i/1tuHDHVf5UdgfBlcAypzMfV4LLqZH9Zy8jTJfkjavEzRR5kL20GHnbv4CFE9Rmy/bA+xx0P0UPKwQ/Z7yWmuaO5mgmLFMog6ApBvC+FoAjLpyXauYpwj9A=
01x.ventures.	3600	in	ns	ns19.domaincontrol.com.
01x.ventures.	3600	in	ns	ns20.domaincontrol.com.
021.ventures.	3600	in	ns	ns-123.awsdns-15.com.
021.ventures.	3600	in	ns	ns-1399.awsdns-46.org.
021.ventures.	3600	in	ns	ns-1726.awsdns-23.co.uk.
021.ventures.	3600	in	ns	ns-759.awsdns-30.net.
03uqc4p8omnqai2n3lfpc9a7vmmbfp3o.ventures.	3600	in	nsec3	1 1 0 73 03VM8DVVJNQ26311CJLEG98S686KG66C NS DS RRSIG
03uqc4p8omnqai2n3lfpc9a7vmmbfp3o.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Rg5sy/8jQ2Nf8bJpPr6VP+971RtbCW8LTjNZpcTCF8vTXaqbi5Dqp48I9Zv4UiIbyerS6D8y9dIcxRo8dIXMDjw42Ql4CYqpIP1CJppkNDUZqtgFdAiP0oXvYoamZUlP1P8YWCo5AlCUCKhIQPWRRaoqK4OtJ61ojp0OC+74kwk=
03vm8dvvjnq26311cjleg98s686kg66c.ventures.	3600	in	nsec3	1 1 0 73 04ALOBP7055POPLIIJIKM9BEO9T1G6ES NS DS RRSIG
03vm8dvvjnq26311cjleg98s686kg66c.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. HDlse2PEqGH59S/VNO7Am3RfNZBM5ferh/tugUeL6ybk3SVtXseUZvd/IT/aKAmv9h2kOvovwZxrgw0FvyIKJ8U+84uOCtyuYZ9D3zjwjApw6cDDXMcfXpg30ULmD3dujBOdwpzcdMkFc9iqG7w7pvGfCXmBltRlz0SA7KgfeBo=
040.ventures.	3600	in	ns	ns17.domaincontrol.com.
040.ventures.	3600	in	ns	ns18.domaincontrol.com.
04alobp7055popliijikm9beo9t1g6es.ventures.	3600	in	nsec3	1 1 0 73 04VPI7UHGFAGF1SH6N207CLJD0B0VUT6 NS DS RRSIG
04alobp7055popliijikm9beo9t1g6es.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. ZiTPJYZqna4oApIr02Ny0WaT0+BhOl4seP2khxl5z0LYWuHN5chaKTlYA1TshsuYae7hGSxzN06n8YtIbR9gIEOJJvTFGZRcHEceluNb+XsyRrH343ujyZ7YI/OYKTywd/dooPI3+WkxlYgJkP8neE/IKixNTqGbYWls6K5fe/E=
04vpi7uhgfagf1sh6n207cljd0b0vut6.ventures.	3600	in	nsec3	1 1 0 73 0553ESD41287KDR88P9A5SHNPH11GF7V NS DS RRSIG
04vpi7uhgfagf1sh6n207cljd0b0vut6.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. mGCpUvJ7185iFD4t4nFcNx8UjNJ1CoqD0up0iYYh7rdAbNtYU3jHK/feeqLpyDfSh+VDORvEJEwU7pN7pxB35XZXl1xxoY/qdR1zZcTG0vvGfcYRWycfnYRmaozEfWMpRmqrOsDXzbxe/hRM2SccPX3D25+vGqxJ9pSGOO0ySmQ=
0553esd41287kdr88p9a5shnph11gf7v.ventures.	3600	in	nsec3	1 1 0 73 064V5QML7M6CJHMM6MAFEVUBOM11B7J2 NS DS RRSIG
0553esd41287kdr88p9a5shnph11gf7v.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260124131429 20260103121429 32061 ventures. EeggXBUEmSi7lBNdiAj2JPrED+Rj6CEVNKX81ZUZoKkh14g6fHqTnMhjEh8ADfWiKwzFzF8u/JSBlP+tBl5cDwKIWoW3PGv1/VuiSB5iUFfDE/TE1MhTfBxBHVdlAGtopdHScIwhOIRiU0EOqid+uteNXJiX9Y9I+Ir+UcK0vHQ=
064v5qml7m6cjhmm6mafevubom11b7j2.ventures.	3600	in	nsec3	1 1 0 73 06O3SSIONSFL8BG8LR1F3540MA3MUBEA NS DS RRSIG
064v5qml7m6cjhmm6mafevubom11b7j2.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260124131429 20260103121429 32061 ventures. Sei+jbUUPSxvnrBUH/C4kHLPM+jZHHrmxgva2nFcUQHoozr5NlvTJPja5x2TPdgPKSSNg7hfpsrCJVU0wYB7E2t/8UvwQ8G5LUCN1hkwBeP0EAT4vjo98nG2weWYsL5DXf7sPCGdkyiaO0QWhMaMRwaAjJfiHpWz1snMn5sgTfM=
06o3ssionsfl8bg8lr1f3540ma3mubea.ventures.	3600	in	nsec3	1 1 0 73 07IAGR5F80QUOSHD80QVAL9VGDFEMQHA NS DS RRSIG
06o3ssionsfl8bg8lr1f3540ma3mubea.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Pmq2kqwYq2SqJrFQHeU8reN6hVsvkmfPatkXnE9U8EllEksRe48zHeUNincEAtGnmKopFiZo0M1lSA2kz7yf4B+BFzXyZ1+E2sV7jDroas/MFA5k8CL5gmjkY/xK+9h5FOvU4fLybOvg5fD1OMqhmIJ4q3EzP/2Q9GXIs5is0Lc=
07iagr5f80quoshd80qval9vgdfemqha.ventures.	3600	in	nsec3	1 1 0 73 08D3D2RIDA74KQI4GA7A4GIF7OFOH8IJ NS DS RRSIG
07iagr5f80quoshd80qval9vgdfemqha.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Zg8cT8meSOLrUCZg3FXusSk86TAk2l3WCp18BfobMVm9UR+YCfIJG5IvBEJpCzN7ikGWn6jwyuPyFaCvTF9nF8+0qptNbFWaP9dxRyMH++lFFXhv7kQ9jOW0ZpRsDy7Fw4FhlD/1ajDoZ1peRzNmFgxyueyxGutStUq0dphTPIs=
089.ventures.	3600	in	ns	ns.checkdomain.de.
089.ventures.	3600	in	ns	ns2.checkdomain.de.
089capital.ventures.	3600	in	ns	ns.checkdomain.de.
089capital.ventures.	3600	in	ns	ns2.checkdomain.de.
08d3d2rida74kqi4ga7a4gif7ofoh8ij.ventures.	3600	in	nsec3	1 1 0 73 08IBKB880EP6DIJDNEDGCUJGKBOSOUP9 NS DS RRSIG
08d3d2rida74kqi4ga7a4gif7ofoh8ij.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. L/TTRDSD0sJ8Gp+qvPflxuqoNdVW9okC0lxdVAYcnQF9d2XGQPji5I4Zu9q0f6qO0KzTxIZlgpgQ0vhY37BYmJNtgxovF9BJ+Nr/j3PtAq5oB6U45UhMje9mZop8xyaldyL8eho0V9Fcf5+2sRSUH4Ah/rzmO3mPITzWlIIRGW4=
08ibkb880ep6dijdnedgcujgkbosoup9.ventures.	3600	in	nsec3	1 1 0 73 095C7QA29OB2BU8J3FM18TAICMM0GC86 NS DS RRSIG
08ibkb880ep6dijdnedgcujgkbosoup9.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. EQ7/xK6SSuiKXQgPyTmxCt4lVWtAECrjkJwjSnr8s+jND+JdytsskxBl5zCtJQjHltzYLzO9N27teEQa+QAU9uZjtPxJUo4E+7FEMAutYqOrP4IIyUJG11W4jsQvLqK0oyLV61uAZkYU4aQi3R+G6FPNX/u1+snMJWPWtNS2VVs=
095c7qa29ob2bu8j3fm18taicmm0gc86.ventures.	3600	in	nsec3	1 1 0 73 0A5JFKPL6GM3M5L5DTUB7TK2OKQD3IP8 NS DS RRSIG
095c7qa29ob2bu8j3fm18taicmm0gc86.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. DZy7RL+6EA409Fn8Sm4BQnghTJukcCAY7gpNO+TF/Zwg6VJGHYKM8tR1NbKenTN0I1GVND0pUSsue/iortjlMx7VZQWbrGq55OEvRaeDzG6zIGwN6XZio1POQPG2nAURlxgtPur90d/5tAgVEHU4YbijSKLGI3yMu+PzxOOJLtQ=
0a5jfkpl6gm3m5l5dtub7tk2okqd3ip8.ventures.	3600	in	nsec3	1 1 0 73 0BJC27IER2M99VU9LLQ4P1SUOS0LUB4H NS DS RRSIG
0a5jfkpl6gm3m5l5dtub7tk2okqd3ip8.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. V8L/teafYxEdPnNGLMXxddzd+6/CHYMH81R0RCLt91tj3Ts7VsWiKM1B3z2GaZ8n7FhQpLdaDF44+J/qK1qRhsyQ12H/7ZDbqGB/oEj90oigpAJhAFv3G9emMuTa8HfwsA0yOlgf7qxXHJXKJksvQrsrb9C9l7cGyAr+rKluW9o=
0bjc27ier2m99vu9llq4p1suos0lub4h.ventures.	3600	in	nsec3	1 1 0 73 0C5OIO5GEL5ET58HDA0E9IOL7D21FCFS NS DS RRSIG
0bjc27ier2m99vu9llq4p1suos0lub4h.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. r5RZD+q5iFVDqHl60lE0IIIDEBH6BXi+88fBxGLxcqzgYGTsEGcaFPxMJzlU+AlgwCVKVeI+tzQGa1MCYlnmb2UrNOniXZnNVQ2n5HUChEAbDM8/jY0sYz3nyh2s6FzY3fPnh9N+9zqXnj9En1rWp26qbW7CfA2HLgnkyzCo33U=
0c5oio5gel5et58hda0e9iol7d21fcfs.ventures.	3600	in	nsec3	1 1 0 73 0ETR73O8I3874MI3KERFBIVRAVBK0J21 NS DS RRSIG
0c5oio5gel5et58hda0e9iol7d21fcfs.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. ldbcOmSXf10EEQdL36gzIKSbDoDdNsUakCAyKExL31s5qWPcpiyz+Au6iJv/GpRK0MpvvFKsorvJgxJI0p1JZSldyqYdpFeO6O9glOn6D/s8fPotMRosRIb6JKOrHXtnEiRTN1o0xLAg/BixUl+LzlNHgvH1EufZIHKZIVdrNdc=
0dn.ventures.	3600	in	ns	ns1gjz.name.com.
0dn.ventures.	3600	in	ns	ns2fhn.name.com.
0dn.ventures.	3600	in	ns	ns3gmv.name.com.
0dn.ventures.	3600	in	ns	ns4dfh.name.com.
0dn.ventures.	3600	in	ns	www.base44.onrender.com.
0etr73o8i3874mi3kerfbivravbk0j21.ventures.	3600	in	nsec3	1 1 0 73 0FFKV4FL7SQCD5Q8EJ3AD58GG7BD9S30 NS DS RRSIG
0etr73o8i3874mi3kerfbivravbk0j21.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. p3jSEde6yUnyU853tpJemY87At3IbOHDmTYEYMBt+7LnHGZk4+arx948cISJIPaeJM7u+IRU0mkNkw1Oo+yerPXPOIAQHJqFTqKXeX8uYr0i8CGW50SkukA9wHm/sFMJvDCH9AXdzsZFdfUEGEmp/aWMiO0RK4sHNc1Wpz7yezQ=
0ffkv4fl7sqcd5q8ej3ad58gg7bd9s30.ventures.	3600	in	nsec3	1 1 0 73 0FP19LIHB3CU5N9C3EHI7E1KAIHEJ948 NS DS RRSIG
0ffkv4fl7sqcd5q8ej3ad58gg7bd9s30.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. r1jCdMFIkQ7yLnxVjGTvwkjlaPdy+6lcuzctbOu+61MzSsuDoCAuC7hGQxGI6YaSSqvVCNkpJnM17RHp4dW10gThGVJBMsLF6/6+pcoIplojfwCanlUWcCTdWIjc+nOvS3gq7NfjCP1lkos8vMrv3A4DJncCL17wjrwEY5l2cqk=
0fp19lihb3cu5n9c3ehi7e1kaihej948.ventures.	3600	in	nsec3	1 1 0 73 0HJ8OBIHJNV6GM23GC8U9R9B2O7OT0L0 NS DS RRSIG
0fp19lihb3cu5n9c3ehi7e1kaihej948.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. rRixwHG5h7gJQU7il43Zk2rkE+Fs52RpJu73EOd9WiDY0+0jRGFdm2BWIoVL9LQ2TYAy/I5kF6T6dy7RSRiBRIz/7K392jAWRMSqaepHvpfqkW4OD68IOW5D7D1eauaboMpYm647JIGdKiopmXcHeqc/Jb+HviyR7RPD6H4qgQ8=
0hj8obihjnv6gm23gc8u9r9b2o7ot0l0.ventures.	3600	in	nsec3	1 1 0 73 0HSUL18VKOOC1OBDM2TIO3PJ5RA8AJS9 NS DS RRSIG
0hj8obihjnv6gm23gc8u9r9b2o7ot0l0.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. Ad87nrwvrdohmk2e+2G+eujasr4xi1VMSCQqtdlvn6cSHDq/peOuRxotnJyjTjDzMg4Iao8MRI5hIXPHE8FQcMxDTd7CJYjpfNItGU7h5FlKlsr9PMNAJu3NHyBzh1QfDhcxVwPRXSVfZJZpmHZEe07C16xrJmbwfLoGIxNkMjo=
0hsul18vkooc1obdm2tio3pj5ra8ajs9.ventures.	3600	in	nsec3	1 1 0 73 0IAL2LMLK8B1I6TSUGEPT1O6VOAQGPV5 NS DS RRSIG
0hsul18vkooc1obdm2tio3pj5ra8ajs9.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. jnl7AcSym+WoXzJlFjbuxXzfXInQbav6+HrDxZm2zwwJGCUWuxtkWvjYAonL59Bvc7jYRUsjf3klX1dHsHeRRLqzc60VzGvlTuxiBXMau23eO/k5PbTPgMvpDfKa2+NTobs2SrXqW3i6m6us9Ylg+ZVzybnl3I16Jbb5a+GMG4o=
0ial2lmlk8b1i6tsugept1o6voaqgpv5.ventures.	3600	in	nsec3	1 1 0 73 0IMRT5N82B7M5RK073P2VU857M4M0E0Q NS DS RRSIG
0ial2lmlk8b1i6tsugept1o6voaqgpv5.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. gley1ydXvJvHiUZ4PMEUaahD7m0tkPHKdKOrRnDVOJwjiDRVxqZUpe/3YhhMw/vPWKi1tTRI3dXRqHsDm/Uw9uPWZeQ+N84wvT+gu8oByOp+jg4qJSqb6Rrc7QwJ5RbxHF5OmOy+0rPfND1OXd/CTrZ6ylRW3E5J98sI/rNxOA8=
