viajes.	3600	in	soa	v0n0.nic.viajes. hostmaster.donuts.email. 1769304195 7200 900 1209600 3600
0d6a6l2qms2sogbad5v9q3fh1i53buel.viajes.	3600	in	nsec3	1 1 0 73 3QTFH8R2DNU26QTSC9QH69MLCNV4VAI3 NS DS RRSIG
0d6a6l2qms2sogbad5v9q3fh1i53buel.viajes.	3600	in	rrsig	NSEC3 8 2 3600 20260207155735 20260117145735 62046 viajes. WKPPiAXtsa6yreR8sSVRsVFqxH7DLXFnr8/4ZFB0jplxYvVT5Iw0XGAQy3F3E200tSkTiUrQ5fEHdmy1dGjf9fhViU1fkI4JoyvKXj5vMXyKXujaGHxikLGEwIHJxyuxRfS6l1HD67NGkTXcxBm8r7a/0WkC7RxGLWsI7Yh+8Og=
123.viajes.	3600	in	ns	ns3.afternic.com.
123.viajes.	3600	in	ns	ns4.afternic.com.
123b.viajes.	3600	in	ns	beau.ns.cloudflare.com.
123b.viajes.	3600	in	ns	tina.ns.cloudflare.com.
1800.viajes.	3600	in	ns	curitiba.ns.porkbun.com.
1800.viajes.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.viajes.	3600	in	ns	maceio.ns.porkbun.com.
1800.viajes.	3600	in	ns	salvador.ns.porkbun.com.
1dolar.viajes.	3600	in	ns	ns73.domaincontrol.com.
1dolar.viajes.	3600	in	ns	ns74.domaincontrol.com.
1euro.viajes.	3600	in	ns	ns03.domaincontrol.com.
1euro.viajes.	3600	in	ns	ns04.domaincontrol.com.
24h.viajes.	3600	in	ns	virt2941-2.unelink.net.
24h.viajes.	3600	in	ns	virt2941.unelink.net.
2x1.viajes.	3600	in	ns	ns57.domaincontrol.com.
2x1.viajes.	3600	in	ns	ns58.domaincontrol.com.
365.viajes.	3600	in	ns	ns1.dns-parking.com.
365.viajes.	3600	in	ns	ns2.dns-parking.com.
3qtfh8r2dnu26qtsc9qh69mlcnv4vai3.viajes.	3600	in	nsec3	1 1 0 73 4JMLG4KIR7ETAHV5E1UBGLL324SUB2BQ NS DS RRSIG
3qtfh8r2dnu26qtsc9qh69mlcnv4vai3.viajes.	3600	in	rrsig	NSEC3 8 2 3600 20260207155735 20260117145735 62046 viajes. Hgb4nHsWz0a3C7f3GBIEfxUt1vKwDx7qLt4zH/IXBIbb/wVjt3ZW8dUWckFlkM034vwvV1WQCdDo5S3HFLPh/gAEFHXIK78bRBzsbJO4kbEQPosIDYCwdHn7WGbq+Gtfb8nbdz/bkbaklqSXAE5P4AtDle0WgLpZyBkH1iMfZsU=
4jmlg4kir7etahv5e1ubgll324sub2bq.viajes.	3600	in	nsec3	1 1 0 73 5O47DDOFM9BIRVSN1AD9VQEE8LS5O0HD NS DS RRSIG
4jmlg4kir7etahv5e1ubgll324sub2bq.viajes.	3600	in	rrsig	NSEC3 8 2 3600 20260207155735 20260117145735 62046 viajes. nTDjaD3TpaHmoAE+qyeV4iTQ9CI/c9b/SDfoUeyz3NEri2caV/QKQY0w3ztiFnmJjcY3CtKF/Z4LgMrLxMRjbt3EK8KzPwybVo2tonVSEX2wybjIxJuZ/fCBH0WlYqYNMhwR4L4M1/ZIpCW8V6cUumBK3S5yEJZWsMpQ1VylTt8=
5movierulz.viajes.	3600	in	ns	ns1.google.com.
5movierulz.viajes.	3600	in	ns	ns2.google.com.
5o47ddofm9birvsn1ad9vqee8ls5o0hd.viajes.	3600	in	nsec3	1 1 0 73 6CF61E8SI2MSNHMMSIG37FD1RB563IKN NS DS RRSIG
5o47ddofm9birvsn1ad9vqee8ls5o0hd.viajes.	3600	in	rrsig	NSEC3 8 2 3600 20260207155735 20260117145735 62046 viajes. uPjB/Gx0/cuCiQJE2SPn4XuPPy6/iJi5CJ0+mL7rfMbCkwGlUbSNPuHPpKfUpI2lszUHXOAh5lEXDTYrEaGPy8EXZ2Kjz17GQtb73y9BlDCX3TCWNJ5jL8Sc058fsNvJRpNVvfcylJFpoXw6a9o7pkturA3qnu8TR0AuissnE+c=
5rutas.viajes.	3600	in	ns	curitiba.ns.porkbun.com.
5rutas.viajes.	3600	in	ns	fortaleza.ns.porkbun.com.
5rutas.viajes.	3600	in	ns	maceio.ns.porkbun.com.
5rutas.viajes.	3600	in	ns	salvador.ns.porkbun.com.
6cf61e8si2msnhmmsig37fd1rb563ikn.viajes.	3600	in	nsec3	1 1 0 73 6GVKHKM5DMCPO3BQF63VKI3186U6NJM6 NS DS RRSIG
6cf61e8si2msnhmmsig37fd1rb563ikn.viajes.	3600	in	rrsig	NSEC3 8 2 3600 20260207155735 20260117145735 62046 viajes. oNdgCTmwNPQRuDJ7RfcpRNNZRzboTevu269APJ8glJ3pJtlcGAg7W6gu3Ll68Q0sK9yazyigXMBnZiV/cqm/2+bvRLR7J/NRB2lYUE9zWfFCa0tecC6Ys6Fv/adTXCMAw4Rh86QhvMTc7mSJ/4yFcA2eopKi6IMMzSK8RavczBI=
