vision.	3600	in	soa	v0n0.nic.vision. hostmaster.donuts.email. 1767662362 7200 900 1209600 3600
00.vision.	3600	in	ns	curitiba.ns.porkbun.com.
00.vision.	3600	in	ns	fortaleza.ns.porkbun.com.
00.vision.	3600	in	ns	maceio.ns.porkbun.com.
00.vision.	3600	in	ns	salvador.ns.porkbun.com.
0000.vision.	3600	in	ns	ns1.dns-redirect.com.
0000.vision.	3600	in	ns	ns2.dns-redirect.com.
001.vision.	3600	in	ns	docks01.rzone.de.
001.vision.	3600	in	ns	shades18.rzone.de.
0034.vision.	3600	in	ns	docks07.rzone.de.
0034.vision.	3600	in	ns	shades13.rzone.de.
0049.vision.	3600	in	ns	docks19.rzone.de.
0049.vision.	3600	in	ns	shades08.rzone.de.
00fcg0irgfba4dmbn7p95bgu5v0pnbt6.vision.	3600	in	nsec3	1 1 0 73 00I6MVKO7ALPP76HR5FN0C5FI974US41 NS DS RRSIG
00fcg0irgfba4dmbn7p95bgu5v0pnbt6.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. MJ6qA8RwDLfujvIllKp3ZIi2NMvWcLxZqXHc46JqnJQZwDTUKMLt9IzFh7iBZBcMS3+wfoh0lo6TLcYxkNY27oWGdrySubyvIAAIVbELnLPW3jAgSNorttG+kdhYQI3aKt+5jnDTsU2fzy29GpJsYsFoj/FbOM8IqqGAgYN/No8=
00i6mvko7alpp76hr5fn0c5fi974us41.vision.	3600	in	nsec3	1 1 0 73 00RL4A8DIC7E0SM2B5DTLN5ACL4HNA3H NS DS RRSIG
00i6mvko7alpp76hr5fn0c5fi974us41.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. l47kIDZXQGRQCyiDWtfiGXical4YsL33CGe/2xftM093mJez0zdOhoLUIeoN5lNsgxTjw56kKQhWS2suqtY95MfYw2PZ9PuCNNuYC0nw07Twzzm4nPgHpRJrrmz0z0yk+M20Nyvf/M8hxg6jZKXkEWXMISq4z3IbxczyyoATIfU=
00rl4a8dic7e0sm2b5dtln5acl4hna3h.vision.	3600	in	nsec3	1 1 0 73 03FT5RQCT7O1RRL3RTA2VP8DQA9S85OP NS DS RRSIG
00rl4a8dic7e0sm2b5dtln5acl4hna3h.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. b72UekUIJE6coELDftx27liY47cbEaFlq9b7x6p90MxmNQWyG/Iv5oeXMbUOTb9sjla5zcc5fUetyj22FLHT7tON4Rz2oNSBR4DO4QniCszRLLG93EwSapzI0EAra+Bo/FuR95Dt2uQPR+CbVMIopzqdyRiZ/Mfoogut87RfN6U=
012.vision.	3600	in	ds	2371 13 2 2CBB12ACDF93302B4E7DCAEC35ED6B84A3BDE82439DDBE5924B6383D7DC3F88D
012.vision.	3600	in	ns	ed.ns.cloudflare.com.
012.vision.	3600	in	ns	ulla.ns.cloudflare.com.
